"ple0097","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Public health insurance","1999","Full Time","lower secondary degree","1720","0.903685025128599","0.890324157754689","0.91704589250251"
"Public health insurance","1999","Full Time","secondary school degree","1833","0.865740892712266","0.851050490416623","0.880431295007909"
"Public health insurance","1999","Full Time","college entrance qualification","852","0.678776387913212","0.652279494236304","0.70527328159012"
"Public health insurance","1999","Full Time","Other degree","398","0.960015743143092","0.941028140749966","0.979003345536218"
"Public health insurance","1999","Full Time","no degree/no degree yet","129","0.990277525677817","0.973538584267272","1.00701646708836"
"Public health insurance","1999","Part Time","lower secondary degree","975","0.942554911318134","0.928267919977955","0.956841902658313"
"Public health insurance","1999","Part Time","secondary school degree","904","0.936508511831686","0.921026932645276","0.951990091018097"
"Public health insurance","1999","Part Time","college entrance qualification","426","0.786943346263477","0.752278843026486","0.821607849500468"
"Public health insurance","1999","Part Time","Other degree","186","0.972284707222477","0.948756775533136","0.995812638911819"
"Public health insurance","1999","Part Time","no degree/no degree yet","119","0.871701422921999","0.814651386928574","0.928751458915424"
"Public health insurance","1999","Not Working","lower secondary degree","2533","0.957889937831433","0.950221471270142","0.965558404392723"
"Public health insurance","1999","Not Working","secondary school degree","761","0.887011898501032","0.865641364113443","0.908382432888622"
"Public health insurance","1999","Not Working","college entrance qualification","408","0.760608633365022","0.723355081145959","0.797862185584084"
"Public health insurance","1999","Not Working","Other degree","330","0.941880427632035","0.916974235549029","0.96678661971504"
"Public health insurance","1999","Not Working","no degree/no degree yet","478","0.884035521170483","0.856436087694708","0.911634954646258"
"Private health insurance","1999","Full Time","lower secondary degree","137","0.0864582845569099","0.073730679184955","0.0991858899288647"
"Private health insurance","1999","Full Time","secondary school degree","203","0.116281004715332","0.102468280889009","0.130093728541655"
"Private health insurance","1999","Full Time","college entrance qualification","327","0.310226423041296","0.283976953053835","0.336475893028757"
"Private health insurance","1999","Full Time","Other degree","10","","",""
"Private health insurance","1999","Full Time","no degree/no degree yet","2","","",""
