"ple0098_v5","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Not Employed","(0) in school","16","","",""
"Yes","1999","Not Employed","(1a) inadequately completed","1","","",""
"Yes","1999","Not Employed","(1b) general elementary school","26","","",""
"Yes","1999","Not Employed","(1c) basic vocational qualification","81","0.0606547655590112","0.0489771101664516","0.0723324209515708"
"Yes","1999","Not Employed","(2b) intermediate general qualification","15","","",""
"Yes","1999","Not Employed","(2a) intermediate vocational","53","0.134086895333983","0.104542985807997","0.163630804859969"
"Yes","1999","Not Employed","(2c_gen) general maturity certificate","13","","",""
"Yes","1999","Not Employed","(2c_voc) vocational maturity certificate","13","","",""
"Yes","1999","Not Employed","(3a) lower tertiary education","12","","",""
"Yes","1999","Not Employed","(3b) higher tertiary education","12","","",""
"Yes","1999","Employed","(0) in school","6","","",""
"Yes","1999","Employed","(1a) inadequately completed","7","","",""
"Yes","1999","Employed","(1b) general elementary school","29","","",""
"Yes","1999","Employed","(1c) basic vocational qualification","173","0.0881518506773959","0.0763846641642746","0.0999190371905173"
"Yes","1999","Employed","(2b) intermediate general qualification","28","","",""
"Yes","1999","Employed","(2a) intermediate vocational","209","0.124623881881144","0.110346962066679","0.138900801695609"
"Yes","1999","Employed","(2c_gen) general maturity certificate","15","","",""
"Yes","1999","Employed","(2c_voc) vocational maturity certificate","58","0.155149062416438","0.121396901784827","0.188901223048048"
"Yes","1999","Employed","(3a) lower tertiary education","61","0.141040933838695","0.113167305741181","0.168914561936209"
"Yes","1999","Employed","(3b) higher tertiary education","87","0.201366845343646","0.168093333363837","0.234640357323455"
"No","1999","Not Employed","(0) in school","223","0.924430632877899","0.890921808044743","0.957939457711054"
"No","1999","Not Employed","(1a) inadequately completed","237","0.985169198032406","0.969812517739834","1.00052587832498"
"No","1999","Not Employed","(1b) general elementary school","1045","0.972643306482667","0.962874039932585","0.982412573032748"
"No","1999","Not Employed","(1c) basic vocational qualification","1524","0.939345234440989","0.927667579048429","0.951022889833548"
"No","1999","Not Employed","(2b) intermediate general qualification","148","0.890937574830155","0.843083877115734","0.938791272544575"
"No","1999","Not Employed","(2a) intermediate vocational","458","0.865913104666017","0.836369195140031","0.895457014192003"
"No","1999","Not Employed","(2c_gen) general maturity certificate","146","0.886622986464497","0.837341757609175","0.935904215319819"
"No","1999","Not Employed","(2c_voc) vocational maturity certificate","112","0.838835318746552","0.774378869841544","0.90329176765156"
"No","1999","Not Employed","(3a) lower tertiary education","195","0.899418434942678","0.858444940435687","0.940391929449669"
"No","1999","Not Employed","(3b) higher tertiary education","148","0.887181644521967","0.838160408649969","0.936202880393966"
"No","1999","Employed","(0) in school","26","","",""
"No","1999","Employed","(1a) inadequately completed","219","0.969666532695395","0.947306825989916","0.992026239400874"
"No","1999","Employed","(1b) general elementary school","790","0.957331847434792","0.943490151230456","0.971173543639128"
"No","1999","Employed","(1c) basic vocational qualification","2057","0.911848149322604","0.900080962809483","0.923615335835725"
"No","1999","Employed","(2b) intermediate general qualification","314","0.904680403713029","0.87355795738053","0.935802850045527"
"No","1999","Employed","(2a) intermediate vocational","1847","0.875376118118856","0.861099198304391","0.889653037933321"
"No","1999","Employed","(2c_gen) general maturity certificate","228","0.9310689447485","0.89921645839018","0.96292143110682"
"No","1999","Employed","(2c_voc) vocational maturity certificate","384","0.844850937583562","0.811098776951952","0.878603098215173"
"No","1999","Employed","(3a) lower tertiary education","538","0.858959066161305","0.831085438063791","0.886832694258819"
"No","1999","Employed","(3b) higher tertiary education","471","0.798633154656354","0.765359642676545","0.831906666636163"
"Yes","2000","Not Employed","(0) in school","17","","",""
"Yes","2000","Not Employed","(1a) inadequately completed","1","","",""
"Yes","2000","Not Employed","(1b) general elementary school","36","0.0270783416136437","0.0193307044620302","0.0348259787652573"
"Yes","2000","Not Employed","(1c) basic vocational qualification","159","0.0540811789792681","0.0463979955417027","0.0617643624168335"
"Yes","2000","Not Employed","(2b) intermediate general qualification","15","","",""
"Yes","2000","Not Employed","(2a) intermediate vocational","139","0.139700727570742","0.119120083881089","0.160281371260396"
"Yes","2000","Not Employed","(2c_gen) general maturity certificate","29","","",""
"Yes","2000","Not Employed","(2c_voc) vocational maturity certificate","42","0.142821884740887","0.105630568421747","0.180013201060026"
"Yes","2000","Not Employed","(3a) lower tertiary education","53","0.157981920995083","0.120768524407408","0.195195317582758"
"Yes","2000","Not Employed","(3b) higher tertiary education","45","0.150557854011296","0.111856177398715","0.189259530623878"
"Yes","2000","Employed","(0) in school","9","","",""
"Yes","2000","Employed","(1a) inadequately completed","10","","",""
"Yes","2000","Employed","(1b) general elementary school","38","0.0369907147586957","0.0259371927951917","0.0480442367221996"
"Yes","2000","Employed","(1c) basic vocational qualification","343","0.0900937273127878","0.0812241912716268","0.0989632633539489"
"Yes","2000","Employed","(2b) intermediate general qualification","34","0.0994072999701546","0.0713862512046069","0.127428348735702"
"Yes","2000","Employed","(2a) intermediate vocational","420","0.122628619227595","0.112301007817335","0.132956230637856"
"Yes","2000","Employed","(2c_gen) general maturity certificate","42","0.097143857226509","0.0686849397598415","0.125602774693177"
"Yes","2000","Employed","(2c_voc) vocational maturity certificate","121","0.125219892662684","0.104788219260813","0.145651566064554"
"Yes","2000","Employed","(3a) lower tertiary education","150","0.176783589459423","0.15304416211466","0.200523016804185"
"Yes","2000","Employed","(3b) higher tertiary education","174","0.188885866608676","0.165509287616906","0.212262445600447"
"No","2000","Not Employed","(0) in school","326","0.940633204867288","0.915624973074527","0.965641436660048"
"No","2000","Not Employed","(1a) inadequately completed","245","0.996555142709169","0.989233360229918","1.00387692518842"
"No","2000","Not Employed","(1b) general elementary school","1650","0.972921658386356","0.965174021234743","0.98066929553797"
"No","2000","Not Employed","(1c) basic vocational qualification","3170","0.945918821020732","0.938235637583167","0.953602004458297"
"No","2000","Not Employed","(2b) intermediate general qualification","234","0.92287682697599","0.889739861703946","0.956013792248034"
"No","2000","Not Employed","(2a) intermediate vocational","951","0.860299272429258","0.839718628739604","0.880879916118911"
"No","2000","Not Employed","(2c_gen) general maturity certificate","259","0.90934987950636","0.876190870188113","0.942508888824606"
"No","2000","Not Employed","(2c_voc) vocational maturity certificate","298","0.857178115259113","0.819986798939974","0.894369431578253"
"No","2000","Not Employed","(3a) lower tertiary education","316","0.842018079004917","0.804804682417242","0.879231475592592"
"No","2000","Not Employed","(3b) higher tertiary education","283","0.849442145988704","0.810740469376122","0.888143822601285"
"No","2000","Employed","(0) in school","62","0.892379244949655","0.820294782458047","0.964463707441264"
"No","2000","Employed","(1a) inadequately completed","159","0.929162915269276","0.890483400922701","0.967842429615851"
"No","2000","Employed","(1b) general elementary school","1082","0.963009285241304","0.9519557632778","0.974062807204808"
"No","2000","Employed","(1c) basic vocational qualification","3660","0.909906272687212","0.901036736646051","0.918775808728373"
"No","2000","Employed","(2b) intermediate general qualification","404","0.900592700029845","0.872571651264298","0.928613748795393"
"No","2000","Employed","(2a) intermediate vocational","3455","0.877371380772405","0.867043769362144","0.887698992182665"
"No","2000","Employed","(2c_gen) general maturity certificate","374","0.902856142773491","0.874397225306824","0.931315060240159"
"No","2000","Employed","(2c_voc) vocational maturity certificate","887","0.874780107337316","0.854348433935446","0.895211780739187"
"No","2000","Employed","(3a) lower tertiary education","842","0.823216410540577","0.799476983195814","0.84695583788534"
"No","2000","Employed","(3b) higher tertiary education","903","0.811114133391324","0.787737554399554","0.834490712383094"
"Yes","2001","Not Employed","(0) in school","23","","",""
"Yes","2001","Not Employed","(1a) inadequately completed","","","",""
"Yes","2001","Not Employed","(1b) general elementary school","28","","",""
"Yes","2001","Not Employed","(1c) basic vocational qualification","154","0.0560306966441383","0.0477637985630665","0.06429759472521"
"Yes","2001","Not Employed","(2b) intermediate general qualification","12","","",""
"Yes","2001","Not Employed","(2a) intermediate vocational","125","0.142290272984635","0.121027667226673","0.163552878742598"
"Yes","2001","Not Employed","(2c_gen) general maturity certificate","16","","",""
"Yes","2001","Not Employed","(2c_voc) vocational maturity certificate","40","0.153239915315398","0.113956162439094","0.192523668191702"
"Yes","2001","Not Employed","(3a) lower tertiary education","48","0.150953712794699","0.113554337971995","0.188353087617403"
"Yes","2001","Not Employed","(3b) higher tertiary education","28","","",""
"Yes","2001","Employed","(0) in school","7","","",""
"Yes","2001","Employed","(1a) inadequately completed","7","","",""
"Yes","2001","Employed","(1b) general elementary school","39","0.0314858862473689","0.020795408931668","0.0421763635630698"
"Yes","2001","Employed","(1c) basic vocational qualification","309","0.0980426116879389","0.0882341775945043","0.107851045781374"
"Yes","2001","Employed","(2b) intermediate general qualification","21","","",""
"Yes","2001","Employed","(2a) intermediate vocational","388","0.124911528886266","0.114026527778847","0.135796529993686"
"Yes","2001","Employed","(2c_gen) general maturity certificate","46","0.107886455247084","0.0785635233419553","0.137209387152212"
"Yes","2001","Employed","(2c_voc) vocational maturity certificate","127","0.13791544138281","0.115849215895361","0.159981666870259"
"Yes","2001","Employed","(3a) lower tertiary education","145","0.198397707081945","0.172781132836735","0.224014281327154"
"Yes","2001","Employed","(3b) higher tertiary education","162","0.180308002597783","0.156408561348798","0.204207443846769"
"No","2001","Not Employed","(0) in school","336","0.929532841024126","0.903058411106374","0.956007270941879"
"No","2001","Not Employed","(1a) inadequately completed","183","1","1","1"
"No","2001","Not Employed","(1b) general elementary school","1377","0.978820171636339","0.971291426381356","0.986348916891322"
"No","2001","Not Employed","(1c) basic vocational qualification","2819","0.943969303355862","0.93570240527479","0.952236201436934"
"No","2001","Not Employed","(2b) intermediate general qualification","190","0.922271748865927","0.885349231180321","0.959194266551533"
"No","2001","Not Employed","(2a) intermediate vocational","912","0.857709727015365","0.836447121257402","0.878972332773327"
"No","2001","Not Employed","(2c_gen) general maturity certificate","232","0.943567076424386","0.914847706015139","0.972286446833632"
"No","2001","Not Employed","(2c_voc) vocational maturity certificate","283","0.846760084684602","0.807476331808298","0.886043837560906"
"No","2001","Not Employed","(3a) lower tertiary education","304","0.849046287205301","0.811646912382597","0.886445662028005"
"No","2001","Not Employed","(3b) higher tertiary education","268","0.88972605774929","0.854042607415377","0.925409508083203"
"No","2001","Employed","(0) in school","85","0.940606241703812","0.892308312658743","0.98890417074888"
"No","2001","Employed","(1a) inadequately completed","128","0.906528755570526","0.857425418089643","0.955632093051409"
"No","2001","Employed","(1b) general elementary school","986","0.968514113752631","0.95782363643693","0.979204591068332"
"No","2001","Employed","(1c) basic vocational qualification","3222","0.901957388312061","0.892148954218626","0.911765822405496"
"No","2001","Employed","(2b) intermediate general qualification","394","0.949935145758535","0.928953599119686","0.970916692397385"
"No","2001","Employed","(2a) intermediate vocational","3156","0.875088471113734","0.864203470006314","0.885973472221153"
"No","2001","Employed","(2c_gen) general maturity certificate","384","0.892113544752916","0.862790612847788","0.921436476658045"
"No","2001","Employed","(2c_voc) vocational maturity certificate","811","0.86208455861719","0.840018333129742","0.884150784104639"
"No","2001","Employed","(3a) lower tertiary education","786","0.801602292918055","0.775985718672846","0.827218867163265"
"No","2001","Employed","(3b) higher tertiary education","832","0.819691997402217","0.795792556153231","0.843591438651202"
"Yes","2002","Not Employed","(0) in school","25","","",""
"Yes","2002","Not Employed","(1a) inadequately completed","1","","",""
"Yes","2002","Not Employed","(1b) general elementary school","30","0.0280392947161134","0.0191268205837714","0.0369517688484554"
"Yes","2002","Not Employed","(1c) basic vocational qualification","182","0.0626605540350992","0.0538687782125334","0.071452329857665"
"Yes","2002","Not Employed","(2b) intermediate general qualification","14","","",""
"Yes","2002","Not Employed","(2a) intermediate vocational","176","0.161470290146946","0.139463764083985","0.183476816209907"
"Yes","2002","Not Employed","(2c_gen) general maturity certificate","25","","",""
"Yes","2002","Not Employed","(2c_voc) vocational maturity certificate","46","0.148274574204246","0.110332917573632","0.186216230834861"
"Yes","2002","Not Employed","(3a) lower tertiary education","58","0.15636426250061","0.119001325013965","0.193727199987255"
"Yes","2002","Not Employed","(3b) higher tertiary education","67","0.147708745427795","0.1102687605823","0.18514873027329"
"Yes","2002","Employed","(0) in school","15","","",""
"Yes","2002","Employed","(1a) inadequately completed","5","","",""
"Yes","2002","Employed","(1b) general elementary school","38","0.0367177010149533","0.024551883973609","0.0488835180562975"
"Yes","2002","Employed","(1c) basic vocational qualification","352","0.108392687231763","0.0977892575873483","0.118996116876177"
"Yes","2002","Employed","(2b) intermediate general qualification","24","","",""
"Yes","2002","Employed","(2a) intermediate vocational","493","0.137418022743555","0.126213422903635","0.148622622583474"
"Yes","2002","Employed","(2c_gen) general maturity certificate","62","0.135411440599031","0.104143333082089","0.166679548115972"
"Yes","2002","Employed","(2c_voc) vocational maturity certificate","159","0.13357662579894","0.112427850971386","0.154725400626494"
"Yes","2002","Employed","(3a) lower tertiary education","177","0.186927209599278","0.16278843577249","0.211065983426067"
"Yes","2002","Employed","(3b) higher tertiary education","242","0.187960800431","0.165650902369078","0.210270698492922"
"No","2002","Not Employed","(0) in school","370","0.953790564086886","0.933087177695039","0.974493950478733"
"No","2002","Not Employed","(1a) inadequately completed","167","0.984340634187679","0.965566788593869","1.00311447978149"
"No","2002","Not Employed","(1b) general elementary school","1288","0.971960705283887","0.963048231151545","0.980873179416229"
"No","2002","Not Employed","(1c) basic vocational qualification","2737","0.937339445964901","0.928547670142335","0.946131221787467"
"No","2002","Not Employed","(2b) intermediate general qualification","186","0.923141964896275","0.886226190871049","0.960057738921501"
"No","2002","Not Employed","(2a) intermediate vocational","898","0.838529709853054","0.816523183790093","0.860536235916015"
"No","2002","Not Employed","(2c_gen) general maturity certificate","241","0.926127028989341","0.894694064984412","0.95755999299427"
"No","2002","Not Employed","(2c_voc) vocational maturity certificate","291","0.851725425795754","0.813783769165139","0.889667082426368"
"No","2002","Not Employed","(3a) lower tertiary education","305","0.84363573749939","0.806272800012745","0.880998674986035"
"No","2002","Not Employed","(3b) higher tertiary education","278","0.852291254572205","0.81485126972671","0.8897312394177"
"No","2002","Employed","(0) in school","84","0.910827685483569","0.854688820894536","0.966966550072601"
"No","2002","Employed","(1a) inadequately completed","114","0.966346900031251","0.93394625344693","0.998747546615572"
"No","2002","Employed","(1b) general elementary school","880","0.963282298985047","0.951116481943703","0.975448116026391"
"No","2002","Employed","(1c) basic vocational qualification","2950","0.891607312768237","0.881003883123823","0.902210742412652"
"No","2002","Employed","(2b) intermediate general qualification","388","0.955988826544096","0.93618234355644","0.975795309531752"
"No","2002","Employed","(2a) intermediate vocational","3134","0.862581977256445","0.851377377416526","0.873786577096365"
"No","2002","Employed","(2c_gen) general maturity certificate","398","0.864588559400969","0.833320451884028","0.895856666917911"
"No","2002","Employed","(2c_voc) vocational maturity certificate","835","0.86642337420106","0.845274599373506","0.887572149028613"
"No","2002","Employed","(3a) lower tertiary education","825","0.813072790400722","0.788934016573933","0.83721156422751"
"No","2002","Employed","(3b) higher tertiary education","936","0.812039199569","0.789729301507078","0.834349097630922"
"Yes","2003","Not Employed","(0) in school","33","0.0675453622518001","0.0432531097360911","0.0918376147675092"
"Yes","2003","Not Employed","(1a) inadequately completed","1","","",""
"Yes","2003","Not Employed","(1b) general elementary school","31","0.0278232320380693","0.018756496209692","0.0368899678664466"
"Yes","2003","Not Employed","(1c) basic vocational qualification","163","0.0531700903870365","0.0449412493459079","0.0613989314281651"
"Yes","2003","Not Employed","(2b) intermediate general qualification","12","","",""
"Yes","2003","Not Employed","(2a) intermediate vocational","168","0.176066976978438","0.153083974187291","0.199049979769585"
"Yes","2003","Not Employed","(2c_gen) general maturity certificate","29","","",""
"Yes","2003","Not Employed","(2c_voc) vocational maturity certificate","55","0.157584685927349","0.118033507956015","0.197135863898682"
"Yes","2003","Not Employed","(3a) lower tertiary education","62","0.175969972905387","0.137932773917205","0.214007171893569"
"Yes","2003","Not Employed","(3b) higher tertiary education","73","0.160388652871184","0.121496587460043","0.199280718282326"
"Yes","2003","Employed","(0) in school","9","","",""
"Yes","2003","Employed","(1a) inadequately completed","6","","",""
"Yes","2003","Employed","(1b) general elementary school","33","0.039928935789329","0.0267276785291837","0.0531301930494742"
"Yes","2003","Employed","(1c) basic vocational qualification","355","0.116484647654292","0.105116237132416","0.127853058176168"
"Yes","2003","Employed","(2b) intermediate general qualification","27","","",""
"Yes","2003","Employed","(2a) intermediate vocational","460","0.136604191649198","0.125208660119154","0.147999723179241"
"Yes","2003","Employed","(2c_gen) general maturity certificate","61","0.114481989008119","0.0839224114728692","0.145041566543369"
"Yes","2003","Employed","(2c_voc) vocational maturity certificate","154","0.134997420153704","0.113711034330777","0.156283805976631"
"Yes","2003","Employed","(3a) lower tertiary education","165","0.181669577893667","0.156888963563279","0.206450192224055"
"Yes","2003","Employed","(3b) higher tertiary education","236","0.217026753324375","0.192917247364663","0.241136259284087"
"No","2003","Not Employed","(0) in school","377","0.9324546377482","0.908162385232491","0.956746890263909"
"No","2003","Not Employed","(1a) inadequately completed","160","0.984961194426364","0.966161474228276","1.00376091462445"
"No","2003","Not Employed","(1b) general elementary school","1233","0.972176767961931","0.963110032133553","0.981243503790308"
"No","2003","Not Employed","(1c) basic vocational qualification","2693","0.946829909612964","0.938601068571835","0.955058750654092"
"No","2003","Not Employed","(2b) intermediate general qualification","181","0.932154581603408","0.896675393883181","0.967633769323634"
"No","2003","Not Employed","(2a) intermediate vocational","887","0.823933023021562","0.800950020230415","0.846916025812709"
"No","2003","Not Employed","(2c_gen) general maturity certificate","246","0.936949169895153","0.908222507937202","0.965675831853104"
"No","2003","Not Employed","(2c_voc) vocational maturity certificate","271","0.842415314072651","0.802864136101318","0.881966492043985"
"No","2003","Not Employed","(3a) lower tertiary education","323","0.824030027094613","0.785992828106431","0.862067226082795"
"No","2003","Not Employed","(3b) higher tertiary education","269","0.839611347128816","0.800719281717674","0.878503412539957"
"No","2003","Employed","(0) in school","75","0.913030396890526","0.852769608354751","0.973291185426301"
"No","2003","Employed","(1a) inadequately completed","102","0.954241110743505","0.914831421375447","0.993650800111562"
"No","2003","Employed","(1b) general elementary school","812","0.960071064210671","0.946869806950526","0.973272321470816"
"No","2003","Employed","(1c) basic vocational qualification","2704","0.883515352345708","0.872146941823831","0.894883762867584"
"No","2003","Employed","(2b) intermediate general qualification","377","0.954741072381346","0.93447113807391","0.975011006688782"
"No","2003","Employed","(2a) intermediate vocational","3029","0.863395808350802","0.852000276820759","0.874791339880846"
"No","2003","Employed","(2c_gen) general maturity certificate","356","0.885518010991881","0.854958433456631","0.916077588527131"
"No","2003","Employed","(2c_voc) vocational maturity certificate","836","0.865002579846296","0.843716194023369","0.886288965669223"
"No","2003","Employed","(3a) lower tertiary education","765","0.818330422106333","0.793549807775945","0.843111036436721"
"No","2003","Employed","(3b) higher tertiary education","887","0.782973246675625","0.758863740715913","0.807082752635337"
"Yes","2004","Not Employed","(0) in school","37","0.064587602033584","0.0411639801659253","0.0880112239012427"
"Yes","2004","Not Employed","(1a) inadequately completed","2","","",""
"Yes","2004","Not Employed","(1b) general elementary school","30","0.0239823907554286","0.0153547969902434","0.0326099845206139"
"Yes","2004","Not Employed","(1c) basic vocational qualification","183","0.0604271656757484","0.051591968867757","0.0692623624837399"
"Yes","2004","Not Employed","(2b) intermediate general qualification","17","","",""
"Yes","2004","Not Employed","(2a) intermediate vocational","163","0.158497120114195","0.136964075358325","0.180030164870066"
"Yes","2004","Not Employed","(2c_gen) general maturity certificate","42","0.123579510157002","0.0853714352171778","0.161787585096826"
"Yes","2004","Not Employed","(2c_voc) vocational maturity certificate","50","0.165279316521903","0.124261488888963","0.206297144154843"
"Yes","2004","Not Employed","(3a) lower tertiary education","62","0.178483389760888","0.140816486661572","0.216150292860204"
"Yes","2004","Not Employed","(3b) higher tertiary education","72","0.163465665227971","0.124724807897391","0.202206522558551"
"Yes","2004","Employed","(0) in school","9","","",""
"Yes","2004","Employed","(1a) inadequately completed","4","","",""
"Yes","2004","Employed","(1b) general elementary school","34","0.0541843933407021","0.0381737852626415","0.0701950014187627"
"Yes","2004","Employed","(1c) basic vocational qualification","352","0.12398163405881","0.111978791875047","0.135984476242574"
"Yes","2004","Employed","(2b) intermediate general qualification","36","0.0944044910568849","0.0649675997879497","0.12384138232582"
"Yes","2004","Employed","(2a) intermediate vocational","467","0.145451757237295","0.133461142969447","0.157442371505144"
"Yes","2004","Employed","(2c_gen) general maturity certificate","63","0.131444389525447","0.0986181806765671","0.164270598374327"
"Yes","2004","Employed","(2c_voc) vocational maturity certificate","177","0.145347662580444","0.123470082598781","0.167225242562107"
"Yes","2004","Employed","(3a) lower tertiary education","187","0.218209818910398","0.191315147510468","0.245104490310328"
"Yes","2004","Employed","(3b) higher tertiary education","244","0.214531509781187","0.190038210052912","0.239024809509462"
"No","2004","Not Employed","(0) in school","386","0.935412397966416","0.911988776098757","0.958836019834075"
"No","2004","Not Employed","(1a) inadequately completed","150","0.978891474597978","0.956039563920134","1.00174338527582"
"No","2004","Not Employed","(1b) general elementary school","1178","0.976017609244571","0.967390015479386","0.984645203009757"
"No","2004","Not Employed","(1c) basic vocational qualification","2611","0.939572834324252","0.93073763751626","0.948408031132243"
"No","2004","Not Employed","(2b) intermediate general qualification","177","0.908376473006058","0.867780433392997","0.948972512619119"
"No","2004","Not Employed","(2a) intermediate vocational","942","0.841502879885805","0.819969835129934","0.863035924641675"
"No","2004","Not Employed","(2c_gen) general maturity certificate","243","0.876420489842998","0.838212414903174","0.914628564782822"
"No","2004","Not Employed","(2c_voc) vocational maturity certificate","265","0.834720683478097","0.793702855845157","0.875738511111037"
"No","2004","Not Employed","(3a) lower tertiary education","335","0.821516610239112","0.783849707139796","0.859183513338428"
"No","2004","Not Employed","(3b) higher tertiary education","278","0.836534334772029","0.797793477441449","0.875275192102609"
"No","2004","Employed","(0) in school","65","0.787397733859611","0.694176841455107","0.880618626264115"
"No","2004","Employed","(1a) inadequately completed","102","0.97360891261702","0.943093723125637","1.0041241021084"
"No","2004","Employed","(1b) general elementary school","734","0.945815606659298","0.929804998581237","0.961826214737359"
"No","2004","Employed","(1c) basic vocational qualification","2544","0.876018365941189","0.864015523757426","0.888021208124953"
"No","2004","Employed","(2b) intermediate general qualification","343","0.905595508943115","0.87615861767418","0.93503240021205"
"No","2004","Employed","(2a) intermediate vocational","2854","0.854548242762705","0.842557628494856","0.866538857030553"
"No","2004","Employed","(2c_gen) general maturity certificate","344","0.868555610474553","0.835729401625673","0.901381819323433"
"No","2004","Employed","(2c_voc) vocational maturity certificate","820","0.854652337419556","0.832774757437893","0.876529917401219"
"No","2004","Employed","(3a) lower tertiary education","719","0.781790181089602","0.754895509689672","0.808684852489532"
"No","2004","Employed","(3b) higher tertiary education","835","0.785468490218813","0.760975190490539","0.809961789947088"
"Yes","2005","Not Employed","(0) in school","30","0.0689813229466541","0.0450283833389642","0.0929342625543441"
"Yes","2005","Not Employed","(1a) inadequately completed","3","","",""
"Yes","2005","Not Employed","(1b) general elementary school","33","0.0335946777094535","0.0231489218334062","0.0440404335855008"
"Yes","2005","Not Employed","(1c) basic vocational qualification","198","0.0740259792948868","0.0641026164529849","0.0839493421367886"
"Yes","2005","Not Employed","(2b) intermediate general qualification","10","","",""
"Yes","2005","Not Employed","(2a) intermediate vocational","177","0.174003470436939","0.150726360087806","0.197280580786072"
"Yes","2005","Not Employed","(2c_gen) general maturity certificate","34","0.0897303760109346","0.0555138855071467","0.123946866514722"
"Yes","2005","Not Employed","(2c_voc) vocational maturity certificate","54","0.184749409611853","0.141616874242799","0.227881944980907"
"Yes","2005","Not Employed","(3a) lower tertiary education","63","0.151152285960591","0.115556749556073","0.186747822365108"
"Yes","2005","Not Employed","(3b) higher tertiary education","73","0.146843970238433","0.109548822409781","0.184139118067086"
"Yes","2005","Employed","(0) in school","8","","",""
