"ple0098_v5","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Full Time","1-pers.-HH","52","0.127058203074941","0.0980974244763803","0.156018981673503"
"Yes","1999","Full Time","(Married) couple without C. ","168","0.147287191940532","0.128602843669546","0.165971540211518"
"Yes","1999","Full Time","Single parent ","26","","",""
"Yes","1999","Full Time","Couple + C. LE 16 ","114","0.103088897637179","0.0867161789603202","0.119461616314038"
"Yes","1999","Full Time","Couple + C. GT 16 ","71","0.0697316401518456","0.0540319320288518","0.0854313482748394"
"Yes","1999","Full Time","Couple + C. LE and GT 16","25","","",""
"Yes","1999","Part Time","1-pers.-HH","23","","",""
"Yes","1999","Part Time","(Married) couple without C. ","70","0.152839111815764","0.123529571286527","0.182148652345001"
"Yes","1999","Part Time","Single parent ","16","","",""
"Yes","1999","Part Time","Couple + C. LE 16 ","64","0.0999887634532208","0.0788686228869713","0.12110890401947"
"Yes","1999","Part Time","Couple + C. GT 16 ","31","0.0508248834734597","0.0326659097090967","0.0689838572378227"
"Yes","1999","Part Time","Couple + C. LE and GT 16","26","","",""
"Yes","1999","Not Working","1-pers.-HH","43","0.0605341993283742","0.0438731782570859","0.0771952203996625"
"Yes","1999","Not Working","(Married) couple without C. ","112","0.0860363790996434","0.0728756373311732","0.0991971208681137"
"Yes","1999","Not Working","Single parent ","10","","",""
"Yes","1999","Not Working","Couple + C. LE 16 ","30","0.0561178864736628","0.0378689727840534","0.0743668001632723"
"Yes","1999","Not Working","Couple + C. GT 16 ","28","","",""
"Yes","1999","Not Working","Couple + C. LE and GT 16","15","","",""
"No","1999","Full Time","1-pers.-HH","456","0.872941796925059","0.843981018326498","0.90190257552362"
"No","1999","Full Time","(Married) couple without C. ","1214","0.852712808059468","0.834028459788482","0.871397156330454"
"No","1999","Full Time","Single parent ","211","0.888324388049035","0.848224895089627","0.928423881008443"
"No","1999","Full Time","Couple + C. LE 16 ","1211","0.896911102362821","0.880538383685962","0.91328382103968"
"No","1999","Full Time","Couple + C. GT 16 ","940","0.930268359848154","0.914568651725161","0.945968067971148"
"No","1999","Full Time","Couple + C. LE and GT 16","439","0.93010261985132","0.90690278017854","0.953302459524101"
"No","1999","Part Time","1-pers.-HH","201","0.87453869915913","0.831160802374685","0.917916595943574"
"No","1999","Part Time","(Married) couple without C. ","509","0.847160888184236","0.817851347654999","0.876470428713473"
"No","1999","Part Time","Single parent ","170","0.877291395381729","0.830139292884055","0.924443497879404"
"No","1999","Part Time","Couple + C. LE 16 ","711","0.900011236546779","0.87889109598053","0.921131377113029"
"No","1999","Part Time","Couple + C. GT 16 ","531","0.94917511652654","0.931016142762177","0.967334090290903"
"No","1999","Part Time","Couple + C. LE and GT 16","272","0.893724403751729","0.858733227446711","0.928715580056748"
"No","1999","Not Working","1-pers.-HH","744","0.939465800671626","0.922804779600338","0.956126821742914"
"No","1999","Not Working","(Married) couple without C. ","1632","0.913963620900357","0.900802879131886","0.927124362668827"
"No","1999","Not Working","Single parent ","224","0.950364345917211","0.922536338889342","0.97819235294508"
"No","1999","Not Working","Couple + C. LE 16 ","581","0.943882113526337","0.925633199836728","0.962131027215947"
"No","1999","Not Working","Couple + C. GT 16 ","670","0.948636301636207","0.932260657458394","0.965011945814021"
"No","1999","Not Working","Couple + C. LE and GT 16","271","0.928436871101755","0.898563383717669","0.958310358485841"
"Yes","2000","Full Time","1-pers.-HH","120","0.131309737379284","0.110521864298351","0.152097610460217"
"Yes","2000","Full Time","(Married) couple without C. ","291","0.139780302926606","0.125458701668462","0.154101904184751"
"Yes","2000","Full Time","Single parent ","40","0.109275937132638","0.0796496550404291","0.138902219224847"
"Yes","2000","Full Time","Couple + C. LE 16 ","231","0.106163715873226","0.0934296531932146","0.118897778553238"
"Yes","2000","Full Time","Couple + C. GT 16 ","141","0.0960807924247519","0.0815816364028879","0.110579948446616"
"Yes","2000","Full Time","Couple + C. LE and GT 16","45","0.0565198343014718","0.0398706600331691","0.0731690085697746"
"Yes","2000","Part Time","1-pers.-HH","39","0.1013076779993","0.073763848291888","0.128851507706712"
"Yes","2000","Part Time","(Married) couple without C. ","130","0.150254287967847","0.127802568912019","0.172706007023674"
"Yes","2000","Part Time","Single parent ","28","","",""
"Yes","2000","Part Time","Couple + C. LE 16 ","128","0.105636591392254","0.0890424576218457","0.122230725162662"
"Yes","2000","Part Time","Couple + C. GT 16 ","77","0.0889032483210539","0.0704524119674081","0.1073540846747"
"Yes","2000","Part Time","Couple + C. LE and GT 16","42","0.0830170938722198","0.0590243113235967","0.107009876420843"
