"ple0098_v5","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","1999","lower secondary degree","Male","151","0.0630635386342209","0.0535005984204504","0.0726264788479914"
"Yes","1999","lower secondary degree","Female","157","0.0652840122637635","0.055990359890912","0.074577664636615"
"Yes","1999","secondary school degree","Male","115","0.0963371563284026","0.0811451888365979","0.111529123820207"
"Yes","1999","secondary school degree","Female","214","0.133822059596458","0.119044358007325","0.148599761185591"
"Yes","1999","college entrance qualification","Male","120","0.180001570407236","0.154574697534044","0.205428443280428"
"Yes","1999","college entrance qualification","Female","112","0.176972156798655","0.150525983878625","0.203418329718685"
"Yes","1999","Other degree","Male","6","","",""
"Yes","1999","Other degree","Female","8","","",""
"Yes","1999","no degree/no degree yet","Male","12","","",""
"Yes","1999","no degree/no degree yet","Female","16","","",""
"No","1999","lower secondary degree","Male","2331","0.936936461365779","0.927373521152009","0.946499401579549"
"No","1999","lower secondary degree","Female","2557","0.934715987736237","0.925422335363385","0.944009640109088"
"No","1999","secondary school degree","Male","1334","0.903662843671597","0.888470876179793","0.918854811163402"
"No","1999","secondary school degree","Female","1825","0.866177940403542","0.851400238814409","0.880955641992675"
"No","1999","college entrance qualification","Male","757","0.819998429592764","0.794571556719572","0.845425302465956"
"No","1999","college entrance qualification","Female","688","0.823027843201345","0.796581670281315","0.849474016121375"
"No","1999","Other degree","Male","487","0.987550103071465","0.977762258174339","0.99733794796859"
"No","1999","Other degree","Female","408","0.952675911703047","0.932271919643947","0.973079903762148"
"No","1999","no degree/no degree yet","Male","304","0.951367970894406","0.92765204918638","0.975083892602432"
"No","1999","no degree/no degree yet","Female","390","0.948999025866187","0.927599350102082","0.970398701630291"
"Yes","2000","lower secondary degree","Male","270","0.0623245815730848","0.0552210741382028","0.0694280890079667"
"Yes","2000","lower secondary degree","Female","314","0.0689240106516363","0.0618662455796063","0.0759817757236663"
"Yes","2000","secondary school degree","Male","245","0.106520672323031","0.094618854659471","0.118422489986591"
"Yes","2000","secondary school degree","Female","443","0.139514600518187","0.128303304543864","0.150725896492509"
"Yes","2000","college entrance qualification","Male","283","0.176780742512917","0.159152551536338","0.194408933489496"
"Yes","2000","college entrance qualification","Female","247","0.154757083973847","0.137549368810765","0.17196479913693"
"Yes","2000","Other degree","Male","16","","",""
"Yes","2000","Other degree","Female","22","","",""
"Yes","2000","no degree/no degree yet","Male","20","","",""
"Yes","2000","no degree/no degree yet","Female","17","","",""
"No","2000","lower secondary degree","Male","4179","0.937675418426915","0.930571910992033","0.944778925861797"
"No","2000","lower secondary degree","Female","4635","0.931075989348364","0.924018224276334","0.938133754420394"
"No","2000","secondary school degree","Male","2336","0.893479327676969","0.881577510013409","0.905381145340529"
"No","2000","secondary school degree","Female","3226","0.860485399481813","0.849274103507491","0.871696695456136"
"No","2000","college entrance qualification","Male","1516","0.823219257487083","0.805591066510504","0.840847448463662"
"No","2000","college entrance qualification","Female","1450","0.845242916026153","0.82803520086307","0.862450631189235"
"No","2000","Other degree","Male","718","0.972628064283439","0.960824145436015","0.984431983130864"
"No","2000","Other degree","Female","706","0.96796837754091","0.955177437748924","0.980759317332895"
"No","2000","no degree/no degree yet","Male","358","0.932121452754143","0.906764053294287","0.957478852214"
"No","2000","no degree/no degree yet","Female","434","0.968791952457036","0.952744415636927","0.984839489277145"
"Yes","2001","lower secondary degree","Male","260","0.0700084482334453","0.062042094237394","0.0779748022294966"
"Yes","2001","lower secondary degree","Female","272","0.0663518630072201","0.0589426561794301","0.07376106983501"
"Yes","2001","secondary school degree","Male","218","0.107208773176049","0.0947268297553034","0.119690716596794"
"Yes","2001","secondary school degree","Female","399","0.138837610546992","0.127218389102271","0.150456831991713"
"Yes","2001","college entrance qualification","Male","254","0.175478314249772","0.157278586942151","0.193678041557392"
"Yes","2001","college entrance qualification","Female","258","0.167244993571699","0.149038281881438","0.18545170526196"
"Yes","2001","Other degree","Male","7","","",""
"Yes","2001","Other degree","Female","20","","",""
"Yes","2001","no degree/no degree yet","Male","16","","",""
"Yes","2001","no degree/no degree yet","Female","21","","",""
"No","2001","lower secondary degree","Male","3681","0.929991551766555","0.922025197770503","0.937957905762606"
"No","2001","lower secondary degree","Female","4063","0.93364813699278","0.92623893016499","0.94105734382057"
"No","2001","secondary school degree","Male","2142","0.892791226823951","0.880309283403206","0.905273170244697"
"No","2001","secondary school degree","Female","3003","0.861162389453008","0.849543168008287","0.872781610897729"
"No","2001","college entrance qualification","Male","1424","0.824521685750228","0.806321958442608","0.842721413057849"
"No","2001","college entrance qualification","Female","1356","0.832755006428301","0.81454829473804","0.850961718118562"
"No","2001","Other degree","Male","632","0.987917723059416","0.979446766720404","0.996388679398427"
"No","2001","Other degree","Female","653","0.968246089499148","0.954998647006055","0.981493531992242"
"No","2001","no degree/no degree yet","Male","338","0.937839680754526","0.912687978674154","0.962991382834898"
"No","2001","no degree/no degree yet","Female","394","0.951733167738644","0.931112342407747","0.972353993069542"
"Yes","2002","lower secondary degree","Male","284","0.0730223051387763","0.0646829442254972","0.0813616660520554"
"Yes","2002","lower secondary degree","Female","311","0.077083575758022","0.0689450528013597","0.0852220987146843"
"Yes","2002","secondary school degree","Male","272","0.117523474588256","0.104590717968148","0.130456231208364"
"Yes","2002","secondary school degree","Female","510","0.146748865565165","0.135035870814694","0.158461860315637"
"Yes","2002","college entrance qualification","Male","373","0.186617009818287","0.169158235052503","0.204075784584071"
"Yes","2002","college entrance qualification","Female","347","0.172346715656631","0.154913562128185","0.189779869185078"
"Yes","2002","Other degree","Male","11","","",""
"Yes","2002","Other degree","Female","36","0.0535502909726008","0.0362032406161311","0.0708973413290705"
"Yes","2002","no degree/no degree yet","Male","20","","",""
"Yes","2002","no degree/no degree yet","Female","26","","",""
"No","2002","lower secondary degree","Male","3455","0.926977694861224","0.918638333947945","0.935317055774503"
"No","2002","lower secondary degree","Female","3815","0.922916424241978","0.914777901285316","0.93105494719864"
"No","2002","secondary school degree","Male","2110","0.882476525411744","0.869543768791636","0.895409282031852"
"No","2002","secondary school degree","Female","2996","0.853251134434835","0.841538139684363","0.864964129185306"
"No","2002","college entrance qualification","Male","1540","0.813382990181713","0.795924215415929","0.830841764947497"
"No","2002","college entrance qualification","Female","1456","0.827653284343369","0.810220130814922","0.845086437871815"
"No","2002","Other degree","Male","583","0.984777037516631","0.974930729583359","0.994623345449903"
"No","2002","Other degree","Female","611","0.946449709027399","0.929102658670929","0.963796759383869"
"No","2002","no degree/no degree yet","Male","340","0.955942149963361","0.934742714475572","0.977141585451149"
"No","2002","no degree/no degree yet","Female","395","0.963106520227811","0.945100446900912","0.98111259355471"
"Yes","2003","lower secondary degree","Male","277","0.0698565550265709","0.0614796285127364","0.0782334815404055"
"Yes","2003","lower secondary degree","Female","312","0.0811465576814068","0.0725821812841719","0.0897109340786417"
"Yes","2003","secondary school degree","Male","249","0.110756865710512","0.0979645324444551","0.123549198976569"
"Yes","2003","secondary school degree","Female","495","0.15783322434949","0.145540383428952","0.170126065270028"
"Yes","2003","college entrance qualification","Male","364","0.184312363153378","0.166581385333837","0.20204334097292"
"Yes","2003","college entrance qualification","Female","353","0.187789448710279","0.169671922936548","0.20590697448401"
"Yes","2003","Other degree","Male","9","","",""
