"ple0160","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Schleswig-Holstein","9","","",""
"Yes","1999","Hamburg","4","","",""
"Yes","1999","Lower Saxony","76","0.0557793680913935","0.0426517002233515","0.0689070359594355"
"Yes","1999","Bremen","6","","",""
"Yes","1999","North Rhine-Westphalia","130","0.0475826534747021","0.0395706482229808","0.0555946587264234"
"Yes","1999","Hesse","41","0.0405706518454871","0.0276523157763441","0.0534889879146302"
"Yes","1999","Rhineland-Palatinate,Saarland","34","0.0381037437820472","0.0245989678717168","0.0516085196923775"
"Yes","1999","Baden-Württemberg","85","0.0443851706778565","0.0347083241284719","0.0540620172272412"
"Yes","1999","Bavaria","87","0.0362027777988771","0.0275734767387109","0.0448320788590434"
"Yes","1999","Berlin","22","","",""
"Yes","1999","Brandenburg","44","0.0885643895908374","0.0658687509185702","0.111260028263105"
"Yes","1999","Mecklenburg-Western Pomerania","21","","",""
"Yes","1999","Saxony","63","0.0552164946350927","0.0420557040402365","0.0683772852299489"
"Yes","1999","Saxony-Anhalt","43","0.0648262669084157","0.0465077625448322","0.0831447712719991"
"Yes","1999","Thuringia","31","0.0321490722949951","0.0192823493298582","0.045015795260132"
"No","1999","Schleswig-Holstein","318","0.967970179251214","0.948885605797331","0.987054752705096"
"No","1999","Hamburg","134","0.975547568935815","0.949778792663273","1.00131634520836"
"No","1999","Lower Saxony","1098","0.944220631908607","0.931092964040565","0.957348299776648"
"No","1999","Bremen","82","0.932675416828919","0.880320333335898","0.98503050032194"
"No","1999","North Rhine-Westphalia","2582","0.952417346525298","0.944405341273577","0.960429351777019"
"No","1999","Hesse","855","0.959429348154513","0.94651101208537","0.972347684223656"
"No","1999","Rhineland-Palatinate,Saarland","738","0.961896256217953","0.948391480307623","0.975401032128283"
"No","1999","Baden-Württemberg","1655","0.955614829322143","0.945937982772759","0.965291675871528"
"No","1999","Bavaria","1713","0.963797222201123","0.955167921140957","0.972426523261289"
"No","1999","Berlin","492","0.954490892828988","0.93647310022293","0.972508685435047"
"No","1999","Brandenburg","558","0.911435610409163","0.888739971736895","0.93413124908143"
"No","1999","Mecklenburg-Western Pomerania","381","0.936824850913077","0.913043451691334","0.96060625013482"
"No","1999","Saxony","1094","0.944783505364907","0.931622714770051","0.957944295959763"
"No","1999","Saxony-Anhalt","651","0.935173733091584","0.916855228728001","0.953492237455168"
"No","1999","Thuringia","691","0.967850927705005","0.954984204739868","0.980717650670142"
"Yes","2000","Schleswig-Holstein","37","0.0526288774844271","0.0362504911916655","0.0690072637771887"
"Yes","2000","Hamburg","25","","",""
"Yes","2000","Lower Saxony","131","0.0568089993652876","0.0467493924506056","0.0668686062799696"
"Yes","2000","Bremen","10","","",""
"Yes","2000","North Rhine-Westphalia","327","0.0613324694991661","0.0547889100624091","0.0678760289359231"
"Yes","2000","Hesse","86","0.0569787891991821","0.04590430847067","0.0680532699276941"
"Yes","2000","Rhineland-Palatinate,Saarland","80","0.0568845324329918","0.0450198236557711","0.0687492412102125"
"Yes","2000","Baden-Württemberg","163","0.0506173362282025","0.0427294686770094","0.0585052037793956"
"Yes","2000","Bavaria","167","0.044482123292756","0.0375380103277304","0.0514262362577817"
"Yes","2000","Berlin","60","0.078169957230511","0.0597966841100156","0.0965432303510065"
"Yes","2000","Brandenburg","69","0.0697597141841922","0.0541265127728628","0.0853929155955216"
"Yes","2000","Mecklenburg-Western Pomerania","47","0.0725818088306375","0.0512075249004665","0.0939560927608085"
"Yes","2000","Saxony","121","0.057199695682202","0.0464297359410438","0.0679696554233602"
"Yes","2000","Saxony-Anhalt","81","0.0678086681953306","0.0526733939077528","0.0829439424829084"
"Yes","2000","Thuringia","57","0.0466442583911114","0.0339375855975214","0.0593509311847013"
"No","2000","Schleswig-Holstein","677","0.947371122515573","0.930992736222811","0.963749508808335"
"No","2000","Hamburg","274","0.91120380638143","0.878962143385052","0.943445469377807"
"No","2000","Lower Saxony","1903","0.943191000634712","0.93313139372003","0.953250607549394"
"No","2000","Bremen","177","0.941107384823647","0.907364881573317","0.974849888073977"
"No","2000","North Rhine-Westphalia","4838","0.938667530500834","0.932123971064077","0.945211089937591"
"No","2000","Hesse","1597","0.943021210800818","0.931946730072306","0.95409569152933"
"No","2000","Rhineland-Palatinate,Saarland","1384","0.943115467567008","0.931250758789787","0.954980176344229"
"No","2000","Baden-Württemberg","2804","0.949382663771797","0.941494796220604","0.957270531322991"
"No","2000","Bavaria","3219","0.955517876707244","0.948573763742218","0.962461989672269"
"No","2000","Berlin","760","0.921830042769489","0.903456769648994","0.940203315889984"
"No","2000","Brandenburg","951","0.930240285815808","0.914607084404478","0.945873487227137"
"No","2000","Mecklenburg-Western Pomerania","519","0.927418191169363","0.906043907239192","0.948792475099533"
"No","2000","Saxony","1665","0.942800304317798","0.93203034457664","0.953570264058956"
"No","2000","Saxony-Anhalt","979","0.932191331804669","0.917056057517092","0.947326606092247"
"No","2000","Thuringia","1001","0.953355741608889","0.940649068815299","0.966062414402479"
"Yes","2001","Schleswig-Holstein","42","0.0655881961935471","0.0465713016453042","0.0846050907417901"
"Yes","2001","Hamburg","20","","",""
"Yes","2001","Lower Saxony","108","0.0524705413448461","0.0423346363988338","0.0626064462908583"
"Yes","2001","Bremen","8","","",""
"Yes","2001","North Rhine-Westphalia","287","0.0618599888843435","0.0549433694460501","0.068776608322637"
"Yes","2001","Hesse","75","0.0516382018025076","0.0403942440186488","0.0628821595863663"
"Yes","2001","Rhineland-Palatinate,Saarland","55","0.0438695951574474","0.032948635714266","0.0547905546006288"
"Yes","2001","Baden-Württemberg","155","0.059960309006256","0.0508695012868798","0.0690511167256321"
"Yes","2001","Bavaria","148","0.0464370704391356","0.0389702780922438","0.0539038627860275"
"Yes","2001","Berlin","72","0.0952737418337078","0.0748524576736497","0.115695025993766"
"Yes","2001","Brandenburg","64","0.0650578496047445","0.0494729942116925","0.0806427049977965"
"Yes","2001","Mecklenburg-Western Pomerania","45","0.0707741192699659","0.0486257190836728","0.0929225194562591"
"Yes","2001","Saxony","114","0.0560965134330797","0.0449902110623035","0.067202815803856"
"Yes","2001","Saxony-Anhalt","61","0.0664893955015179","0.0510788839702778","0.081899907032758"
"Yes","2001","Thuringia","89","0.0795936541205801","0.0625606501448439","0.0966266580963163"
"No","2001","Schleswig-Holstein","609","0.934411803806453","0.91539490925821","0.953428698354696"
"No","2001","Hamburg","253","0.941043059382173","0.913102249837336","0.96898386892701"
