"ple0160","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"No","1999","Employed","Female","3648","0.938849793855396","0.931333734400716","0.946365853310075","2"
"No","1999","Employed","Male","4574","0.937710036713229","0.930931311201229","0.944488762225229","2"
"No","1999","Not Employed","Female","3119","0.974994423262516","0.969587859353457","0.980400987171575","2"
"No","1999","Not Employed","Male","1701","0.976779300094176","0.96971714070396","0.983841459484393","2"
"Yes","1999","Employed","Male","309","0.0622899632867712","0.0555112377747711","0.0690686887987712","1"
"Yes","1999","Not Employed","Male","46","0.0232206999058235","0.0161585405156074","0.0302828592960396","1"
"Yes","1999","Employed","Female","256","0.0611502061446044","0.0536341466899252","0.0686662655992835","1"
"Yes","1999","Not Employed","Female","85","0.0250055767374839","0.0195990128284248","0.0304121406465429","1"
"No","2000","Employed","Female","6263","0.918878062599758","0.912401698774326","0.925354426425191","2"
"No","2000","Employed","Male","7676","0.920783917619158","0.914986578129024","0.926581257109293","2"
"No","2000","Not Employed","Female","5604","0.97596723127119","0.972012141266888","0.979922321275492","2"
"No","2000","Not Employed","Male","3203","0.977371577805983","0.972284485255158","0.982458670356809","2"
"Yes","2000","Employed","Male","661","0.0792160823808415","0.0734187428907071","0.0850134218709759","1"
"Yes","2000","Not Employed","Male","80","0.0226284221940165","0.0175413296431913","0.0277155147448418","1"
"Yes","2000","Employed","Female","564","0.0811219374002415","0.0746455735748092","0.0875983012256738","1"
"Yes","2000","Not Employed","Female","156","0.0240327687288101","0.0200776787245079","0.0279878587331124","1"
"No","2001","Employed","Male","6920","0.920618486741637","0.9145056762899","0.926731297193374","2"
"No","2001","Not Employed","Female","4953","0.980028824200674","0.976178655931551","0.983878992469797","2"
"No","2001","Not Employed","Male","2961","0.974411087288753","0.968798838617077","0.980023335960428","2"
"No","2001","Employed","Female","5828","0.914734608037125","0.907881213380947","0.921588002693303","2"
"Yes","2001","Employed","Male","593","0.0793815132583629","0.0732687028066262","0.0854943237100996","1"
"Yes","2001","Not Employed","Male","80","0.0255889127112475","0.0199766640395719","0.0312011613829231","1"
"Yes","2001","Employed","Female","551","0.0852653919628752","0.0784119973066974","0.092118786619053","1"
"Yes","2001","Not Employed","Female","119","0.0199711757993258","0.0161210075302026","0.023821344068449","1"
"No","2002","Employed","Male","5799","0.935998639507125","0.929906294938819","0.942090984075431","2"
"No","2002","Not Employed","Female","4467","0.987175200579404","0.98390510631364","0.990445294845168","2"
"No","2002","Not Employed","Male","2739","0.984993151959297","0.98048985669091","0.989496447227684","2"
"No","2002","Employed","Female","5539","0.937186834758347","0.931005783431551","0.943367886085144","2"
"Yes","2002","Employed","Female","380","0.0628131652416527","0.0566321139148562","0.0689942165684492","1"
"Yes","2002","Employed","Male","401","0.064001360492875","0.0579090159245689","0.070093705061181","1"
"Yes","2002","Not Employed","Male","61","0.0150068480407032","0.010503552772316","0.0195101433090904","1"
"Yes","2002","Not Employed","Female","81","0.0128247994205961","0.00955470515483192","0.0160948936863603","1"
"No","2003","Employed","Male","5427","0.927564877177969","0.920937312943575","0.934192441412363","2"
"No","2003","Employed","Female","5188","0.920123462965655","0.913066964875721","0.927179961055588","2"
"No","2003","Not Employed","Female","4356","0.979117489136885","0.974926133444047","0.983308844829722","2"
"No","2003","Not Employed","Male","2745","0.982578823334814","0.977737053942968","0.987420592726659","2"
"Yes","2003","Not Employed","Male","60","0.0174211766651862","0.0125794072733406","0.0222629460570317","1"
"Yes","2003","Employed","Female","482","0.0798765370343451","0.0728200389444117","0.0869330351242786","1"
"Yes","2003","Employed","Male","449","0.072435122822031","0.0658075585876366","0.0790626870564253","1"
"Yes","2003","Not Employed","Female","115","0.0208825108631153","0.0166911551702775","0.0250738665559532","1"
"No","2004","Employed","Male","6569","0.926700555966342","0.920633104813321","0.932768007119364","2"
"No","2004","Not Employed","Male","3149","0.976724001337023","0.971534630481477","0.98191337219257","2"
"No","2004","Employed","Female","5759","0.91736694031508","0.910584899583188","0.924148981046972","2"
"No","2004","Not Employed","Female","4761","0.969735644746271","0.964953077615697","0.974518211876846","2"
"Yes","2004","Not Employed","Male","94","0.0232759986629768","0.0180866278074302","0.0284653695185233","1"
"Yes","2004","Employed","Female","572","0.0826330596849196","0.0758510189530278","0.0894151004168115","1"
"Yes","2004","Employed","Male","519","0.0732994440336576","0.0672319928806365","0.0793668951866787","1"
"Yes","2004","Not Employed","Female","168","0.0302643552537285","0.0254817881231542","0.0350469223843029","1"
"No","2005","Employed","Male","6182","0.934376530601259","0.928417389804831","0.940335671397687","2"
"No","2005","Not Employed","Male","3061","0.970199459435659","0.964277483415229","0.976121435456088","2"
"No","2005","Employed","Female","5648","0.926436714082873","0.919875276103748","0.932998152061998","2"
"No","2005","Not Employed","Female","4516","0.967764001715995","0.962713893758711","0.972814109673279","2"
"Yes","2005","Employed","Female","433","0.0735632859171269","0.0670018479380019","0.0801247238962519","1"
"Yes","2005","Employed","Male","451","0.0656234693987409","0.0596643286023126","0.0715826101951693","1"
"Yes","2005","Not Employed","Female","183","0.0322359982840052","0.0271858903267214","0.037286106241289","1"
"Yes","2005","Not Employed","Male","106","0.0298005405643413","0.0238785645439119","0.0357225165847706","1"
"No","2006","Employed","Male","6547","0.93614344247337","0.930405582626961","0.941881302319779","2"
"No","2006","Not Employed","Male","3350","0.975695418256284","0.970554642525046","0.980836193987523","2"
"No","2006","Employed","Female","6033","0.941958986458083","0.936237178843109","0.947680794073057","2"
"No","2006","Not Employed","Female","4945","0.97702398021717","0.972904300024421","0.98114366040992","2"
"Yes","2006","Employed","Female","382","0.0580410135419167","0.0523192059269428","0.0637628211568907","1"
"Yes","2006","Employed","Male","428","0.06385655752663","0.0581186976802212","0.0695944173730388","1"
"Yes","2006","Not Employed","Female","136","0.0229760197828298","0.0188563395900806","0.027095699975579","1"
"Yes","2006","Not Employed","Male","97","0.0243045817437156","0.0191638060124768","0.0294453574749544","1"
"No","2007","Employed","Male","5995","0.930998334507563","0.924808547854733","0.937188121160393","2"
"No","2007","Not Employed","Male","3146","0.971791529581905","0.966090518183345","0.977492540980465","2"
"No","2007","Employed","Female","5635","0.937194602241301","0.931070042944961","0.943319161537641","2"
"No","2007","Not Employed","Female","4549","0.964361783063669","0.959061203623263","0.969662362504075","2"
"Yes","2007","Employed","Female","393","0.0628053977586987","0.0566808384623587","0.0689299570550388","1"
"Yes","2007","Employed","Male","446","0.069001665492437","0.0628118788396066","0.0751914521452675","1"
