"ple0160","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","1999","Full Time","in school","","","",""
"Yes","1999","Full Time","inadequately","4","","",""
"Yes","1999","Full Time","general elemantary","25","","",""
"Yes","1999","Full Time","middle vocational","161","0.051076159351597","0.0432308477597884","0.0589214709434056"
"Yes","1999","Full Time","vocational + Abi","23","","",""
"Yes","1999","Full Time","higher vocational","29","","",""
"Yes","1999","Full Time","higher education","76","0.0707883409845842","0.0560862526527261","0.0854904293164423"
"Yes","1999","Part Time","in school","1","","",""
"Yes","1999","Part Time","inadequately","3","","",""
"Yes","1999","Part Time","general elemantary","47","0.077330167850067","0.053940348637112","0.100719987063022"
"Yes","1999","Part Time","middle vocational","121","0.0665556714747335","0.0542849470433873","0.0788263959060796"
"Yes","1999","Part Time","vocational + Abi","10","","",""
"Yes","1999","Part Time","higher vocational","11","","",""
"Yes","1999","Part Time","higher education","36","0.0772366184623692","0.0501440314547256","0.104329205470013"
"Yes","1999","Not Working","in school","10","","",""
"Yes","1999","Not Working","inadequately","3","","",""
"Yes","1999","Not Working","general elemantary","23","","",""
"Yes","1999","Not Working","middle vocational","64","0.0283180544810963","0.0215984895122536","0.035037619449939"
"Yes","1999","Not Working","vocational + Abi","9","","",""
"Yes","1999","Not Working","higher vocational","6","","",""
"Yes","1999","Not Working","higher education","15","","",""
"No","1999","Full Time","in school","2","","",""
"No","1999","Full Time","inadequately","111","0.971465466973805","0.941035727141599","1.00189520680601"
"No","1999","Full Time","general elemantary","659","0.962013575564946","0.947687578800913","0.976339572328978"
"No","1999","Full Time","middle vocational","2864","0.948923840648403","0.941078529056595","0.956769152240212"
"No","1999","Full Time","vocational + Abi","251","0.910668140208654","0.876896195550418","0.94444008486689"
"No","1999","Full Time","higher vocational","444","0.928952967487202","0.905801029240482","0.952104905733921"
"No","1999","Full Time","higher education","1093","0.929211659015416","0.914509570683558","0.943913747347274"
"No","1999","Part Time","in school","42","0.95939277769427","0.900397978510813","1.01838757687773"
"No","1999","Part Time","inadequately","82","0.975788166699552","0.943112064982652","1.00846426841645"
"No","1999","Part Time","general elemantary","454","0.922669832149933","0.899280012936978","0.946059651362888"
"No","1999","Part Time","middle vocational","1464","0.933444328525266","0.92117360409392","0.945715052956613"
"No","1999","Part Time","vocational + Abi","118","0.91606194598923","0.868023939586558","0.964099952391901"
"No","1999","Part Time","higher vocational","145","0.93919732469524","0.901697817577388","0.976696831813091"
"No","1999","Part Time","higher education","337","0.922763381537631","0.895670794529987","0.949855968545274"
"No","1999","Not Working","in school","266","0.975894072505183","0.957799146435957","0.993988998574409"
"No","1999","Not Working","inadequately","223","0.986258234629927","0.97108037761712","1.00143609164273"
