"ple0160","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1999","(Married) couple without C. ","West Germany","2824","0.967797609301238","0.961433579479872","0.974161639122604"
"No","1999","(Married) couple without C. ","East Germany","1138","0.961346901004797","0.950338920021551","0.972354881988043"
"No","1999","1-pers.-HH","West Germany","1221","0.968561275850484","0.958964126842133","0.978158424858836"
"No","1999","1-pers.-HH","East Germany","403","0.934653398688755","0.911157588604115","0.958149208773396"
"No","1999","Couple + C. GT 16 ","West Germany","1663","0.957790940037123","0.948343553837366","0.96723832623688"
"No","1999","Couple + C. GT 16 ","East Germany","718","0.940378549078404","0.923577420738508","0.957179677418299"
"No","1999","Couple + C. LE 16 ","West Germany","2172","0.937639678636786","0.927783096686244","0.947496260587328"
"No","1999","Couple + C. LE 16 ","East Germany","658","0.907021735159934","0.885809745414024","0.928233724905844"
"No","1999","Couple + C. LE and GT 16","West Germany","754","0.9485057494669","0.933104384801869","0.963907114131931"
"No","1999","Couple + C. LE and GT 16","East Germany","347","0.933783553584384","0.908514867135357","0.959052240033411"
"No","1999","Single parent ","West Germany","477","0.944512221160699","0.924545586889363","0.964478855432034"
"No","1999","Single parent ","East Germany","201","0.949581900353313","0.920197438633816","0.97896636207281"
"Yes","1999","(Married) couple without C. ","West Germany","132","0.0322023906987619","0.0258383608773958","0.0385664205201279"
"Yes","1999","(Married) couple without C. ","East Germany","40","0.0386530989952032","0.0276451180119569","0.0496610799784495"
"Yes","1999","1-pers.-HH","West Germany","49","0.0314387241495158","0.0218415751411642","0.0410358731578675"
"Yes","1999","1-pers.-HH","East Germany","22","","",""
"Yes","1999","Couple + C. GT 16 ","West Germany","77","0.0422090599628774","0.0327616737631203","0.0516564461626345"
"Yes","1999","Couple + C. GT 16 ","East Germany","45","0.0596214509215963","0.042820322581701","0.0764225792614916"
"Yes","1999","Couple + C. LE 16 ","West Germany","140","0.062360321363214","0.0525037394126721","0.0722169033137558"
"Yes","1999","Couple + C. LE 16 ","East Germany","62","0.0929782648400661","0.0717662750941565","0.114190254585976"
"Yes","1999","Couple + C. LE and GT 16","West Germany","37","0.0514942505331001","0.0360928858680696","0.0668956151981307"
"Yes","1999","Couple + C. LE and GT 16","East Germany","25","","",""
"Yes","1999","Single parent ","West Germany","28","","",""
"Yes","1999","Single parent ","East Germany","12","","",""
"No","2000","(Married) couple without C. ","West Germany","5415","0.950263184361853","0.94462037439567","0.955905994328035"
"No","2000","(Married) couple without C. ","East Germany","1786","0.959133054662339","0.950164536613857","0.96810157271082"
"No","2000","1-pers.-HH","West Germany","2436","0.947274947586394","0.938671408652675","0.955878486520113"
"No","2000","1-pers.-HH","East Germany","734","0.947596013532351","0.931897035342972","0.963294991721729"
"No","2000","Couple + C. GT 16 ","West Germany","2660","0.946205493655065","0.937871165673589","0.954539821636542"
"No","2000","Couple + C. GT 16 ","East Germany","1045","0.915665340399895","0.899541195035457","0.931789485764334"
"No","2000","Couple + C. LE 16 ","West Germany","3919","0.929550101042518","0.921818190619369","0.937282011465668"
"No","2000","Couple + C. LE 16 ","East Germany","939","0.891370734009585","0.872467969050449","0.91027349896872"
"No","2000","Couple + C. LE and GT 16","West Germany","1342","0.944845715304127","0.932989033262825","0.956702397345428"
"No","2000","Couple + C. LE and GT 16","East Germany","466","0.90407124480347","0.878661577849861","0.929480911757078"
"No","2000","Single parent ","West Germany","842","0.951861902262942","0.937759019675431","0.965964784850452"
"No","2000","Single parent ","East Germany","300","0.958660367764161","0.936848704063847","0.980472031464475"
"Yes","2000","(Married) couple without C. ","West Germany","287","0.0497368156381472","0.0440940056719649","0.0553796256043296"
"Yes","2000","(Married) couple without C. ","East Germany","86","0.0408669453376614","0.0318984272891798","0.0498354633861429"
"Yes","2000","1-pers.-HH","West Germany","156","0.0527250524136061","0.0441215134798873","0.0613285913473249"
"Yes","2000","1-pers.-HH","East Germany","40","0.0524039864676492","0.0367050082782706","0.0681029646570277"
"Yes","2000","Couple + C. GT 16 ","West Germany","155","0.0537945063449348","0.0454601783634584","0.0621288343264112"
"Yes","2000","Couple + C. GT 16 ","East Germany","96","0.0843346596001048","0.0682105142356664","0.100458804964543"
"Yes","2000","Couple + C. LE 16 ","West Germany","289","0.0704498989574816","0.0627179885343319","0.0781818093806314"
"Yes","2000","Couple + C. LE 16 ","East Germany","102","0.108629265990416","0.0897265010312804","0.127532030949551"
"Yes","2000","Couple + C. LE and GT 16","West Germany","82","0.0551542846958735","0.0432976026545724","0.0670109667371746"
"Yes","2000","Couple + C. LE and GT 16","East Germany","50","0.0959287551965304","0.0705190882429216","0.121338422150139"
"Yes","2000","Single parent ","West Germany","43","0.0481380977370585","0.0340352151495479","0.0622409803245691"
"Yes","2000","Single parent ","East Germany","20","","",""
"No","2001","(Married) couple without C. ","West Germany","4858","0.950492414332533","0.944541818973152","0.956443009691915"
"No","2001","(Married) couple without C. ","East Germany","1713","0.958207269436396","0.948960019126169","0.967454519746623"
"No","2001","1-pers.-HH","West Germany","2159","0.950686188708961","0.941819970345348","0.959552407072574"
"No","2001","1-pers.-HH","East Germany","678","0.950093465682917","0.934177041038893","0.966009890326941"
"No","2001","Couple + C. GT 16 ","West Germany","2458","0.949550194039689","0.94112910763513","0.957971280444247"
"No","2001","Couple + C. GT 16 ","East Germany","932","0.900979492894242","0.882835087007481","0.919123898781003"
"No","2001","Couple + C. LE 16 ","West Germany","3574","0.923460250530708","0.915051429675386","0.93186907138603"
"No","2001","Couple + C. LE 16 ","East Germany","825","0.888049263703225","0.86772994084193","0.90836858656452"
"No","2001","Couple + C. LE and GT 16","West Germany","1158","0.935465817042211","0.921784707913897","0.949146926170525"
"No","2001","Couple + C. LE and GT 16","East Germany","466","0.893078629707345","0.866233450559235","0.919923808855455"
"No","2001","Single parent ","West Germany","763","0.947147170782901","0.931720036355842","0.96257430520996"
"No","2001","Single parent ","East Germany","294","0.934221795780078","0.906846500129416","0.96159709143074"
"Yes","2001","(Married) couple without C. ","West Germany","247","0.0495075856674669","0.0435569903080856","0.0554581810268482"
"Yes","2001","(Married) couple without C. ","East Germany","86","0.041792730563604","0.0325454802533769","0.0510399808738311"
"Yes","2001","1-pers.-HH","West Germany","132","0.0493138112910389","0.0404475929274262","0.0581800296546515"
"Yes","2001","1-pers.-HH","East Germany","41","0.0499065343170828","0.0339901096730587","0.065822958961107"
