"ple0179","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","1-pers.-HH","10","","",""
"Daily","2016","Schleswig-Holstein","(Married) couple without C. ","17","","",""
"Daily","2016","Schleswig-Holstein","Single parent ","4","","",""
"Daily","2016","Schleswig-Holstein","Couple + C. LE 16 ","37","0.102403830048301","0.0635585051860477","0.141249154910555"
"Daily","2016","Schleswig-Holstein","Couple + C. GT 16 ","17","","",""
"Daily","2016","Schleswig-Holstein","Couple + C. LE and GT 16","7","","",""
"Daily","2016","Hamburg","1-pers.-HH","2","","",""
"Daily","2016","Hamburg","(Married) couple without C. ","7","","",""
"Daily","2016","Hamburg","Single parent ","4","","",""
"Daily","2016","Hamburg","Couple + C. LE 16 ","13","","",""
"Daily","2016","Hamburg","Couple + C. GT 16 ","6","","",""
"Daily","2016","Hamburg","Couple + C. LE and GT 16","8","","",""
"Daily","2016","Lower Saxony","1-pers.-HH","36","0.142701494543906","0.102652227256835","0.182750761830978"
"Daily","2016","Lower Saxony","(Married) couple without C. ","77","0.110140619002198","0.0871773648143043","0.133103873190092"
"Daily","2016","Lower Saxony","Single parent ","31","0.116527284999592","0.074787947931583","0.158266622067601"
"Daily","2016","Lower Saxony","Couple + C. LE 16 ","75","0.118252165090604","0.0911423477531284","0.14536198242808"
"Daily","2016","Lower Saxony","Couple + C. GT 16 ","51","0.219385387969249","0.171838315301215","0.266932460637282"
"Daily","2016","Lower Saxony","Couple + C. LE and GT 16","48","0.193437686215618","0.140761936824277","0.246113435606958"
"Daily","2016","Bremen","1-pers.-HH","1","","",""
"Daily","2016","Bremen","(Married) couple without C. ","4","","",""
"Daily","2016","Bremen","Single parent ","4","","",""
"Daily","2016","Bremen","Couple + C. LE 16 ","8","","",""
"Daily","2016","Bremen","Couple + C. GT 16 ","3","","",""
"Daily","2016","Bremen","Couple + C. LE and GT 16","1","","",""
"Daily","2016","North Rhine-Westphalia","1-pers.-HH","52","0.0819296601919368","0.0603591286993406","0.103500191684533"
"Daily","2016","North Rhine-Westphalia","(Married) couple without C. ","127","0.0925465381089662","0.0773282850144711","0.107764791203461"
"Daily","2016","North Rhine-Westphalia","Single parent ","32","0.0940417311436833","0.0668303014353355","0.121253160852031"
"Daily","2016","North Rhine-Westphalia","Couple + C. LE 16 ","150","0.111543693953446","0.0941684425862558","0.128918945320637"
"Daily","2016","North Rhine-Westphalia","Couple + C. GT 16 ","61","0.0929089486256598","0.0711213122882163","0.114696584963103"
"Daily","2016","North Rhine-Westphalia","Couple + C. LE and GT 16","56","0.0995503749535296","0.0730948306968882","0.126005919210171"
"Daily","2016","Hesse","1-pers.-HH","20","","",""
