"ple0180","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Daily","2016","16-34 y.","54","0.00615573038667947","0.00409849863689111","0.00821296213646783"
"Daily","2016","35-65 y.","110","0.0102130487136046","0.00853203335017633","0.011894064077033"
"Daily","2016","66 and older","53","0.0133519365983994","0.0100663905823544","0.0166374826144445"
"Four to six days a week","2016","16-34 y.","153","0.0244772648770421","0.0204129776186532","0.0285415521354311"
"Four to six days a week","2016","35-65 y.","420","0.0355548067697712","0.0324587347343381","0.0386508788052044"
"Four to six days a week","2016","66 and older","179","0.0434187239574051","0.0375848941478771","0.049252553766933"
"Two to three days a week","2016","16-34 y.","973","0.179412636503555","0.169320730871391","0.189504542135718"
"Two to three days a week","2016","35-65 y.","3081","0.228936592091198","0.221911924591551","0.235961259590844"
"Two to three days a week","2016","66 and older","1538","0.329165859613009","0.315714404699566","0.342617314526453"
"Two to four days a month","2016","16-34 y.","2299","0.410362042943488","0.397424239099804","0.423299846787173"
"Two to four days a month","2016","35-65 y.","6715","0.480450537489079","0.472097183023038","0.488803891955119"
"Two to four days a month","2016","66 and older","2176","0.451883081083846","0.437636720446145","0.466129441721548"
"Once a month or less","2016","16-34 y.","1408","0.258075473782507","0.246566476567961","0.269584470997053"
"Once a month or less","2016","35-65 y.","2711","0.197124908913193","0.190473435432542","0.203776382393844"
"Once a month or less","2016","66 and older","572","0.125943608598569","0.116446047800812","0.135441169396325"
"Never","2016","16-34 y.","666","0.121516851506728","0.112923368430038","0.130110334583419"
"Never","2016","35-65 y.","705","0.0477201060231543","0.0441559547678277","0.0512842572784809"
"Never","2016","66 and older","170","0.0362367901487711","0.0308872762295421","0.041586304068"
"Daily","2017","16-34 y.","","","",""
"Daily","2017","35-65 y.","","","",""
"Daily","2017","66 and older","","","",""
"Four to six days a week","2017","16-34 y.","","","",""
"Four to six days a week","2017","35-65 y.","","","",""
"Four to six days a week","2017","66 and older","","","",""
"Two to three days a week","2017","16-34 y.","","","",""
"Two to three days a week","2017","35-65 y.","","","",""
"Two to three days a week","2017","66 and older","","","",""
"Two to four days a month","2017","16-34 y.","","","",""
"Two to four days a month","2017","35-65 y.","","","",""
"Two to four days a month","2017","66 and older","","","",""
"Once a month or less","2017","16-34 y.","","","",""
"Once a month or less","2017","35-65 y.","","","",""
"Once a month or less","2017","66 and older","","","",""
"Never","2017","16-34 y.","","","",""
"Never","2017","35-65 y.","","","",""
"Never","2017","66 and older","","","",""
"Daily","2018","16-34 y.","51","0.00746594103411265","0.00528724795576728","0.00964463411245803"
"Daily","2018","35-65 y.","115","0.00924915424776584","0.00769217413533044","0.0108061343602012"
"Daily","2018","66 and older","39","0.00761025365391348","0.00519393451971571","0.0100265727881113"
"Four to six days a week","2018","16-34 y.","171","0.0268444282979627","0.0227537127353901","0.0309351438605352"
"Four to six days a week","2018","35-65 y.","442","0.0374834641859525","0.0343940667017768","0.0405728616701282"
"Four to six days a week","2018","66 and older","214","0.0459910907925369","0.0401670197632076","0.0518151618218661"
"Two to three days a week","2018","16-34 y.","931","0.152932072328647","0.143822678622422","0.162041466034872"
"Two to three days a week","2018","35-65 y.","2919","0.205783453965448","0.199208018499821","0.212358889431076"
"Two to three days a week","2018","66 and older","1533","0.304467601992297","0.291672527515278","0.317262676469317"
"Two to four days a month","2018","16-34 y.","2427","0.424618506313964","0.412108472879437","0.437128539748491"
"Two to four days a month","2018","35-65 y.","7136","0.478608528926826","0.470483554430233","0.48673350342342"
"Two to four days a month","2018","66 and older","2409","0.47744310753841","0.463555059919495","0.491331155157324"
"Once a month or less","2018","16-34 y.","1575","0.264517848649453","0.25335449645928","0.275681200839625"
"Once a month or less","2018","35-65 y.","3091","0.21092600568991","0.204290504096597","0.217561507283223"
"Once a month or less","2018","66 and older","604","0.126287524277091","0.117051648438263","0.135523400115918"
"Never","2018","16-34 y.","842","0.123621203375861","0.115290657107704","0.131951749644019"
"Never","2018","35-65 y.","818","0.0579493929840974","0.0541491497826383","0.0617496361855565"
"Never","2018","66 and older","170","0.0382004217457516","0.0328708788427179","0.0435299646487854"
