"ple0180","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","2016","Schleswig-Holstein","lower secondary degree","6","","",""
"Daily","2016","Schleswig-Holstein","secondary school degree","4","","",""
"Daily","2016","Schleswig-Holstein","college entrance qualification","","","",""
"Daily","2016","Schleswig-Holstein","Other degree","3","","",""
"Daily","2016","Schleswig-Holstein","no degree/no degree yet","","","",""
"Daily","2016","Hamburg","lower secondary degree","","","",""
"Daily","2016","Hamburg","secondary school degree","","","",""
"Daily","2016","Hamburg","college entrance qualification","1","","",""
"Daily","2016","Hamburg","Other degree","3","","",""
"Daily","2016","Hamburg","no degree/no degree yet","","","",""
"Daily","2016","Lower Saxony","lower secondary degree","4","","",""
"Daily","2016","Lower Saxony","secondary school degree","4","","",""
"Daily","2016","Lower Saxony","college entrance qualification","3","","",""
"Daily","2016","Lower Saxony","Other degree","5","","",""
"Daily","2016","Lower Saxony","no degree/no degree yet","1","","",""
"Daily","2016","Bremen","lower secondary degree","","","",""
"Daily","2016","Bremen","secondary school degree","","","",""
"Daily","2016","Bremen","college entrance qualification","","","",""
"Daily","2016","Bremen","Other degree","","","",""
"Daily","2016","Bremen","no degree/no degree yet","","","",""
"Daily","2016","North Rhine-Westphalia","lower secondary degree","16","","",""
"Daily","2016","North Rhine-Westphalia","secondary school degree","11","","",""
"Daily","2016","North Rhine-Westphalia","college entrance qualification","10","","",""
"Daily","2016","North Rhine-Westphalia","Other degree","16","","",""
"Daily","2016","North Rhine-Westphalia","no degree/no degree yet","7","","",""
"Daily","2016","Hesse","lower secondary degree","2","","",""
"Daily","2016","Hesse","secondary school degree","","","",""
"Daily","2016","Hesse","college entrance qualification","5","","",""
"Daily","2016","Hesse","Other degree","1","","",""
"Daily","2016","Hesse","no degree/no degree yet","","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","lower secondary degree","2","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","secondary school degree","1","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","college entrance qualification","1","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","Other degree","2","","",""
"Daily","2016","Rhineland-Palatinate,Saarland","no degree/no degree yet","2","","",""
"Daily","2016","Baden-Württemberg","lower secondary degree","5","","",""
"Daily","2016","Baden-Württemberg","secondary school degree","2","","",""
"Daily","2016","Baden-Württemberg","college entrance qualification","2","","",""
"Daily","2016","Baden-Württemberg","Other degree","1","","",""
"Daily","2016","Baden-Württemberg","no degree/no degree yet","1","","",""
"Daily","2016","Bavaria","lower secondary degree","10","","",""
"Daily","2016","Bavaria","secondary school degree","4","","",""
"Daily","2016","Bavaria","college entrance qualification","4","","",""
"Daily","2016","Bavaria","Other degree","7","","",""
"Daily","2016","Bavaria","no degree/no degree yet","1","","",""
"Daily","2016","Berlin","lower secondary degree","2","","",""
"Daily","2016","Berlin","secondary school degree","3","","",""
"Daily","2016","Berlin","college entrance qualification","3","","",""
"Daily","2016","Berlin","Other degree","3","","",""
"Daily","2016","Berlin","no degree/no degree yet","","","",""
"Daily","2016","Brandenburg","lower secondary degree","2","","",""
"Daily","2016","Brandenburg","secondary school degree","","","",""
"Daily","2016","Brandenburg","college entrance qualification","1","","",""
"Daily","2016","Brandenburg","Other degree","","","",""
"Daily","2016","Brandenburg","no degree/no degree yet","","","",""
"Daily","2016","Mecklenburg-Western Pomerania","lower secondary degree","4","","",""
"Daily","2016","Mecklenburg-Western Pomerania","secondary school degree","8","","",""
"Daily","2016","Mecklenburg-Western Pomerania","college entrance qualification","1","","",""
"Daily","2016","Mecklenburg-Western Pomerania","Other degree","","","",""
"Daily","2016","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Daily","2016","Saxony","lower secondary degree","4","","",""
"Daily","2016","Saxony","secondary school degree","11","","",""
"Daily","2016","Saxony","college entrance qualification","4","","",""
"Daily","2016","Saxony","Other degree","","","",""
"Daily","2016","Saxony","no degree/no degree yet","1","","",""
"Daily","2016","Saxony-Anhalt","lower secondary degree","2","","",""
"Daily","2016","Saxony-Anhalt","secondary school degree","","","",""
"Daily","2016","Saxony-Anhalt","college entrance qualification","4","","",""
"Daily","2016","Saxony-Anhalt","Other degree","2","","",""
"Daily","2016","Saxony-Anhalt","no degree/no degree yet","","","",""
"Daily","2016","Thuringia","lower secondary degree","1","","",""
"Daily","2016","Thuringia","secondary school degree","4","","",""
"Daily","2016","Thuringia","college entrance qualification","1","","",""
"Daily","2016","Thuringia","Other degree","2","","",""
"Daily","2016","Thuringia","no degree/no degree yet","","","",""
"Four to six days a week","2016","Schleswig-Holstein","lower secondary degree","9","","",""
"Four to six days a week","2016","Schleswig-Holstein","secondary school degree","9","","",""
"Four to six days a week","2016","Schleswig-Holstein","college entrance qualification","3","","",""
"Four to six days a week","2016","Schleswig-Holstein","Other degree","3","","",""
"Four to six days a week","2016","Schleswig-Holstein","no degree/no degree yet","2","","",""
"Four to six days a week","2016","Hamburg","lower secondary degree","3","","",""
"Four to six days a week","2016","Hamburg","secondary school degree","3","","",""
"Four to six days a week","2016","Hamburg","college entrance qualification","3","","",""
"Four to six days a week","2016","Hamburg","Other degree","3","","",""
"Four to six days a week","2016","Hamburg","no degree/no degree yet","","","",""
"Four to six days a week","2016","Lower Saxony","lower secondary degree","14","","",""
"Four to six days a week","2016","Lower Saxony","secondary school degree","14","","",""
"Four to six days a week","2016","Lower Saxony","college entrance qualification","14","","",""
"Four to six days a week","2016","Lower Saxony","Other degree","7","","",""
"Four to six days a week","2016","Lower Saxony","no degree/no degree yet","1","","",""
"Four to six days a week","2016","Bremen","lower secondary degree","1","","",""
"Four to six days a week","2016","Bremen","secondary school degree","1","","",""
"Four to six days a week","2016","Bremen","college entrance qualification","1","","",""
"Four to six days a week","2016","Bremen","Other degree","1","","",""
"Four to six days a week","2016","Bremen","no degree/no degree yet","","","",""
"Four to six days a week","2016","North Rhine-Westphalia","lower secondary degree","60","0.0499562807366974","0.0375992885527546","0.0623132729206401"
"Four to six days a week","2016","North Rhine-Westphalia","secondary school degree","27","","",""
"Four to six days a week","2016","North Rhine-Westphalia","college entrance qualification","41","0.031021604963881","0.0224754387614493","0.0395677711663127"
"Four to six days a week","2016","North Rhine-Westphalia","Other degree","46","0.0409808232137469","0.0269964364812201","0.0549652099462736"
"Four to six days a week","2016","North Rhine-Westphalia","no degree/no degree yet","16","","",""
"Four to six days a week","2016","Hesse","lower secondary degree","14","","",""
"Four to six days a week","2016","Hesse","secondary school degree","5","","",""
"Four to six days a week","2016","Hesse","college entrance qualification","15","","",""
"Four to six days a week","2016","Hesse","Other degree","5","","",""
"Four to six days a week","2016","Hesse","no degree/no degree yet","1","","",""
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","lower secondary degree","12","","",""
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","secondary school degree","7","","",""
"Four to six days a week","2016","Rhineland-Palatinate,Saarland","college entrance qualification","5","","",""
