"ple0181","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Daily","2016","1-pers.-HH","no migration background","37","0.011680301044529","0.00770207213051465","0.0156585299585434"
"Daily","2016","1-pers.-HH","direct migration background","20","","",""
"Daily","2016","1-pers.-HH","indirect migration background","8","","",""
"Daily","2016","(Married) couple without C. ","no migration background","97","0.016757771635454","0.0135162867228386","0.0199992565480693"
"Daily","2016","(Married) couple without C. ","direct migration background","25","","",""
"Daily","2016","(Married) couple without C. ","indirect migration background","2","","",""
"Daily","2016","Single parent ","no migration background","36","0.0229709832148025","0.0156713278640437","0.0302706385655612"
"Daily","2016","Single parent ","direct migration background","10","","",""
"Daily","2016","Single parent ","indirect migration background","9","","",""
"Daily","2016","Couple + C. LE 16 ","no migration background","72","0.0189990319263799","0.014540655938346","0.0234574079144138"
"Daily","2016","Couple + C. LE 16 ","direct migration background","80","0.0583473463245361","0.0471786152638023","0.0695160773852699"
"Daily","2016","Couple + C. LE 16 ","indirect migration background","22","","",""
"Daily","2016","Couple + C. GT 16 ","no migration background","28","","",""
"Daily","2016","Couple + C. GT 16 ","direct migration background","21","","",""
"Daily","2016","Couple + C. GT 16 ","indirect migration background","10","","",""
"Daily","2016","Couple + C. LE and GT 16","no migration background","21","","",""
"Daily","2016","Couple + C. LE and GT 16","direct migration background","29","","",""
"Daily","2016","Couple + C. LE and GT 16","indirect migration background","19","","",""
"Four to six days a week","2016","1-pers.-HH","no migration background","176","0.0647677552623253","0.0556549270324294","0.0738805834922212"
"Four to six days a week","2016","1-pers.-HH","direct migration background","51","0.104372501056349","0.0766129851874957","0.132132016925202"
"Four to six days a week","2016","1-pers.-HH","indirect migration background","17","","",""
"Four to six days a week","2016","(Married) couple without C. ","no migration background","387","0.0718699736747198","0.0653479290830023","0.0783920182664373"
"Four to six days a week","2016","(Married) couple without C. ","direct migration background","107","0.127961875626367","0.107391065146742","0.148532686105992"
"Four to six days a week","2016","(Married) couple without C. ","indirect migration background","24","","",""
"Four to six days a week","2016","Single parent ","no migration background","152","0.112100359072225","0.09672786711807","0.12747285102638"
"Four to six days a week","2016","Single parent ","direct migration background","46","0.114452303088381","0.0784271603084362","0.150477445868325"
"Four to six days a week","2016","Single parent ","indirect migration background","32","0.129774452262148","0.0849585925290181","0.174590311995278"
"Four to six days a week","2016","Couple + C. LE 16 ","no migration background","339","0.10732537359688","0.0972171687039678","0.117433578489792"
"Four to six days a week","2016","Couple + C. LE 16 ","direct migration background","249","0.15608692358006","0.138793537781043","0.173380309379076"
"Four to six days a week","2016","Couple + C. LE 16 ","indirect migration background","82","0.183561252138513","0.148374925958541","0.218747578318485"
"Four to six days a week","2016","Couple + C. GT 16 ","no migration background","176","0.103126891991019","0.0898709992559909","0.116382784726047"
"Four to six days a week","2016","Couple + C. GT 16 ","direct migration background","66","0.13482875210015","0.104618827487297","0.165038676713002"
"Four to six days a week","2016","Couple + C. GT 16 ","indirect migration background","31","0.142727927625688","0.0941280281782403","0.191327827073136"
"Four to six days a week","2016","Couple + C. LE and GT 16","no migration background","123","0.105836782716827","0.0891526660695387","0.122520899364115"
"Four to six days a week","2016","Couple + C. LE and GT 16","direct migration background","81","0.151321509028816","0.120955121538485","0.181687896519147"
"Four to six days a week","2016","Couple + C. LE and GT 16","indirect migration background","47","0.211616005177005","0.159504304721651","0.263727705632359"
"Two to three days a week","2016","1-pers.-HH","no migration background","937","0.336933180078501","0.319432111598972","0.35443424855803"
"Two to three days a week","2016","1-pers.-HH","direct migration background","190","0.397560003851202","0.353126212202178","0.441993795500225"
"Two to three days a week","2016","1-pers.-HH","indirect migration background","53","0.288573933421796","0.218366752298612","0.358781114544979"
"Two to three days a week","2016","(Married) couple without C. ","no migration background","2162","0.361592824991297","0.349459931329844","0.373725718652749"
"Two to three days a week","2016","(Married) couple without C. ","direct migration background","490","0.424688163002377","0.394249182573933","0.455127143430821"
"Two to three days a week","2016","(Married) couple without C. ","indirect migration background","80","0.398243753532212","0.326328191360993","0.470159315703432"
"Two to three days a week","2016","Single parent ","no migration background","740","0.452890161527302","0.428635649707958","0.477144673346646"
"Two to three days a week","2016","Single parent ","direct migration background","148","0.521565203542477","0.46503856663554","0.578091840449413"
"Two to three days a week","2016","Single parent ","indirect migration background","112","0.501505882522752","0.43482685610022","0.568184908945284"
"Two to three days a week","2016","Couple + C. LE 16 ","no migration background","1583","0.434690242029097","0.418501637143696","0.450878846914497"
"Two to three days a week","2016","Couple + C. LE 16 ","direct migration background","840","0.493675589794067","0.469853318221949","0.517497861366185"
"Two to three days a week","2016","Couple + C. LE 16 ","indirect migration background","220","0.418603871500496","0.373764522090232","0.46344322091076"
"Two to three days a week","2016","Couple + C. GT 16 ","no migration background","885","0.428437531762249","0.406868377265936","0.450006686258561"
"Two to three days a week","2016","Couple + C. GT 16 ","direct migration background","235","0.496804003416377","0.452578938710186","0.541029068122568"
"Two to three days a week","2016","Couple + C. GT 16 ","indirect migration background","106","0.557702761627052","0.488697840439723","0.62670768281438"
"Two to three days a week","2016","Couple + C. LE and GT 16","no migration background","576","0.469584309251967","0.442517225145283","0.496651393358651"
"Two to three days a week","2016","Couple + C. LE and GT 16","direct migration background","281","0.513870678115896","0.471518668046066","0.556222688185727"
"Two to three days a week","2016","Couple + C. LE and GT 16","indirect migration background","97","0.342364453086539","0.281826314565161","0.402902591607916"
"Two to four days a month","2016","1-pers.-HH","no migration background","1037","0.357459633761555","0.339714562946318","0.375204704576792"
"Two to four days a month","2016","1-pers.-HH","direct migration background","135","0.308056998214684","0.266138488624854","0.349975507804515"
"Two to four days a month","2016","1-pers.-HH","indirect migration background","48","0.298227811105802","0.227341847606719","0.369113774604886"
"Two to four days a month","2016","(Married) couple without C. ","no migration background","2303","0.370866477404112","0.358668556514916","0.383064398293307"
"Two to four days a month","2016","(Married) couple without C. ","direct migration background","281","0.302308648558689","0.274027286349041","0.330590010768338"
"Two to four days a month","2016","(Married) couple without C. ","indirect migration background","52","0.345746622691182","0.275876734266754","0.415616511115611"
"Two to four days a month","2016","Single parent ","no migration background","477","0.295267967656055","0.273041062016055","0.317494873296055"
"Two to four days a month","2016","Single parent ","direct migration background","55","0.16472789879514","0.122753447173991","0.206702350416289"
"Two to four days a month","2016","Single parent ","indirect migration background","46","0.238306063968789","0.181488970750073","0.295123157187505"
"Two to four days a month","2016","Couple + C. LE 16 ","no migration background","1157","0.331788030630894","0.316411310162616","0.347164751099172"
"Two to four days a month","2016","Couple + C. LE 16 ","direct migration background","376","0.202423642204482","0.183278232477156","0.221569051931807"
"Two to four days a month","2016","Couple + C. LE 16 ","indirect migration background","108","0.241870927062715","0.202949834326613","0.280792019798818"
"Two to four days a month","2016","Couple + C. GT 16 ","no migration background","629","0.304451418342332","0.284393759006018","0.324509077678646"
"Two to four days a month","2016","Couple + C. GT 16 ","direct migration background","131","0.265670560213644","0.226602258715817","0.304738861711471"
