"ple0182","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","Schleswig-Holstein","Male","11","","",""
"Yes, vegetarian","2016","Schleswig-Holstein","Female","38","0.103655063924544","0.0753663301720115","0.131943797677077"
"Yes, vegetarian","2016","Hamburg","Male","5","","",""
"Yes, vegetarian","2016","Hamburg","Female","18","","",""
"Yes, vegetarian","2016","Lower Saxony","Male","20","","",""
"Yes, vegetarian","2016","Lower Saxony","Female","67","0.0495620560913051","0.0376534948526395","0.0614706173299708"
"Yes, vegetarian","2016","Bremen","Male","3","","",""
"Yes, vegetarian","2016","Bremen","Female","6","","",""
"Yes, vegetarian","2016","North Rhine-Westphalia","Male","48","0.018829553249922","0.0132998381268533","0.0243592683729906"
"Yes, vegetarian","2016","North Rhine-Westphalia","Female","190","0.079816924684223","0.0696415724103621","0.0899922769580839"
"Yes, vegetarian","2016","Hesse","Male","26","","",""
"Yes, vegetarian","2016","Hesse","Female","69","0.067640652808101","0.0509534315459575","0.0843278740702445"
"Yes, vegetarian","2016","Rhineland-Palatinate,Saarland","Male","16","","",""
"Yes, vegetarian","2016","Rhineland-Palatinate,Saarland","Female","39","0.0715498488130953","0.0536448122170915","0.089454885409099"
"Yes, vegetarian","2016","Baden-Württemberg","Male","49","0.0315856550187237","0.0220342841110568","0.0411370259263906"
"Yes, vegetarian","2016","Baden-Württemberg","Female","116","0.0720170130899991","0.0591926974354417","0.0848413287445565"
"Yes, vegetarian","2016","Bavaria","Male","42","0.024640999086661","0.0174268902903206","0.0318551078830013"
"Yes, vegetarian","2016","Bavaria","Female","160","0.0828424909864035","0.071092321332486","0.0945926606403209"
"Yes, vegetarian","2016","Berlin","Male","28","","",""
"Yes, vegetarian","2016","Berlin","Female","74","0.143973669362987","0.113232928745368","0.174714409980607"
"Yes, vegetarian","2016","Brandenburg","Male","7","","",""
"Yes, vegetarian","2016","Brandenburg","Female","20","","",""
"Yes, vegetarian","2016","Mecklenburg-Western Pomerania","Male","1","","",""
"Yes, vegetarian","2016","Mecklenburg-Western Pomerania","Female","8","","",""
"Yes, vegetarian","2016","Saxony","Male","16","","",""
"Yes, vegetarian","2016","Saxony","Female","44","0.0715660685319524","0.0533237728330346","0.0898083642308702"
"Yes, vegetarian","2016","Saxony-Anhalt","Male","4","","",""
"Yes, vegetarian","2016","Saxony-Anhalt","Female","19","","",""
"Yes, vegetarian","2016","Thuringia","Male","10","","",""
"Yes, vegetarian","2016","Thuringia","Female","27","","",""
"Yes, vegan","2016","Schleswig-Holstein","Male","2","","",""
"Yes, vegan","2016","Schleswig-Holstein","Female","1","","",""
"Yes, vegan","2016","Hamburg","Male","","","",""
"Yes, vegan","2016","Hamburg","Female","","","",""
"Yes, vegan","2016","Lower Saxony","Male","5","","",""
"Yes, vegan","2016","Lower Saxony","Female","12","","",""
"Yes, vegan","2016","Bremen","Male","","","",""
"Yes, vegan","2016","Bremen","Female","1","","",""
"Yes, vegan","2016","North Rhine-Westphalia","Male","7","","",""
"Yes, vegan","2016","North Rhine-Westphalia","Female","16","","",""
"Yes, vegan","2016","Hesse","Male","2","","",""
"Yes, vegan","2016","Hesse","Female","5","","",""
"Yes, vegan","2016","Rhineland-Palatinate,Saarland","Male","3","","",""
"Yes, vegan","2016","Rhineland-Palatinate,Saarland","Female","3","","",""
"Yes, vegan","2016","Baden-Württemberg","Male","5","","",""
"Yes, vegan","2016","Baden-Württemberg","Female","13","","",""
"Yes, vegan","2016","Bavaria","Male","7","","",""
"Yes, vegan","2016","Bavaria","Female","18","","",""
"Yes, vegan","2016","Berlin","Male","2","","",""
"Yes, vegan","2016","Berlin","Female","7","","",""
"Yes, vegan","2016","Brandenburg","Male","3","","",""
"Yes, vegan","2016","Brandenburg","Female","1","","",""
"Yes, vegan","2016","Mecklenburg-Western Pomerania","Male","1","","",""
"Yes, vegan","2016","Mecklenburg-Western Pomerania","Female","2","","",""
"Yes, vegan","2016","Saxony","Male","","","",""
"Yes, vegan","2016","Saxony","Female","5","","",""
"Yes, vegan","2016","Saxony-Anhalt","Male","","","",""
"Yes, vegan","2016","Saxony-Anhalt","Female","5","","",""
"Yes, vegan","2016","Thuringia","Male","3","","",""
"Yes, vegan","2016","Thuringia","Female","5","","",""
"No","2016","Schleswig-Holstein","Male","359","0.968752431618116","0.951072070243332","0.986432792992901"
"No","2016","Schleswig-Holstein","Female","407","0.895297376362245","0.86688267475336","0.92371207797113"
"No","2016","Hamburg","Male","187","0.968915119027151","0.944367185002086","0.993463053052215"
"No","2016","Hamburg","Female","215","0.923877657274374","0.889826377771431","0.957928936777317"
"No","2016","Lower Saxony","Male","1072","0.959676471017107","0.948035573460453","0.971317368573761"
"No","2016","Lower Saxony","Female","1197","0.940875707119047","0.927934587207098","0.953816827030997"
"No","2016","Bremen","Male","78","0.981795703945485","0.952681622661672","1.0109097852293"
"No","2016","Bremen","Female","87","0.961915999524783","0.923223746479423","1.00060825257014"
"No","2016","North Rhine-Westphalia","Male","2266","0.977562002975122","0.97153675784849","0.983587248101754"
"No","2016","North Rhine-Westphalia","Female","2519","0.914435689362106","0.903933308843407","0.924938069880805"
"No","2016","Hesse","Male","712","0.959636456880868","0.945456325936594","0.973816587825141"
"No","2016","Hesse","Female","796","0.924238597661435","0.906655130373172","0.941822064949697"
"No","2016","Rhineland-Palatinate,Saarland","Male","667","0.959388168096048","0.944617181562939","0.974159154629158"
"No","2016","Rhineland-Palatinate,Saarland","Female","754","0.919175268346376","0.900240375222931","0.93811016146982"
"No","2016","Baden-Württemberg","Male","1234","0.964125951353352","0.953969377231123","0.974282525475581"
"No","2016","Baden-Württemberg","Female","1432","0.919186077037791","0.905665617498036","0.932706536577545"
"No","2016","Bavaria","Male","1725","0.972168612051735","0.964514240961211","0.979822983142259"
"No","2016","Bavaria","Female","1936","0.909472340102833","0.897240804203504","0.921703876002161"
"No","2016","Berlin","Male","378","0.916547629487855","0.889711809653779","0.943383449321931"
"No","2016","Berlin","Female","420","0.836497505684787","0.804114008737018","0.868881002632557"
"No","2016","Brandenburg","Male","415","0.980851676018136","0.967822388171816","0.993880963864456"
"No","2016","Brandenburg","Female","497","0.971514398139313","0.957188543776586","0.98584025250204"
"No","2016","Mecklenburg-Western Pomerania","Male","233","0.994675164931837","0.985370347048457","1.00397998281522"
"No","2016","Mecklenburg-Western Pomerania","Female","277","0.967385608825857","0.94683561992081","0.987935597730905"
"No","2016","Saxony","Male","674","0.979034803622906","0.968344942123955","0.989724665121857"
"No","2016","Saxony","Female","718","0.925185618700783","0.906566574192119","0.943804663209447"
"No","2016","Saxony-Anhalt","Male","361","0.991501121441868","0.982083763549","1.00091847933473"
