"ple0182","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes, vegetarian","2016","Full Time","1-pers.-HH","84","0.0569641120369999","0.0435742776512433","0.0703539464227564"
"Yes, vegetarian","2016","Full Time","(Married) couple without C. ","109","0.0458940867030313","0.0375483210990952","0.0542398523069673"
"Yes, vegetarian","2016","Full Time","Single parent ","52","0.058036613825367","0.0405654467963072","0.0755077808544268"
"Yes, vegetarian","2016","Full Time","Couple + C. LE 16 ","85","0.0261486004514967","0.0201092632996668","0.0321879376033267"
"Yes, vegetarian","2016","Full Time","Couple + C. GT 16 ","28","","",""
"Yes, vegetarian","2016","Full Time","Couple + C. LE and GT 16","21","","",""
"Yes, vegetarian","2016","Part Time","1-pers.-HH","101","0.147364765204973","0.120858521382349","0.173871009027598"
"Yes, vegetarian","2016","Part Time","(Married) couple without C. ","74","0.0527720455302515","0.041260248712853","0.0642838423476501"
"Yes, vegetarian","2016","Part Time","Single parent ","52","0.0608928672221027","0.0447214072732606","0.0770643271709447"
"Yes, vegetarian","2016","Part Time","Couple + C. LE 16 ","138","0.0712026404180369","0.0604591202047365","0.0819461606313372"
"Yes, vegetarian","2016","Part Time","Couple + C. GT 16 ","52","0.0644189798155442","0.0481432677735233","0.0806946918575651"
"Yes, vegetarian","2016","Part Time","Couple + C. LE and GT 16","40","0.042741881637301","0.0281086108641968","0.0573751524104051"
"Yes, vegetarian","2016","Not Working","1-pers.-HH","72","0.0471912769610138","0.0369473398779723","0.0574352140440553"
"Yes, vegetarian","2016","Not Working","(Married) couple without C. ","98","0.0305512440487244","0.0248341813130488","0.0362683067844001"
"Yes, vegetarian","2016","Not Working","Single parent ","43","0.0646906999379788","0.0452659119965893","0.0841154878793683"
"Yes, vegetarian","2016","Not Working","Couple + C. LE 16 ","43","0.0896461056362412","0.0709303479163024","0.10836186335618"
"Yes, vegetarian","2016","Not Working","Couple + C. GT 16 ","35","0.0624467663249068","0.044534851013763","0.0803586816360507"
"Yes, vegetarian","2016","Not Working","Couple + C. LE and GT 16","30","0.034817238941857","0.0189694574799001","0.0506650204038139"
"Yes, vegan","2016","Full Time","1-pers.-HH","10","","",""
"Yes, vegan","2016","Full Time","(Married) couple without C. ","17","","",""
"Yes, vegan","2016","Full Time","Single parent ","2","","",""
"Yes, vegan","2016","Full Time","Couple + C. LE 16 ","11","","",""
"Yes, vegan","2016","Full Time","Couple + C. GT 16 ","5","","",""
"Yes, vegan","2016","Full Time","Couple + C. LE and GT 16","3","","",""
"Yes, vegan","2016","Part Time","1-pers.-HH","9","","",""
"Yes, vegan","2016","Part Time","(Married) couple without C. ","11","","",""
"Yes, vegan","2016","Part Time","Single parent ","7","","",""
"Yes, vegan","2016","Part Time","Couple + C. LE 16 ","9","","",""
"Yes, vegan","2016","Part Time","Couple + C. GT 16 ","3","","",""
"Yes, vegan","2016","Part Time","Couple + C. LE and GT 16","3","","",""
"Yes, vegan","2016","Not Working","1-pers.-HH","9","","",""
"Yes, vegan","2016","Not Working","(Married) couple without C. ","12","","",""
"Yes, vegan","2016","Not Working","Single parent ","6","","",""
"Yes, vegan","2016","Not Working","Couple + C. LE 16 ","4","","",""
"Yes, vegan","2016","Not Working","Couple + C. GT 16 ","3","","",""
"Yes, vegan","2016","Not Working","Couple + C. LE and GT 16","4","","",""
"No","2016","Full Time","1-pers.-HH","1057","0.939388071607292","0.925602905596978","0.953173237617607"
"No","2016","Full Time","(Married) couple without C. ","2289","0.946210078782171","0.93721233209298","0.955207825471362"
"No","2016","Full Time","Single parent ","634","0.936732082585038","0.918541218087075","0.954922947083"
"No","2016","Full Time","Couple + C. LE 16 ","2586","0.967831315527893","0.961153488126991","0.974509142928794"
"No","2016","Full Time","Couple + C. GT 16 ","1137","0.975095793153278","0.966166539524809","0.984025046781747"
"No","2016","Full Time","Couple + C. LE and GT 16","814","0.978445912735613","0.968613517859366","0.98827830761186"
"No","2016","Part Time","1-pers.-HH","577","0.833782796875794","0.805945044152442","0.861620549599147"
"No","2016","Part Time","(Married) couple without C. ","1364","0.938064670643784","0.925653878162002","0.950475463125565"
"No","2016","Part Time","Single parent ","781","0.930886368762971","0.913733425972337","0.948039311553606"
"No","2016","Part Time","Couple + C. LE 16 ","2054","0.920840687617424","0.909561408950575","0.932119966284274"
"No","2016","Part Time","Couple + C. GT 16 ","819","0.931687163356631","0.914961683353841","0.948412643359422"
"No","2016","Part Time","Couple + C. LE and GT 16","691","0.955138381301161","0.940163248601741","0.970113514000582"
"No","2016","Not Working","1-pers.-HH","1565","0.946323593912376","0.935435678841198","0.957211508983554"
"No","2016","Not Working","(Married) couple without C. ","3371","0.964538361488207","0.958394587496986","0.970682135479429"
"No","2016","Not Working","Single parent ","567","0.928601773944174","0.908268083849811","0.948935464038537"
"No","2016","Not Working","Couple + C. LE 16 ","848","0.908259343984986","0.88934799838698","0.927170689582992"
"No","2016","Not Working","Couple + C. GT 16 ","663","0.936866372453613","0.918862817056907","0.95486992785032"
"No","2016","Not Working","Couple + C. LE and GT 16","480","0.962958252566253","0.946630891597123","0.979285613535383"
"Yes, vegetarian","2017","Full Time","1-pers.-HH","","","",""
"Yes, vegetarian","2017","Full Time","(Married) couple without C. ","","","",""
"Yes, vegetarian","2017","Full Time","Single parent ","","","",""
"Yes, vegetarian","2017","Full Time","Couple + C. LE 16 ","","","",""
"Yes, vegetarian","2017","Full Time","Couple + C. GT 16 ","","","",""
"Yes, vegetarian","2017","Full Time","Couple + C. LE and GT 16","","","",""
"Yes, vegetarian","2017","Part Time","1-pers.-HH","","","",""
