"plh0032","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Employed","(Married) couple without C. ","517","0.373451913247877","0.348882471399815","0.398021355095939","1"
"Big worries","1984","Employed","1-pers.-HH","195","0.306643711459855","0.271858754895115","0.341428668024595","1"
"Big worries","1984","Employed","Couple + C. GT 16 ","440","0.371502651266427","0.344989860921218","0.398015441611635","1"
"Big worries","1984","Employed","Couple + C. LE 16 ","739","0.353137882085485","0.333047123535638","0.373228640635331","1"
"Big worries","1984","Employed","Couple + C. LE and GT 16","363","0.338310159949326","0.310388252181412","0.36623206771724","1"
"Big worries","1984","Employed","Single parent ","124","0.35338292136931","0.30308735332013","0.403678489418491","1"
"Big worries","1984","Not Employed","(Married) couple without C. ","376","0.311898260156501","0.285686856897131","0.338109663415871","1"
"Big worries","1984","Not Employed","1-pers.-HH","182","0.263043142801537","0.229273534371259","0.296812751231816","1"
"Big worries","1984","Not Employed","Couple + C. GT 16 ","225","0.353882504638916","0.318021451798932","0.3897435574789","1"
"Big worries","1984","Not Employed","Couple + C. LE 16 ","274","0.334151862577206","0.302933664484293","0.365370060670118","1"
"Big worries","1984","Not Employed","Couple + C. LE and GT 16","185","0.331950103957976","0.294111904427018","0.369788303488933","1"
"Big worries","1984","Not Employed","Single parent ","56","0.248861250222515","0.192493254325934","0.305229246119096","1"
"No worries","1984","Not Employed","1-pers.-HH","153","0.246851019388498","0.213779860854258","0.279922177922737","3"
"No worries","1984","Not Employed","Couple + C. GT 16 ","79","0.0961368983349731","0.074029678945146","0.1182441177248","3"
"No worries","1984","Not Employed","Couple + C. LE and GT 16","111","0.145805022766439","0.117448409686975","0.174161635845903","3"
"No worries","1984","Not Employed","Single parent ","38","0.172676223324319","0.123398810867252","0.221953635781385","3"
"No worries","1984","Employed","(Married) couple without C. ","160","0.076629944348031","0.0631189320127234","0.0901409566833386","3"
"No worries","1984","Employed","1-pers.-HH","113","0.138988035154303","0.112891100049616","0.16508497025899","3"
"No worries","1984","Employed","Couple + C. GT 16 ","168","0.0918789387636766","0.0760299114823688","0.107727966044984","3"
"No worries","1984","Employed","Couple + C. LE 16 ","279","0.0936593491521409","0.0814120699523263","0.105906628351955","3"
"No worries","1984","Employed","Couple + C. LE and GT 16","168","0.124626238700285","0.10513399460981","0.14411848279076","3"
"No worries","1984","Employed","Single parent ","45","0.11615301210769","0.0824408089849396","0.14986521523044","3"
"No worries","1984","Not Employed","(Married) couple without C. ","193","0.159508470585103","0.13879198825428","0.180224952915926","3"
"No worries","1984","Not Employed","Couple + C. LE 16 ","141","0.125218759211624","0.103314290546585","0.147123227876663","3"
"Some worries","1984","Employed","Couple + C. LE 16 ","1156","0.553202768762374","0.532304239181031","0.574101298343717","2"
"Some worries","1984","Employed","(Married) couple without C. ","812","0.549918142404092","0.524648708100303","0.57518757670788","2"
"Some worries","1984","Employed","1-pers.-HH","367","0.554368253385842","0.516872382793517","0.591864123978167","2"
"Some worries","1984","Employed","Couple + C. GT 16 ","668","0.536618409969897","0.509257853524787","0.563978966415006","2"
"Some worries","1984","Employed","Couple + C. LE and GT 16","572","0.53706360135039","0.507637423258397","0.566489779442382","2"
"Some worries","1984","Employed","Single parent ","178","0.530464066523","0.477953614608808","0.582974518437192","2"
"Some worries","1984","Not Employed","(Married) couple without C. ","631","0.528593269258396","0.500349921600671","0.55683661691612","2"
"Some worries","1984","Not Employed","1-pers.-HH","318","0.490105837809965","0.451763688149695","0.528447987470236","2"
"Some worries","1984","Not Employed","Single parent ","132","0.578462526453166","0.514082732764616","0.642842320141716","2"
"Some worries","1984","Not Employed","Couple + C. GT 16 ","379","0.549980597026111","0.51267044292308","0.587290751129143","2"
"Some worries","1984","Not Employed","Couple + C. LE 16 ","462","0.54062937821117","0.507647170386101","0.573611586036239","2"
"Some worries","1984","Not Employed","Couple + C. LE and GT 16","299","0.522244873275585","0.482109308476156","0.562380438075013","2"
"Big worries","1985","Employed","(Married) couple without C. ","429","0.340426457100708","0.31500790994415","0.365845004257267","1"
"Big worries","1985","Employed","1-pers.-HH","163","0.290988520943136","0.254674409934725","0.327302631951548","1"
"Big worries","1985","Employed","Couple + C. GT 16 ","438","0.33318052511906","0.30777218436209","0.358588865876031","1"
"Big worries","1985","Employed","Couple + C. LE 16 ","577","0.32070101254989","0.299652919198393","0.341749105901388","1"
"Big worries","1985","Employed","Couple + C. LE and GT 16","255","0.289109741532773","0.260296609006709","0.317922874058838","1"
"Big worries","1985","Employed","Single parent ","87","0.269440491364126","0.22127915592257","0.317601826805681","1"
"Big worries","1985","Not Employed","(Married) couple without C. ","331","0.299296959775439","0.271895961609659","0.326697957941219","1"
"Big worries","1985","Not Employed","1-pers.-HH","151","0.266411240750193","0.229664967360451","0.303157514139935","1"
"Big worries","1985","Not Employed","Couple + C. GT 16 ","206","0.309384373260841","0.274539239933192","0.344229506588491","1"
"Big worries","1985","Not Employed","Couple + C. LE 16 ","228","0.319476714406919","0.286478418795603","0.352475010018236","1"
"Big worries","1985","Not Employed","Couple + C. LE and GT 16","138","0.304384538930616","0.264986159799787","0.343782918061445","1"
"Big worries","1985","Not Employed","Single parent ","53","0.302786558945881","0.240345883087725","0.365227234804037","1"
"No worries","1985","Not Employed","Couple + C. GT 16 ","107","0.139088881030047","0.113003324416674","0.16517443764342","3"
"No worries","1985","Not Employed","1-pers.-HH","126","0.235696992214374","0.200417648318853","0.270976336109895","3"
"No worries","1985","Not Employed","Couple + C. LE and GT 16","111","0.147322048602999","0.116975532558044","0.177668564647954","3"
"No worries","1985","Not Employed","Single parent ","32","0.131885153021093","0.0859015529587784","0.177868753083409","3"
"No worries","1985","Employed","(Married) couple without C. ","172","0.100337107215955","0.0842203319484794","0.116453882483431","3"
"No worries","1985","Employed","1-pers.-HH","105","0.136100984987146","0.108686948998197","0.163515020976096","3"
"No worries","1985","Employed","Couple + C. GT 16 ","148","0.0827054431713728","0.0678579266150483","0.0975529597276972","3"
"No worries","1985","Employed","Couple + C. LE 16 ","194","0.0847771476817124","0.0722158374938598","0.097338457869565","3"
"No worries","1985","Employed","Couple + C. LE and GT 16","165","0.125251711404365","0.104214352432208","0.146289070376523","3"
"No worries","1985","Employed","Single parent ","52","0.121069764938677","0.0856590787348574","0.156480451142496","3"
"No worries","1985","Not Employed","(Married) couple without C. ","169","0.156039782236945","0.13432642960155","0.177753134872341","3"
"No worries","1985","Not Employed","Couple + C. LE 16 ","107","0.110800784206527","0.0885870607141144","0.13301450769894","3"
"Some worries","1985","Employed","(Married) couple without C. ","734","0.559236435683336","0.532604175138077","0.585868696228596","2"
"Some worries","1985","Employed","Couple + C. LE 16 ","1118","0.594521839768397","0.572380711278464","0.616662968258331","2"
"Some worries","1985","Employed","1-pers.-HH","333","0.572910494069717","0.533363480408299","0.612457507731135","2"
"Some worries","1985","Employed","Couple + C. GT 16 ","736","0.584114031709567","0.557545453335712","0.610682610083422","2"
"Some worries","1985","Employed","Couple + C. LE and GT 16","531","0.585638547062861","0.554330041837282","0.61694705228844","2"
"Some worries","1985","Employed","Single parent ","187","0.609489743697197","0.556530873165616","0.662448614228778","2"
"Some worries","1985","Not Employed","(Married) couple without C. ","573","0.544663257987615","0.514865841058492","0.574460674916739","2"
"Some worries","1985","Not Employed","1-pers.-HH","279","0.497891767035433","0.456331642624002","0.539451891446864","2"
"Some worries","1985","Not Employed","Single parent ","123","0.565328288033026","0.497961247187115","0.632695328878937","2"
"Some worries","1985","Not Employed","Couple + C. GT 16 ","363","0.551526745709111","0.514035807735276","0.589017683682947","2"
"Some worries","1985","Not Employed","Couple + C. LE 16 ","432","0.569722501386553","0.534683121397407","0.6047618813757","2"
"Some worries","1985","Not Employed","Couple + C. LE and GT 16","275","0.548293412466385","0.505682859158633","0.590903965774137","2"
"Big worries","1986","Employed","(Married) couple without C. ","239","0.189394598724176","0.168601010127707","0.210188187320644","1"
"Big worries","1986","Employed","1-pers.-HH","89","0.172909397353673","0.141945428508188","0.203873366199159","1"
