"plh0032","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","(0) in school","Female","","","",""
"Big worries","1984","(0) in school","Male","","","",""
"Big worries","1984","(1a) inadequately completed","Female","157","0.269604581384312","0.23430281800417","0.304906344764454"
"Big worries","1984","(1a) inadequately completed","Male","136","0.309687065728398","0.268706476318582","0.350667655138213"
"Big worries","1984","(1b) general elementary school","Female","597","0.304762465647244","0.284629229783486","0.324895701511001"
"Big worries","1984","(1b) general elementary school","Male","339","0.377113207976773","0.346706905262919","0.407519510690626"
"Big worries","1984","(1c) basic vocational qualification","Female","577","0.33614265082844","0.313792078770371","0.358493222886509"
"Big worries","1984","(1c) basic vocational qualification","Male","918","0.371643139898728","0.35273056914842","0.390555710649036"
"Big worries","1984","(2a) intermediate vocational","Female","256","0.309230547668664","0.277143727006285","0.341317368331044"
"Big worries","1984","(2a) intermediate vocational","Male","195","0.325102246841181","0.287777284317133","0.362427209365229"
"Big worries","1984","(2b) intermediate general qualification","Female","86","0.29340842781826","0.241272776968284","0.345544078668235"
"Big worries","1984","(2b) intermediate general qualification","Male","44","0.248845440759133","0.185331715254168","0.312359166264098"
"Big worries","1984","(2c_gen) general maturity certificate","Female","58","0.334985670993266","0.264243456188987","0.405727885797546"
"Big worries","1984","(2c_gen) general maturity certificate","Male","77","0.301005892397438","0.242484271621985","0.359527513172891"
"Big worries","1984","(2c_voc) vocational maturity certificate","Female","56","0.30579565256404","0.237532178809154","0.374059126318927"
"Big worries","1984","(2c_voc) vocational maturity certificate","Male","104","0.354721311728552","0.298582490260545","0.41086013319656"
"Big worries","1984","(3a) lower tertiary education","Female","","","",""
"Big worries","1984","(3a) lower tertiary education","Male","60","0.300803608307376","0.235764808656201","0.365842407958551"
"Big worries","1984","(3b) higher tertiary education","Female","55","0.30740906144838","0.239623870316367","0.375194252580393"
"Big worries","1984","(3b) higher tertiary education","Male","93","0.273545898093801","0.226369994794231","0.320721801393371"
"No worries","1984","(0) in school","Female","","","",""
"No worries","1984","(0) in school","Male","","","",""
"No worries","1984","(1a) inadequately completed","Female","180","0.249584345175036","0.215156221141593","0.28401246920848"
"No worries","1984","(1a) inadequately completed","Male","126","0.254423131613824","0.21582038810859","0.293025875119057"
"No worries","1984","(1b) general elementary school","Female","373","0.180219847661897","0.16340796904827","0.197031726275525"
"No worries","1984","(1b) general elementary school","Male","167","0.140818648168759","0.118996591021827","0.162640705315691"
"No worries","1984","(1c) basic vocational qualification","Female","178","0.102798919340935","0.0884298507505022","0.117167987931368"
"No worries","1984","(1c) basic vocational qualification","Male","275","0.103220351609147","0.0913131456994965","0.115127557518798"
"No worries","1984","(2a) intermediate vocational","Female","87","0.122233814947176","0.0994931040735135","0.144974525820838"
"No worries","1984","(2a) intermediate vocational","Male","68","0.117916067066556","0.0922173257869275","0.143614808346184"
"No worries","1984","(2b) intermediate general qualification","Female","40","0.137402979535679","0.0979830055930725","0.176822953478285"
"No worries","1984","(2b) intermediate general qualification","Male","","","",""
"No worries","1984","(2c_gen) general maturity certificate","Female","","","",""
"No worries","1984","(2c_gen) general maturity certificate","Male","34","0.111394039161233","0.0712540106587425","0.151534067663724"
"No worries","1984","(2c_voc) vocational maturity certificate","Female","","","",""
"No worries","1984","(2c_voc) vocational maturity certificate","Male","39","0.121076442162127","0.0827982545010597","0.159354629823195"
"No worries","1984","(3a) lower tertiary education","Female","","","",""
"No worries","1984","(3a) lower tertiary education","Male","","","",""
"No worries","1984","(3b) higher tertiary education","Female","","","",""
"No worries","1984","(3b) higher tertiary education","Male","35","0.0927287904661589","0.0620331362947372","0.123424444637581"
