"plh0032","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","general elemantary","1061","0.316354963290077","0.300796127033277","0.331913799546878","1"
"Big worries","1984","higher education","231","0.293678469403361","0.261838393492248","0.325518545314473","1"
"Big worries","1984","higher vocational","227","0.335853588763342","0.299601652736173","0.37210552479051","1"
"Big worries","1984","in school","40","0.240712669084055","0.179107837048375","0.302317501119736","1"
"Big worries","1984","inadequately","266","0.280448022218538","0.252605705628557","0.308290338808519","1"
"Big worries","1984","middle vocational","1935","0.34329995252755","0.330937863120908","0.355662041934192","1"
"Big worries","1984","vocational + Abi","115","0.375853213307942","0.321936954745988","0.429769471869895","1"
"No worries","1984","vocational + Abi","41","0.0892399136601231","0.0575041604950072","0.120975666825239","3"
"No worries","1984","general elemantary","598","0.164814769598789","0.152402136509982","0.177227402687596","3"
"No worries","1984","middle vocational","645","0.108446732627146","0.100351051971155","0.116542413283138","3"
"No worries","1984","higher education","105","0.13943680871896","0.115219999614455","0.163653617823466","3"
"No worries","1984","inadequately","286","0.255645229577569","0.228608327658559","0.282682131496578","3"
"No worries","1984","higher vocational","66","0.109735694303107","0.0857441760862611","0.133727212519952","3"
"No worries","1984","in school","40","0.201780094429787","0.143948833155287","0.259611355704287","3"
"Some worries","1984","middle vocational","3087","0.548253314845303","0.535296161307945","0.561210468382662","2"
"Some worries","1984","inadequately","448","0.463906748203893","0.432997844161762","0.494815652246025","2"
"Some worries","1984","vocational + Abi","154","0.534906873031935","0.479383442149936","0.590430303913935","2"
"Some worries","1984","general elemantary","1773","0.518830267111134","0.502114117333906","0.535546416888362","2"
"Some worries","1984","higher education","450","0.566884721877679","0.532244078774381","0.601525364980977","2"
"Some worries","1984","higher vocational","359","0.554410716933552","0.516259581297546","0.592561852569558","2"
"Some worries","1984","in school","105","0.557507236486158","0.485935662599248","0.629078810373068","2"
"Big worries","1985","general elemantary","844","0.282533063980912","0.266475479889522","0.298590648072301","1"
"Big worries","1985","higher education","203","0.261284603824481","0.229821420024434","0.292747787624528","1"
"Big worries","1985","higher vocational","208","0.329090217767288","0.292073976675376","0.366106458859199","1"
"Big worries","1985","in school","32","0.175535006320087","0.120863681408274","0.230206331231899","1"
"Big worries","1985","inadequately","198","0.271679653527144","0.241252152123071","0.302107154931217","1"
"Big worries","1985","middle vocational","1668","0.330864071881249","0.318010885605839","0.343717258156659","1"
"Big worries","1985","vocational + Abi","84","0.34059181782813","0.284783044404517","0.396400591251743","1"
"No worries","1985","middle vocational","618","0.113336626719738","0.104677116132823","0.121996137306654","3"
"No worries","1985","inadequately","224","0.261334218085339","0.231280469972043","0.291387966198636","3"
"No worries","1985","vocational + Abi","34","0.0920376570668757","0.0579948861572094","0.126080427976542","3"
"No worries","1985","general elemantary","544","0.165875135255578","0.152608805191853","0.179141465319303","3"
"No worries","1985","higher vocational","54","0.0863720552178382","0.0642424288867888","0.108501681548888","3"
"No worries","1985","higher education","69","0.102408761750871","0.0806960012497199","0.124121522252022","3"
"No worries","1985","in school","43","0.222694270634953","0.162902409034017","0.282486132235888","3"
"Some worries","1985","middle vocational","2862","0.555799301399012","0.542226251715733","0.569372351082292","2"
"Some worries","1985","vocational + Abi","159","0.567370525104994","0.509026062512605","0.625714987697384","2"
"Some worries","1985","inadequately","399","0.466986128387517","0.432859156210224","0.501113100564809","2"
"Some worries","1985","in school","111","0.601770723044961","0.531419161924281","0.67212228416564","2"
"Some worries","1985","general elemantary","1632","0.551591800763511","0.53385438716039","0.569329214366631","2"
"Some worries","1985","higher vocational","357","0.584537727014874","0.545716001364794","0.623359452664954","2"
"Some worries","1985","higher education","477","0.636306634424648","0.601855137464802","0.670758131384494","2"
"Big worries","1986","general elemantary","538","0.193246990989835","0.178816526273061","0.20767745570661","1"
"Big worries","1986","higher education","117","0.155530193058585","0.12952392132581","0.18153646479136","1"
"Big worries","1986","higher vocational","109","0.191841298057425","0.15962975543829","0.22405284067656","1"
"Big worries","1986","in school","19","","","","1"
"Big worries","1986","inadequately","126","0.165495574292956","0.139382030852215","0.191609117733697","1"
"Big worries","1986","middle vocational","975","0.197511828085404","0.186409846801161","0.208613809369647","1"
