"plh0032","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","West Germany","3905","0.329453396594707","0.321077357800834","0.337829435388581","1"
"Big worries","1984","East Germany","","","","","1"
"No worries","1984","West Germany","1790","0.131315753348078","0.125296860808091","0.137334645888066","3"
"No worries","1984","East Germany","","","","","3"
"Some worries","1984","West Germany","6401","0.539230850057214","0.530347919555872","0.548113780558557","2"
"Some worries","1984","East Germany","","","","","2"
"Big worries","1985","West Germany","3265","0.308208512679428","0.299551901090871","0.316865124267986","1"
"Big worries","1985","East Germany","","","","","1"
"No worries","1985","West Germany","1625","0.131120633109586","0.124792825434212","0.137448440784961","3"
"No worries","1985","East Germany","","","","","3"
"Some worries","1985","West Germany","6040","0.560670854210986","0.551366483441345","0.569975224980627","2"
"Some worries","1985","East Germany","","","","","2"
"Big worries","1986","West Germany","1964","0.190886581021489","0.18336597655037","0.198407185492608","1"
"Big worries","1986","East Germany","","","","","1"
"No worries","1986","West Germany","2508","0.234709092430551","0.226598761399289","0.242819423461813","3"
"No worries","1986","East Germany","","","","","3"
"Some worries","1986","West Germany","6018","0.57440432654796","0.564942656472304","0.583865996623617","2"
"Some worries","1986","East Germany","","","","","2"
"Big worries","1987","West Germany","1987","0.205564507174356","0.197785486479755","0.213343527868957","1"
"Big worries","1987","East Germany","","","","","1"
"No worries","1987","West Germany","2143","0.186018575265625","0.178528141885252","0.193509008645999","3"
"No worries","1987","East Germany","","","","","3"
"Some worries","1987","West Germany","6237","0.608416917560018","0.599021109358609","0.617812725761427","2"
"Some worries","1987","East Germany","","","","","2"
"Big worries","1988","West Germany","2547","0.278223152456619","0.269403851843166","0.287042453070073","1"
"Big worries","1988","East Germany","","","","","1"
"No worries","1988","West Germany","1553","0.139203503376091","0.132390927267583","0.146016079484599","3"
"No worries","1988","East Germany","","","","","3"
"Some worries","1988","West Germany","5818","0.58257334416729","0.572868212470322","0.592278475864257","2"
"Some worries","1988","East Germany","","","","","2"
"Big worries","1989","West Germany","1641","0.176689891587435","0.169048771785722","0.184331011389147","1"
"Big worries","1989","East Germany","","","","","1"
"No worries","1989","West Germany","2370","0.242133497160391","0.233551403967662","0.250715590353121","3"
"No worries","1989","East Germany","","","","","3"
"Some worries","1989","West Germany","5560","0.581176611252174","0.571292469611251","0.591060752893097","2"
"Some worries","1989","East Germany","","","","","2"
"Big worries","1990","West Germany","1690","0.186650991426557","0.17877273325985","0.194529249593263","1"
"Big worries","1990","East Germany","1635","0.354704470974616","0.340624105153737","0.368784836795495","1"
"No worries","1990","West Germany","2723","0.291530467424861","0.282341236814146","0.300719698035576","3"
"No worries","1990","East Germany","428","0.109183195853084","0.100004660596517","0.118361731109652","3"
"Some worries","1990","West Germany","4983","0.521818541148582","0.511718277591635","0.531918804705529","2"
"Some worries","1990","East Germany","2372","0.536112333172299","0.521435390726834","0.550789275617764","2"
"Big worries","1991","West Germany","1675","0.187660541092137","0.179775136076949","0.195545946107326","1"
"Big worries","1991","East Germany","1981","0.471651458481067","0.456450832549503","0.486852084412632","1"
"No worries","1991","West Germany","2181","0.221639617662783","0.213251146700881","0.230028088624686","3"
"No worries","1991","East Germany","238","0.0666602695321027","0.0590649852485651","0.0742555538156403","3"
"Some worries","1991","West Germany","5562","0.590699841245079","0.580769295151144","0.600630387339014","2"
"Some worries","1991","East Germany","1924","0.46168827198683","0.446507915635845","0.476868628337815","2"
"Big worries","1992","West Germany","2140","0.238504883505583","0.229849051746993","0.247160715264174","1"
"Big worries","1992","East Germany","1444","0.360366321038096","0.345405421419633","0.375327220656558","1"
"No worries","1992","West Germany","1591","0.160890072694568","0.153427292317719","0.168352853071417","3"
"No worries","1992","East Germany","347","0.0981533834555033","0.0888821198979372","0.107424647013069","3"
"Some worries","1992","West Germany","5581","0.600605043799849","0.590657350592765","0.610552737006932","2"
"Some worries","1992","East Germany","2165","0.541480295506401","0.525953198006155","0.557007393006647","2"
"Big worries","1993","West Germany","3558","0.395531575031333","0.385578387432024","0.405484762630641","1"
"Big worries","1993","East Germany","1573","0.416749651129809","0.401123418863867","0.43237588339575","1"
"No worries","1993","West Germany","725","0.067912684616041","0.0627912863666176","0.0730340828654644","3"
