"plh0034","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","in school","73","0.219246838428622","0.17266138550068","0.265832291356564"
"Big worries","2009","inadequately","64","0.402845914004462","0.328234248825361","0.477457579183563"
"Big worries","2009","general elemantary","768","0.465308536050837","0.442051629299971","0.488565442801703"
"Big worries","2009","middle vocational","4425","0.486794880774249","0.476494286137262","0.497095475411236"
"Big worries","2009","vocational + Abi","478","0.497017835572676","0.466044118153885","0.527991552991466"
"Big worries","2009","higher vocational","726","0.552683803510769","0.525941751195344","0.579425855826194"
"Big worries","2009","higher education","2128","0.526497001390387","0.511072026472171","0.541921976308603"
"Some worries","2009","in school","157","0.558409877318888","0.502496851175698","0.614322903462079"
"Some worries","2009","inadequately","66","0.411589196589317","0.336726347818415","0.48645204536022"
"Some worries","2009","general elemantary","739","0.39453918751078","0.371750573687871","0.417327801333689"
"Some worries","2009","middle vocational","3779","0.419069373572125","0.408901060638671","0.42923768650558"
"Some worries","2009","vocational + Abi","450","0.435750823031037","0.405033339970521","0.466468306091553"
"Some worries","2009","higher vocational","509","0.368055159664047","0.342116645496062","0.393993673832032"
"Some worries","2009","higher education","1618","0.394526918145043","0.379427824150632","0.409626012139454"
"No worries","2009","in school","73","0.22234328425249","0.175523139895642","0.269163428609337"
"No worries","2009","inadequately","36","0.185564889406221","0.126426404418761","0.244703374393681"
"No worries","2009","general elemantary","260","0.140152276438383","0.123966234277806","0.156338318598959"
"No worries","2009","middle vocational","841","0.0941357456536256","0.0881177391846783","0.100153752122573"
"No worries","2009","vocational + Abi","73","0.0672313413962876","0.0517180513269109","0.0827446314656644"
"No worries","2009","higher vocational","93","0.079261036825184","0.0647316532622735","0.0937904203880946"
"No worries","2009","higher education","279","0.07897608046457","0.0706440971539578","0.0873080637751822"
"Big worries","2010","in school","52","0.183819985981887","0.137532745160723","0.230107226803051"
"Big worries","2010","inadequately","47","0.398220413788153","0.31564292111807","0.480797906458235"
"Big worries","2010","general elemantary","515","0.349264761785747","0.325912337484502","0.372617186086993"
"Big worries","2010","middle vocational","3250","0.393880675176485","0.38335952458283","0.40440182577014"
"Big worries","2010","vocational + Abi","341","0.35909788828162","0.328478640197846","0.389717136365394"
"Big worries","2010","higher vocational","556","0.428289578103022","0.400934544032689","0.455644612173355"
"Big worries","2010","higher education","1545","0.386460562715175","0.371033164395751","0.401887961034598"
"Some worries","2010","in school","134","0.529787011197497","0.470142578107431","0.589431444287564"
"Some worries","2010","inadequately","54","0.423425902078973","0.340077460952916","0.506774343205029"
"Some worries","2010","general elemantary","791","0.478928653034016","0.45445851430102","0.503398791767012"
"Some worries","2010","middle vocational","4004","0.47867117485836","0.467914542101373","0.489427807615346"
"Some worries","2010","vocational + Abi","495","0.533637165347576","0.501796858412227","0.565477472282925"
"Some worries","2010","higher vocational","587","0.464775922555178","0.437203807372091","0.492348037738265"
"Some worries","2010","higher education","1904","0.487146778858629","0.471310785121802","0.502982772595456"
"No worries","2010","in school","83","0.286393002820616","0.232369504660488","0.340416500980743"
"No worries","2010","inadequately","34","0.178353684132875","0.113778640950904","0.242928727314846"
"No worries","2010","general elemantary","295","0.171806585180237","0.153329297757763","0.19028387260271"
"No worries","2010","middle vocational","1031","0.127448149965156","0.12026749226883","0.134628807661482"
"No worries","2010","vocational + Abi","107","0.107264946370804","0.0875142483644435","0.127015644377165"
"No worries","2010","higher vocational","114","0.1069344993418","0.0898508350420822","0.124018163641518"
"No worries","2010","higher education","378","0.126392658426197","0.115864851256266","0.136920465596127"
"Big worries","2011","in school","50","0.163035531601014","0.121848215398987","0.204222847803041"
"Big worries","2011","inadequately","43","0.170753730584089","0.1202195587342","0.221287902433977"
"Big worries","2011","general elemantary","535","0.259885206022865","0.241158726291936","0.278611685753793"
"Big worries","2011","middle vocational","3245","0.315848608670155","0.306898220135435","0.324798997204876"
"Big worries","2011","vocational + Abi","323","0.272257666619796","0.247041451875813","0.29747388136378"
"Big worries","2011","higher vocational","548","0.388088282246823","0.362909927744659","0.413266636748986"
"Big worries","2011","higher education","1514","0.330823900078529","0.317186984885334","0.344460815271725"
"Some worries","2011","in school","153","0.491242701253224","0.435502025030095","0.546983377476353"
"Some worries","2011","inadequately","101","0.513479001099257","0.446356144934379","0.580601857264135"
"Some worries","2011","general elemantary","1040","0.497643858257724","0.476294687758426","0.518993028757021"
"Some worries","2011","middle vocational","5368","0.520148370500289","0.510529071923652","0.529767669076926"
"Some worries","2011","vocational + Abi","679","0.576876317334758","0.54888804843186","0.604864586237656"
"Some worries","2011","higher vocational","715","0.501175539554133","0.475341846325546","0.527009232782719"
"Some worries","2011","higher education","2463","0.5235863845638","0.509110878854874","0.538061890272725"
"No worries","2011","in school","106","0.345721767145762","0.292692765682435","0.398750768609089"
"No worries","2011","inadequately","69","0.315767268316654","0.253344393291152","0.378190143342157"
"No worries","2011","general elemantary","532","0.242470935719411","0.224171178943051","0.260770692495771"
"No worries","2011","middle vocational","1749","0.164003020829555","0.156873594677191","0.17113244698192"
"No worries","2011","vocational + Abi","195","0.150866016045446","0.130589896735341","0.171142135355551"
"No worries","2011","higher vocational","176","0.110736178199045","0.0945226410299763","0.126949715368113"
