"plh0035","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1999","general elemantary","Rural Area","226","0.321067649609308","0.287473963173359","0.354661336045257","1"
"Big worries","1999","general elemantary","Urban Area","492","0.31794301294842","0.2958454921441","0.34004053375274","1"
"Big worries","1999","higher education","Rural Area","94","0.130964624153967","0.106044081802791","0.155885166505143","1"
"Big worries","1999","higher education","Urban Area","118","0.100702538060573","0.084105969367119","0.117299106754027","1"
"Big worries","1999","higher vocational","Rural Area","58","0.23667955672649","0.189056068964021","0.284303044488959","1"
"Big worries","1999","higher vocational","Urban Area","67","0.134231422698458","0.104731735244647","0.163731110152269","1"
"Big worries","1999","in school","Rural Area","12","","","","1"
"Big worries","1999","in school","Urban Area","26","","","","1"
"Big worries","1999","inadequately","Rural Area","18","","","","1"
"Big worries","1999","inadequately","Urban Area","131","0.359899991781066","0.309759153085888","0.410040830476245","1"
"Big worries","1999","middle vocational","Rural Area","520","0.210455942334109","0.194796373938479","0.226115510729738","1"
"Big worries","1999","middle vocational","Urban Area","830","0.203300077561685","0.191348635372267","0.215251519751104","1"
"Big worries","1999","vocational + Abi","Rural Area","10","","","","1"
"Big worries","1999","vocational + Abi","Urban Area","43","0.114740970011942","0.0831909601922301","0.146290979831655","1"
"No worries","1999","middle vocational","Rural Area","707","0.263743448774004","0.2468150284629","0.280671869085107","3"
"No worries","1999","general elemantary","Rural Area","198","0.239930240951788","0.209203580569617","0.27065690133396","3"
"No worries","1999","higher vocational","Urban Area","168","0.323593931195934","0.283109006084906","0.364078856306962","3"
"No worries","1999","general elemantary","Urban Area","470","0.230925740844106","0.210928094286962","0.250923387401251","3"
"No worries","1999","higher education","Rural Area","197","0.301229397601012","0.267338915178067","0.335119880023957","3"
"No worries","1999","higher education","Urban Area","472","0.364520321954035","0.337976825999815","0.391063817908256","3"
"No worries","1999","higher vocational","Rural Area","78","0.254927063842111","0.206096162135437","0.303757965548784","3"
"No worries","1999","in school","Rural Area","61","0.559077448031388","0.464559931565914","0.653594964496861","3"
"No worries","1999","in school","Urban Area","139","0.694918682331591","0.633083863914798","0.756753500748383","3"
"No worries","1999","inadequately","Rural Area","17","","","","3"
"No worries","1999","inadequately","Urban Area","61","0.180432988982831","0.140260664167993","0.220605313797668","3"
"No worries","1999","middle vocational","Urban Area","1450","0.318378361215144","0.304544366306222","0.332212356124067","3"
"No worries","1999","vocational + Abi","Rural Area","55","0.531227114266506","0.441188573874701","0.621265654658311","3"
"No worries","1999","vocational + Abi","Urban Area","154","0.378618284716707","0.330602383552783","0.426634185880632","3"
"Some worries","1999","vocational + Abi","Rural Area","53","0.367181664848696","0.280208132757789","0.454155196939603","2"
"Some worries","1999","vocational + Abi","Urban Area","195","0.50664074527135","0.457148545855869","0.556132944686832","2"
"Some worries","1999","middle vocational","Urban Area","2076","0.47832156122317","0.463487311758194","0.493155810688146","2"
"Some worries","1999","middle vocational","Rural Area","1376","0.525800608891888","0.50661824853558","0.544982969248196","2"
"Some worries","1999","inadequately","Urban Area","160","0.459667019236103","0.40760402159626","0.511730016875946","2"
"Some worries","1999","general elemantary","Rural Area","318","0.439002109438903","0.403294559188778","0.474709659689029","2"
"Some worries","1999","higher vocational","Urban Area","278","0.542174646105608","0.499061577947626","0.585287714263591","2"
"Some worries","1999","in school","Urban Area","48","0.193304968139129","0.140273397669935","0.246336538608323","2"
"Some worries","1999","inadequately","Rural Area","35","0.42102461258561","0.305364698739178","0.536684526432043","2"
"Some worries","1999","general elemantary","Urban Area","744","0.451131246207473","0.427518620358611","0.474743872056336","2"
"Some worries","1999","in school","Rural Area","33","0.341095520764557","0.250846105551596","0.431344935977518","2"
"Some worries","1999","higher education","Rural Area","413","0.567805978245021","0.531212716721765","0.604399239768277","2"
"Some worries","1999","higher education","Urban Area","673","0.534777139985391","0.507268865050208","0.562285414920575","2"
"Some worries","1999","higher vocational","Rural Area","170","0.508393379431399","0.452379431619498","0.5644073272433","2"
"Big worries","2000","general elemantary","Rural Area","303","0.28222913047456","0.256125021591807","0.308333239357313","1"
"Big worries","2000","general elemantary","Urban Area","633","0.285957686753929","0.267909535935977","0.304005837571881","1"
"Big worries","2000","higher education","Rural Area","140","0.120469829195857","0.101912995702102","0.139026662689612","1"
"Big worries","2000","higher education","Urban Area","283","0.113202723649401","0.101100552936282","0.12530489436252","1"
"Big worries","2000","higher vocational","Rural Area","105","0.173783591432667","0.145303267368072","0.202263915497262","1"
"Big worries","2000","higher vocational","Urban Area","194","0.177142539406432","0.155514121401046","0.198770957411819","1"
"Big worries","2000","in school","Rural Area","6","","","","1"
"Big worries","2000","in school","Urban Area","27","","","","1"
"Big worries","2000","inadequately","Rural Area","19","","","","1"
"Big worries","2000","inadequately","Urban Area","101","0.303147498725393","0.252867761296894","0.353427236153893","1"
"Big worries","2000","middle vocational","Rural Area","908","0.200833131634315","0.18944253977985","0.212223723488779","1"
"Big worries","2000","middle vocational","Urban Area","1408","0.18169622878693","0.173270348202393","0.190122109371468","1"
"Big worries","2000","vocational + Abi","Rural Area","26","","","","1"
"Big worries","2000","vocational + Abi","Urban Area","120","0.151483546728196","0.127673958757616","0.175293134698776","1"
"No worries","2000","general elemantary","Rural Area","321","0.264608556107226","0.239024095404161","0.29019301681029","3"
"No worries","2000","higher vocational","Urban Area","405","0.321021888058036","0.294573681667914","0.347470094448158","3"
"No worries","2000","middle vocational","Rural Area","1419","0.288166052344345","0.275288876344798","0.301043228343893","3"
"No worries","2000","general elemantary","Urban Area","759","0.289685341569893","0.271567414872064","0.307803268267722","3"
"No worries","2000","higher education","Rural Area","359","0.312839896414288","0.286407935240794","0.339271857587783","3"
"No worries","2000","higher education","Urban Area","1036","0.388538707585188","0.369921082000743","0.407156333169633","3"
"No worries","2000","higher vocational","Rural Area","217","0.307916526776689","0.273219730700575","0.342613322852802","3"
"No worries","2000","in school","Rural Area","112","0.646287317345295","0.575040876758765","0.717533757931824","3"
"No worries","2000","in school","Urban Area","202","0.655745279428122","0.603688099158828","0.707802459697417","3"
"No worries","2000","inadequately","Rural Area","23","","","","3"
"No worries","2000","inadequately","Urban Area","99","0.323653936854882","0.272471553533318","0.374836320176446","3"
"No worries","2000","middle vocational","Urban Area","2772","0.335318619929162","0.325002398429803","0.34563484142852","3"
"No worries","2000","vocational + Abi","Rural Area","115","0.497603511008454","0.435748306643556","0.559458715373353","3"
"No worries","2000","vocational + Abi","Urban Area","337","0.39106150227081","0.358653798428175","0.423469206113444","3"
"Some worries","2000","vocational + Abi","Rural Area","110","0.394695849296364","0.334227329746113","0.455164368846614","2"
"Some worries","2000","vocational + Abi","Urban Area","414","0.457454951000994","0.424369955341684","0.490539946660305","2"
"Some worries","2000","middle vocational","Rural Area","2425","0.511000816021341","0.49678817656538","0.525213455477301","2"
"Some worries","2000","middle vocational","Urban Area","3865","0.482985151283908","0.472065633385089","0.493904669182727","2"
"Some worries","2000","in school","Urban Area","91","0.268507790550969","0.219950281486477","0.31706529961546","2"
"Some worries","2000","inadequately","Rural Area","35","0.38728080415941","0.278476404405318","0.496085203913502","2"
"Some worries","2000","inadequately","Urban Area","121","0.373198564419724","0.320289443199512","0.426107685639937","2"
"Some worries","2000","general elemantary","Rural Area","518","0.453162313418215","0.424290693596618","0.482033933239811","2"
"Some worries","2000","general elemantary","Urban Area","1016","0.424356971676178","0.404616290015829","0.444097653336527","2"
"Some worries","2000","higher vocational","Urban Area","598","0.501835572535532","0.473510691560626","0.530160453510438","2"
"Some worries","2000","in school","Rural Area","55","0.326681605261135","0.256794408702695","0.396568801819576","2"
"Some worries","2000","higher education","Rural Area","683","0.566690274389855","0.538440729809243","0.594939818970468","2"
"Some worries","2000","higher education","Urban Area","1314","0.498258568765411","0.479160474539796","0.517356662991025","2"
"Some worries","2000","higher vocational","Rural Area","358","0.518299881790644","0.480744466741896","0.555855296839392","2"
"Big worries","2001","general elemantary","Rural Area","253","0.273571931436649","0.245760612131717","0.301383250741581","1"
"Big worries","2001","general elemantary","Urban Area","551","0.274483100542025","0.255419557785641","0.293546643298409","1"
"Big worries","2001","higher education","Rural Area","141","0.145522816203854","0.124617642006305","0.166427990401404","1"
"Big worries","2001","higher education","Urban Area","252","0.114876635030684","0.102247562604172","0.127505707457196","1"
"Big worries","2001","higher vocational","Rural Area","93","0.178030154795786","0.147318749561053","0.208741560030519","1"
"Big worries","2001","higher vocational","Urban Area","155","0.161267938616968","0.139323574117419","0.183212303116516","1"
"Big worries","2001","in school","Rural Area","17","","","","1"
"Big worries","2001","in school","Urban Area","30","0.0971976778193608","0.0663394672425009","0.128055888396221","1"
"Big worries","2001","inadequately","Rural Area","20","","","","1"
"Big worries","2001","inadequately","Urban Area","73","0.320598946458927","0.261797966838462","0.379399926079391","1"
"Big worries","2001","middle vocational","Rural Area","838","0.200803922401035","0.188812129570706","0.212795715231365","1"
"Big worries","2001","middle vocational","Urban Area","1280","0.178926840971515","0.170127649042342","0.187726032900688","1"
"Big worries","2001","vocational + Abi","Rural Area","30","0.103807453834681","0.0648106428869204","0.142804264782442","1"
"Big worries","2001","vocational + Abi","Urban Area","115","0.160444836001729","0.135565863346408","0.185323808657049","1"
"No worries","2001","general elemantary","Rural Area","257","0.236081868771888","0.209588069549131","0.262575667994646","3"
"No worries","2001","higher vocational","Urban Area","350","0.31134898078628","0.283720265555402","0.338977696017158","3"
"No worries","2001","middle vocational","Rural Area","1275","0.290072302538127","0.276488181563689","0.303656423512565","3"
"No worries","2001","general elemantary","Urban Area","682","0.295205304468368","0.275719630451065","0.314690978485672","3"
"No worries","2001","higher education","Rural Area","327","0.308336616910542","0.280958854276407","0.335714379544677","3"
"No worries","2001","higher education","Urban Area","935","0.374672380225473","0.355501884482603","0.393842875968343","3"
"No worries","2001","higher vocational","Rural Area","155","0.229454456402487","0.195696793963947","0.263212118841027","3"
"No worries","2001","in school","Rural Area","102","0.564597275855014","0.494097741146176","0.635096810563852","3"
"No worries","2001","in school","Urban Area","226","0.655716707986737","0.606221567825387","0.705211848148088","3"
"No worries","2001","inadequately","Rural Area","17","","","","3"
"No worries","2001","inadequately","Urban Area","50","0.203708758745128","0.152965164154477","0.254452353335778","3"
"No worries","2001","middle vocational","Urban Area","2437","0.325133681630002","0.314380079263792","0.335887283996213","3"
"No worries","2001","vocational + Abi","Rural Area","98","0.440446990010511","0.376975075057232","0.50391890496379","3"
"No worries","2001","vocational + Abi","Urban Area","321","0.356905060172811","0.324429335473687","0.389380784871935","3"
"Some worries","2001","middle vocational","Rural Area","2174","0.509123775060838","0.494159039828392","0.524088510293284","2"
"Some worries","2001","vocational + Abi","Rural Area","107","0.455745556154808","0.39206946832641","0.519421643983205","2"
"Some worries","2001","middle vocational","Urban Area","3572","0.495939477398483","0.484461382829603","0.507417571967364","2"
"Some worries","2001","vocational + Abi","Urban Area","400","0.482650103825461","0.448777129151717","0.516523078499205","2"
"Some worries","2001","general elemantary","Rural Area","477","0.490346199791463","0.459158843984502","0.521533555598423","2"
"Some worries","2001","general elemantary","Urban Area","872","0.430311594989607","0.409160529237194","0.451462660742019","2"
"Some worries","2001","higher vocational","Urban Area","574","0.527383080596752","0.497594137312869","0.557172023880635","2"
"Some worries","2001","in school","Rural Area","71","0.337544733509714","0.270306663774297","0.404782803245131","2"
"Some worries","2001","in school","Urban Area","98","0.247085614193902","0.202154934555403","0.292016293832401","2"
"Some worries","2001","inadequately","Rural Area","29","","","","2"
"Some worries","2001","inadequately","Urban Area","119","0.475692294795945","0.412771154219649","0.538613435372242","2"
"Some worries","2001","higher education","Rural Area","625","0.546140566885604","0.516625014763346","0.575656119007862","2"
"Some worries","2001","higher education","Urban Area","1262","0.510450984743843","0.490652643197867","0.53024932628982","2"
"Some worries","2001","higher vocational","Rural Area","348","0.592515388801727","0.553066898772881","0.631963878830573","2"
"Big worries","2002","inadequately","Urban Area","87","0.382878930057231","0.318500266828302","0.447257593286161","1"
"Big worries","2002","middle vocational","Rural Area","775","0.200985796842895","0.188848983069755","0.213122610616034","1"
"Big worries","2002","middle vocational","Urban Area","1260","0.185642728381723","0.176783252340956","0.19450220442249","1"
"Big worries","2002","vocational + Abi","Rural Area","22","","","","1"
"Big worries","2002","vocational + Abi","Urban Area","107","0.143851393562882","0.120974582280137","0.166728204845627","1"
"Big worries","2002","general elemantary","Rural Area","249","0.274690185404655","0.246201291163786","0.303179079645525","1"
"Big worries","2002","general elemantary","Urban Area","513","0.277556365184481","0.25774218218509","0.297370548183871","1"
"Big worries","2002","higher education","Rural Area","164","0.16157195121439","0.141602840748118","0.181541061680662","1"
"Big worries","2002","higher education","Urban Area","248","0.0944143687268139","0.0843738451701223","0.104454892283506","1"
"Big worries","2002","higher vocational","Rural Area","104","0.194782716066316","0.163508279963888","0.226057152168743","1"
"Big worries","2002","higher vocational","Urban Area","155","0.163921147494619","0.142345794959717","0.18549650002952","1"
"Big worries","2002","in school","Rural Area","17","","","","1"
"Big worries","2002","in school","Urban Area","22","","","","1"
"Big worries","2002","inadequately","Rural Area","10","","","","1"
"No worries","2002","middle vocational","Rural Area","1285","0.296187611924967","0.282359698463","0.310015525386935","3"
"No worries","2002","general elemantary","Rural Area","257","0.239948164783844","0.21269150916748","0.267204820400208","3"
"No worries","2002","higher vocational","Urban Area","414","0.33748052188061","0.309922980380155","0.365038063381065","3"
"No worries","2002","inadequately","Urban Area","43","0.196739186008793","0.144089018263424","0.249389353754161","3"
"No worries","2002","middle vocational","Urban Area","2562","0.320498556716544","0.309865214082977","0.33113189935011","3"
"No worries","2002","vocational + Abi","Rural Area","122","0.456659545586374","0.397133882501392","0.516185208671356","3"
"No worries","2002","vocational + Abi","Urban Area","372","0.399592402197561","0.367662647911484","0.431522156483639","3"
"No worries","2002","general elemantary","Urban Area","609","0.27824864663323","0.25841927632051","0.29807801694595","3"
"No worries","2002","higher education","Rural Area","421","0.293024163052789","0.268329856358341","0.317718469747237","3"
"No worries","2002","higher education","Urban Area","1350","0.395415222005036","0.378626105327939","0.412204338682133","3"
"No worries","2002","higher vocational","Rural Area","180","0.274008631291933","0.238787314763312","0.309229947820553","3"
"No worries","2002","in school","Rural Area","102","0.55207915861993","0.480421347455764","0.623736969784096","3"
"No worries","2002","in school","Urban Area","264","0.619513483771567","0.573191528535117","0.665835439008017","3"
"No worries","2002","inadequately","Rural Area","20","","","","3"
"Some worries","2002","middle vocational","Rural Area","2128","0.502826591232138","0.487683734305554","0.517969448158722","2"
"Some worries","2002","vocational + Abi","Rural Area","125","0.45460125333422","0.395097503770281","0.51410500289816","2"
"Some worries","2002","middle vocational","Urban Area","3577","0.493858714901733","0.482466745230922","0.505250684572545","2"
"Some worries","2002","vocational + Abi","Urban Area","425","0.456556204239557","0.424085753472082","0.489026655007031","2"
"Some worries","2002","higher vocational","Urban Area","562","0.498598330624771","0.469458629947376","0.527738031302166","2"
"Some worries","2002","in school","Rural Area","66","0.333686514723124","0.265739425591943","0.401633603854304","2"
"Some worries","2002","in school","Urban Area","136","0.343759088781085","0.298443188644301","0.389074988917868","2"
"Some worries","2002","inadequately","Urban Area","89","0.420381883933976","0.355005784551732","0.48575798331622","2"
"Some worries","2002","inadequately","Rural Area","31","0.51126761128245","0.385825638729452","0.636709583835448","2"
"Some worries","2002","general elemantary","Rural Area","437","0.485361649811501","0.453462724861978","0.517260574761023","2"
"Some worries","2002","general elemantary","Urban Area","840","0.444194988182289","0.422208966807352","0.466181009557226","2"
"Some worries","2002","higher education","Rural Area","720","0.545403885732821","0.518388273835243","0.572419497630399","2"
"Some worries","2002","higher education","Urban Area","1660","0.51017040926815","0.49300505811136","0.52733576042494","2"
