"plh0036","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Schleswig-Holstein","in school","7","","","","1"
"Big worries","1984","Schleswig-Holstein","inadequately","5","","","","1"
"Big worries","1984","Schleswig-Holstein","general elemantary","33","0.374989231499564","0.272671238301035","0.477307224698093","1"
"Big worries","1984","Schleswig-Holstein","middle vocational","110","0.496733289992989","0.430513657116333","0.562952922869645","1"
"Big worries","1984","Schleswig-Holstein","vocational + Abi","8","","","","1"
"Big worries","1984","Schleswig-Holstein","higher vocational","15","","","","1"
"Big worries","1984","Schleswig-Holstein","higher education","9","","","","1"
"Big worries","1984","Hamburg","in school","1","","","","1"
"Big worries","1984","Hamburg","inadequately","9","","","","1"
"Big worries","1984","Hamburg","general elemantary","38","0.597564935945296","0.479256262977981","0.715873608912611","1"
"Big worries","1984","Hamburg","middle vocational","92","0.583030893045593","0.505905748990462","0.660156037100724","1"
"Big worries","1984","Hamburg","vocational + Abi","10","","","","1"
"Big worries","1984","Hamburg","higher vocational","16","","","","1"
"Big worries","1984","Hamburg","higher education","15","","","","1"
"Big worries","1984","Lower Saxony","in school","20","","","","1"
"Big worries","1984","Lower Saxony","inadequately","18","","","","1"
"Big worries","1984","Lower Saxony","general elemantary","162","0.448896448214732","0.397730094584154","0.50006280184531","1"
"Big worries","1984","Lower Saxony","middle vocational","291","0.506794655884959","0.466176846339855","0.547412465430063","1"
"Big worries","1984","Lower Saxony","vocational + Abi","16","","","","1"
"Big worries","1984","Lower Saxony","higher vocational","45","0.554825695198822","0.444533668506519","0.665117721891125","1"
"Big worries","1984","Lower Saxony","higher education","51","0.637588971442068","0.530911702073184","0.744266240810951","1"
"Big worries","1984","Bremen","in school","","","","","1"
"Big worries","1984","Bremen","inadequately","2","","","","1"
"Big worries","1984","Bremen","general elemantary","19","","","","1"
"Big worries","1984","Bremen","middle vocational","53","0.743988838377644","0.644552553176578","0.843425123578709","1"
"Big worries","1984","Bremen","vocational + Abi","4","","","","1"
"Big worries","1984","Bremen","higher vocational","5","","","","1"
"Big worries","1984","Bremen","higher education","1","","","","1"
"Big worries","1984","North Rhine-Westphalia","in school","42","0.721935494295386","0.607609743967225","0.836261244623547","1"
"Big worries","1984","North Rhine-Westphalia","inadequately","91","0.335089038111962","0.281406662900279","0.388771413323644","1"
"Big worries","1984","North Rhine-Westphalia","general elemantary","401","0.486544794684578","0.453081370710403","0.520008218658753","1"
"Big worries","1984","North Rhine-Westphalia","middle vocational","856","0.58427779297225","0.559403043098014","0.609152542846486","1"
"Big worries","1984","North Rhine-Westphalia","vocational + Abi","49","0.613466297311826","0.511725346349613","0.715207248274039","1"
"Big worries","1984","North Rhine-Westphalia","higher vocational","95","0.60208416570986","0.525275538085641","0.67889279333408","1"
"Big worries","1984","North Rhine-Westphalia","higher education","154","0.694535770137961","0.634351316611724","0.754720223664197","1"
"Big worries","1984","Hesse","in school","9","","","","1"
"Big worries","1984","Hesse","inadequately","19","","","","1"
"Big worries","1984","Hesse","general elemantary","149","0.454310812483385","0.402222085507801","0.506399539458969","1"
"Big worries","1984","Hesse","middle vocational","289","0.517833245612541","0.477307103479359","0.558359387745723","1"
"Big worries","1984","Hesse","vocational + Abi","27","","","","1"
"Big worries","1984","Hesse","higher vocational","34","0.644161513569873","0.512764090227532","0.775558936912214","1"
"Big worries","1984","Hesse","higher education","64","0.674668110634533","0.579450994028313","0.769885227240753","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","in school","3","","","","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","inadequately","16","","","","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","general elemantary","127","0.431786559186456","0.375548507065224","0.488024611307688","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","middle vocational","179","0.469233327962358","0.419704045612511","0.518762610312206","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","vocational + Abi","9","","","","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","higher vocational","24","","","","1"
"Big worries","1984","Rhineland-Palatinate,Saarland","higher education","28","","","","1"
"Big worries","1984","Baden-Württemberg","in school","22","","","","1"
"Big worries","1984","Baden-Württemberg","inadequately","63","0.186703793411555","0.141699619794227","0.231707967028884","1"
"Big worries","1984","Baden-Württemberg","general elemantary","288","0.427378374549705","0.390386199570796","0.464370549528615","1"
"Big worries","1984","Baden-Württemberg","middle vocational","466","0.520478123326116","0.488439038258203","0.552517208394029","1"
"Big worries","1984","Baden-Württemberg","vocational + Abi","29","","","","1"
"Big worries","1984","Baden-Württemberg","higher vocational","78","0.671608773763146","0.5865127802051","0.756704767321192","1"
"Big worries","1984","Baden-Württemberg","higher education","81","0.665628115284623","0.582254959443009","0.749001271126237","1"
"Big worries","1984","Bavaria","in school","14","","","","1"
"Big worries","1984","Bavaria","inadequately","33","0.388578857961939","0.292563588860301","0.484594127063578","1"
"Big worries","1984","Bavaria","general elemantary","222","0.387075043092793","0.347228249255767","0.426921836929818","1"
"Big worries","1984","Bavaria","middle vocational","505","0.489274370890386","0.458671919416258","0.519876822364515","1"
"Big worries","1984","Bavaria","vocational + Abi","40","0.806637038573539","0.702263004206967","0.911011072940111","1"
"Big worries","1984","Bavaria","higher vocational","78","0.614821468919668","0.530517377030629","0.699125560808708","1"
"Big worries","1984","Bavaria","higher education","96","0.606084113817037","0.528912793808968","0.683255433825106","1"
"Big worries","1984","Berlin","in school","5","","","","1"
"Big worries","1984","Berlin","inadequately","14","","","","1"
"Big worries","1984","Berlin","general elemantary","44","0.430544088542437","0.332510720999441","0.528577456085432","1"
"Big worries","1984","Berlin","middle vocational","106","0.5653377427506","0.493905845937551","0.636769639563649","1"
"Big worries","1984","Berlin","vocational + Abi","9","","","","1"
"Big worries","1984","Berlin","higher vocational","20","","","","1"
"Big worries","1984","Berlin","higher education","25","","","","1"
"Big worries","1984","Brandenburg","in school","","","","","1"
"Big worries","1984","Brandenburg","inadequately","","","","","1"
"Big worries","1984","Brandenburg","general elemantary","","","","","1"
"Big worries","1984","Brandenburg","middle vocational","","","","","1"
"Big worries","1984","Brandenburg","vocational + Abi","","","","","1"
"Big worries","1984","Brandenburg","higher vocational","","","","","1"
"Big worries","1984","Brandenburg","higher education","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","in school","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","inadequately","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","1"
"Big worries","1984","Mecklenburg-Western Pomerania","higher education","","","","","1"
"Big worries","1984","Saxony","in school","","","","","1"
"Big worries","1984","Saxony","inadequately","","","","","1"
"Big worries","1984","Saxony","general elemantary","","","","","1"
"Big worries","1984","Saxony","middle vocational","","","","","1"
"Big worries","1984","Saxony","vocational + Abi","","","","","1"
"Big worries","1984","Saxony","higher vocational","","","","","1"
"Big worries","1984","Saxony","higher education","","","","","1"
"Big worries","1984","Saxony-Anhalt","in school","","","","","1"
"Big worries","1984","Saxony-Anhalt","inadequately","","","","","1"
"Big worries","1984","Saxony-Anhalt","general elemantary","","","","","1"
"Big worries","1984","Saxony-Anhalt","middle vocational","","","","","1"
"Big worries","1984","Saxony-Anhalt","vocational + Abi","","","","","1"
"Big worries","1984","Saxony-Anhalt","higher vocational","","","","","1"
"Big worries","1984","Saxony-Anhalt","higher education","","","","","1"
"Big worries","1984","Thuringia","in school","","","","","1"
"Big worries","1984","Thuringia","inadequately","","","","","1"
"Big worries","1984","Thuringia","general elemantary","","","","","1"
"Big worries","1984","Thuringia","middle vocational","","","","","1"
"Big worries","1984","Thuringia","vocational + Abi","","","","","1"
"Big worries","1984","Thuringia","higher vocational","","","","","1"
"Big worries","1984","Thuringia","higher education","","","","","1"
"No worries","1984","Saxony-Anhalt","inadequately","","","","","3"
"No worries","1984","Saxony-Anhalt","general elemantary","","","","","3"
"No worries","1984","Baden-Württemberg","higher education","4","","","","3"
"No worries","1984","Bavaria","in school","1","","","","3"
"No worries","1984","Bavaria","inadequately","27","","","","3"
"No worries","1984","Bavaria","general elemantary","75","0.117239510758931","0.0909216498762205","0.143557371641641","3"
"No worries","1984","Bavaria","middle vocational","80","0.0736173928478234","0.057630223658081","0.0896045620375658","3"
"No worries","1984","Bavaria","vocational + Abi","","","","","3"
"No worries","1984","Bavaria","higher vocational","9","","","","3"
"No worries","1984","Bavaria","higher education","8","","","","3"
"No worries","1984","Berlin","in school","1","","","","3"
