"plh0036","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Employed","direct migration background","850","0.415031336970057","0.395143711343","0.434918962597114","1"
"Big worries","1984","Employed","indirect migration background","37","0.680464692479005","0.569635068669607","0.791294316288403","1"
"Big worries","1984","Employed","no migration background","2900","0.571914237293791","0.558251118144718","0.585577356442865","1"
"Big worries","1984","Not Employed","direct migration background","365","0.407463907688334","0.376762907856624","0.438164907520044","1"
"Big worries","1984","Not Employed","indirect migration background","33","0.633619683987214","0.508538766005151","0.758700601969278","1"
"Big worries","1984","Not Employed","no migration background","1802","0.485044933114594","0.468625439807833","0.501464426421355","1"
"No worries","1984","Employed","no migration background","261","0.0538162794934045","0.0475851958610753","0.0600473631257336","3"
"No worries","1984","Not Employed","direct migration background","207","0.165653581013976","0.142424920903456","0.188882241124497","3"
"No worries","1984","Employed","direct migration background","493","0.162100093125461","0.147224856124436","0.176975330126487","3"
"No worries","1984","Not Employed","no migration background","300","0.0966160668819624","0.0869099625536539","0.106322171210271","3"
"No worries","1984","Employed","indirect migration background","8","","","","3"
"No worries","1984","Not Employed","indirect migration background","4","","","","3"
"Some worries","1984","Employed","no migration background","1877","0.374269483212804","0.360906454973317","0.387632511452291","2"
"Some worries","1984","Not Employed","no migration background","1457","0.418339000003444","0.402132723409098","0.43454527659779","2"
"Some worries","1984","Employed","direct migration background","1015","0.422868569904482","0.402928978379194","0.44280816142977","2"
"Some worries","1984","Employed","indirect migration background","23","","","","2"
"Some worries","1984","Not Employed","direct migration background","412","0.42688251129769","0.395977667434803","0.457787355160577","2"
"Some worries","1984","Not Employed","indirect migration background","20","","","","2"
"Big worries","1985","Employed","direct migration background","713","0.40213049223548","0.380689502567411","0.423571481903549","1"
"Big worries","1985","Employed","indirect migration background","32","0.473107115674647","0.357782305201881","0.588431926147412","1"
"Big worries","1985","Employed","no migration background","2350","0.498313067044097","0.484003410759663","0.51262272332853","1"
"Big worries","1985","Not Employed","direct migration background","304","0.4152607793234","0.382498072736705","0.448023485910094","1"
"Big worries","1985","Not Employed","indirect migration background","38","0.586627228135712","0.472083593825755","0.70117086244567","1"
"Big worries","1985","Not Employed","no migration background","1509","0.450241858905765","0.43305233532002","0.46743138249151","1"
"No worries","1985","Employed","no migration background","252","0.0565652692085469","0.0499538829798562","0.0631766554372375","3"
"No worries","1985","Not Employed","direct migration background","160","0.132279073108673","0.109753605770463","0.154804540446883","3"
"No worries","1985","Not Employed","no migration background","281","0.0962506036634708","0.0860604481417322","0.106440759185209","3"
"No worries","1985","Employed","direct migration background","362","0.126982563251195","0.112423225322074","0.141541901180315","3"
"No worries","1985","Employed","indirect migration background","12","","","","3"
