"plh0036","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"Big worries","1985","(Married) couple without C. ","Rural Area","206","0.410052608161554","0.366548148697984","0.453557067625124"
"Big worries","1985","(Married) couple without C. ","Urban Area","884","0.459311967017231","0.436968785868065","0.481655148166397"
"Big worries","1985","1-pers.-HH","Rural Area","75","0.454749760668017","0.380333466388357","0.529166054947677"
"Big worries","1985","1-pers.-HH","Urban Area","445","0.452790365851883","0.421673432589802","0.483907299113965"
"Big worries","1985","Couple + C. GT 16 ","Rural Area","174","0.4576199246993","0.407660119567","0.507579729831601"
"Big worries","1985","Couple + C. GT 16 ","Urban Area","787","0.510109001462867","0.485773639683838","0.534444363241897"
"Big worries","1985","Couple + C. LE 16 ","Rural Area","235","0.444637518597146","0.402879492396359","0.486395544797933"
"Big worries","1985","Couple + C. LE 16 ","Urban Area","996","0.51281672244797","0.491529823971869","0.534103620924072"
"Big worries","1985","Couple + C. LE and GT 16","Rural Area","150","0.469330738948058","0.415404316732159","0.523257161163957"
"Big worries","1985","Couple + C. LE and GT 16","Urban Area","458","0.45594596358348","0.427072247491206","0.484819679675754"
"Big worries","1985","Single parent ","Rural Area","59","0.541708880350485","0.450245054432568","0.633172706268403"
"Big worries","1985","Single parent ","Urban Area","201","0.506999069493079","0.459185529775631","0.554812609210528"
"No worries","1985","(Married) couple without C. ","Rural Area","55","0.104103894211103","0.0770910908536527","0.131116697568553"
"No worries","1985","(Married) couple without C. ","Urban Area","149","0.0751161182551157","0.0632985553852844","0.086933681124947"
"No worries","1985","1-pers.-HH","Rural Area","26","","",""
"No worries","1985","1-pers.-HH","Urban Area","111","0.103917781013027","0.0848416544912095","0.122993907534844"
"No worries","1985","Couple + C. GT 16 ","Rural Area","23","","",""
"No worries","1985","Couple + C. GT 16 ","Urban Area","146","0.0599978056300961","0.0484369839977544","0.0715586272624378"
"No worries","1985","Couple + C. LE 16 ","Rural Area","39","0.0531262289776097","0.0342789274213798","0.0719735305338397"
"No worries","1985","Couple + C. LE 16 ","Urban Area","170","0.0493490385088018","0.040124704784314","0.0585733722332897"
"No worries","1985","Couple + C. LE and GT 16","Rural Area","25","","",""
"No worries","1985","Couple + C. LE and GT 16","Urban Area","156","0.0820131728793751","0.0661062927838291","0.0979200529749211"
"No worries","1985","Single parent ","Rural Area","7","","",""
"No worries","1985","Single parent ","Urban Area","46","0.0864790611182191","0.0595985091736409","0.113359613062797"
"Some worries","1985","(Married) couple without C. ","Rural Area","230","0.485843497627343","0.44163525933113","0.530051735923556"
"Some worries","1985","(Married) couple without C. ","Urban Area","878","0.465571914727654","0.443207590953607","0.4879362385017"
"Some worries","1985","1-pers.-HH","Rural Area","71","0.405598278267532","0.33221925133991","0.478977305195154"
"Some worries","1985","1-pers.-HH","Urban Area","427","0.44329185313509","0.412236963122167","0.474346743148012"
"Some worries","1985","Couple + C. GT 16 ","Rural Area","185","0.483855400639438","0.433741304737693","0.533969496541183"
"Some worries","1985","Couple + C. GT 16 ","Urban Area","688","0.429893192907037","0.405793307305434","0.45399307850864"
"Some worries","1985","Couple + C. LE 16 ","Rural Area","270","0.502236252425244","0.460220291375616","0.544252213474872"
"Some worries","1985","Couple + C. LE 16 ","Urban Area","952","0.437834239043228","0.416705568606006","0.458962909480449"
"Some worries","1985","Couple + C. LE and GT 16","Rural Area","154","0.473652572986482","0.419699480257452","0.527605665715513"
"Some worries","1985","Couple + C. LE and GT 16","Urban Area","529","0.462040863537145","0.43313807049494","0.490943656579349"
"Some worries","1985","Single parent ","Rural Area","48","0.421412089247798","0.330769179591043","0.512054998904552"
"Some worries","1985","Single parent ","Urban Area","173","0.406521869388702","0.359546764028885","0.453496974748518"
"Big worries","1986","(Married) couple without C. ","Rural Area","183","0.414143759936553","0.368066470629021","0.460221049244086"
"Big worries","1986","(Married) couple without C. ","Urban Area","808","0.414711435825763","0.392714344459543","0.436708527191983"
"Big worries","1986","1-pers.-HH","Rural Area","66","0.382708188615229","0.308545536141903","0.456870841088555"
"Big worries","1986","1-pers.-HH","Urban Area","408","0.428308007339382","0.396539318833679","0.460076695845085"
"Big worries","1986","Couple + C. GT 16 ","Rural Area","174","0.398318310434966","0.351665647268238","0.444970973601694"
"Big worries","1986","Couple + C. GT 16 ","Urban Area","756","0.462860095017398","0.438881051608825","0.486839138425972"
"Big worries","1986","Couple + C. LE 16 ","Rural Area","181","0.389501856659015","0.346413247143543","0.432590466174487"
"Big worries","1986","Couple + C. LE 16 ","Urban Area","808","0.464422616137112","0.44197363063031","0.486871601643913"
"Big worries","1986","Couple + C. LE and GT 16","Rural Area","134","0.466219819239873","0.410687753113507","0.521751885366238"
"Big worries","1986","Couple + C. LE and GT 16","Urban Area","400","0.413675606742177","0.384152763802691","0.443198449681663"
"Big worries","1986","Single parent ","Rural Area","50","0.472562184080526","0.381710242887386","0.563414125273665"
"Big worries","1986","Single parent ","Urban Area","169","0.441275944154806","0.391805430455728","0.490746457853884"
"No worries","1986","(Married) couple without C. ","Rural Area","65","0.129704940463351","0.0982761730280517","0.16113370789865"
"No worries","1986","(Married) couple without C. ","Urban Area","191","0.100726610911834","0.0872889024180446","0.114164319405623"
"No worries","1986","1-pers.-HH","Rural Area","38","0.225099113155461","0.161373196700208","0.288825029610713"
"No worries","1986","1-pers.-HH","Urban Area","128","0.14067616147603","0.118354381681599","0.162997941270461"
"No worries","1986","Couple + C. GT 16 ","Rural Area","42","0.0869513650789155","0.0601002042811342","0.113802525876697"
"No worries","1986","Couple + C. GT 16 ","Urban Area","158","0.0808069898880523","0.0677003581811931","0.0939136215949115"
"No worries","1986","Couple + C. LE 16 ","Rural Area","47","0.073429476449057","0.0503811182089388","0.0964778346891751"
"No worries","1986","Couple + C. LE 16 ","Urban Area","195","0.0762993872169047","0.0643497405126452","0.0882490339211642"
"No worries","1986","Couple + C. LE and GT 16","Rural Area","27","","",""
"No worries","1986","Couple + C. LE and GT 16","Urban Area","142","0.0949259347333505","0.0773550455474295","0.112496823919271"
"No worries","1986","Single parent ","Rural Area","12","","",""
"No worries","1986","Single parent ","Urban Area","42","0.104320994254711","0.0738662704911091","0.134775718018314"
"Some worries","1986","(Married) couple without C. ","Rural Area","191","0.456151299600096","0.409559515944606","0.502743083255586"
"Some worries","1986","(Married) couple without C. ","Urban Area","928","0.484561953262403","0.462248328492514","0.506875578032291"
"Some worries","1986","1-pers.-HH","Rural Area","61","0.39219269822931","0.317695690797646","0.466689705660975"
"Some worries","1986","1-pers.-HH","Urban Area","396","0.431015831184588","0.399222441191931","0.462809221177244"
"Some worries","1986","Couple + C. GT 16 ","Rural Area","207","0.514730324486118","0.467102651699093","0.562357997273144"
"Some worries","1986","Couple + C. GT 16 ","Urban Area","747","0.456332915094549","0.432379320628039","0.48028650956106"
"Some worries","1986","Couple + C. LE 16 ","Rural Area","264","0.537068666891928","0.493009250935435","0.58112808284842"
"Some worries","1986","Couple + C. LE 16 ","Urban Area","893","0.459277996645983","0.436846731676478","0.481709261615489"
"Some worries","1986","Couple + C. LE and GT 16","Rural Area","149","0.451806875598291","0.396406787664574","0.507206963532009"
"Some worries","1986","Couple + C. LE and GT 16","Urban Area","527","0.491398458524472","0.461429961048096","0.521366956000848"
"Some worries","1986","Single parent ","Rural Area","54","0.429566662114735","0.339484908793456","0.519648415436013"
"Some worries","1986","Single parent ","Urban Area","176","0.454403061590482","0.404795349795103","0.504010773385862"
"Big worries","1987","(Married) couple without C. ","Rural Area","258","0.580788058299876","0.535349488651976","0.626226627947777"
"Big worries","1987","(Married) couple without C. ","Urban Area","1065","0.577286790962389","0.554968702165803","0.599604879758974"
"Big worries","1987","1-pers.-HH","Rural Area","73","0.455993567771822","0.38022738232323","0.531759753220413"
"Big worries","1987","1-pers.-HH","Urban Area","554","0.59660527165228","0.565193896619262","0.628016646685297"
"Big worries","1987","Couple + C. GT 16 ","Rural Area","272","0.617669175818797","0.572518349128099","0.662820002509496"
"Big worries","1987","Couple + C. GT 16 ","Urban Area","962","0.609608792888156","0.586357242729586","0.632860343046726"
"Big worries","1987","Couple + C. LE 16 ","Rural Area","257","0.572344170111826","0.528222661270187","0.616465678953466"
"Big worries","1987","Couple + C. LE 16 ","Urban Area","1018","0.60306045449391","0.58078965358691","0.625331255400911"
"Big worries","1987","Couple + C. LE and GT 16","Rural Area","169","0.652743798488549","0.595849554168627","0.709638042808471"
"Big worries","1987","Couple + C. LE and GT 16","Urban Area","451","0.523058974780054","0.491723891609111","0.554394057950997"
"Big worries","1987","Single parent ","Rural Area","58","0.507505268087264","0.417680587332481","0.597329948842047"
"Big worries","1987","Single parent ","Urban Area","247","0.632410886816617","0.58510201056054","0.679719763072695"
"No worries","1987","(Married) couple without C. ","Rural Area","35","0.0490803344181544","0.0291862177231773","0.0689744511131316"
"No worries","1987","(Married) couple without C. ","Urban Area","109","0.0483534354134279","0.0386619623909889","0.0580449084358668"
"No worries","1987","1-pers.-HH","Rural Area","26","","",""
"No worries","1987","1-pers.-HH","Urban Area","74","0.0710387647083763","0.0545903217960762","0.0874872076206765"
"No worries","1987","Couple + C. GT 16 ","Rural Area","20","","",""
"No worries","1987","Couple + C. GT 16 ","Urban Area","112","0.0389167398894055","0.0296989878878858","0.0481344918909251"
"No worries","1987","Couple + C. LE 16 ","Rural Area","45","0.044762808302537","0.026321624356605","0.0632039922484689"
"No worries","1987","Couple + C. LE 16 ","Urban Area","121","0.0340363658250306","0.0257827318375638","0.0422899998124975"
"No worries","1987","Couple + C. LE and GT 16","Rural Area","14","","",""
"No worries","1987","Couple + C. LE and GT 16","Urban Area","98","0.0552673434802041","0.0409318733189539","0.0696028136414543"
"No worries","1987","Single parent ","Rural Area","4","","",""
"No worries","1987","Single parent ","Urban Area","20","","",""
"Some worries","1987","(Married) couple without C. ","Rural Area","160","0.370131607281969","0.325668277370295","0.414594937193644"
"Some worries","1987","(Married) couple without C. ","Urban Area","708","0.374359773624184","0.352494989102396","0.396224558145971"
"Some worries","1987","1-pers.-HH","Rural Area","67","0.379442207846369","0.305624937264046","0.453259478428691"
"Some worries","1987","1-pers.-HH","Urban Area","309","0.332355963639344","0.302194492502038","0.362517434776651"
"Some worries","1987","Couple + C. GT 16 ","Rural Area","153","0.349814697947456","0.30550429638007","0.394125099514842"
"Some worries","1987","Couple + C. GT 16 ","Urban Area","617","0.351474467222439","0.328718949676722","0.374229984768155"
"Some worries","1987","Couple + C. LE 16 ","Rural Area","181","0.382893021585637","0.339542584563586","0.426243458607687"
"Some worries","1987","Couple + C. LE 16 ","Urban Area","715","0.362903179681059","0.341015922974394","0.384790436387724"
"Some worries","1987","Couple + C. LE and GT 16","Rural Area","86","0.314800408226797","0.259299748922638","0.370301067530955"
"Some worries","1987","Couple + C. LE and GT 16","Urban Area","427","0.421673681739742","0.390692505065872","0.452654858413612"
"Some worries","1987","Single parent ","Rural Area","57","0.468938993907719","0.379277702263322","0.558600285552117"
"Some worries","1987","Single parent ","Urban Area","132","0.314485215236528","0.268926635936643","0.360043794536414"
"Big worries","1988","(Married) couple without C. ","Rural Area","214","0.511972336725376","0.464337643223572","0.559607030227181"
"Big worries","1988","(Married) couple without C. ","Urban Area","1029","0.583550828237505","0.561001578380756","0.606100078094253"
"Big worries","1988","1-pers.-HH","Rural Area","75","0.455779563119712","0.380016261138362","0.531542865101062"
"Big worries","1988","1-pers.-HH","Urban Area","496","0.563929685524036","0.531386774133303","0.596472596914768"
"Big worries","1988","Couple + C. GT 16 ","Rural Area","241","0.551280642339855","0.503883552014204","0.598677732665507"
"Big worries","1988","Couple + C. GT 16 ","Urban Area","943","0.575027255894552","0.551991157313965","0.598063354475139"
"Big worries","1988","Couple + C. LE 16 ","Rural Area","260","0.582706759703024","0.537790529559338","0.627622989846711"
"Big worries","1988","Couple + C. LE 16 ","Urban Area","954","0.614864280967513","0.592071277866833","0.637657284068192"
"Big worries","1988","Couple + C. LE and GT 16","Rural Area","144","0.594085931289331","0.531032051216759","0.657139811361903"
"Big worries","1988","Couple + C. LE and GT 16","Urban Area","360","0.48053215360219","0.446725072730135","0.514339234474246"
"Big worries","1988","Single parent ","Rural Area","64","0.519833008011688","0.430443706161348","0.609222309862028"
"Big worries","1988","Single parent ","Urban Area","214","0.568938908486646","0.519663020651727","0.618214796321564"
"No worries","1988","(Married) couple without C. ","Rural Area","33","0.0569109762299107","0.0348333554068465","0.0789885970529748"
