"plh0036","year","sex","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","Female","3043","0.514454338522246","0.501953119576851","0.52695555746764","1"
"Big worries","1984","Male","2944","0.530718830551462","0.518010474364164","0.54342718673876","1"
"No worries","1984","Female","656","0.0867513895093835","0.0797110008397224","0.0937917781790446","3"
"No worries","1984","Male","617","0.0753210119647497","0.068600627274814","0.0820413966546853","3"
"Some worries","1984","Female","2441","0.398794271968371","0.386546702366923","0.411041841569819","2"
"Some worries","1984","Male","2363","0.393960157483788","0.38151738083124","0.406402934136336","2"
"Big worries","1985","Female","2509","0.468084099049223","0.454950590941944","0.481217607156503","1"
"Big worries","1985","Male","2437","0.473416074379324","0.460079298155575","0.486752850603074","1"
"No worries","1985","Female","554","0.082464883235702","0.0752248061956448","0.0897049602757592","3"
"No worries","1985","Male","518","0.0755169405115484","0.0684591748005899","0.0825747062225069","3"
"Some worries","1985","Female","2482","0.449451017715075","0.436358098689851","0.462543936740298","2"
"Some worries","1985","Male","2429","0.451066985109127","0.43777543105689","0.464358539161364","2"
"Big worries","1986","Female","2246","0.434045268404795","0.420706839016826","0.447383697792764","1"
"Big worries","1986","Male","2136","0.422416767653176","0.408991458905785","0.435842076400568","1"
"No worries","1986","Female","595","0.10593954790868","0.0976570977079558","0.114221998109404","3"
"No worries","1986","Male","605","0.10513853909445","0.0968016256875199","0.113475452501379","3"
"Some worries","1986","Female","2463","0.460015183686525","0.446602268120089","0.473428099252961","2"
"Some worries","1986","Male","2459","0.472444693252374","0.458875441352984","0.486013945151764","2"
"Big worries","1987","Female","2935","0.591121825702523","0.577801704227402","0.604441947177644","1"
"Big worries","1987","Male","2773","0.570878047375148","0.557366789162452","0.584389305587843","1"
"No worries","1987","Female","374","0.0540660252477847","0.0479387786808077","0.0601932718147617","3"
"No worries","1987","Male","383","0.0531703696160311","0.0470453918561999","0.0592953473758622","3"
"Some worries","1987","Female","1924","0.354812149049692","0.341848864469428","0.367775433629957","2"
"Some worries","1987","Male","1999","0.375951583008821","0.362729226640706","0.389173939376937","2"
"Big worries","1988","Female","2728","0.576071879828872","0.562379659112074","0.589764100545671","1"
"Big worries","1988","Male","2532","0.544111211268683","0.530181682736143","0.558040739801224","1"
"No worries","1988","Female","350","0.0522883542248205","0.0461205577341868","0.0584561507154542","3"
"No worries","1988","Male","341","0.0524282258731071","0.046194441690156","0.0586620100560582","3"
"Some worries","1988","Female","1926","0.371639765946307","0.358250558331097","0.385028973561517","2"
"Some worries","1988","Male","2038","0.40346056285821","0.389739642325673","0.417181483390746","2"
"Big worries","1989","Female","2937","0.636307463784589","0.622806262371584","0.649808665197593","1"
"Big worries","1989","Male","2719","0.613300415514281","0.599429293832257","0.627171537196305","1"
"No worries","1989","Female","307","0.0460890743165269","0.0402043703875482","0.0519737782455057","3"
"No worries","1989","Male","313","0.0455526542731425","0.0396135502713294","0.0514917582749556","3"
"Some worries","1989","Female","1633","0.317603461898884","0.304537760325061","0.330669163472707","2"
"Some worries","1989","Male","1703","0.341146930212577","0.327643219671006","0.354650640754147","2"
"Big worries","1990","Female","4232","0.616621563568217","0.605316872867478","0.627926254268956","1"
"Big worries","1990","Male","3988","0.609133983384506","0.597503092158845","0.620764874610168","1"
"No worries","1990","Female","352","0.049244442169619","0.0442135091305135","0.0542753752087245","3"
"No worries","1990","Male","342","0.0446476670111288","0.0397247355144196","0.049570598507838","3"
"Some worries","1990","Female","2522","0.334133994262164","0.323166958936279","0.345101029588048","2"
"Some worries","1990","Male","2431","0.346218349604365","0.33487780195963","0.3575588972491","2"
"Big worries","1991","Female","3518","0.529192576289546","0.517463451362169","0.540921701216924","1"
"Big worries","1991","Male","3059","0.487329345132725","0.475294156910315","0.499364533355134","1"
"No worries","1991","Female","375","0.0482671672946789","0.0432307637482687","0.053303570841089","3"
"No worries","1991","Male","441","0.0577488593976662","0.0521322086886841","0.0633655101066483","3"
"Some worries","1991","Female","3064","0.422540256415775","0.410932935497614","0.434147577333936","2"
"Some worries","1991","Male","3126","0.454921795469609","0.442931768613486","0.466911822325732","2"
"Big worries","1992","Female","4004","0.602891966513172","0.591297190036607","0.614486742989738","1"
"Big worries","1992","Male","3457","0.557594215393171","0.545471354971287","0.569717075815055","1"
"No worries","1992","Female","289","0.0410478860895433","0.0363464324876956","0.045749339691391","3"
"No worries","1992","Male","333","0.0436378104512868","0.0386515122080661","0.0486241086945076","3"
"Some worries","1992","Female","2548","0.356060147397284","0.344713367479257","0.367406927315312","2"
"Some worries","1992","Male","2658","0.398767974155542","0.386816629642775","0.41071931866831","2"
"Big worries","1993","Female","3461","0.525797381251555","0.513869392503862","0.537725369999248","1"
"Big worries","1993","Male","3016","0.484718936401852","0.472425805333973","0.49701206746973","1"
"No worries","1993","Female","294","0.0398452835485267","0.0351729363432451","0.0445176307538083","3"
"No worries","1993","Male","320","0.0467166911388113","0.0415257935662284","0.0519075887113943","3"
"Some worries","1993","Female","2977","0.434357335199919","0.422516817340535","0.446197853059302","2"
"Some worries","1993","Male","3013","0.468564372459337","0.456289827740869","0.480838917177805","2"
"Big worries","1994","Female","2679","0.411719992274013","0.39989769609769","0.423542288450336","1"
"Big worries","1994","Male","2238","0.371333299367049","0.359305686261739","0.383360912472359","1"
"No worries","1994","Female","378","0.0548090739637336","0.0493414981134374","0.0602766498140299","3"
"No worries","1994","Male","467","0.0684165333530268","0.0621319181542434","0.0747011485518101","3"
"Some worries","1994","Female","3600","0.533470933762253","0.521486885568446","0.54545498195606","2"
"Some worries","1994","Male","3494","0.560250167279924","0.547894075892479","0.572606258667369","2"
"Big worries","1995","Female","3094","0.464579412784181","0.452784931482822","0.47637389408554","1"
"Big worries","1995","Male","2554","0.416244479636352","0.404155507498971","0.428333451773732","1"
"No worries","1995","Female","358","0.049901365718342","0.0447521404045293","0.0550505910321547","3"
"No worries","1995","Male","424","0.0632302800481993","0.0572615957589052","0.0691989643374935","3"
"Some worries","1995","Female","3417","0.485519221497477","0.473699993137428","0.497338449857526","2"
"Some worries","1995","Male","3409","0.520525240315449","0.508273341408668","0.532777139222229","2"
"Big worries","1996","Female","2623","0.4067280296893","0.395033674637677","0.418422384740922","1"
"Big worries","1996","Male","2085","0.341950944247684","0.330228078076292","0.353673810419076","1"
"No worries","1996","Female","444","0.0575583907002678","0.0520136804486333","0.0631031009519023","3"
"No worries","1996","Male","551","0.0816441802025347","0.0748772627940311","0.0884110976110383","3"
"Some worries","1996","Female","3711","0.535713579610432","0.523840684608264","0.547586474612601","2"
"Some worries","1996","Male","3654","0.576404875549781","0.564193570864082","0.588616180235481","2"
"Big worries","1997","Female","2462","0.381426568009687","0.369745037247859","0.393108098771514","1"
"Big worries","1997","Male","1896","0.321646069673722","0.310038660671973","0.33325347867547","1"
"No worries","1997","Female","507","0.0712316310869341","0.0650459317323463","0.077417330441522","3"
