"plh0037","year","e11103","n","percent","lower_confidence","upper_confidence"
"Big worries","2009","Full Time","1773","0.259641747803289","0.249367206216117","0.269916289390461"
"Big worries","2009","Not Working","2010","0.304812785583257","0.293887736880519","0.315737834285995"
"Big worries","2009","Part Time","1261","0.292694834848258","0.27896534904353","0.306424320652986"
"No worries","2009","Full Time","1247","0.177763426249035","0.168804131323322","0.186722721174749"
"No worries","2009","Not Working","1120","0.162474864914398","0.153720030815645","0.171229699013151"
"No worries","2009","Part Time","603","0.149928058076657","0.139155654208831","0.160700461944484"
"Some worries","2009","Full Time","3975","0.562594825947676","0.550969796639581","0.57421985525577"
"Some worries","2009","Not Working","3690","0.532712349502345","0.520871184362777","0.544553514641914"
"Some worries","2009","Part Time","2355","0.557377107075085","0.542389412714762","0.572364801435407"
"Big worries","2010","Full Time","2378","0.261310229727701","0.252347651408056","0.270272808047345"
"Big worries","2010","Not Working","2575","0.318937302631897","0.308967560020355","0.328907045243439"
"Big worries","2010","Part Time","1919","0.31312472579357","0.301703658655376","0.324545792931764"
"No worries","2010","Full Time","1835","0.198787703819754","0.190646431589612","0.206928976049897"
"No worries","2010","Not Working","1490","0.173780367438898","0.165674754682796","0.181885980195"
"No worries","2010","Part Time","996","0.162341037475587","0.153259553105187","0.171422521845986"
"Some worries","2010","Full Time","5018","0.539902066452545","0.529734749747439","0.550069383157652"
"Some worries","2010","Not Working","4330","0.507282329929205","0.496587800573059","0.51797685928535"
"Some worries","2010","Part Time","3419","0.524534236730844","0.512235638713349","0.536832834748339"
"Big worries","2011","Full Time","2159","0.273336164241641","0.263429824607725","0.283242503875558"
"Big worries","2011","Not Working","2384","0.300056898796425","0.289981095942374","0.310132701650477"
"Big worries","2011","Part Time","1581","0.317858067633342","0.304769425100193","0.330946710166491"
"No worries","2011","Full Time","1377","0.179602048167093","0.171069754034497","0.188134342299689"
"No worries","2011","Not Working","1296","0.157306386016156","0.149301511787827","0.165311260244484"
"No worries","2011","Part Time","709","0.150971084634578","0.140907591793285","0.161034577475872"
"Some worries","2011","Full Time","4239","0.547061787591265","0.53599719154157","0.55812638364096"
"Some worries","2011","Not Working","4267","0.542636715187419","0.531683749649183","0.553589680725655"
"Some worries","2011","Part Time","2572","0.531170847732079","0.517143840079214","0.545197855384945"
"Big worries","2012","Full Time","1874","0.254797636079991","0.244997150279232","0.26459812188075"
"Big worries","2012","Not Working","2298","0.289241541526212","0.279315854229382","0.299167228823042"
"Big worries","2012","Part Time","1450","0.294220246394031","0.281411356599213","0.307029136188849"
"No worries","2012","Full Time","1569","0.215166890890793","0.205924396943422","0.224409384838163"
"No worries","2012","Not Working","1406","0.174505088890768","0.166196438502753","0.182813739278783"
"No worries","2012","Part Time","771","0.162079216849221","0.151720504823201","0.172437928875241"
"Some worries","2012","Full Time","4151","0.530035473029217","0.518810177024841","0.541260769033593"
"Some worries","2012","Not Working","4312","0.53625336958302","0.525336587595887","0.547170151570153"
"Some worries","2012","Part Time","2641","0.543700536756748","0.529699974613537","0.557701098899959"
"Big worries","2013","Full Time","1668","0.238437602571805","0.228435797692624","0.248439407450985"
"Big worries","2013","Not Working","1926","0.266789332354531","0.256654656561829","0.276924008147234"
"Big worries","2013","Part Time","1251","0.2706406634985","0.257767882486321","0.28351344451068"
"No worries","2013","Full Time","1473","0.221341924168325","0.211597784618342","0.231086063718309"
"No worries","2013","Not Working","1492","0.207292411262746","0.198003614681765","0.216581207843727"
"No worries","2013","Part Time","840","0.185961211602656","0.174688229531505","0.197234193673807"
"Some worries","2013","Full Time","3832","0.54022047325987","0.528522824081404","0.551918122438336"
"Some worries","2013","Not Working","3898","0.525918256382723","0.514476387102627","0.537360125662819"
"Some worries","2013","Part Time","2485","0.543398124898844","0.528965909694265","0.557830340103423"
"Big worries","2014","Full Time","2553","0.249099946401753","0.240706778910259","0.257493113893247"
"Big worries","2014","Not Working","2772","0.297358046285025","0.288075078138628","0.306641014431422"
"Big worries","2014","Part Time","2138","0.272812495498689","0.262759651259421","0.282865339737958"
"No worries","2014","Full Time","2198","0.214745997370016","0.206776780907589","0.222715213832443"
"No worries","2014","Not Working","1755","0.187002042284548","0.179083451934547","0.194920632634548"
"No worries","2014","Part Time","1286","0.177075379923374","0.168459636849556","0.185691122997193"
"Some worries","2014","Full Time","5449","0.536154056228231","0.526476188442665","0.545831924013798"
"Some worries","2014","Not Working","4787","0.515639911430428","0.505490580538425","0.52578924232243"
"Some worries","2014","Part Time","4117","0.550112124577937","0.538883892679263","0.561340356476611"
"Big worries","2015","Full Time","2239","0.234092081095543","0.225564383055076","0.24261977913601"
"Big worries","2015","Not Working","2408","0.291170249938887","0.281464839741113","0.30087566013666"
"Big worries","2015","Part Time","1941","0.270672888906769","0.260332252079885","0.281013525733652"
"No worries","2015","Full Time","1974","0.207041523825574","0.198881261440044","0.215201786211105"
"No worries","2015","Not Working","1569","0.183845949643141","0.175570672818975","0.192121226467308"
"No worries","2015","Part Time","1258","0.177907713505852","0.169007070071205","0.1868083569405"
"Some worries","2015","Full Time","5258","0.558866395078883","0.548866642782783","0.568866147374983"
"Some worries","2015","Not Working","4440","0.524983800417972","0.514315466784753","0.535652134051191"
"Some worries","2015","Part Time","3893","0.551419397587379","0.539844291176868","0.562994503997891"
"Big worries","2016","Full Time","2463","0.271753186709371","0.262641514175923","0.280864859242819"
"Big worries","2016","Not Working","2649","0.330984607887083","0.320719758805641","0.341249456968525"
"Big worries","2016","Part Time","2200","0.320292893953086","0.30932014966431","0.331265638241861"
"No worries","2016","Full Time","1751","0.19647136359079","0.188333286621755","0.204609440559824"
"No worries","2016","Not Working","1295","0.161684609045407","0.153653626629406","0.169715591461408"
"No worries","2016","Part Time","1082","0.160532990399853","0.151899932251886","0.16916604854782"
"Some worries","2016","Full Time","4943","0.531775449699839","0.521555171531126","0.541995727868553"
"Some worries","2016","Not Working","4129","0.50733078306751","0.496425073296899","0.518236492838121"
"Some worries","2016","Part Time","3664","0.519174115647061","0.507424297718831","0.530923933575292"
"Big worries","2017","Full Time","3269","0.314053851768446","0.305119385474424","0.322988318062468"
"Big worries","2017","Not Working","3254","0.378505339861002","0.368227113590882","0.388783566131123"
"Big worries","2017","Part Time","2865","0.375335869043148","0.364466146702115","0.386205591384181"
"No worries","2017","Full Time","1689","0.162131192431708","0.155036348582195","0.169226036281221"
"No worries","2017","Not Working","1190","0.141582798300681","0.134194950840827","0.148970645760535"
"No worries","2017","Part Time","944","0.130905652215749","0.123333875592056","0.138477428839443"
"Some worries","2017","Full Time","5409","0.523814955799846","0.514201083162458","0.533428828437234"
"Some worries","2017","Not Working","4110","0.479911861838316","0.469324623629634","0.490499100046999"
"Some worries","2017","Part Time","3814","0.493758478741103","0.482535160037198","0.504981797445008"
"Big worries","2018","Full Time","2979","0.302353961773547","0.293309218402177","0.311398705144917"
"Big worries","2018","Not Working","2917","0.364159637143724","0.353777460067914","0.374541814219535"
"Big worries","2018","Part Time","2596","0.345326972639168","0.334584053330601","0.356069891947736"
"No worries","2018","Full Time","1664","0.162885578576942","0.155613566685253","0.170157590468631"
"No worries","2018","Not Working","1254","0.137923232472797","0.130483451235733","0.145363013709862"
"No worries","2018","Part Time","1043","0.144997196069441","0.137041862208407","0.152952529930475"
"Some worries","2018","Full Time","5262","0.534760459649511","0.52493758043088","0.544583338868141"
"Some worries","2018","Not Working","4081","0.497917130383479","0.48712928489759","0.508704975869368"
"Some worries","2018","Part Time","3886","0.50967583129139","0.498380902189415","0.520970760393365"
"Big worries","2019","Full Time","4766","0.454473119612073","0.444939663995547","0.4640065752286"
"Big worries","2019","Not Working","4055","0.492475491643396","0.481561730334563","0.50338925295223"
"Big worries","2019","Part Time","3753","0.505046519473361","0.493503519024869","0.516589519921852"
"No worries","2019","Full Time","1112","0.104659955809398","0.0987989459931283","0.110520965625667"
"No worries","2019","Not Working","757","0.0954113467021344","0.0889980813226999","0.101824612081569"
"No worries","2019","Part Time","556","0.0875129530326109","0.0809888568728608","0.0940370491923611"
"Some worries","2019","Full Time","4601","0.440866924578529","0.431360887115243","0.450372962041815"
"Some worries","2019","Not Working","3249","0.412113161654469","0.401368104213504","0.422858219095435"
"Some worries","2019","Part Time","2898","0.407440527494029","0.396096457036717","0.41878459795134"
