"plh0038","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Schleswig-Holstein","lower secondary degree","98","0.466115272610154","0.398645560211205","0.533584985009103"
"Big worries","1984","Schleswig-Holstein","secondary school degree","48","0.537017633763357","0.436217603466392","0.637817664060322"
"Big worries","1984","Schleswig-Holstein","college entrance qualification","21","","",""
"Big worries","1984","Schleswig-Holstein","Other degree","6","","",""
"Big worries","1984","Schleswig-Holstein","no degree/no degree yet","11","","",""
"Big worries","1984","Hamburg","lower secondary degree","79","0.583263757462779","0.499475067165728","0.667052447759831"
"Big worries","1984","Hamburg","secondary school degree","35","0.586653693193936","0.45992293603939","0.713384450348481"
"Big worries","1984","Hamburg","college entrance qualification","24","","",""
"Big worries","1984","Hamburg","Other degree","28","","",""
"Big worries","1984","Hamburg","no degree/no degree yet","11","","",""
"Big worries","1984","Lower Saxony","lower secondary degree","327","0.491098666845755","0.45318803422177","0.529009299469741"
"Big worries","1984","Lower Saxony","secondary school degree","131","0.559519925067355","0.495912022577583","0.623127827557127"
"Big worries","1984","Lower Saxony","college entrance qualification","69","0.526730649893453","0.439551766262028","0.613909533524877"
"Big worries","1984","Lower Saxony","Other degree","34","0.238458972897399","0.148913846894044","0.328004098900753"
"Big worries","1984","Lower Saxony","no degree/no degree yet","46","0.558925190148571","0.459603192950189","0.658247187346952"
"Big worries","1984","Bremen","lower secondary degree","49","0.670089009531258","0.562231273459514","0.777946745603002"
"Big worries","1984","Bremen","secondary school degree","19","","",""
"Big worries","1984","Bremen","college entrance qualification","8","","",""
"Big worries","1984","Bremen","Other degree","14","","",""
"Big worries","1984","Bremen","no degree/no degree yet","3","","",""
"Big worries","1984","North Rhine-Westphalia","lower secondary degree","895","0.58087240391872","0.556488837333593","0.605255970503846"
"Big worries","1984","North Rhine-Westphalia","secondary school degree","272","0.571460358010982","0.527509013395019","0.615411702626945"
"Big worries","1984","North Rhine-Westphalia","college entrance qualification","227","0.611655971778982","0.56226196970735","0.661049973850614"
"Big worries","1984","North Rhine-Westphalia","Other degree","183","0.484721952605954","0.433935978631943","0.535507926579966"
"Big worries","1984","North Rhine-Westphalia","no degree/no degree yet","189","0.500126050234357","0.45062948665188","0.549622613816835"
"Big worries","1984","Hesse","lower secondary degree","283","0.524935610601074","0.482932888928644","0.566938332273504"
"Big worries","1984","Hesse","secondary school degree","105","0.529361915411772","0.458943002402425","0.599780828421119"
"Big worries","1984","Hesse","college entrance qualification","95","0.612534400239306","0.53457216560697","0.690496634871642"
"Big worries","1984","Hesse","Other degree","111","0.494579128074215","0.426469674367625","0.562688581780804"
