"plh0038","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1984","Employed","general elemantary","833","0.508767233443561","0.484918512032903","0.532615954854219"
"Big worries","1984","Employed","higher education","355","0.561789931259767","0.522984150937352","0.600595711582182"
"Big worries","1984","Employed","higher vocational","247","0.515236052681206","0.470149672327371","0.56032243303504"
"Big worries","1984","Employed","in school","5","","",""
"Big worries","1984","Employed","inadequately","242","0.372876895585273","0.334904918909274","0.410848872261273"
"Big worries","1984","Employed","middle vocational","1935","0.519756343005165","0.503862983509522","0.535649702500808"
"Big worries","1984","Employed","vocational + Abi","141","0.629517567132427","0.567105019585598","0.691930114679256"
"Big worries","1984","Not Employed","general elemantary","939","0.538667443218778","0.515278112676486","0.562056773761071"
"Big worries","1984","Not Employed","higher education","94","0.561229420433237","0.483606991349973","0.638851849516502"
"Big worries","1984","Not Employed","higher vocational","112","0.604412502533061","0.5337600604339","0.675064944632223"
"Big worries","1984","Not Employed","in school","102","0.55431049068805","0.481292337438719","0.627328643937381"
"Big worries","1984","Not Employed","inadequately","154","0.431144006211741","0.380750626977023","0.481537385446459"
"Big worries","1984","Not Employed","middle vocational","1053","0.558724866933978","0.536237793921078","0.581211939946878"
"Big worries","1984","Not Employed","vocational + Abi","50","0.625733437632006","0.520345531173392","0.73112134409062"
"No worries","1984","Employed","general elemantary","227","0.105735467640044","0.0910663085608502","0.120404626719237"
"No worries","1984","Employed","higher education","42","0.0690188835368692","0.0491934510520248","0.0888443160217135"
"No worries","1984","Employed","higher vocational","43","0.0952507925250696","0.0687672854288304","0.121734299621309"
"No worries","1984","Employed","in school","2","","",""
"No worries","1984","Employed","inadequately","155","0.225541238125833","0.192722929369635","0.258359546882031"
"No worries","1984","Employed","middle vocational","399","0.0964308488290671","0.0870406739263561","0.105821023731778"
"No worries","1984","Employed","vocational + Abi","21","","",""
"No worries","1984","Not Employed","general elemantary","175","0.0937456252067536","0.0800698819691718","0.107421368444335"
"No worries","1984","Not Employed","higher education","23","","",""
