"plh0038","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","1-pers.-HH","in school","1","","","","1"
"Big worries","1984","1-pers.-HH","inadequately","27","","","","1"
"Big worries","1984","1-pers.-HH","general elemantary","195","0.523076605796352","0.473442494305778","0.572710717286925","1"
"Big worries","1984","1-pers.-HH","middle vocational","310","0.515597008360325","0.47625913761668","0.554934879103969","1"
"Big worries","1984","1-pers.-HH","vocational + Abi","29","","","","1"
"Big worries","1984","1-pers.-HH","higher vocational","50","0.62261214225483","0.517049965741922","0.728174318767737","1"
"Big worries","1984","1-pers.-HH","higher education","68","0.557246555794778","0.467242966185669","0.647250145403887","1"
"Big worries","1984","(Married) couple without C. ","in school","1","","","","1"
"Big worries","1984","(Married) couple without C. ","inadequately","49","0.372302748804597","0.288556311426633","0.456049186182562","1"
"Big worries","1984","(Married) couple without C. ","general elemantary","371","0.529319714760151","0.492184119080906","0.566455310439397","1"
"Big worries","1984","(Married) couple without C. ","middle vocational","787","0.561482929519695","0.535555314296818","0.587410544742573","1"
"Big worries","1984","(Married) couple without C. ","vocational + Abi","55","0.655078886325684","0.554026791947787","0.756130980703581","1"
"Big worries","1984","(Married) couple without C. ","higher vocational","88","0.535630275898161","0.458593223040829","0.612667328755493","1"
"Big worries","1984","(Married) couple without C. ","higher education","109","0.538425326527032","0.469335067833907","0.607515585220157","1"
"Big worries","1984","Single parent ","in school","7","","","","1"
"Big worries","1984","Single parent ","inadequately","16","","","","1"
"Big worries","1984","Single parent ","general elemantary","100","0.532246977439516","0.463096052037685","0.601397902841347","1"
"Big worries","1984","Single parent ","middle vocational","147","0.565055114084324","0.504445146925406","0.625665081243243","1"
"Big worries","1984","Single parent ","vocational + Abi","6","","","","1"
"Big worries","1984","Single parent ","higher vocational","15","","","","1"
"Big worries","1984","Single parent ","higher education","8","","","","1"
"Big worries","1984","Couple + C. LE 16 ","in school","","","","","1"
"Big worries","1984","Couple + C. LE 16 ","inadequately","115","0.359204225558431","0.305624156274774","0.412784294842088","1"
"Big worries","1984","Couple + C. LE 16 ","general elemantary","339","0.528598447425982","0.490399216679022","0.566797678172942","1"
"Big worries","1984","Couple + C. LE 16 ","middle vocational","748","0.508432829784649","0.48308265137302","0.533783008196279","1"
"Big worries","1984","Couple + C. LE 16 ","vocational + Abi","54","0.656964531123302","0.556044098570225","0.757884963676379","1"
"Big worries","1984","Couple + C. LE 16 ","higher vocational","109","0.515457443580986","0.447211498590475","0.583703388571497","1"
"Big worries","1984","Couple + C. LE 16 ","higher education","158","0.573469110895048","0.513810053583363","0.633128168206733","1"
"Big worries","1984","Couple + C. GT 16 ","in school","49","0.593133128305198","0.484806107115502","0.701460149494893","1"
"Big worries","1984","Couple + C. GT 16 ","inadequately","63","0.472437578552838","0.390611975221608","0.554263181884069","1"
"Big worries","1984","Couple + C. GT 16 ","general elemantary","307","0.547801358293115","0.507400555701646","0.588202160884584","1"
"Big worries","1984","Couple + C. GT 16 ","middle vocational","492","0.536768179510803","0.504581572024855","0.568954786996751","1"
"Big worries","1984","Couple + C. GT 16 ","vocational + Abi","22","","","","1"
"Big worries","1984","Couple + C. GT 16 ","higher vocational","51","0.549590749014388","0.449542464523419","0.649639033505358","1"
"Big worries","1984","Couple + C. GT 16 ","higher education","51","0.543164432012937","0.443518840179734","0.642810023846141","1"
"Big worries","1984","Couple + C. LE and GT 16","in school","42","0.527076998995642","0.416278713443531","0.637875284547753","1"
"Big worries","1984","Couple + C. LE and GT 16","inadequately","92","0.416360410817197","0.350467916650958","0.482252904983437","1"
"Big worries","1984","Couple + C. LE and GT 16","general elemantary","300","0.518388100959107","0.478104297643685","0.558671904274529","1"
"Big worries","1984","Couple + C. LE and GT 16","middle vocational","348","0.528069055316466","0.490492425100181","0.565645685532751","1"
"Big worries","1984","Couple + C. LE and GT 16","vocational + Abi","11","","","","1"
"Big worries","1984","Couple + C. LE and GT 16","higher vocational","23","","","","1"
"Big worries","1984","Couple + C. LE and GT 16","higher education","35","0.621148136471405","0.496304502567744","0.745991770375065","1"
"No worries","1984","Couple + C. LE and GT 16","middle vocational","67","0.078038902220276","0.0578484931543388","0.0982293112862132","3"
"No worries","1984","Couple + C. LE and GT 16","higher education","5","","","","3"
"No worries","1984","1-pers.-HH","in school","","","","","3"
"No worries","1984","1-pers.-HH","inadequately","26","","","","3"
"No worries","1984","1-pers.-HH","general elemantary","57","0.125438395750645","0.0925241627459532","0.158352628755337","3"
