"plh0038","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","1-pers.-HH","West Germany","681","0.531563332116543","0.504694851949084","0.558431812284001","1"
"Big worries","1984","1-pers.-HH","East Germany","","","","","1"
"Big worries","1984","(Married) couple without C. ","West Germany","1463","0.549529503943346","0.530713657074267","0.568345350812424","1"
"Big worries","1984","(Married) couple without C. ","East Germany","","","","","1"
"Big worries","1984","Single parent ","West Germany","299","0.530782309218305","0.490027181543441","0.57153743689317","1"
"Big worries","1984","Single parent ","East Germany","","","","","1"
"Big worries","1984","Couple + C. LE 16 ","West Germany","1541","0.518262863186688","0.500497959817096","0.536027766556279","1"
"Big worries","1984","Couple + C. LE 16 ","East Germany","","","","","1"
"Big worries","1984","Couple + C. GT 16 ","West Germany","1039","0.544857794739558","0.522845188088591","0.566870401390526","1"
"Big worries","1984","Couple + C. GT 16 ","East Germany","","","","","1"
"Big worries","1984","Couple + C. LE and GT 16","West Germany","857","0.523345609739108","0.499610457284779","0.547080762193436","1"
"Big worries","1984","Couple + C. LE and GT 16","East Germany","","","","","1"
"No worries","1984","(Married) couple without C. ","East Germany","","","","","3"
"No worries","1984","1-pers.-HH","West Germany","173","0.109741919499231","0.0929119088757315","0.126571930122731","3"
"No worries","1984","1-pers.-HH","East Germany","","","","","3"
"No worries","1984","(Married) couple without C. ","West Germany","275","0.0950260888733736","0.0839360123227801","0.106116165423967","3"
"No worries","1984","Single parent ","West Germany","58","0.0908519650476194","0.0673815205791288","0.11432240951611","3"
"No worries","1984","Single parent ","East Germany","","","","","3"
"No worries","1984","Couple + C. LE 16 ","West Germany","355","0.0960290180767881","0.0855538444584813","0.106504191695095","3"
"No worries","1984","Couple + C. LE 16 ","East Germany","","","","","3"
"No worries","1984","Couple + C. LE and GT 16","East Germany","","","","","3"
"No worries","1984","Couple + C. GT 16 ","West Germany","191","0.0819496300454842","0.0698251509821481","0.0940741091088203","3"
"No worries","1984","Couple + C. GT 16 ","East Germany","","","","","3"
"No worries","1984","Couple + C. LE and GT 16","West Germany","223","0.0972406084682687","0.0831605072891088","0.111320709647429","3"
"Some worries","1984","Couple + C. LE 16 ","East Germany","","","","","2"
"Some worries","1984","Couple + C. GT 16 ","West Germany","736","0.373192575214958","0.351813451631797","0.394571698798118","2"
"Some worries","1984","Couple + C. LE and GT 16","West Germany","621","0.379413781792624","0.356354087332912","0.402473476252335","2"
"Some worries","1984","Couple + C. LE and GT 16","East Germany","","","","","2"
"Some worries","1984","1-pers.-HH","West Germany","471","0.358694748384226","0.332870061818755","0.384519434949697","2"
"Some worries","1984","1-pers.-HH","East Germany","","","","","2"
"Some worries","1984","(Married) couple without C. ","West Germany","948","0.355444407183281","0.337343050756707","0.373545763609855","2"
"Some worries","1984","(Married) couple without C. ","East Germany","","","","","2"
"Some worries","1984","Single parent ","West Germany","219","0.378365725734075","0.338759795367519","0.417971656100632","2"
"Some worries","1984","Single parent ","East Germany","","","","","2"
"Some worries","1984","Couple + C. LE 16 ","West Germany","1143","0.385708118736524","0.368402006380567","0.403014231092481","2"
"Some worries","1984","Couple + C. GT 16 ","East Germany","","","","","2"
"Big worries","1985","1-pers.-HH","West Germany","574","0.507805847103486","0.479036091667684","0.536575602539288","1"
"Big worries","1985","1-pers.-HH","East Germany","","","","","1"
"Big worries","1985","(Married) couple without C. ","West Germany","1225","0.506528016830188","0.486555029241125","0.526501004419252","1"
"Big worries","1985","(Married) couple without C. ","East Germany","","","","","1"
"Big worries","1985","Single parent ","West Germany","254","0.477834153111991","0.435546992881585","0.520121313342396","1"
"Big worries","1985","Single parent ","East Germany","","","","","1"
"Big worries","1985","Couple + C. LE 16 ","West Germany","1321","0.479231273475224","0.460243066981999","0.498219479968449","1"
"Big worries","1985","Couple + C. LE 16 ","East Germany","","","","","1"
"Big worries","1985","Couple + C. GT 16 ","West Germany","984","0.488723444990829","0.466848742627285","0.510598147354373","1"
"Big worries","1985","Couple + C. GT 16 ","East Germany","","","","","1"
"Big worries","1985","Couple + C. LE and GT 16","West Germany","646","0.459069018710273","0.433646719115027","0.484491318305518","1"
"Big worries","1985","Couple + C. LE and GT 16","East Germany","","","","","1"
"No worries","1985","1-pers.-HH","West Germany","152","0.124742546313944","0.105727634842435","0.143757457785452","3"
"No worries","1985","(Married) couple without C. ","East Germany","","","","","3"
"No worries","1985","1-pers.-HH","East Germany","","","","","3"
"No worries","1985","(Married) couple without C. ","West Germany","257","0.100264065717341","0.0882651988538948","0.112262932580787","3"
"No worries","1985","Single parent ","West Germany","61","0.101908580438273","0.0762972968072101","0.127519864069335","3"
"No worries","1985","Single parent ","East Germany","","","","","3"
"No worries","1985","Couple + C. LE 16 ","West Germany","280","0.0976838139875752","0.0863993846774448","0.108968243297705","3"
"No worries","1985","Couple + C. LE 16 ","East Germany","","","","","3"
"No worries","1985","Couple + C. LE and GT 16","East Germany","","","","","3"
"No worries","1985","Couple + C. GT 16 ","West Germany","217","0.0910169566896365","0.0784299729097145","0.103603940469558","3"
"No worries","1985","Couple + C. GT 16 ","East Germany","","","","","3"
"No worries","1985","Couple + C. LE and GT 16","West Germany","218","0.120669686706958","0.104051638008071","0.137287735405845","3"
"Some worries","1985","Couple + C. GT 16 ","West Germany","805","0.420259598319535","0.398659375521016","0.441859821118053","2"
"Some worries","1985","Couple + C. LE 16 ","East Germany","","","","","2"
"Some worries","1985","Couple + C. LE and GT 16","West Germany","612","0.420261294582769","0.395079843226065","0.445442745939474","2"
"Some worries","1985","Couple + C. LE and GT 16","East Germany","","","","","2"
"Some worries","1985","1-pers.-HH","West Germany","434","0.36745160658257","0.339707799866003","0.395195413299138","2"
"Some worries","1985","1-pers.-HH","East Germany","","","","","2"
"Some worries","1985","(Married) couple without C. ","West Germany","925","0.393207917452471","0.373694149979452","0.412721684925489","2"
"Some worries","1985","(Married) couple without C. ","East Germany","","","","","2"
"Some worries","1985","Single parent ","West Germany","221","0.420257266449737","0.378470288031255","0.462044244868219","2"
"Some worries","1985","Single parent ","East Germany","","","","","2"
"Some worries","1985","Couple + C. LE 16 ","West Germany","1058","0.423084912537201","0.40430651019461","0.441863314879792","2"
"Some worries","1985","Couple + C. GT 16 ","East Germany","","","","","2"
"Big worries","1986","1-pers.-HH","West Germany","504","0.458707929524452","0.429407430437856","0.488008428611047","1"
"Big worries","1986","1-pers.-HH","East Germany","","","","","1"
"Big worries","1986","(Married) couple without C. ","West Germany","1133","0.476750119259845","0.456663064744243","0.496837173775447","1"
"Big worries","1986","(Married) couple without C. ","East Germany","","","","","1"
"Big worries","1986","Single parent ","West Germany","244","0.47930404532187","0.435732792155101","0.52287529848864","1"
"Big worries","1986","Single parent ","East Germany","","","","","1"
"Big worries","1986","Couple + C. LE 16 ","West Germany","1047","0.425722142269272","0.405898963578982","0.445545320959563","1"
"Big worries","1986","Couple + C. LE 16 ","East Germany","","","","","1"
"Big worries","1986","Couple + C. GT 16 ","West Germany","950","0.44837651393426","0.427044805150085","0.469708222718434","1"
"Big worries","1986","Couple + C. GT 16 ","East Germany","","","","","1"
"Big worries","1986","Couple + C. LE and GT 16","West Germany","594","0.427193900791429","0.401132582250723","0.453255219332135","1"
"Big worries","1986","Couple + C. LE and GT 16","East Germany","","","","","1"
"No worries","1986","(Married) couple without C. ","East Germany","","","","","3"
"No worries","1986","1-pers.-HH","West Germany","151","0.122692900592371","0.103400929595712","0.14198487158903","3"
"No worries","1986","1-pers.-HH","East Germany","","","","","3"
"No worries","1986","(Married) couple without C. ","West Germany","280","0.10920089158997","0.0966573763151993","0.12174440686474","3"
"No worries","1986","Single parent ","West Germany","61","0.127638344523469","0.0985351094431575","0.156741579603781","3"
"No worries","1986","Single parent ","East Germany","","","","","3"
"No worries","1986","Couple + C. LE 16 ","West Germany","329","0.133700700468927","0.120056441195239","0.147344959742615","3"
"No worries","1986","Couple + C. LE 16 ","East Germany","","","","","3"
"No worries","1986","Couple + C. GT 16 ","West Germany","270","0.125923343450998","0.111693152493763","0.140153534408233","3"
"No worries","1986","Couple + C. GT 16 ","East Germany","","","","","3"
"No worries","1986","Couple + C. LE and GT 16","West Germany","174","0.110738428937448","0.0942057212415133","0.127271136633382","3"
"No worries","1986","Couple + C. LE and GT 16","East Germany","","","","","3"
"Some worries","1986","Couple + C. LE 16 ","East Germany","","","","","2"
"Some worries","1986","1-pers.-HH","East Germany","","","","","2"
"Some worries","1986","(Married) couple without C. ","West Germany","962","0.414048989150185","0.394239521608654","0.433858456691716","2"
"Some worries","1986","Couple + C. LE and GT 16","West Germany","616","0.462067670271123","0.435801505726517","0.48833383481573","2"
"Some worries","1986","Single parent ","East Germany","","","","","2"
"Some worries","1986","Couple + C. LE 16 ","West Germany","1014","0.440577157261801","0.420673621812402","0.460480692711199","2"
"Some worries","1986","Couple + C. GT 16 ","West Germany","868","0.425700142614743","0.4044919286664","0.446908356563086","2"
"Some worries","1986","Couple + C. LE and GT 16","East Germany","","","","","2"
"Some worries","1986","Single parent ","West Germany","200","0.39305761015466","0.350458135651981","0.43565708465734","2"
"Some worries","1986","Couple + C. GT 16 ","East Germany","","","","","2"
"Some worries","1986","1-pers.-HH","West Germany","456","0.418599169883178","0.389590483243253","0.447607856523102","2"
"Some worries","1986","(Married) couple without C. ","East Germany","","","","","2"
"Big worries","1987","1-pers.-HH","West Germany","522","0.487011386761749","0.457567326293512","0.516455447229987","1"
"Big worries","1987","1-pers.-HH","East Germany","","","","","1"
"Big worries","1987","(Married) couple without C. ","West Germany","1145","0.510620415793268","0.490344678300243","0.530896153286294","1"
"Big worries","1987","(Married) couple without C. ","East Germany","","","","","1"
"Big worries","1987","Single parent ","West Germany","248","0.470068051081383","0.427087336645052","0.513048765517713","1"
"Big worries","1987","Single parent ","East Germany","","","","","1"
"Big worries","1987","Couple + C. LE 16 ","West Germany","999","0.431476023996676","0.411417112046003","0.451534935947349","1"
"Big worries","1987","Couple + C. LE 16 ","East Germany","","","","","1"
"Big worries","1987","Couple + C. GT 16 ","West Germany","893","0.425205770920699","0.404255074041262","0.446156467800135","1"
"Big worries","1987","Couple + C. GT 16 ","East Germany","","","","","1"
"Big worries","1987","Couple + C. LE and GT 16","West Germany","518","0.436138199888366","0.408614091183884","0.463662308592847","1"
"Big worries","1987","Couple + C. LE and GT 16","East Germany","","","","","1"
"No worries","1987","(Married) couple without C. ","East Germany","","","","","3"
"No worries","1987","1-pers.-HH","West Germany","160","0.136550026213523","0.116322686666205","0.15677736576084","3"
"No worries","1987","1-pers.-HH","East Germany","","","","","3"
"No worries","1987","(Married) couple without C. ","West Germany","288","0.113559449741149","0.100690559534545","0.126428339947753","3"
"No worries","1987","Single parent ","West Germany","44","0.0876404729629941","0.0632893735799491","0.111991572346039","3"
"No worries","1987","Single parent ","East Germany","","","","","3"
"No worries","1987","Couple + C. LE 16 ","West Germany","298","0.108974211712863","0.096354145004147","0.121594278421579","3"
"No worries","1987","Couple + C. LE 16 ","East Germany","","","","","3"
"No worries","1987","Couple + C. GT 16 ","West Germany","255","0.102211924130892","0.0893744258878332","0.11504942237395","3"
"No worries","1987","Couple + C. GT 16 ","East Germany","","","","","3"
"No worries","1987","Couple + C. LE and GT 16","West Germany","137","0.0874862351992623","0.0718041272015302","0.103168343196994","3"
"No worries","1987","Couple + C. LE and GT 16","East Germany","","","","","3"
"Some worries","1987","Couple + C. LE and GT 16","East Germany","","","","","2"
"Some worries","1987","Couple + C. LE 16 ","East Germany","","","","","2"
"Some worries","1987","Couple + C. LE and GT 16","West Germany","592","0.476375564912372","0.448655160934479","0.504095968890264","2"
"Some worries","1987","1-pers.-HH","West Germany","425","0.376438587024728","0.347898127316429","0.404979046733027","2"
"Some worries","1987","1-pers.-HH","East Germany","","","","","2"
"Some worries","1987","(Married) couple without C. ","West Germany","902","0.375820134465582","0.356175246877971","0.395465022053194","2"
"Some worries","1987","Single parent ","West Germany","226","0.442291475955623","0.399521290138754","0.485061661772492","2"
"Some worries","1987","Single parent ","East Germany","","","","","2"
"Some worries","1987","Couple + C. LE 16 ","West Germany","1045","0.459549764290461","0.439366157594771","0.479733370986151","2"
"Some worries","1987","Couple + C. GT 16 ","West Germany","991","0.47258230494841","0.451425076519672","0.493739533377147","2"
"Some worries","1987","Couple + C. GT 16 ","East Germany","","","","","2"
"Some worries","1987","(Married) couple without C. ","East Germany","","","","","2"
"Big worries","1988","1-pers.-HH","West Germany","439","0.424268837780702","0.394502147645868","0.454035527915537","1"
"Big worries","1988","1-pers.-HH","East Germany","","","","","1"
"Big worries","1988","(Married) couple without C. ","West Germany","950","0.432086438506179","0.41169495752636","0.452477919485998","1"
"Big worries","1988","(Married) couple without C. ","East Germany","","","","","1"
"Big worries","1988","Single parent ","West Germany","211","0.41027136278943","0.367455389368147","0.453087336210712","1"
"Big worries","1988","Single parent ","East Germany","","","","","1"
"Big worries","1988","Couple + C. LE 16 ","West Germany","896","0.396815659345091","0.376427643618888","0.417203675071294","1"
"Big worries","1988","Couple + C. LE 16 ","East Germany","","","","","1"
"Big worries","1988","Couple + C. GT 16 ","West Germany","853","0.382698616228198","0.36235604495056","0.403041187505836","1"
"Big worries","1988","Couple + C. GT 16 ","East Germany","","","","","1"
"Big worries","1988","Couple + C. LE and GT 16","West Germany","420","0.389121817775135","0.359990371016556","0.418253264533714","1"
"Big worries","1988","Couple + C. LE and GT 16","East Germany","","","","","1"
"No worries","1988","(Married) couple without C. ","East Germany","","","","","3"
"No worries","1988","1-pers.-HH","West Germany","171","0.158152494935687","0.136176181057512","0.180128808813861","3"
"No worries","1988","1-pers.-HH","East Germany","","","","","3"
"No worries","1988","(Married) couple without C. ","West Germany","316","0.132828070955519","0.118857316195179","0.146798825715859","3"
"No worries","1988","Single parent ","West Germany","50","0.0897827221783497","0.0648991323868891","0.11466631196981","3"
"No worries","1988","Single parent ","East Germany","","","","","3"
"No worries","1988","Couple + C. LE 16 ","West Germany","259","0.10593225228862","0.0931073269036675","0.118757177673572","3"
"No worries","1988","Couple + C. LE 16 ","East Germany","","","","","3"
"No worries","1988","Couple + C. GT 16 ","West Germany","251","0.110413424349292","0.0972964452940217","0.123530403404563","3"
"No worries","1988","Couple + C. GT 16 ","East Germany","","","","","3"
"No worries","1988","Couple + C. LE and GT 16","West Germany","137","0.113212363510385","0.0942802674785585","0.132144459542211","3"
"No worries","1988","Couple + C. LE and GT 16","East Germany","","","","","3"
"Some worries","1988","Couple + C. LE 16 ","East Germany","","","","","2"
"Some worries","1988","Couple + C. LE and GT 16","East Germany","","","","","2"
"Some worries","1988","(Married) couple without C. ","West Germany","1001","0.435085490538302","0.414677464678756","0.455493516397848","2"
"Some worries","1988","Couple + C. LE and GT 16","West Germany","519","0.49766581871448","0.467790865955025","0.527540771473936","2"
"Some worries","1988","1-pers.-HH","West Germany","449","0.417578667283611","0.387876516408644","0.447280818158579","2"
"Some worries","1988","1-pers.-HH","East Germany","","","","","2"
"Some worries","1988","(Married) couple without C. ","East Germany","","","","","2"
"Some worries","1988","Single parent ","West Germany","246","0.499945915032221","0.456423387053144","0.543468443011297","2"
"Some worries","1988","Single parent ","East Germany","","","","","2"
"Some worries","1988","Couple + C. LE 16 ","West Germany","1057","0.497252088366289","0.476415866403526","0.518088310329052","2"
"Some worries","1988","Couple + C. GT 16 ","West Germany","1089","0.506887959422509","0.485963340071963","0.527812578773056","2"
"Some worries","1988","Couple + C. GT 16 ","East Germany","","","","","2"
"Big worries","1989","1-pers.-HH","West Germany","380","0.36577886405317","0.336715122683165","0.394842605423175","1"
"Big worries","1989","1-pers.-HH","East Germany","","","","","1"
"Big worries","1989","(Married) couple without C. ","West Germany","748","0.337527038665945","0.317962255999345","0.357091821332546","1"
"Big worries","1989","(Married) couple without C. ","East Germany","","","","","1"
"Big worries","1989","Single parent ","West Germany","187","0.411057297279869","0.366480088835061","0.455634505724677","1"
"Big worries","1989","Single parent ","East Germany","","","","","1"
"Big worries","1989","Couple + C. LE 16 ","West Germany","720","0.326247282597063","0.306313379614679","0.346181185579446","1"
"Big worries","1989","Couple + C. LE 16 ","East Germany","","","","","1"
"Big worries","1989","Couple + C. GT 16 ","West Germany","675","0.304019177841182","0.28441993085644","0.323618424825924","1"
"Big worries","1989","Couple + C. GT 16 ","East Germany","","","","","1"
"Big worries","1989","Couple + C. LE and GT 16","West Germany","360","0.369673477456171","0.339482005696926","0.399864949215416","1"
"Big worries","1989","Couple + C. LE and GT 16","East Germany","","","","","1"
"No worries","1989","1-pers.-HH","West Germany","207","0.187861101799319","0.164291326092098","0.211430877506539","3"
"No worries","1989","Couple + C. LE 16 ","West Germany","364","0.165572778324886","0.149769131200802","0.181376425448969","3"
"No worries","1989","Couple + C. LE 16 ","East Germany","","","","","3"
"No worries","1989","1-pers.-HH","East Germany","","","","","3"
"No worries","1989","(Married) couple without C. ","West Germany","439","0.198710741869096","0.182200934827356","0.215220548910835","3"
"No worries","1989","(Married) couple without C. ","East Germany","","","","","3"
"No worries","1989","Single parent ","West Germany","70","0.13761118581197","0.106400479972086","0.168821891651855","3"
"No worries","1989","Single parent ","East Germany","","","","","3"
"No worries","1989","Couple + C. GT 16 ","West Germany","402","0.185612930623159","0.169047230019721","0.202178631226597","3"
"No worries","1989","Couple + C. GT 16 ","East Germany","","","","","3"
"No worries","1989","Couple + C. LE and GT 16","West Germany","184","0.1720451857456","0.148439483365997","0.195650888125204","3"
"No worries","1989","Couple + C. LE and GT 16","East Germany","","","","","3"
"Some worries","1989","Couple + C. LE 16 ","East Germany","","","","","2"
"Some worries","1989","Couple + C. LE and GT 16","West Germany","438","0.458281336798229","0.427117901087624","0.489444772508833","2"
"Some worries","1989","Couple + C. LE and GT 16","East Germany","","","","","2"
"Some worries","1989","1-pers.-HH","West Germany","468","0.446360034147512","0.416363006121091","0.476357062173933","2"
"Some worries","1989","1-pers.-HH","East Germany","","","","","2"
"Some worries","1989","(Married) couple without C. ","West Germany","1057","0.463762219464959","0.443129187449165","0.484395251480753","2"
"Some worries","1989","(Married) couple without C. ","East Germany","","","","","2"
"Some worries","1989","Single parent ","West Germany","211","0.45133151690816","0.406246939594799","0.496416094221521","2"
"Some worries","1989","Single parent ","East Germany","","","","","2"
"Some worries","1989","Couple + C. LE 16 ","West Germany","1041","0.508179939078052","0.486923989956225","0.529435888199878","2"
"Some worries","1989","Couple + C. GT 16 ","West Germany","1039","0.510367891535659","0.489068515734206","0.531667267337112","2"
"Some worries","1989","Couple + C. GT 16 ","East Germany","","","","","2"
"Big worries","1990","1-pers.-HH","West Germany","246","0.250380818700596","0.223858772253068","0.276902865148124","1"
"Big worries","1990","1-pers.-HH","East Germany","171","0.510610808978476","0.457239810337225","0.563981807619727","1"
"Big worries","1990","(Married) couple without C. ","West Germany","591","0.25239014095905","0.234587324608332","0.270192957309767","1"
"Big worries","1990","(Married) couple without C. ","East Germany","454","0.470242488317874","0.438570640729643","0.501914335906105","1"
"Big worries","1990","Single parent ","West Germany","134","0.283792442997626","0.242458212795634","0.325126673199619","1"
"Big worries","1990","Single parent ","East Germany","78","0.378815129691228","0.310377725374918","0.447252534007538","1"
"Big worries","1990","Couple + C. LE 16 ","West Germany","604","0.270475687716444","0.25135372611488","0.289597649318007","1"
"Big worries","1990","Couple + C. LE 16 ","East Germany","550","0.37152699705956","0.346908828821591","0.396145165297528","1"
"Big worries","1990","Couple + C. GT 16 ","West Germany","520","0.246705094071333","0.228007238708636","0.26540294943403","1"
"Big worries","1990","Couple + C. GT 16 ","East Germany","302","0.361851168245452","0.329040848405186","0.394661488085719","1"
"Big worries","1990","Couple + C. LE and GT 16","West Germany","256","0.274552779801119","0.245149736145081","0.303955823457158","1"
"Big worries","1990","Couple + C. LE and GT 16","East Germany","112","0.359985556829829","0.307146399177972","0.412824714481686","1"
"No worries","1990","1-pers.-HH","West Germany","284","0.280639263394489","0.253132864348791","0.308145662440186","3"
"No worries","1990","Couple + C. LE 16 ","West Germany","500","0.259018617251908","0.240159664238451","0.277877570265365","3"
"No worries","1990","Couple + C. LE 16 ","East Germany","293","0.198383474025646","0.17806676737681","0.218700180674482","3"
"No worries","1990","1-pers.-HH","East Germany","48","0.14144864234424","0.104242411874721","0.178654872813758","3"
"No worries","1990","(Married) couple without C. ","West Germany","643","0.286884051497883","0.268346674336966","0.305421428658799","3"
"No worries","1990","(Married) couple without C. ","East Germany","169","0.179915176664353","0.155540593869007","0.204289759459698","3"
"No worries","1990","Single parent ","West Germany","99","0.215813090775942","0.178095957417018","0.253530224134866","3"
"No worries","1990","Single parent ","East Germany","30","0.148630925437774","0.0984448814652747","0.198816969410273","3"
"No worries","1990","Couple + C. GT 16 ","West Germany","516","0.247191447256579","0.228481213451788","0.265901681061369","3"
"No worries","1990","Couple + C. GT 16 ","East Germany","148","0.185242335911904","0.158716514780141","0.211768157043668","3"
"No worries","1990","Couple + C. LE and GT 16","West Germany","214","0.24105215661128","0.212872354958677","0.269231958263884","3"
"No worries","1990","Couple + C. LE and GT 16","East Germany","55","0.176035905411354","0.134110889834868","0.217960920987839","3"
"Some worries","1990","1-pers.-HH","West Germany","495","0.468979917904915","0.438429387531713","0.499530448278117","2"
"Some worries","1990","1-pers.-HH","East Germany","118","0.347940548677284","0.297086063785064","0.398795033569504","2"
"Some worries","1990","(Married) couple without C. ","West Germany","1053","0.460725807543068","0.440297090303542","0.481154524782594","2"
"Some worries","1990","Couple + C. LE 16 ","East Germany","637","0.430089528914795","0.404866340377385","0.455312717452205","2"
"Some worries","1990","Couple + C. LE and GT 16","West Germany","415","0.4843950635876","0.451469376742005","0.517320750433195","2"
"Some worries","1990","Couple + C. LE and GT 16","East Germany","150","0.463978537758817","0.409080288413401","0.518876787104234","2"
"Some worries","1990","(Married) couple without C. ","East Germany","331","0.349842335017774","0.319578815815571","0.380105854219976","2"
"Some worries","1990","Single parent ","West Germany","224","0.500394466226432","0.454552856425708","0.546236076027156","2"
"Some worries","1990","Single parent ","East Germany","85","0.472553944870998","0.402119652254353","0.542988237487642","2"
"Some worries","1990","Couple + C. LE 16 ","West Germany","969","0.470505695031648","0.449019400291","0.491991989772296","2"
"Some worries","1990","Couple + C. GT 16 ","West Germany","1006","0.506103458672088","0.484418536528807","0.527788380815369","2"
"Some worries","1990","Couple + C. GT 16 ","East Germany","374","0.452906495842643","0.41891897091523","0.486894020770057","2"
"Big worries","1991","1-pers.-HH","West Germany","454","0.455974361167458","0.425704438115954","0.486244284218963","1"
"Big worries","1991","(Married) couple without C. ","West Germany","968","0.420363160248823","0.400307349930909","0.440418970566738","1"
"Big worries","1991","(Married) couple without C. ","East Germany","487","0.546708900783605","0.513911220828977","0.579506580738234","1"
"Big worries","1991","Single parent ","West Germany","212","0.431924279747338","0.387657036647846","0.476191522846831","1"
"Big worries","1991","Single parent ","East Germany","81","0.475315763093668","0.401114109460156","0.54951741672718","1"
"Big worries","1991","Couple + C. LE 16 ","West Germany","903","0.426394358195488","0.405166435698266","0.44762228069271","1"
"Big worries","1991","Couple + C. LE 16 ","East Germany","551","0.410681911242195","0.384468299310297","0.436895523174094","1"
"Big worries","1991","Couple + C. GT 16 ","West Germany","835","0.415810589814084","0.394024416853994","0.437596762774175","1"
"Big worries","1991","Couple + C. GT 16 ","East Germany","352","0.454912224676159","0.42068278080778","0.489141668544538","1"
"Big worries","1991","Couple + C. LE and GT 16","West Germany","366","0.394483260743282","0.362301589307513","0.426664932179051","1"
"Big worries","1991","Couple + C. LE and GT 16","East Germany","122","0.370361493509214","0.317698519242209","0.423024467776218","1"
"Big worries","1991","1-pers.-HH","East Germany","170","0.547961758047016","0.49135965337288","0.604563862721152","1"
"No worries","1991","1-pers.-HH","West Germany","139","0.125308795274506","0.105187794466385","0.145429796082628","3"
"No worries","1991","(Married) couple without C. ","East Germany","78","0.0854555810119236","0.0670373009159961","0.103873861107851","3"
"No worries","1991","Couple + C. LE 16 ","West Germany","220","0.108828414920644","0.0954610169315617","0.122195812909727","3"
"No worries","1991","Couple + C. LE 16 ","East Germany","121","0.0891125680042919","0.0739315453884904","0.104293590620093","3"
"No worries","1991","(Married) couple without C. ","West Germany","277","0.110950684458129","0.0981898869204711","0.123711481995786","3"
"No worries","1991","1-pers.-HH","East Germany","21","","","","3"
"No worries","1991","Single parent ","West Germany","56","0.103762773975595","0.0765101810602267","0.131015366890963","3"
"No worries","1991","Single parent ","East Germany","11","","","","3"
"No worries","1991","Couple + C. GT 16 ","West Germany","254","0.117684925178619","0.103441035485427","0.131928814871812","3"
"No worries","1991","Couple + C. GT 16 ","East Germany","84","0.0964517578249633","0.0761593508188612","0.116744164831065","3"
"No worries","1991","Couple + C. LE and GT 16","West Germany","126","0.121929463108392","0.100384276336392","0.143474649880392","3"
"No worries","1991","Couple + C. LE and GT 16","East Germany","28","","","","3"
"Some worries","1991","Couple + C. LE and GT 16","East Germany","173","0.538364374705785","0.483997465347983","0.592731284063587","2"
"Some worries","1991","Couple + C. LE and GT 16","West Germany","394","0.483587276148326","0.450681879523004","0.516492672773648","2"
"Some worries","1991","1-pers.-HH","West Germany","447","0.418716843558035","0.388733124049733","0.448700563066337","2"
"Some worries","1991","1-pers.-HH","East Germany","106","0.367148994033415","0.31232864768217","0.421969340384661","2"
"Some worries","1991","(Married) couple without C. ","West Germany","1082","0.468686155293048","0.448410890807708","0.488961419778388","2"
"Some worries","1991","(Married) couple without C. ","East Germany","320","0.367835518204471","0.336065436440302","0.39960559996864","2"
"Some worries","1991","Single parent ","West Germany","213","0.464312946277067","0.419743573254669","0.508882319299465","2"
"Some worries","1991","Single parent ","East Germany","82","0.464545012326171","0.390439783644157","0.538650241008184","2"
"Some worries","1991","Couple + C. LE 16 ","West Germany","962","0.464777226883867","0.443368799137604","0.486185654630131","2"
"Some worries","1991","Couple + C. LE 16 ","East Germany","681","0.500205520753513","0.473563377425324","0.526847664081701","2"
"Some worries","1991","Couple + C. GT 16 ","West Germany","877","0.466504485007296","0.444452401299228","0.488556568715364","2"
"Some worries","1991","Couple + C. GT 16 ","East Germany","377","0.448636017498878","0.414448380583373","0.482823654414383","2"
"Big worries","1992","1-pers.-HH","West Germany","416","0.392274706985699","0.36257185005011","0.421977563921287","1"
"Big worries","1992","(Married) couple without C. ","West Germany","1013","0.426542006689298","0.406541624632228","0.446542388746367","1"
"Big worries","1992","(Married) couple without C. ","East Germany","526","0.570988090737388","0.538901528264655","0.60307465321012","1"
