"plh0039","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Big worries","2008","1-pers.-HH","(0) in school","","","",""
"Big worries","2008","1-pers.-HH","(1a) inadequately completed","11","","",""
"Big worries","2008","1-pers.-HH","(1b) general elementary school","141","0.388670039417413","0.338386844702099","0.438953234132728"
"Big worries","2008","1-pers.-HH","(1c) basic vocational qualification","386","0.422349302214311","0.390079568777139","0.454619035651482"
"Big worries","2008","1-pers.-HH","(2b) intermediate general qualification","16","","",""
"Big worries","2008","1-pers.-HH","(2a) intermediate vocational","265","0.394628279729769","0.357082358603733","0.432174200855805"
"Big worries","2008","1-pers.-HH","(2c_gen) general maturity certificate","30","0.17603236193979","0.111307131391727","0.240757592487852"
"Big worries","2008","1-pers.-HH","(2c_voc) vocational maturity certificate","90","0.395488933267704","0.333106632943395","0.457871233592012"
"Big worries","2008","1-pers.-HH","(3a) lower tertiary education","71","0.318086590086021","0.260354752334808","0.375818427837234"
"Big worries","2008","1-pers.-HH","(3b) higher tertiary education","110","0.282786828895923","0.236711464770405","0.328862193021441"
"Big worries","2008","(Married) couple without C. ","(0) in school","","","",""
"Big worries","2008","(Married) couple without C. ","(1a) inadequately completed","29","","",""
"Big worries","2008","(Married) couple without C. ","(1b) general elementary school","242","0.458513931690969","0.416680860318019","0.500347003063919"
"Big worries","2008","(Married) couple without C. ","(1c) basic vocational qualification","1124","0.478529382287136","0.458573116841897","0.498485647732375"
"Big worries","2008","(Married) couple without C. ","(2b) intermediate general qualification","37","0.531765801321053","0.421028851567625","0.642502751074481"
"Big worries","2008","(Married) couple without C. ","(2a) intermediate vocational","629","0.406804681300342","0.382333527794357","0.431275834806327"
"Big worries","2008","(Married) couple without C. ","(2c_gen) general maturity certificate","36","0.27491618045637","0.198461038182744","0.351371322729997"
"Big worries","2008","(Married) couple without C. ","(2c_voc) vocational maturity certificate","139","0.298764180594926","0.25580053194979","0.341727829240061"
"Big worries","2008","(Married) couple without C. ","(3a) lower tertiary education","291","0.394602699723061","0.359339625101302","0.429865774344821"
"Big worries","2008","(Married) couple without C. ","(3b) higher tertiary education","277","0.244604828911894","0.218555180616773","0.270654477207015"
"Big worries","2008","Single parent ","(0) in school","12","","",""
"Big worries","2008","Single parent ","(1a) inadequately completed","2","","",""
"Big worries","2008","Single parent ","(1b) general elementary school","56","0.425378449159629","0.339729546535662","0.511027351783596"
"Big worries","2008","Single parent ","(1c) basic vocational qualification","72","0.357678866591187","0.293905261218698","0.421452471963676"
"Big worries","2008","Single parent ","(2b) intermediate general qualification","17","","",""
