"plh0039","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Big worries","2008","no migration background","West Germany","4285","0.369793454732841","0.361161178249946","0.378425731215736","1"
"Big worries","2008","no migration background","East Germany","1563","0.343737018087354","0.33009306068911","0.357380975485598","1"
"Big worries","2008","direct migration background","West Germany","722","0.392321512882927","0.369889389265818","0.414753636500035","1"
"Big worries","2008","direct migration background","East Germany","30","0.339234796281758","0.235487478816128","0.442982113747388","1"
"Big worries","2008","indirect migration background","West Germany","248","0.3295527783554","0.295360773455358","0.363744783255442","1"
"Big worries","2008","indirect migration background","East Germany","12","","","","1"
"No worries","2008","no migration background","East Germany","793","0.181321432008542","0.170253422358417","0.192389441658666","3"
"No worries","2008","direct migration background","West Germany","235","0.129486055874246","0.114061532095845","0.144910579652647","3"
"No worries","2008","indirect migration background","East Germany","9","","","","3"
"No worries","2008","no migration background","West Germany","1630","0.133461622622963","0.127380603371106","0.139542641874821","3"
"No worries","2008","direct migration background","East Germany","10","","","","3"
"No worries","2008","indirect migration background","West Germany","116","0.183662192508471","0.15549622861235","0.211828156404592","3"
"Some worries","2008","direct migration background","East Germany","40","0.555596514645682","0.44671063046949","0.664482398821875","2"
"Some worries","2008","direct migration background","West Germany","863","0.478192431242827","0.455243158200275","0.501141704285379","2"
"Some worries","2008","no migration background","West Germany","6099","0.496744922644195","0.487804355312887","0.505685489975504","2"
"Some worries","2008","no migration background","East Germany","2299","0.474941549904104","0.460596166595992","0.489286933212216","2"
"Some worries","2008","indirect migration background","West Germany","362","0.486785029136129","0.450427191525284","0.523142866746975","2"
"Some worries","2008","indirect migration background","East Germany","22","","","","2"
"Big worries","2009","no migration background","West Germany","3786","0.353136518792035","0.344294884477731","0.361978153106339","1"
"Big worries","2009","no migration background","East Germany","1477","0.346920758983194","0.332904106320401","0.360937411645987","1"
"Big worries","2009","direct migration background","West Germany","583","0.392585879916195","0.368560547405898","0.416611212426491","1"
"Big worries","2009","direct migration background","East Germany","33","0.453991933426797","0.341313433423921","0.566670433429674","1"
"Big worries","2009","indirect migration background","West Germany","219","0.297066534938297","0.262439204828567","0.331693865048028","1"
"Big worries","2009","indirect migration background","East Germany","8","","","","1"
"No worries","2009","no migration background","West Germany","1559","0.133758324089505","0.127461307134192","0.140055341044819","3"
"No worries","2009","no migration background","East Germany","715","0.164084537087879","0.153178644011157","0.174990430164601","3"
"No worries","2009","direct migration background","West Germany","221","0.130217680750375","0.11365998518537","0.14677537631538","3"
"No worries","2009","direct migration background","East Germany","11","","","","3"
"No worries","2009","indirect migration background","West Germany","109","0.194227360242221","0.16424978550945","0.224204934974992","3"
"No worries","2009","indirect migration background","East Germany","10","","","","3"
"Some worries","2009","direct migration background","West Germany","783","0.477196439333431","0.452622346574213","0.501770532092649","2"
"Some worries","2009","direct migration background","East Germany","31","0.442364507140842","0.329960239425455","0.554768774856228","2"
"Some worries","2009","no migration background","West Germany","5880","0.51310515711846","0.503858692901539","0.522351621335381","2"
"Some worries","2009","no migration background","East Germany","2238","0.488994703928927","0.474274595594308","0.503714812263547","2"
"Some worries","2009","indirect migration background","West Germany","341","0.508706104819482","0.470823556077491","0.546588653561473","2"
"Some worries","2009","indirect migration background","East Germany","23","","","","2"
"Big worries","2010","no migration background","West Germany","3526","0.355950931360444","0.346797569787443","0.365104292933444","1"
"Big worries","2010","no migration background","East Germany","1425","0.367284849911613","0.352395940063638","0.382173759759588","1"
"Big worries","2010","direct migration background","West Germany","509","0.356269705590157","0.331210882110569","0.381328529069744","1"
"Big worries","2010","direct migration background","East Germany","29","","","","1"
"Big worries","2010","indirect migration background","West Germany","172","0.268716630127162","0.233766888107129","0.303666372147194","1"
"Big worries","2010","indirect migration background","East Germany","9","","","","1"
"No worries","2010","no migration background","East Germany","657","0.172849435159955","0.161171029846975","0.184527840472935","3"
"No worries","2010","no migration background","West Germany","1566","0.149342548035504","0.142528656645632","0.156156439425376","3"
"No worries","2010","direct migration background","West Germany","188","0.142299308845894","0.124018789454314","0.160579828237475","3"
"No worries","2010","direct migration background","East Germany","8","","","","3"
"No worries","2010","indirect migration background","West Germany","103","0.187163809916997","0.156412309695375","0.217915310138619","3"
"No worries","2010","indirect migration background","East Germany","5","","","","3"
"Some worries","2010","no migration background","West Germany","5419","0.494706520604052","0.485148416921132","0.504264624286973","2"
"Some worries","2010","no migration background","East Germany","1945","0.459865714928432","0.444472700912569","0.475258728944296","2"
"Some worries","2010","direct migration background","West Germany","706","0.501430985563949","0.475267989178608","0.52759398194929","2"
"Some worries","2010","direct migration background","East Germany","25","","","","2"
"Some worries","2010","indirect migration background","West Germany","343","0.544119559955841","0.504852670304721","0.583386449606962","2"
"Some worries","2010","indirect migration background","East Germany","24","","","","2"
"Big worries","2011","no migration background","West Germany","4392","0.341496420781614","0.33336874862698","0.349624092936247","1"
"Big worries","2011","no migration background","East Germany","1585","0.356107799188679","0.342452837953238","0.369762760424121","1"
"Big worries","2011","direct migration background","West Germany","711","0.355163167453186","0.333582195996597","0.376744138909774","1"
"Big worries","2011","direct migration background","East Germany","35","0.351733495347224","0.254684672505132","0.448782318189316","1"
"Big worries","2011","indirect migration background","West Germany","236","0.301844448804832","0.268924777936115","0.334764119673549","1"
"Big worries","2011","indirect migration background","East Germany","10","","","","1"
"No worries","2011","no migration background","West Germany","1989","0.150705217791749","0.14457342597386","0.156837009609638","3"
"No worries","2011","no migration background","East Germany","853","0.18328501145302","0.172252055482888","0.194317967423151","3"
"No worries","2011","direct migration background","West Germany","264","0.139462971700637","0.123840622155576","0.155085321245698","3"
"No worries","2011","direct migration background","East Germany","12","","","","3"
"No worries","2011","indirect migration background","West Germany","125","0.18781122049268","0.159803546007036","0.215818894978325","3"
"No worries","2011","indirect migration background","East Germany","11","","","","3"
"Some worries","2011","no migration background","West Germany","6696","0.507798361426638","0.499229735091646","0.516366987761629","2"
"Some worries","2011","no migration background","East Germany","2286","0.460607189358301","0.446393360581405","0.474821018135197","2"
"Some worries","2011","direct migration background","West Germany","914","0.505373860846177","0.482827469990042","0.527920251702312","2"
"Some worries","2011","direct migration background","East Germany","46","0.543302442945959","0.442064854845627","0.64454003104629","2"
"Some worries","2011","indirect migration background","East Germany","23","","","","2"
"Some worries","2011","indirect migration background","West Germany","386","0.510344330702488","0.474496338946021","0.546192322458954","2"
"Big worries","2012","no migration background","West Germany","3963","0.298726429060075","0.290866418785873","0.306586439334278","1"
"Big worries","2012","no migration background","East Germany","1473","0.322726426313991","0.309370459801416","0.336082392826565","1"
"Big worries","2012","direct migration background","West Germany","679","0.359977330059266","0.338027621044768","0.381927039073764","1"
"Big worries","2012","direct migration background","East Germany","42","0.399252622499348","0.302780835277265","0.495724409721431","1"
"Big worries","2012","indirect migration background","East Germany","11","","","","1"
"Big worries","2012","indirect migration background","West Germany","197","0.222042136474652","0.19219754140025","0.251886731549054","1"
"No worries","2012","no migration background","East Germany","894","0.201041265094135","0.189591916702263","0.212490613486007","3"
"No worries","2012","no migration background","West Germany","2257","0.178098663884036","0.171528401280528","0.184668926487543","3"
"No worries","2012","direct migration background","West Germany","300","0.158068651932092","0.141386397997282","0.174750905866902","3"
"No worries","2012","direct migration background","East Germany","25","","","","3"
"No worries","2012","indirect migration background","West Germany","161","0.232962124673917","0.202607769001806","0.263316480346028","3"
"No worries","2012","indirect migration background","East Germany","11","","","","3"
"Some worries","2012","no migration background","West Germany","6806","0.523174907055889","0.514597706638163","0.531752107473615","2"
"Some worries","2012","no migration background","East Germany","2340","0.476232308591874","0.461964582201469","0.49050003498228","2"
"Some worries","2012","direct migration background","West Germany","858","0.481954018008642","0.459104319699739","0.504803716317545","2"
"Some worries","2012","direct migration background","East Germany","32","0.319804019746021","0.227930684356048","0.411677355135994","2"
"Some worries","2012","indirect migration background","West Germany","387","0.544995738851431","0.509237654878688","0.580753822824173","2"
"Some worries","2012","indirect migration background","East Germany","26","","","","2"
"Big worries","2013","no migration background","West Germany","3684","0.30769613777988","0.29948265992927","0.315909615630491","1"
"Big worries","2013","no migration background","East Germany","1345","0.322036269431525","0.308131655304665","0.335940883558385","1"
"Big worries","2013","direct migration background","West Germany","567","0.330967853675633","0.307881887918847","0.354053819432419","1"
"Big worries","2013","direct migration background","East Germany","26","","","","1"
"Big worries","2013","indirect migration background","West Germany","197","0.240688430505517","0.208269590143608","0.273107270867426","1"
"Big worries","2013","indirect migration background","East Germany","13","","","","1"
"No worries","2013","no migration background","West Germany","2203","0.180929810314015","0.174079136107945","0.187780484520084","3"
"No worries","2013","no migration background","East Germany","856","0.195592606060951","0.183788922430965","0.207396289690938","3"
"No worries","2013","direct migration background","West Germany","298","0.197568149766737","0.178034014394486","0.217102285138988","3"
"No worries","2013","direct migration background","East Germany","16","","","","3"
"No worries","2013","indirect migration background","West Germany","153","0.264431232451474","0.230986488553554","0.297875976349394","3"
"No worries","2013","indirect migration background","East Germany","10","","","","3"
"Some worries","2013","no migration background","East Germany","2137","0.482371124507524","0.467501389950373","0.497240859064674","2"
"Some worries","2013","no migration background","West Germany","6243","0.511374051906105","0.502478450858724","0.520269652953487","2"
"Some worries","2013","direct migration background","West Germany","731","0.47146399655763","0.446973747464339","0.495954245650921","2"
"Some worries","2013","direct migration background","East Germany","38","0.456754554770556","0.34759981771314","0.565909291827972","2"
"Some worries","2013","indirect migration background","East Germany","22","","","","2"
"Some worries","2013","indirect migration background","West Germany","318","0.494880337043009","0.456965683103234","0.532794990982784","2"
"Big worries","2014","no migration background","West Germany","","","","","1"
"Big worries","2014","no migration background","East Germany","","","","","1"
"Big worries","2014","direct migration background","West Germany","","","","","1"
"Big worries","2014","direct migration background","East Germany","","","","","1"
"Big worries","2014","indirect migration background","East Germany","","","","","1"
"Big worries","2014","indirect migration background","West Germany","","","","","1"
"No worries","2014","no migration background","East Germany","","","","","3"
"No worries","2014","no migration background","West Germany","","","","","3"
"No worries","2014","direct migration background","West Germany","","","","","3"
"No worries","2014","direct migration background","East Germany","","","","","3"
"No worries","2014","indirect migration background","West Germany","","","","","3"
"No worries","2014","indirect migration background","East Germany","","","","","3"
"Some worries","2014","no migration background","West Germany","","","","","2"
"Some worries","2014","no migration background","East Germany","","","","","2"
"Some worries","2014","direct migration background","West Germany","","","","","2"
"Some worries","2014","direct migration background","East Germany","","","","","2"
"Some worries","2014","indirect migration background","West Germany","","","","","2"
"Some worries","2014","indirect migration background","East Germany","","","","","2"
"Big worries","2015","no migration background","West Germany","","","","","1"
"Big worries","2015","no migration background","East Germany","","","","","1"
"Big worries","2015","direct migration background","West Germany","","","","","1"
"Big worries","2015","direct migration background","East Germany","","","","","1"
"Big worries","2015","indirect migration background","West Germany","","","","","1"
"Big worries","2015","indirect migration background","East Germany","","","","","1"
"No worries","2015","no migration background","West Germany","","","","","3"
"No worries","2015","no migration background","East Germany","","","","","3"
"No worries","2015","direct migration background","West Germany","","","","","3"
"No worries","2015","direct migration background","East Germany","","","","","3"
"No worries","2015","indirect migration background","West Germany","","","","","3"
"No worries","2015","indirect migration background","East Germany","","","","","3"
"Some worries","2015","no migration background","East Germany","","","","","2"
"Some worries","2015","no migration background","West Germany","","","","","2"
"Some worries","2015","direct migration background","West Germany","","","","","2"
"Some worries","2015","direct migration background","East Germany","","","","","2"
"Some worries","2015","indirect migration background","West Germany","","","","","2"
"Some worries","2015","indirect migration background","East Germany","","","","","2"
"Big worries","2016","no migration background","West Germany","","","","","1"
"Big worries","2016","no migration background","East Germany","","","","","1"
"Big worries","2016","direct migration background","West Germany","","","","","1"
"Big worries","2016","direct migration background","East Germany","","","","","1"
"Big worries","2016","indirect migration background","East Germany","","","","","1"
"Big worries","2016","indirect migration background","West Germany","","","","","1"
"No worries","2016","no migration background","West Germany","","","","","3"
"No worries","2016","no migration background","East Germany","","","","","3"
"No worries","2016","direct migration background","West Germany","","","","","3"
"No worries","2016","direct migration background","East Germany","","","","","3"
"No worries","2016","indirect migration background","West Germany","","","","","3"
"No worries","2016","indirect migration background","East Germany","","","","","3"
"Some worries","2016","no migration background","West Germany","","","","","2"
"Some worries","2016","no migration background","East Germany","","","","","2"
"Some worries","2016","direct migration background","West Germany","","","","","2"
"Some worries","2016","direct migration background","East Germany","","","","","2"
"Some worries","2016","indirect migration background","West Germany","","","","","2"
"Some worries","2016","indirect migration background","East Germany","","","","","2"
"Big worries","2017","no migration background","West Germany","","","","","1"
"Big worries","2017","no migration background","East Germany","","","","","1"
"Big worries","2017","direct migration background","West Germany","","","","","1"
"Big worries","2017","direct migration background","East Germany","","","","","1"
"Big worries","2017","indirect migration background","West Germany","","","","","1"
"Big worries","2017","indirect migration background","East Germany","","","","","1"
"No worries","2017","no migration background","West Germany","","","","","3"
"No worries","2017","no migration background","East Germany","","","","","3"
"No worries","2017","direct migration background","West Germany","","","","","3"
"No worries","2017","direct migration background","East Germany","","","","","3"
"No worries","2017","indirect migration background","West Germany","","","","","3"
"No worries","2017","indirect migration background","East Germany","","","","","3"
"Some worries","2017","no migration background","West Germany","","","","","2"
"Some worries","2017","no migration background","East Germany","","","","","2"
"Some worries","2017","indirect migration background","West Germany","","","","","2"
"Some worries","2017","indirect migration background","East Germany","","","","","2"
"Some worries","2017","direct migration background","West Germany","","","","","2"
"Some worries","2017","direct migration background","East Germany","","","","","2"
"Big worries","2018","no migration background","East Germany","2189","0.454299708818147","0.440546733120609","0.468052684515685","1"
"Big worries","2018","direct migration background","West Germany","1771","0.446322151764831","0.431048002112315","0.461596301417348","1"
