"plh0040","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1994","16-34 y.","West Germany","1568","0.423054645639501","0.406738446779984","0.439370844499018"
"Big worries","1994","16-34 y.","East Germany","791","0.616179041685123","0.589443245631366","0.64291483773888"
"Big worries","1994","35-65 y.","West Germany","2383","0.552238996010905","0.537666454161817","0.566811537859994"
"Big worries","1994","35-65 y.","East Germany","1643","0.807528535622851","0.790690903296807","0.824366167948895"
"Big worries","1994","66 and older","West Germany","724","0.670853570678916","0.643059294866645","0.698647846491187"
"Big worries","1994","66 and older","East Germany","342","0.842773042650976","0.807144773250822","0.878401312051129"
"Some worries","1994","16-34 y.","West Germany","1698","0.502074343257431","0.485561582754001","0.518587103760862"
"Some worries","1994","16-34 y.","East Germany","449","0.35511442735896","0.328805641579406","0.381423213138515"
"Some worries","1994","35-65 y.","West Germany","1879","0.41029929551096","0.395884288734728","0.424714302287192"
"Some worries","1994","35-65 y.","East Germany","449","0.187597500281774","0.17092433494946","0.204270665614088"
"Some worries","1994","66 and older","West Germany","331","0.295307216012928","0.268324611816036","0.32228982020982"
"Some worries","1994","66 and older","East Germany","57","0.149471941621647","0.114573979626988","0.184369903616307"
"No worries","1994","16-34 y.","West Germany","256","0.0748710111030676","0.0661791773880684","0.0835628448180668"
"No worries","1994","16-34 y.","East Germany","31","0.0287065309559161","0.0195265684653473","0.037886493446485"
"No worries","1994","35-65 y.","West Germany","211","0.037461708478135","0.0318968843972435","0.0430265325590265"
"No worries","1994","35-65 y.","East Germany","14","","",""
"No worries","1994","66 and older","West Germany","43","0.0338392133081561","0.0231441895554692","0.044534237060843"
"No worries","1994","66 and older","East Germany","2","","",""
"Big worries","1995","16-34 y.","West Germany","1541","0.396351494528762","0.380584254441313","0.41211873461621"
"Big worries","1995","16-34 y.","East Germany","712","0.574189339186188","0.546397510042866","0.601981168329511"
"Big worries","1995","35-65 y.","West Germany","2470","0.535216832308887","0.521033072649628","0.549400591968146"
"Big worries","1995","35-65 y.","East Germany","1520","0.766458597101956","0.748148461815346","0.784768732388566"
"Big worries","1995","66 and older","West Germany","740","0.670059190414788","0.642608028272588","0.697510352556989"
"Big worries","1995","66 and older","East Germany","344","0.833981544731302","0.797787136649092","0.870175952813512"
"Some worries","1995","16-34 y.","West Germany","1843","0.51929423182627","0.503188896124303","0.535399567528238"
"Some worries","1995","16-34 y.","East Germany","467","0.386211140435873","0.358845652077074","0.413576628794673"
"Some worries","1995","35-65 y.","West Germany","2010","0.413234983496442","0.399231633841036","0.427238333151848"
"Some worries","1995","35-65 y.","East Germany","520","0.230547900294055","0.21232000013964","0.24877580044847"
"Some worries","1995","66 and older","West Germany","333","0.283100528653416","0.256798720647704","0.309402336659127"
"Some worries","1995","66 and older","East Germany","59","0.155158430699347","0.119940778453086","0.190376082945608"
"No worries","1995","16-34 y.","West Germany","313","0.0843542736449679","0.0753956633033638","0.0933128839865719"
"No worries","1995","16-34 y.","East Germany","37","0.0395995203779381","0.0286384630136759","0.0505605777422002"
"No worries","1995","35-65 y.","West Germany","270","0.0515481841946707","0.0452601396699747","0.0578362287193667"
"No worries","1995","35-65 y.","East Germany","11","","",""
"No worries","1995","66 and older","West Germany","54","0.0468402809317959","0.0345041571388393","0.0591764047247525"
"No worries","1995","66 and older","East Germany","3","","",""
"Big worries","1996","16-34 y.","West Germany","1612","0.440053467567612","0.423726754572956","0.456380180562268"
"Big worries","1996","16-34 y.","East Germany","694","0.586412020204371","0.55833669866644","0.614487341742302"
"Big worries","1996","35-65 y.","West Germany","2477","0.557699098702714","0.543388519067611","0.572009678337816"
"Big worries","1996","35-65 y.","East Germany","1575","0.790687835844461","0.773115897105718","0.808259774583205"
"Big worries","1996","66 and older","West Germany","792","0.723020697533334","0.696974724459668","0.749066670607"
"Big worries","1996","66 and older","East Germany","373","0.88525362846843","0.854772798786137","0.915734458150724"
"Some worries","1996","16-34 y.","West Germany","1720","0.495673938155433","0.479229217403545","0.51211865890732"
"Some worries","1996","16-34 y.","East Germany","458","0.382745244130406","0.355035885304318","0.410454602956495"
"Some worries","1996","35-65 y.","West Germany","1943","0.400842910369042","0.386722224364987","0.414963596373098"
"Some worries","1996","35-65 y.","East Germany","468","0.203105771495957","0.185728507830029","0.220483035161886"
"Some worries","1996","66 and older","West Germany","306","0.246141286771266","0.221069875766308","0.271212697776224"
"Some worries","1996","66 and older","East Germany","45","0.107628283041835","0.0779895557693964","0.137267010314274"
"No worries","1996","16-34 y.","West Germany","219","0.0642725942769554","0.056206554775453","0.0723386337784579"
"No worries","1996","16-34 y.","East Germany","30","0.0308427356652224","0.0209864580759144","0.0406990132545304"
"No worries","1996","35-65 y.","West Germany","207","0.041457990928244","0.0357140754204423","0.0472019064360456"
"No worries","1996","35-65 y.","East Germany","16","","",""
"No worries","1996","66 and older","West Germany","36","0.0308380156953999","0.0207760470065397","0.0408999843842601"
"No worries","1996","66 and older","East Germany","2","","",""
"Big worries","1997","16-34 y.","West Germany","1683","0.495983960081462","0.479275944772773","0.512691975390152"
