"plh0107","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","16-34 y.","higher vocational","88","0.592863505618654","0.515268261126213","0.670458750111095","2"
"Important","1990","16-34 y.","middle vocational","777","0.545281515741207","0.519345804836056","0.571217226646358","2"
"Important","1990","16-34 y.","higher education","104","0.601397552053267","0.530460464314608","0.672334639791926","2"
"Important","1990","16-34 y.","general elemantary","236","0.482341827160724","0.438543039602257","0.526140614719192","2"
"Important","1990","16-34 y.","vocational + Abi","72","0.528289690659604","0.442477267301585","0.614102114017622","2"
"Important","1990","16-34 y.","inadequately","25","","","","2"
"Important","1990","16-34 y.","in school","56","0.513960161315943","0.420131503391056","0.60778881924083","2"
"Important","1990","35-65 y.","in school","","","","","2"
"Important","1990","35-65 y.","inadequately","5","","","","2"
"Important","1990","35-65 y.","general elemantary","314","0.446843943370698","0.409721183688003","0.483966703053394","2"
"Important","1990","35-65 y.","middle vocational","1034","0.549669862277652","0.527227758558877","0.572111965996428","2"
"Important","1990","35-65 y.","vocational + Abi","30","0.565332194349473","0.430598252583284","0.700066136115662","2"
"Important","1990","35-65 y.","higher vocational","146","0.548289008860989","0.488028534731443","0.608549482990534","2"
"Important","1990","35-65 y.","higher education","241","0.600069280066632","0.552358814014376","0.647779746118888","2"
"Important","1990","66 and older","in school","","","","","2"
"Important","1990","66 and older","inadequately","","","","","2"
"Important","1990","66 and older","general elemantary","64","0.164564296384813","0.125719004129307","0.203409588640319","2"
"Important","1990","66 and older","middle vocational","115","0.252133328615415","0.210849416549729","0.293417240681102","2"
"Important","1990","66 and older","vocational + Abi","8","","","","2"
"Important","1990","66 and older","higher vocational","18","","","","2"
"Important","1990","66 and older","higher education","14","","","","2"
"Less important","1990","35-65 y.","vocational + Abi","6","","","","3"
"Less important","1990","35-65 y.","higher vocational","43","0.160448495825736","0.116006971934001","0.20489001971747","3"
"Less important","1990","16-34 y.","general elemantary","66","0.123172106143936","0.0943665376123393","0.151977674675533","3"
"Less important","1990","16-34 y.","middle vocational","181","0.12551868274687","0.10826245283016","0.142774912663579","3"
"Less important","1990","35-65 y.","higher education","54","0.134280333068213","0.101074420034179","0.167486246102248","3"
"Less important","1990","16-34 y.","inadequately","9","","","","3"
"Less important","1990","16-34 y.","vocational + Abi","11","","","","3"
"Less important","1990","16-34 y.","higher vocational","28","","","","3"
"Less important","1990","35-65 y.","middle vocational","322","0.168381932485254","0.151502540497261","0.185261324473247","3"
"Less important","1990","16-34 y.","in school","9","","","","3"
"Less important","1990","16-34 y.","higher education","24","","","","3"
"Less important","1990","35-65 y.","in school","","","","","3"
"Less important","1990","35-65 y.","inadequately","5","","","","3"
"Less important","1990","35-65 y.","general elemantary","159","0.226387381646315","0.195139084138757","0.257635679153874","3"
"Less important","1990","66 and older","in school","","","","","3"
"Less important","1990","66 and older","inadequately","1","","","","3"
"Less important","1990","66 and older","general elemantary","66","0.19651344336234","0.154884104944366","0.238142781780314","3"
"Less important","1990","66 and older","middle vocational","69","0.15820855677923","0.123513239462335","0.192903874096125","3"
"Less important","1990","66 and older","vocational + Abi","4","","","","3"
"Less important","1990","66 and older","higher vocational","10","","","","3"
"Less important","1990","66 and older","higher education","10","","","","3"
"Quite unimportant","1990","66 and older","higher vocational","26","","","","4"
"Quite unimportant","1990","66 and older","higher education","20","","","","4"
"Quite unimportant","1990","35-65 y.","vocational + Abi","6","","","","4"
"Quite unimportant","1990","16-34 y.","general elemantary","13","","","","4"
"Quite unimportant","1990","16-34 y.","inadequately","3","","","","4"
"Quite unimportant","1990","16-34 y.","middle vocational","30","0.0214705937610696","0.0139209678522524","0.0290202196698868","4"
"Quite unimportant","1990","35-65 y.","middle vocational","157","0.0890542125500199","0.0762066542869885","0.101901770813051","4"
"Quite unimportant","1990","35-65 y.","higher vocational","14","","","","4"
"Quite unimportant","1990","16-34 y.","in school","2","","","","4"
"Quite unimportant","1990","16-34 y.","vocational + Abi","1","","","","4"
"Quite unimportant","1990","16-34 y.","higher vocational","1","","","","4"
"Quite unimportant","1990","16-34 y.","higher education","2","","","","4"
"Quite unimportant","1990","35-65 y.","in school","","","","","4"
"Quite unimportant","1990","35-65 y.","inadequately","4","","","","4"
"Quite unimportant","1990","35-65 y.","general elemantary","125","0.193893542925589","0.164373542920249","0.223413542930929","4"
"Quite unimportant","1990","35-65 y.","higher education","15","","","","4"
"Quite unimportant","1990","66 and older","in school","","","","","4"
"Quite unimportant","1990","66 and older","inadequately","5","","","","4"
"Quite unimportant","1990","66 and older","general elemantary","203","0.588847047242838","0.537298429249129","0.640395665236546","4"
"Quite unimportant","1990","66 and older","middle vocational","204","0.51025067161068","0.462724553490587","0.557776789730774","4"
"Quite unimportant","1990","66 and older","vocational + Abi","1","","","","4"
"Very important","1990","16-34 y.","in school","42","0.376807732783217","0.285836145305946","0.467779320260487","1"
"Very important","1990","16-34 y.","inadequately","14","","","","1"
"Very important","1990","16-34 y.","general elemantary","185","0.367969659488088","0.325699093997119","0.410240224979057","1"
"Very important","1990","16-34 y.","middle vocational","428","0.307729207750854","0.283688966146651","0.331769449355056","1"
"Very important","1990","16-34 y.","vocational + Abi","46","0.405998842447597","0.321581347949622","0.490416336945572","1"
"Very important","1990","16-34 y.","higher vocational","37","0.222397049607492","0.156717344954057","0.288076754260928","1"
"Very important","1990","16-34 y.","higher education","53","0.279219521107112","0.214221977642578","0.344217064571645","1"
"Very important","1990","35-65 y.","in school","","","","","1"
"Very important","1990","35-65 y.","inadequately","2","","","","1"
"Very important","1990","35-65 y.","general elemantary","91","0.132875132057398","0.107529615004796","0.15822064911","1"
"Very important","1990","35-65 y.","middle vocational","375","0.192893992687074","0.175095970770543","0.210692014603605","1"
"Very important","1990","35-65 y.","vocational + Abi","10","","","","1"
