"plh0109","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Urban Area","West Germany","1356","0.263799337523165","0.252105801377246","0.275492873669085","2"
"Important","1990","Rural Area","West Germany","412","0.267990323510788","0.246429042932318","0.289551604089257","2"
"Important","1990","Urban Area","East Germany","","","","","2"
"Important","1990","Rural Area","East Germany","","","","","2"
"Less important","1990","Rural Area","East Germany","","","","","3"
"Less important","1990","Urban Area","West Germany","218","0.0494998782108957","0.0437442986214083","0.0552554578003831","3"
"Less important","1990","Urban Area","East Germany","","","","","3"
"Less important","1990","Rural Area","West Germany","76","0.056147574439069","0.0449409677124472","0.0673541811656909","3"
"Quite unimportant","1990","Urban Area","West Germany","199","0.0523473351480196","0.0464373989383111","0.0582572713577282","4"
"Quite unimportant","1990","Urban Area","East Germany","","","","","4"
"Quite unimportant","1990","Rural Area","West Germany","62","0.054643630953247","0.0435793260414023","0.0657079358650916","4"
"Quite unimportant","1990","Rural Area","East Germany","","","","","4"
"Very important","1990","Urban Area","West Germany","3683","0.634353449117919","0.62157414211439","0.647132756121448","1"
"Very important","1990","Urban Area","East Germany","","","","","1"
"Very important","1990","Rural Area","West Germany","1071","0.621218471096896","0.597604275284859","0.644832666908933","1"
"Very important","1990","Rural Area","East Germany","","","","","1"
"Important","1991","Urban Area","West Germany","","","","","2"
"Important","1991","Urban Area","East Germany","","","","","2"
"Important","1991","Rural Area","West Germany","","","","","2"
"Important","1991","Rural Area","East Germany","","","","","2"
"Less important","1991","Urban Area","West Germany","","","","","3"
"Less important","1991","Rural Area","East Germany","","","","","3"
"Less important","1991","Urban Area","East Germany","","","","","3"
"Less important","1991","Rural Area","West Germany","","","","","3"
"Quite unimportant","1991","Urban Area","West Germany","","","","","4"
"Quite unimportant","1991","Urban Area","East Germany","","","","","4"
"Quite unimportant","1991","Rural Area","East Germany","","","","","4"
"Quite unimportant","1991","Rural Area","West Germany","","","","","4"
"Very important","1991","Urban Area","East Germany","","","","","1"
"Very important","1991","Urban Area","West Germany","","","","","1"
"Very important","1991","Rural Area","West Germany","","","","","1"
"Very important","1991","Rural Area","East Germany","","","","","1"
"Important","1992","Urban Area","West Germany","1248","0.24964052107755","0.238030018129562","0.261251024025538","2"
"Important","1992","Urban Area","East Germany","271","0.208594525543203","0.187095339712283","0.230093711374123","2"
"Important","1992","Rural Area","West Germany","374","0.246362746681009","0.225521187190927","0.267204306171091","2"
"Important","1992","Rural Area","East Germany","458","0.200803731905672","0.184995760931175","0.21661170288017","2"
"Less important","1992","Rural Area","East Germany","97","0.0467228192942797","0.0383948783822311","0.0550507602063284","3"
"Less important","1992","Urban Area","West Germany","179","0.0413187182332843","0.0359796023083234","0.0466578341582451","3"
"Less important","1992","Urban Area","East Germany","48","0.0437586211826378","0.0329346502767898","0.0545825920884858","3"
"Less important","1992","Rural Area","West Germany","56","0.0415324273916362","0.0318820591863067","0.0511827955969656","3"
"Quite unimportant","1992","Urban Area","West Germany","189","0.0530235817667117","0.0470123576648887","0.0590348058685347","4"
"Quite unimportant","1992","Urban Area","East Germany","52","0.0610434000747549","0.0483752513734363","0.0737115487760735","4"
"Quite unimportant","1992","Rural Area","West Germany","65","0.0602328389118954","0.0487251446848373","0.0717405331389535","4"
"Quite unimportant","1992","Rural Area","East Germany","102","0.070649053528454","0.0605377636074342","0.0807603434494737","4"
"Very important","1992","Urban Area","East Germany","1001","0.686603453199404","0.662057995748027","0.711148910650781","1"
"Very important","1992","Urban Area","West Germany","3722","0.656017178922454","0.643273794354355","0.668760563490553","1"
"Very important","1992","Rural Area","West Germany","1147","0.651871987015459","0.628830412140044","0.674913561890874","1"
"Very important","1992","Rural Area","East Germany","1810","0.681824395271594","0.663444915128436","0.700203875414752","1"
"Important","1993","Urban Area","West Germany","","","","","2"
"Important","1993","Urban Area","East Germany","","","","","2"
"Important","1993","Rural Area","West Germany","","","","","2"
"Important","1993","Rural Area","East Germany","","","","","2"
"Less important","1993","Rural Area","East Germany","","","","","3"
"Less important","1993","Urban Area","West Germany","","","","","3"
"Less important","1993","Urban Area","East Germany","","","","","3"
"Less important","1993","Rural Area","West Germany","","","","","3"
"Quite unimportant","1993","Urban Area","East Germany","","","","","4"
"Quite unimportant","1993","Urban Area","West Germany","","","","","4"
"Quite unimportant","1993","Rural Area","West Germany","","","","","4"
"Quite unimportant","1993","Rural Area","East Germany","","","","","4"
"Very important","1993","Rural Area","East Germany","","","","","1"
"Very important","1993","Urban Area","East Germany","","","","","1"
"Very important","1993","Urban Area","West Germany","","","","","1"
"Very important","1993","Rural Area","West Germany","","","","","1"
"Important","1994","Urban Area","East Germany","","","","","2"
"Important","1994","Urban Area","West Germany","","","","","2"
"Important","1994","Rural Area","West Germany","","","","","2"
"Important","1994","Rural Area","East Germany","","","","","2"
"Less important","1994","Urban Area","West Germany","","","","","3"
"Less important","1994","Urban Area","East Germany","","","","","3"
"Less important","1994","Rural Area","West Germany","","","","","3"
"Less important","1994","Rural Area","East Germany","","","","","3"
"Quite unimportant","1994","Urban Area","East Germany","","","","","4"
"Quite unimportant","1994","Urban Area","West Germany","","","","","4"
"Quite unimportant","1994","Rural Area","West Germany","","","","","4"
"Quite unimportant","1994","Rural Area","East Germany","","","","","4"
"Very important","1994","Rural Area","East Germany","","","","","1"
"Very important","1994","Urban Area","West Germany","","","","","1"
"Very important","1994","Urban Area","East Germany","","","","","1"
"Very important","1994","Rural Area","West Germany","","","","","1"
"Important","1995","Urban Area","East Germany","251","0.207815365878347","0.185358385581253","0.230272346175441","2"
"Important","1995","Rural Area","West Germany","416","0.257131471080458","0.236839331615663","0.277423610545253","2"
"Important","1995","Urban Area","West Germany","1277","0.23282962015425","0.221898075704885","0.243761164603614","2"
"Important","1995","Rural Area","East Germany","517","0.218593394303357","0.202044775954334","0.23514201265238","2"
"Less important","1995","Rural Area","West Germany","52","0.0365654451036714","0.0278509790444682","0.0452799111628747","3"
"Less important","1995","Urban Area","East Germany","41","0.0395848064922739","0.0287930261553924","0.0503765868291555","3"
"Less important","1995","Rural Area","East Germany","96","0.0511639961704548","0.0423416825772319","0.0599863097636778","3"
"Less important","1995","Urban Area","West Germany","230","0.0516842696143444","0.0459579950752085","0.0574105441534804","3"
"Quite unimportant","1995","Urban Area","East Germany","40","0.0537287487290945","0.0412488658667116","0.0662086315914773","4"
"Quite unimportant","1995","Urban Area","West Germany","165","0.0434086245670051","0.0381379313336862","0.048679317800324","4"
"Quite unimportant","1995","Rural Area","West Germany","62","0.0516883255422194","0.0414089668359417","0.0619676842484971","4"
"Quite unimportant","1995","Rural Area","East Germany","90","0.0629441143840331","0.0532196655791433","0.0726685631889229","4"
"Very important","1995","Rural Area","East Germany","1693","0.667298495142155","0.648431960406752","0.686165029877559","1"
"Very important","1995","Urban Area","West Germany","4070","0.672077485664401","0.659934882888998","0.684220088439803","1"
"Very important","1995","Urban Area","East Germany","922","0.698871078900285","0.673480412986158","0.724261744814412","1"
"Very important","1995","Rural Area","West Germany","1252","0.654614758273651","0.632537810745614","0.676691705801689","1"
"Important","1996","Urban Area","East Germany","","","","","2"
"Important","1996","Urban Area","West Germany","","","","","2"
"Important","1996","Rural Area","West Germany","","","","","2"
"Important","1996","Rural Area","East Germany","","","","","2"
"Less important","1996","Rural Area","West Germany","","","","","3"
"Less important","1996","Urban Area","East Germany","","","","","3"
"Less important","1996","Rural Area","East Germany","","","","","3"
"Less important","1996","Urban Area","West Germany","","","","","3"
"Quite unimportant","1996","Urban Area","East Germany","","","","","4"
"Quite unimportant","1996","Urban Area","West Germany","","","","","4"
"Quite unimportant","1996","Rural Area","West Germany","","","","","4"
"Quite unimportant","1996","Rural Area","East Germany","","","","","4"
"Very important","1996","Rural Area","East Germany","","","","","1"
"Very important","1996","Urban Area","West Germany","","","","","1"
"Very important","1996","Urban Area","East Germany","","","","","1"
"Very important","1996","Rural Area","West Germany","","","","","1"
"Important","1997","Rural Area","West Germany","","","","","2"
"Important","1997","Urban Area","West Germany","","","","","2"
"Important","1997","Urban Area","East Germany","","","","","2"
"Important","1997","Rural Area","East Germany","","","","","2"
"Less important","1997","Rural Area","West Germany","","","","","3"
"Less important","1997","Urban Area","East Germany","","","","","3"
"Less important","1997","Rural Area","East Germany","","","","","3"
"Less important","1997","Urban Area","West Germany","","","","","3"
"Quite unimportant","1997","Urban Area","East Germany","","","","","4"
"Quite unimportant","1997","Urban Area","West Germany","","","","","4"
"Quite unimportant","1997","Rural Area","West Germany","","","","","4"
"Quite unimportant","1997","Rural Area","East Germany","","","","","4"
"Very important","1997","Rural Area","East Germany","","","","","1"
"Very important","1997","Urban Area","West Germany","","","","","1"
"Very important","1997","Urban Area","East Germany","","","","","1"
"Very important","1997","Rural Area","West Germany","","","","","1"
"Important","1998","Rural Area","West Germany","","","","","2"
"Important","1998","Urban Area","East Germany","","","","","2"
"Important","1998","Urban Area","West Germany","","","","","2"
"Important","1998","Rural Area","East Germany","","","","","2"
"Less important","1998","Urban Area","West Germany","","","","","3"
"Less important","1998","Rural Area","West Germany","","","","","3"
"Less important","1998","Urban Area","East Germany","","","","","3"
"Less important","1998","Rural Area","East Germany","","","","","3"
"Quite unimportant","1998","Urban Area","East Germany","","","","","4"
"Quite unimportant","1998","Urban Area","West Germany","","","","","4"
"Quite unimportant","1998","Rural Area","West Germany","","","","","4"
"Quite unimportant","1998","Rural Area","East Germany","","","","","4"
"Very important","1998","Urban Area","West Germany","","","","","1"
"Very important","1998","Urban Area","East Germany","","","","","1"
"Very important","1998","Rural Area","West Germany","","","","","1"
"Very important","1998","Rural Area","East Germany","","","","","1"
"Important","1999","Urban Area","East Germany","","","","","2"
"Important","1999","Urban Area","West Germany","","","","","2"
"Important","1999","Rural Area","West Germany","","","","","2"
"Important","1999","Rural Area","East Germany","","","","","2"
"Less important","1999","Urban Area","West Germany","","","","","3"
"Less important","1999","Rural Area","West Germany","","","","","3"
"Less important","1999","Rural Area","East Germany","","","","","3"
"Less important","1999","Urban Area","East Germany","","","","","3"
"Quite unimportant","1999","Urban Area","West Germany","","","","","4"
"Quite unimportant","1999","Urban Area","East Germany","","","","","4"
"Quite unimportant","1999","Rural Area","West Germany","","","","","4"
"Quite unimportant","1999","Rural Area","East Germany","","","","","4"
"Very important","1999","Rural Area","West Germany","","","","","1"
"Very important","1999","Urban Area","West Germany","","","","","1"
"Very important","1999","Urban Area","East Germany","","","","","1"
"Very important","1999","Rural Area","East Germany","","","","","1"
"Important","2000","Urban Area","East Germany","","","","","2"
"Important","2000","Urban Area","West Germany","","","","","2"
"Important","2000","Rural Area","West Germany","","","","","2"
"Important","2000","Rural Area","East Germany","","","","","2"
"Less important","2000","Urban Area","West Germany","","","","","3"
"Less important","2000","Urban Area","East Germany","","","","","3"
"Less important","2000","Rural Area","East Germany","","","","","3"
"Less important","2000","Rural Area","West Germany","","","","","3"
"Quite unimportant","2000","Urban Area","East Germany","","","","","4"
"Quite unimportant","2000","Urban Area","West Germany","","","","","4"
"Quite unimportant","2000","Rural Area","West Germany","","","","","4"
"Quite unimportant","2000","Rural Area","East Germany","","","","","4"
"Very important","2000","Rural Area","West Germany","","","","","1"
"Very important","2000","Rural Area","East Germany","","","","","1"
"Very important","2000","Urban Area","West Germany","","","","","1"
"Very important","2000","Urban Area","East Germany","","","","","1"
"Important","2001","Urban Area","East Germany","","","","","2"
"Important","2001","Rural Area","West Germany","","","","","2"
"Important","2001","Urban Area","West Germany","","","","","2"
"Important","2001","Rural Area","East Germany","","","","","2"
"Less important","2001","Urban Area","West Germany","","","","","3"
"Less important","2001","Rural Area","East Germany","","","","","3"
"Less important","2001","Urban Area","East Germany","","","","","3"
"Less important","2001","Rural Area","West Germany","","","","","3"
"Quite unimportant","2001","Urban Area","West Germany","","","","","4"
"Quite unimportant","2001","Urban Area","East Germany","","","","","4"
"Quite unimportant","2001","Rural Area","West Germany","","","","","4"
"Quite unimportant","2001","Rural Area","East Germany","","","","","4"
"Very important","2001","Urban Area","West Germany","","","","","1"
"Very important","2001","Urban Area","East Germany","","","","","1"
"Very important","2001","Rural Area","West Germany","","","","","1"
"Very important","2001","Rural Area","East Germany","","","","","1"
"Important","2002","Urban Area","East Germany","","","","","2"
"Important","2002","Rural Area","West Germany","","","","","2"
"Important","2002","Urban Area","West Germany","","","","","2"
"Important","2002","Rural Area","East Germany","","","","","2"
"Less important","2002","Urban Area","West Germany","","","","","3"
"Less important","2002","Rural Area","East Germany","","","","","3"
"Less important","2002","Urban Area","East Germany","","","","","3"
"Less important","2002","Rural Area","West Germany","","","","","3"
"Quite unimportant","2002","Urban Area","East Germany","","","","","4"
"Quite unimportant","2002","Rural Area","West Germany","","","","","4"
"Quite unimportant","2002","Urban Area","West Germany","","","","","4"
"Quite unimportant","2002","Rural Area","East Germany","","","","","4"
"Very important","2002","Urban Area","West Germany","","","","","1"
"Very important","2002","Urban Area","East Germany","","","","","1"
"Very important","2002","Rural Area","West Germany","","","","","1"
"Very important","2002","Rural Area","East Germany","","","","","1"
"Important","2003","Urban Area","East Germany","","","","","2"
"Important","2003","Urban Area","West Germany","","","","","2"
"Important","2003","Rural Area","West Germany","","","","","2"
"Important","2003","Rural Area","East Germany","","","","","2"
"Less important","2003","Urban Area","West Germany","","","","","3"
"Less important","2003","Urban Area","East Germany","","","","","3"
"Less important","2003","Rural Area","East Germany","","","","","3"
"Less important","2003","Rural Area","West Germany","","","","","3"
"Quite unimportant","2003","Urban Area","East Germany","","","","","4"
"Quite unimportant","2003","Rural Area","West Germany","","","","","4"
"Quite unimportant","2003","Rural Area","East Germany","","","","","4"
"Quite unimportant","2003","Urban Area","West Germany","","","","","4"
"Very important","2003","Rural Area","East Germany","","","","","1"
"Very important","2003","Urban Area","West Germany","","","","","1"
"Very important","2003","Urban Area","East Germany","","","","","1"
"Very important","2003","Rural Area","West Germany","","","","","1"
"Important","2004","Urban Area","East Germany","473","0.276190808651002","0.255643809681135","0.296737807620869","2"
"Important","2004","Rural Area","West Germany","1054","0.284987983516307","0.270483969842444","0.299491997190169","2"
"Important","2004","Urban Area","West Germany","3228","0.273528444474625","0.26571952089893","0.281337368050319","2"
"Important","2004","Rural Area","East Germany","978","0.304022894764575","0.288536050603932","0.319509738925218","2"
"Less important","2004","Urban Area","West Germany","541","0.0533560228091175","0.0494190204026614","0.0572930252155737","3"
"Less important","2004","Rural Area","East Germany","155","0.0564549396647988","0.0486845177051125","0.0642253616244851","3"
"Less important","2004","Urban Area","East Germany","94","0.0599828514533395","0.0490706296895119","0.070895073217167","3"
"Less important","2004","Rural Area","West Germany","151","0.0518035122980404","0.0446824131888165","0.0589246114072643","3"
"Quite unimportant","2004","Urban Area","West Germany","284","0.0369402297268114","0.0336361004269336","0.0402443590266892","4"
"Quite unimportant","2004","Urban Area","East Germany","50","0.0413269627801595","0.0321798561348652","0.0504740694254538","4"
"Quite unimportant","2004","Rural Area","West Germany","81","0.0335419368688426","0.0277569306324551","0.0393269431052301","4"
"Quite unimportant","2004","Rural Area","East Germany","99","0.0475816231934498","0.0404144843706679","0.0547487620162318","4"
"Very important","2004","Urban Area","West Germany","8465","0.636175302989446","0.627747485768405","0.644603120210488","1"
"Very important","2004","Rural Area","East Germany","2157","0.591940542377177","0.575393778344218","0.608487306410135","1"
"Very important","2004","Urban Area","East Germany","1202","0.622499377115499","0.600222206122964","0.644776548108034","1"
"Very important","2004","Rural Area","West Germany","2435","0.62966656731681","0.614150915193497","0.645182219440124","1"
"Important","2005","Urban Area","East Germany","","","","","2"
"Important","2005","Rural Area","West Germany","","","","","2"
"Important","2005","Urban Area","West Germany","","","","","2"
"Important","2005","Rural Area","East Germany","","","","","2"
"Less important","2005","Urban Area","West Germany","","","","","3"
"Less important","2005","Rural Area","East Germany","","","","","3"
"Less important","2005","Urban Area","East Germany","","","","","3"
"Less important","2005","Rural Area","West Germany","","","","","3"
"Quite unimportant","2005","Urban Area","West Germany","","","","","4"
"Quite unimportant","2005","Urban Area","East Germany","","","","","4"
"Quite unimportant","2005","Rural Area","West Germany","","","","","4"
"Quite unimportant","2005","Rural Area","East Germany","","","","","4"
"Very important","2005","Urban Area","West Germany","","","","","1"
"Very important","2005","Urban Area","East Germany","","","","","1"
"Very important","2005","Rural Area","West Germany","","","","","1"
"Very important","2005","Rural Area","East Germany","","","","","1"
"Important","2006","Urban Area","East Germany","","","","","2"
"Important","2006","Urban Area","West Germany","","","","","2"
"Important","2006","Rural Area","West Germany","","","","","2"
"Important","2006","Rural Area","East Germany","","","","","2"
"Less important","2006","Urban Area","West Germany","","","","","3"
"Less important","2006","Urban Area","East Germany","","","","","3"
"Less important","2006","Rural Area","East Germany","","","","","3"
"Less important","2006","Rural Area","West Germany","","","","","3"
"Quite unimportant","2006","Rural Area","West Germany","","","","","4"
