"plh0110","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","lower secondary degree","736","0.410445135264419","0.386922654604568","0.433967615924269"
"Very important","1990","Not Employed","secondary school degree","187","0.404090874612579","0.356935525416507","0.451246223808652"
"Very important","1990","Not Employed","college entrance qualification","86","0.29561679872367","0.243006808697345","0.348226788749996"
"Very important","1990","Not Employed","Other degree","8","","",""
"Very important","1990","Not Employed","no degree/no degree yet","27","","",""
"Very important","1990","Employed","lower secondary degree","968","0.380154673006747","0.360565957766791","0.399743388246702"
"Very important","1990","Employed","secondary school degree","416","0.343901784643847","0.316412209672883","0.37139135961481"
"Very important","1990","Employed","college entrance qualification","295","0.321465977066913","0.290068702544141","0.352863251589684"
"Very important","1990","Employed","Other degree","15","","",""
"Very important","1990","Employed","no degree/no degree yet","13","","",""
"Important","1990","Not Employed","lower secondary degree","699","0.423847000263533","0.400216826198111","0.447477174328954"
"Important","1990","Not Employed","secondary school degree","153","0.383583522482829","0.336856456004831","0.430310588960826"
"Important","1990","Not Employed","college entrance qualification","106","0.361495798733814","0.306105631494594","0.416885965973034"
"Important","1990","Not Employed","Other degree","3","","",""
"Important","1990","Not Employed","no degree/no degree yet","45","0.333080629578391","0.250124476823443","0.41603678233334"
"Important","1990","Employed","lower secondary degree","973","0.418238891617938","0.398333594230465","0.43814418900541"
"Important","1990","Employed","secondary school degree","452","0.391479621877522","0.363233519726981","0.419725724028063"
"Important","1990","Employed","college entrance qualification","309","0.35088128319825","0.318797852947897","0.382964713448602"
"Important","1990","Employed","Other degree","14","","",""
"Important","1990","Employed","no degree/no degree yet","11","","",""
"Less important","1990","Not Employed","lower secondary degree","135","0.0818797872868547","0.0687689152896678","0.0949906592840416"
"Less important","1990","Not Employed","secondary school degree","46","0.115706598273153","0.0849683806665488","0.146444815879758"
"Less important","1990","Not Employed","college entrance qualification","63","0.221271772208972","0.173413707175168","0.269129837242776"
"Less important","1990","Not Employed","Other degree","1","","",""
"Less important","1990","Not Employed","no degree/no degree yet","37","0.3035839376582","0.222653659527006","0.384514215789394"
"Less important","1990","Employed","lower secondary degree","304","0.143139129713149","0.129006647026722","0.157271612399576"
"Less important","1990","Employed","secondary school degree","213","0.201137354392522","0.177939447237611","0.224335261547433"
"Less important","1990","Employed","college entrance qualification","181","0.23842141242454","0.209775106943661","0.267067717905419"
"Less important","1990","Employed","Other degree","6","","",""
"Less important","1990","Employed","no degree/no degree yet","12","","",""
"Quite unimportant","1990","Not Employed","lower secondary degree","110","0.0838280771851942","0.0705762216878949","0.0970799326824934"
"Quite unimportant","1990","Not Employed","secondary school degree","30","0.0966190046314387","0.068228822397645","0.125009186865232"
"Quite unimportant","1990","Not Employed","college entrance qualification","34","0.121615630333544","0.0839334375791826","0.159297823087905"
"Quite unimportant","1990","Not Employed","Other degree","3","","",""
"Quite unimportant","1990","Not Employed","no degree/no degree yet","15","","",""
"Quite unimportant","1990","Employed","lower secondary degree","114","0.0584673056621666","0.0489993031687889","0.0679353081555442"
"Quite unimportant","1990","Employed","secondary school degree","66","0.0634812390861091","0.049370579313222","0.0775918988589962"
"Quite unimportant","1990","Employed","college entrance qualification","65","0.0892313273102973","0.0700666572549014","0.108395997365693"
"Quite unimportant","1990","Employed","Other degree","4","","",""
"Quite unimportant","1990","Employed","no degree/no degree yet","5","","",""
"Very important","1991","Not Employed","lower secondary degree","","","",""
"Very important","1991","Not Employed","secondary school degree","","","",""
"Very important","1991","Not Employed","college entrance qualification","","","",""
"Very important","1991","Not Employed","Other degree","","","",""
"Very important","1991","Not Employed","no degree/no degree yet","","","",""
"Very important","1991","Employed","lower secondary degree","","","",""
"Very important","1991","Employed","secondary school degree","","","",""
"Very important","1991","Employed","college entrance qualification","","","",""
"Very important","1991","Employed","Other degree","","","",""
"Very important","1991","Employed","no degree/no degree yet","","","",""
"Important","1991","Not Employed","lower secondary degree","","","",""
"Important","1991","Not Employed","secondary school degree","","","",""
"Important","1991","Not Employed","college entrance qualification","","","",""
"Important","1991","Not Employed","Other degree","","","",""
"Important","1991","Not Employed","no degree/no degree yet","","","",""
"Important","1991","Employed","lower secondary degree","","","",""
"Important","1991","Employed","secondary school degree","","","",""
