"plh0110","year","migback","n","percent","lower_confidence","upper_confidence"
"Very important","1990","no migration background","2565","0.367911794991692","0.356254603251173","0.37956898673221"
"Very important","1990","direct migration background","196","0.393615257808941","0.347809774757162","0.43942074086072"
"Very important","1990","indirect migration background","19","","",""
"Important","1990","no migration background","2624","0.400244323561178","0.388400743086775","0.412087904035582"
"Important","1990","direct migration background","166","0.409873073842224","0.363762048188471","0.455984099495977"
"Important","1990","indirect migration background","17","","",""
"Less important","1990","no migration background","963","0.154727787481417","0.145985688992524","0.16346988597031"
"Less important","1990","direct migration background","54","0.135640727773334","0.10353743527216","0.167744020274507"
"Less important","1990","indirect migration background","11","","",""
"Quite unimportant","1990","no migration background","422","0.0771160939657132","0.070667288305723","0.0835648996257034"
"Quite unimportant","1990","direct migration background","21","","",""
"Quite unimportant","1990","indirect migration background","8","","",""
"Very important","1991","no migration background","","","",""
"Very important","1991","direct migration background","","","",""
"Very important","1991","indirect migration background","","","",""
"Important","1991","no migration background","","","",""
"Important","1991","direct migration background","","","",""
"Important","1991","indirect migration background","","","",""
"Less important","1991","no migration background","","","",""
"Less important","1991","direct migration background","","","",""
"Less important","1991","indirect migration background","","","",""
"Quite unimportant","1991","no migration background","","","",""
"Quite unimportant","1991","direct migration background","","","",""
"Quite unimportant","1991","indirect migration background","","","",""
"Very important","1992","no migration background","4783","0.413340657548434","0.403800594912691","0.422880720184177"
"Very important","1992","direct migration background","280","0.469706187535355","0.428770559530879","0.510641815539831"
"Very important","1992","indirect migration background","25","","",""
"Important","1992","no migration background","3505","0.365427482159049","0.356098260751988","0.37475670356611"
"Important","1992","direct migration background","192","0.342901159681313","0.303967084406505","0.381835234956122"
"Important","1992","indirect migration background","26","","",""
"Less important","1992","no migration background","1273","0.137067284996161","0.130404442611909","0.143730127380413"
"Less important","1992","direct migration background","60","0.122545890699267","0.0956496477283817","0.149442133670152"
"Less important","1992","indirect migration background","22","","",""
"Quite unimportant","1992","no migration background","674","0.084164575296356","0.0787858724134791","0.0895432781792329"
"Quite unimportant","1992","direct migration background","39","0.0648467620840643","0.0446484268581516","0.0850450973099769"
"Quite unimportant","1992","indirect migration background","7","","",""
"Very important","1993","no migration background","","","",""
"Very important","1993","direct migration background","","","",""
"Very important","1993","indirect migration background","","","",""
"Important","1993","no migration background","","","",""
"Important","1993","direct migration background","","","",""
"Important","1993","indirect migration background","","","",""
"Less important","1993","no migration background","","","",""
"Less important","1993","direct migration background","","","",""
"Less important","1993","indirect migration background","","","",""
"Quite unimportant","1993","no migration background","","","",""
"Quite unimportant","1993","direct migration background","","","",""
"Quite unimportant","1993","indirect migration background","","","",""
"Very important","1994","no migration background","","","",""
"Very important","1994","direct migration background","","","",""
"Very important","1994","indirect migration background","","","",""
"Important","1994","no migration background","","","",""
"Important","1994","direct migration background","","","",""
"Important","1994","indirect migration background","","","",""
"Less important","1994","no migration background","","","",""
"Less important","1994","direct migration background","","","",""
"Less important","1994","indirect migration background","","","",""
"Quite unimportant","1994","no migration background","","","",""
"Quite unimportant","1994","direct migration background","","","",""
"Quite unimportant","1994","indirect migration background","","","",""
"Very important","1995","no migration background","4601","0.428558512411488","0.418790626457254","0.438326398365722"
"Very important","1995","direct migration background","618","0.517955909033319","0.488911828222148","0.54699998984449"
"Very important","1995","indirect migration background","43","0.2981267969024","0.222081820620374","0.374171773184427"
"Important","1995","no migration background","3411","0.359336752736383","0.349866199312376","0.368807306160389"
"Important","1995","direct migration background","360","0.310924626158887","0.284019887132645","0.337829365185129"
"Important","1995","indirect migration background","47","0.320940566517771","0.243332495009283","0.398548638026259"
"Less important","1995","no migration background","1247","0.135357552838172","0.12860498187886","0.142110123797484"
"Less important","1995","direct migration background","106","0.113219684680225","0.0948019229064722","0.131637446453977"
"Less important","1995","indirect migration background","34","0.263112217865881","0.189912083791313","0.33631235194045"
"Quite unimportant","1995","no migration background","601","0.0767471820139572","0.0714930476651185","0.0820013163627959"
"Quite unimportant","1995","direct migration background","53","0.0578997801275686","0.0443243103100844","0.0714752499450527"
"Quite unimportant","1995","indirect migration background","15","","",""
"Very important","1996","no migration background","","","",""
"Very important","1996","direct migration background","","","",""
"Very important","1996","indirect migration background","","","",""
"Important","1996","no migration background","","","",""
"Important","1996","direct migration background","","","",""
"Important","1996","indirect migration background","","","",""
"Less important","1996","no migration background","","","",""
"Less important","1996","direct migration background","","","",""
"Less important","1996","indirect migration background","","","",""
"Quite unimportant","1996","no migration background","","","",""
"Quite unimportant","1996","direct migration background","","","",""
"Quite unimportant","1996","indirect migration background","","","",""
"Very important","1997","no migration background","","","",""
"Very important","1997","direct migration background","","","",""
"Very important","1997","indirect migration background","","","",""
"Important","1997","no migration background","","","",""
"Important","1997","direct migration background","","","",""
"Important","1997","indirect migration background","","","",""
"Less important","1997","no migration background","","","",""
"Less important","1997","direct migration background","","","",""
"Less important","1997","indirect migration background","","","",""
"Quite unimportant","1997","no migration background","","","",""
"Quite unimportant","1997","direct migration background","","","",""
"Quite unimportant","1997","indirect migration background","","","",""
"Very important","1998","no migration background","","","",""
"Very important","1998","direct migration background","","","",""
"Very important","1998","indirect migration background","","","",""
"Important","1998","no migration background","","","",""
"Important","1998","direct migration background","","","",""
"Important","1998","indirect migration background","","","",""
"Less important","1998","no migration background","","","",""
"Less important","1998","direct migration background","","","",""
"Less important","1998","indirect migration background","","","",""
"Quite unimportant","1998","no migration background","","","",""
"Quite unimportant","1998","direct migration background","","","",""
"Quite unimportant","1998","indirect migration background","","","",""
"Very important","1999","no migration background","","","",""
"Very important","1999","direct migration background","","","",""
"Very important","1999","indirect migration background","","","",""
"Important","1999","no migration background","","","",""
"Important","1999","direct migration background","","","",""
"Important","1999","indirect migration background","","","",""
"Less important","1999","no migration background","","","",""
"Less important","1999","direct migration background","","","",""
"Less important","1999","indirect migration background","","","",""
"Quite unimportant","1999","no migration background","","","",""
"Quite unimportant","1999","direct migration background","","","",""
"Quite unimportant","1999","indirect migration background","","","",""
"Very important","2000","no migration background","","","",""
"Very important","2000","direct migration background","","","",""
