"plh0110","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","higher vocational","East Germany","","","","","2"
"Important","1990","higher education","West Germany","229","0.35344636551129","0.316668223840495","0.390224507182086","2"
"Important","1990","inadequately","West Germany","21","","","","2"
"Important","1990","inadequately","East Germany","","","","","2"
"Important","1990","higher education","East Germany","","","","","2"
"Important","1990","in school","East Germany","","","","","2"
"Important","1990","general elemantary","West Germany","673","0.423262887160417","0.399128893321737","0.447396880999096","2"
"Important","1990","general elemantary","East Germany","","","","","2"
"Important","1990","higher vocational","West Germany","192","0.373850024544855","0.331271055331737","0.416428993757973","2"
"Important","1990","in school","West Germany","35","0.319494195839004","0.22987958468892","0.409108806989087","2"
"Important","1990","middle vocational","West Germany","1554","0.409609634280549","0.394080055929797","0.4251392126313","2"
"Important","1990","middle vocational","East Germany","","","","","2"
"Important","1990","vocational + Abi","West Germany","72","0.345398526453364","0.280148343033498","0.410648709873229","2"
"Important","1990","vocational + Abi","East Germany","","","","","2"
"Less important","1990","in school","West Germany","38","0.381967854701725","0.288588609037637","0.475347100365813","3"
"Less important","1990","in school","East Germany","","","","","3"
"Less important","1990","inadequately","West Germany","11","","","","3"
"Less important","1990","inadequately","East Germany","","","","","3"
"Less important","1990","general elemantary","West Germany","205","0.129941494015625","0.113517328633058","0.146365659398191","3"
"Less important","1990","general elemantary","East Germany","","","","","3"
"Less important","1990","middle vocational","West Germany","540","0.147201382898851","0.136012566677423","0.158390199120279","3"
"Less important","1990","middle vocational","East Germany","","","","","3"
"Less important","1990","vocational + Abi","West Germany","51","0.277257569124165","0.215829553089861","0.338685585158469","3"
"Less important","1990","vocational + Abi","East Germany","","","","","3"
"Less important","1990","higher vocational","West Germany","57","0.130669203412148","0.101008161190754","0.160330245633541","3"
"Less important","1990","higher vocational","East Germany","","","","","3"
"Less important","1990","higher education","West Germany","104","0.179308839105205","0.14979562761259","0.208822050597819","3"
"Less important","1990","higher education","East Germany","","","","","3"
"Quite unimportant","1990","higher vocational","East Germany","","","","","4"
"Quite unimportant","1990","higher education","West Germany","57","0.0956828329918645","0.0730518643415623","0.118313801642167","4"
"Quite unimportant","1990","inadequately","West Germany","14","","","","4"
"Quite unimportant","1990","inadequately","East Germany","","","","","4"
"Quite unimportant","1990","higher education","East Germany","","","","","4"
"Quite unimportant","1990","in school","East Germany","","","","","4"
"Quite unimportant","1990","general elemantary","West Germany","116","0.0828899315333438","0.0694221279437879","0.0963577351228996","4"
"Quite unimportant","1990","general elemantary","East Germany","","","","","4"
"Quite unimportant","1990","higher vocational","West Germany","19","","","","4"
"Quite unimportant","1990","in school","West Germany","11","","","","4"
"Quite unimportant","1990","middle vocational","West Germany","209","0.0688117071987092","0.0608178778681824","0.0768055365292361","4"
"Quite unimportant","1990","middle vocational","East Germany","","","","","4"
"Quite unimportant","1990","vocational + Abi","West Germany","21","","","","4"
"Quite unimportant","1990","vocational + Abi","East Germany","","","","","4"
"Very important","1990","in school","West Germany","20","","","","1"
"Very important","1990","in school","East Germany","","","","","1"
"Very important","1990","inadequately","West Germany","26","","","","1"
"Very important","1990","inadequately","East Germany","","","","","1"
"Very important","1990","general elemantary","West Germany","616","0.363905687290615","0.340404471470411","0.387406903110818","1"
"Very important","1990","general elemantary","East Germany","","","","","1"
"Very important","1990","middle vocational","West Germany","1549","0.374377275621891","0.359094017461715","0.389660533782068","1"
"Very important","1990","middle vocational","East Germany","","","","","1"
"Very important","1990","vocational + Abi","West Germany","60","0.260258572583895","0.200047619802404","0.320469525365385","1"
"Very important","1990","vocational + Abi","East Germany","","","","","1"
"Very important","1990","higher vocational","West Germany","228","0.440594615589827","0.396903798519309","0.484285432660345","1"
