"plh0112","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very important","1990","lower secondary degree","1-pers.-HH","54","0.0942723820494875","0.0689121017858912","0.119632662313084"
"Very important","1990","lower secondary degree","(Married) couple without C. ","145","0.111446433168633","0.0940015534829605","0.128891312854306"
"Very important","1990","lower secondary degree","Single parent ","19","","",""
"Very important","1990","lower secondary degree","Couple + C. LE 16 ","45","0.0590000205425328","0.0424324636729279","0.0755675774121378"
"Very important","1990","lower secondary degree","Couple + C. GT 16 ","86","0.102187714724676","0.0816677090102335","0.122707720439119"
"Very important","1990","lower secondary degree","Couple + C. LE and GT 16","22","","",""
"Very important","1990","secondary school degree","1-pers.-HH","24","","",""
"Very important","1990","secondary school degree","(Married) couple without C. ","60","0.146734954101763","0.113212564104754","0.180257344098772"
"Very important","1990","secondary school degree","Single parent ","13","","",""
"Very important","1990","secondary school degree","Couple + C. LE 16 ","14","","",""
"Very important","1990","secondary school degree","Couple + C. GT 16 ","73","0.227955476571889","0.18234626140403","0.273564691739748"
"Very important","1990","secondary school degree","Couple + C. LE and GT 16","16","","",""
"Very important","1990","college entrance qualification","1-pers.-HH","46","0.244427636461603","0.181471979268212","0.307383293654994"
"Very important","1990","college entrance qualification","(Married) couple without C. ","61","0.191065094226152","0.147016217097981","0.235113971354322"
"Very important","1990","college entrance qualification","Single parent ","15","","",""
"Very important","1990","college entrance qualification","Couple + C. LE 16 ","34","0.142335449898721","0.0994516491103774","0.185219250687064"
"Very important","1990","college entrance qualification","Couple + C. GT 16 ","53","0.188258511915851","0.140183719781306","0.236333304050396"
"Very important","1990","college entrance qualification","Couple + C. LE and GT 16","5","","",""
"Very important","1990","Other degree","1-pers.-HH","","","",""
"Very important","1990","Other degree","(Married) couple without C. ","1","","",""
"Very important","1990","Other degree","Single parent ","","","",""
"Very important","1990","Other degree","Couple + C. LE 16 ","1","","",""
"Very important","1990","Other degree","Couple + C. GT 16 ","2","","",""
"Very important","1990","Other degree","Couple + C. LE and GT 16","1","","",""
"Very important","1990","no degree/no degree yet","1-pers.-HH","2","","",""
"Very important","1990","no degree/no degree yet","(Married) couple without C. ","1","","",""
"Very important","1990","no degree/no degree yet","Single parent ","3","","",""
"Very important","1990","no degree/no degree yet","Couple + C. LE 16 ","4","","",""
"Very important","1990","no degree/no degree yet","Couple + C. GT 16 ","17","","",""
"Very important","1990","no degree/no degree yet","Couple + C. LE and GT 16","5","","",""
"Important","1990","lower secondary degree","1-pers.-HH","179","0.355609081785911","0.314063568365997","0.397154595205825"
"Important","1990","lower secondary degree","(Married) couple without C. ","469","0.365335131850363","0.338641293109201","0.392028970591525"
"Important","1990","lower secondary degree","Single parent ","63","0.297717843651315","0.23631103341052","0.359124653892111"
"Important","1990","lower secondary degree","Couple + C. LE 16 ","268","0.342335217023128","0.308972173330969","0.375698260715287"
"Important","1990","lower secondary degree","Couple + C. GT 16 ","315","0.382805267946779","0.349875746437106","0.415734789456452"
"Important","1990","lower secondary degree","Couple + C. LE and GT 16","91","0.366673421190413","0.305832869668015","0.427513972712811"
"Important","1990","secondary school degree","1-pers.-HH","90","0.42163762158492","0.353706346417177","0.489568896752664"
"Important","1990","secondary school degree","(Married) couple without C. ","179","0.419248045165543","0.372500687299862","0.465995403031224"
"Important","1990","secondary school degree","Single parent ","32","0.44965854413292","0.334753423769497","0.564563664496344"
"Important","1990","secondary school degree","Couple + C. LE 16 ","132","0.320730266504633","0.274226972889269","0.367233560119997"
"Important","1990","secondary school degree","Couple + C. GT 16 ","141","0.422935148520392","0.369225091747464","0.476645205293321"
"Important","1990","secondary school degree","Couple + C. LE and GT 16","41","0.368835768915522","0.27473891369719","0.462932624133853"
"Important","1990","college entrance qualification","1-pers.-HH","83","0.452183327736607","0.379271754195993","0.52509490127722"
"Important","1990","college entrance qualification","(Married) couple without C. ","138","0.455522379883368","0.399722629788042","0.511322129978694"
"Important","1990","college entrance qualification","Single parent ","27","","",""
"Important","1990","college entrance qualification","Couple + C. LE 16 ","93","0.360112137621933","0.301194026282912","0.419030248960954"
"Important","1990","college entrance qualification","Couple + C. GT 16 ","126","0.510533727718324","0.449057835921831","0.572009619514816"
"Important","1990","college entrance qualification","Couple + C. LE and GT 16","22","","",""
"Important","1990","Other degree","1-pers.-HH","","","",""
"Important","1990","Other degree","(Married) couple without C. ","6","","",""
"Important","1990","Other degree","Single parent ","2","","",""
"Important","1990","Other degree","Couple + C. LE 16 ","4","","",""
"Important","1990","Other degree","Couple + C. GT 16 ","11","","",""
"Important","1990","Other degree","Couple + C. LE and GT 16","1","","",""
"Important","1990","no degree/no degree yet","1-pers.-HH","5","","",""
"Important","1990","no degree/no degree yet","(Married) couple without C. ","5","","",""
"Important","1990","no degree/no degree yet","Single parent ","9","","",""
"Important","1990","no degree/no degree yet","Couple + C. LE 16 ","5","","",""
"Important","1990","no degree/no degree yet","Couple + C. GT 16 ","27","","",""
"Important","1990","no degree/no degree yet","Couple + C. LE and GT 16","20","","",""
"Less important","1990","lower secondary degree","1-pers.-HH","163","0.308655451986434","0.268564418631028","0.348746485341839"
"Less important","1990","lower secondary degree","(Married) couple without C. ","445","0.35593245856596","0.329389911985138","0.382475005146781"
"Less important","1990","lower secondary degree","Single parent ","100","0.474120921846016","0.407063663092129","0.541178180599903"
"Less important","1990","lower secondary degree","Couple + C. LE 16 ","397","0.515122204026441","0.47998162888882","0.550262779164061"
"Less important","1990","lower secondary degree","Couple + C. GT 16 ","348","0.413640181443757","0.380276126870574","0.447004236016939"
"Less important","1990","lower secondary degree","Couple + C. LE and GT 16","101","0.433522926073313","0.370957159011466","0.496088693135159"
"Less important","1990","secondary school degree","1-pers.-HH","67","0.344982111395664","0.279590063209561","0.410374159581767"
"Less important","1990","secondary school degree","(Married) couple without C. ","163","0.371854559860933","0.326067488296492","0.417641631425374"
"Less important","1990","secondary school degree","Single parent ","24","","",""
"Less important","1990","secondary school degree","Couple + C. LE 16 ","212","0.568764271538394","0.519422341872806","0.618106201203983"
"Less important","1990","secondary school degree","Couple + C. GT 16 ","99","0.314284827350849","0.263814049547852","0.364755605153847"
"Less important","1990","secondary school degree","Couple + C. LE and GT 16","36","0.386499605351889","0.291533340985286","0.481465869718491"
"Less important","1990","college entrance qualification","1-pers.-HH","45","0.265104204527496","0.200443152731488","0.329765256323504"
"Less important","1990","college entrance qualification","(Married) couple without C. ","87","0.282351209499513","0.231915494422853","0.332786924576172"
"Less important","1990","college entrance qualification","Single parent ","20","","",""
"Less important","1990","college entrance qualification","Couple + C. LE 16 ","114","0.454678903405401","0.393562673993986","0.515795132816815"
"Less important","1990","college entrance qualification","Couple + C. GT 16 ","68","0.272014986075775","0.217289595742781","0.32674037640877"
"Less important","1990","college entrance qualification","Couple + C. LE and GT 16","12","","",""
"Less important","1990","Other degree","1-pers.-HH","1","","",""
"Less important","1990","Other degree","(Married) couple without C. ","2","","",""
"Less important","1990","Other degree","Single parent ","5","","",""
"Less important","1990","Other degree","Couple + C. LE 16 ","5","","",""
"Less important","1990","Other degree","Couple + C. GT 16 ","5","","",""
"Less important","1990","Other degree","Couple + C. LE and GT 16","1","","",""
"Less important","1990","no degree/no degree yet","1-pers.-HH","1","","",""
"Less important","1990","no degree/no degree yet","(Married) couple without C. ","4","","",""
"Less important","1990","no degree/no degree yet","Single parent ","5","","",""
"Less important","1990","no degree/no degree yet","Couple + C. LE 16 ","10","","",""
"Less important","1990","no degree/no degree yet","Couple + C. GT 16 ","18","","",""
"Less important","1990","no degree/no degree yet","Couple + C. LE and GT 16","14","","",""
"Quite unimportant","1990","lower secondary degree","1-pers.-HH","114","0.241463084178168","0.204320104946284","0.278606063410052"
"Quite unimportant","1990","lower secondary degree","(Married) couple without C. ","191","0.167285976415044","0.146595485667616","0.187976467162472"
"Quite unimportant","1990","lower secondary degree","Single parent ","31","0.144932047926531","0.097656037640598","0.192208058212464"
"Quite unimportant","1990","lower secondary degree","Couple + C. LE 16 ","67","0.0835425584078986","0.0640868244893278","0.102998292326469"
"Quite unimportant","1990","lower secondary degree","Couple + C. GT 16 ","88","0.101366835884788","0.0809200745200375","0.121813597249538"
"Quite unimportant","1990","lower secondary degree","Couple + C. LE and GT 16","27","","",""
"Quite unimportant","1990","secondary school degree","1-pers.-HH","22","","",""
"Quite unimportant","1990","secondary school degree","(Married) couple without C. ","26","","",""
"Quite unimportant","1990","secondary school degree","Single parent ","3","","",""
"Quite unimportant","1990","secondary school degree","Couple + C. LE 16 ","29","","",""
"Quite unimportant","1990","secondary school degree","Couple + C. GT 16 ","12","","",""
"Quite unimportant","1990","secondary school degree","Couple + C. LE and GT 16","8","","",""
"Quite unimportant","1990","college entrance qualification","1-pers.-HH","5","","",""
"Quite unimportant","1990","college entrance qualification","(Married) couple without C. ","20","","",""
"Quite unimportant","1990","college entrance qualification","Single parent ","2","","",""
"Quite unimportant","1990","college entrance qualification","Couple + C. LE 16 ","14","","",""
"Quite unimportant","1990","college entrance qualification","Couple + C. GT 16 ","7","","",""
"Quite unimportant","1990","college entrance qualification","Couple + C. LE and GT 16","1","","",""
"Quite unimportant","1990","Other degree","1-pers.-HH","2","","",""
"Quite unimportant","1990","Other degree","(Married) couple without C. ","","","",""
"Quite unimportant","1990","Other degree","Single parent ","1","","",""
"Quite unimportant","1990","Other degree","Couple + C. LE 16 ","","","",""
"Quite unimportant","1990","Other degree","Couple + C. GT 16 ","","","",""
"Quite unimportant","1990","Other degree","Couple + C. LE and GT 16","1","","",""
"Quite unimportant","1990","no degree/no degree yet","1-pers.-HH","2","","",""
"Quite unimportant","1990","no degree/no degree yet","(Married) couple without C. ","1","","",""
"Quite unimportant","1990","no degree/no degree yet","Single parent ","","","",""
"Quite unimportant","1990","no degree/no degree yet","Couple + C. LE 16 ","3","","",""
"Quite unimportant","1990","no degree/no degree yet","Couple + C. GT 16 ","3","","",""
"Quite unimportant","1990","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Very important","1991","lower secondary degree","1-pers.-HH","","","",""
"Very important","1991","lower secondary degree","(Married) couple without C. ","","","",""
"Very important","1991","lower secondary degree","Single parent ","","","",""
"Very important","1991","lower secondary degree","Couple + C. LE 16 ","","","",""
"Very important","1991","lower secondary degree","Couple + C. GT 16 ","","","",""
"Very important","1991","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Very important","1991","secondary school degree","1-pers.-HH","","","",""
"Very important","1991","secondary school degree","(Married) couple without C. ","","","",""
"Very important","1991","secondary school degree","Single parent ","","","",""
"Very important","1991","secondary school degree","Couple + C. LE 16 ","","","",""
"Very important","1991","secondary school degree","Couple + C. GT 16 ","","","",""
"Very important","1991","secondary school degree","Couple + C. LE and GT 16","","","",""
"Very important","1991","college entrance qualification","1-pers.-HH","","","",""
"Very important","1991","college entrance qualification","(Married) couple without C. ","","","",""
"Very important","1991","college entrance qualification","Single parent ","","","",""
"Very important","1991","college entrance qualification","Couple + C. LE 16 ","","","",""
"Very important","1991","college entrance qualification","Couple + C. GT 16 ","","","",""
"Very important","1991","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Very important","1991","Other degree","1-pers.-HH","","","",""
"Very important","1991","Other degree","(Married) couple without C. ","","","",""
"Very important","1991","Other degree","Single parent ","","","",""
"Very important","1991","Other degree","Couple + C. LE 16 ","","","",""
"Very important","1991","Other degree","Couple + C. GT 16 ","","","",""
"Very important","1991","Other degree","Couple + C. LE and GT 16","","","",""
"Very important","1991","no degree/no degree yet","1-pers.-HH","","","",""
"Very important","1991","no degree/no degree yet","(Married) couple without C. ","","","",""
"Very important","1991","no degree/no degree yet","Single parent ","","","",""
"Very important","1991","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Very important","1991","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Very important","1991","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Important","1991","lower secondary degree","1-pers.-HH","","","",""
"Important","1991","lower secondary degree","(Married) couple without C. ","","","",""
"Important","1991","lower secondary degree","Single parent ","","","",""
"Important","1991","lower secondary degree","Couple + C. LE 16 ","","","",""
"Important","1991","lower secondary degree","Couple + C. GT 16 ","","","",""
"Important","1991","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Important","1991","secondary school degree","1-pers.-HH","","","",""
"Important","1991","secondary school degree","(Married) couple without C. ","","","",""
"Important","1991","secondary school degree","Single parent ","","","",""
"Important","1991","secondary school degree","Couple + C. LE 16 ","","","",""
"Important","1991","secondary school degree","Couple + C. GT 16 ","","","",""
"Important","1991","secondary school degree","Couple + C. LE and GT 16","","","",""
"Important","1991","college entrance qualification","1-pers.-HH","","","",""
"Important","1991","college entrance qualification","(Married) couple without C. ","","","",""
"Important","1991","college entrance qualification","Single parent ","","","",""
"Important","1991","college entrance qualification","Couple + C. LE 16 ","","","",""
"Important","1991","college entrance qualification","Couple + C. GT 16 ","","","",""
"Important","1991","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Important","1991","Other degree","1-pers.-HH","","","",""
"Important","1991","Other degree","(Married) couple without C. ","","","",""
"Important","1991","Other degree","Single parent ","","","",""
"Important","1991","Other degree","Couple + C. LE 16 ","","","",""
"Important","1991","Other degree","Couple + C. GT 16 ","","","",""
"Important","1991","Other degree","Couple + C. LE and GT 16","","","",""
"Important","1991","no degree/no degree yet","1-pers.-HH","","","",""
"Important","1991","no degree/no degree yet","(Married) couple without C. ","","","",""
"Important","1991","no degree/no degree yet","Single parent ","","","",""
"Important","1991","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Important","1991","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Important","1991","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Less important","1991","lower secondary degree","1-pers.-HH","","","",""
"Less important","1991","lower secondary degree","(Married) couple without C. ","","","",""
"Less important","1991","lower secondary degree","Single parent ","","","",""
"Less important","1991","lower secondary degree","Couple + C. LE 16 ","","","",""
"Less important","1991","lower secondary degree","Couple + C. GT 16 ","","","",""
"Less important","1991","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Less important","1991","secondary school degree","1-pers.-HH","","","",""
"Less important","1991","secondary school degree","(Married) couple without C. ","","","",""
"Less important","1991","secondary school degree","Single parent ","","","",""
"Less important","1991","secondary school degree","Couple + C. LE 16 ","","","",""
"Less important","1991","secondary school degree","Couple + C. GT 16 ","","","",""
"Less important","1991","secondary school degree","Couple + C. LE and GT 16","","","",""
"Less important","1991","college entrance qualification","1-pers.-HH","","","",""
"Less important","1991","college entrance qualification","(Married) couple without C. ","","","",""
"Less important","1991","college entrance qualification","Single parent ","","","",""
"Less important","1991","college entrance qualification","Couple + C. LE 16 ","","","",""
"Less important","1991","college entrance qualification","Couple + C. GT 16 ","","","",""
"Less important","1991","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Less important","1991","Other degree","1-pers.-HH","","","",""
"Less important","1991","Other degree","(Married) couple without C. ","","","",""
"Less important","1991","Other degree","Single parent ","","","",""
"Less important","1991","Other degree","Couple + C. LE 16 ","","","",""
"Less important","1991","Other degree","Couple + C. GT 16 ","","","",""
"Less important","1991","Other degree","Couple + C. LE and GT 16","","","",""
"Less important","1991","no degree/no degree yet","1-pers.-HH","","","",""
"Less important","1991","no degree/no degree yet","(Married) couple without C. ","","","",""
"Less important","1991","no degree/no degree yet","Single parent ","","","",""
"Less important","1991","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Less important","1991","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Less important","1991","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Quite unimportant","1991","lower secondary degree","1-pers.-HH","","","",""
"Quite unimportant","1991","lower secondary degree","(Married) couple without C. ","","","",""
"Quite unimportant","1991","lower secondary degree","Single parent ","","","",""
"Quite unimportant","1991","lower secondary degree","Couple + C. LE 16 ","","","",""
"Quite unimportant","1991","lower secondary degree","Couple + C. GT 16 ","","","",""
"Quite unimportant","1991","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Quite unimportant","1991","secondary school degree","1-pers.-HH","","","",""
"Quite unimportant","1991","secondary school degree","(Married) couple without C. ","","","",""
"Quite unimportant","1991","secondary school degree","Single parent ","","","",""
"Quite unimportant","1991","secondary school degree","Couple + C. LE 16 ","","","",""
"Quite unimportant","1991","secondary school degree","Couple + C. GT 16 ","","","",""
"Quite unimportant","1991","secondary school degree","Couple + C. LE and GT 16","","","",""
"Quite unimportant","1991","college entrance qualification","1-pers.-HH","","","",""
"Quite unimportant","1991","college entrance qualification","(Married) couple without C. ","","","",""
"Quite unimportant","1991","college entrance qualification","Single parent ","","","",""
"Quite unimportant","1991","college entrance qualification","Couple + C. LE 16 ","","","",""
"Quite unimportant","1991","college entrance qualification","Couple + C. GT 16 ","","","",""
"Quite unimportant","1991","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Quite unimportant","1991","Other degree","1-pers.-HH","","","",""
"Quite unimportant","1991","Other degree","(Married) couple without C. ","","","",""
"Quite unimportant","1991","Other degree","Single parent ","","","",""
"Quite unimportant","1991","Other degree","Couple + C. LE 16 ","","","",""
"Quite unimportant","1991","Other degree","Couple + C. GT 16 ","","","",""
"Quite unimportant","1991","Other degree","Couple + C. LE and GT 16","","","",""
"Quite unimportant","1991","no degree/no degree yet","1-pers.-HH","","","",""
"Quite unimportant","1991","no degree/no degree yet","(Married) couple without C. ","","","",""
"Quite unimportant","1991","no degree/no degree yet","Single parent ","","","",""
"Quite unimportant","1991","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Quite unimportant","1991","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Quite unimportant","1991","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Very important","1992","lower secondary degree","1-pers.-HH","70","0.100470420101431","0.0776899928128253","0.123250847390037"
"Very important","1992","lower secondary degree","(Married) couple without C. ","219","0.108689168578392","0.0944482572551663","0.122930079901618"
"Very important","1992","lower secondary degree","Single parent ","25","","",""
"Very important","1992","lower secondary degree","Couple + C. LE 16 ","54","0.0666641723382675","0.0504128383480984","0.0829155063284367"
"Very important","1992","lower secondary degree","Couple + C. GT 16 ","111","0.102341533776045","0.0841037557568389","0.120579311795252"
"Very important","1992","lower secondary degree","Couple + C. LE and GT 16","31","0.10608577788501","0.0708851077149809","0.141286448055039"
"Very important","1992","secondary school degree","1-pers.-HH","49","0.163717378252964","0.122527437166145","0.204907319339784"
"Very important","1992","secondary school degree","(Married) couple without C. ","99","0.159989018382596","0.131719435484148","0.188258601281043"
"Very important","1992","secondary school degree","Single parent ","28","","",""
"Very important","1992","secondary school degree","Couple + C. LE 16 ","60","0.0565877968103797","0.0437944346858667","0.0693811589348927"
"Very important","1992","secondary school degree","Couple + C. GT 16 ","115","0.183233001122807","0.153238019489742","0.213227982755873"
"Very important","1992","secondary school degree","Couple + C. LE and GT 16","36","0.144048229040894","0.102164550469149","0.185931907612639"
"Very important","1992","college entrance qualification","1-pers.-HH","47","0.22402133114871","0.165351234413116","0.282691427884305"
"Very important","1992","college entrance qualification","(Married) couple without C. ","78","0.248079056212502","0.205594216997138","0.290563895427866"
"Very important","1992","college entrance qualification","Single parent ","13","","",""
"Very important","1992","college entrance qualification","Couple + C. LE 16 ","45","0.0983479703926088","0.0724528211653064","0.124243119619911"
