"plh0164","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1989","Not Employed","Urban Area","59","0.0144530310514364","0.00967318990681788","0.019232872196055","0"
"0 Completely dissatisfied","1989","Not Employed","Rural Area","8","","","","0"
"0 Completely dissatisfied","1989","Employed","Urban Area","69","0.00885443071423548","0.00613121265018712","0.0115776487782838","0"
"0 Completely dissatisfied","1989","Employed","Rural Area","16","","","","0"
"1 on Scale 1 to 10","1989","Not Employed","Rural Area","7","","","","1"
"1 on Scale 1 to 10","1989","Not Employed","Urban Area","40","0.00546970841559125","0.00251587208708703","0.00842354474409546","1"
"1 on Scale 1 to 10","1989","Employed","Urban Area","53","0.00555942293568678","0.00339801047435682","0.00772083539701674","1"
"1 on Scale 1 to 10","1989","Employed","Rural Area","10","","","","1"
"10 Completely satisfied","1989","Employed","Urban Area","577","0.136411579447063","0.126434293957504","0.146388864936623","10"
"10 Completely satisfied","1989","Not Employed","Urban Area","321","0.15410393825861","0.139644190984807","0.168563685532414","10"
"10 Completely satisfied","1989","Not Employed","Rural Area","96","0.170830742276823","0.140306402629558","0.201355081924087","10"
"10 Completely satisfied","1989","Employed","Rural Area","156","0.137470190841302","0.117321678438888","0.157618703243716","10"
"2 on Scale 1 to 10","1989","Not Employed","Urban Area","66","0.0165714809246316","0.0114588152784134","0.0216841465708498","2"
"2 on Scale 1 to 10","1989","Not Employed","Rural Area","15","","","","2"
"2 on Scale 1 to 10","1989","Employed","Urban Area","120","0.0200409591184418","0.0159671883423217","0.0241147298945618","2"
"2 on Scale 1 to 10","1989","Employed","Rural Area","19","","","","2"
"3 on Scale 1 to 10","1989","Not Employed","Rural Area","33","0.053927328932386","0.0356080501814112","0.0722466076833608","3"
"3 on Scale 1 to 10","1989","Not Employed","Urban Area","135","0.0447112584314939","0.0364342936236324","0.0529882232393555","3"
"3 on Scale 1 to 10","1989","Employed","Urban Area","187","0.0308400486893838","0.0258144404327458","0.0358656569460217","3"
"3 on Scale 1 to 10","1989","Employed","Rural Area","40","0.0366147577132093","0.025625212009412","0.0476043034170065","3"
