"plh0173","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Full Time","82","0.0115966145067338","0.00874558707693046","0.0144476419365372","0"
"0 Completely dissatisfied","1984","Part Time","31","0.0184738454505195","0.0115091767508049","0.0254385141502342","0"
"0 Completely dissatisfied","1984","Not Working","2","","","","0"
"1 on Scale 1 to 10","1984","Part Time","10","","","","1"
"1 on Scale 1 to 10","1984","Full Time","30","0.00557082589593767","0.0035887722969097","0.00755287949496564","1"
"1 on Scale 1 to 10","1984","Not Working","","","","","1"
"10 Completely satisfied","1984","Full Time","1467","0.268976558549128","0.257168145356055","0.280784971742202","10"
"10 Completely satisfied","1984","Part Time","381","0.274199027485812","0.25112557414685","0.297272480824774","10"
"10 Completely satisfied","1984","Not Working","42","0.185971119386035","0.127310398202709","0.244631840569361","10"
"2 on Scale 1 to 10","1984","Not Working","1","","","","2"
"2 on Scale 1 to 10","1984","Part Time","18","","","","2"
"2 on Scale 1 to 10","1984","Full Time","66","0.0104103205318724","0.00770743096016731","0.0131132101035774","2"
"3 on Scale 1 to 10","1984","Part Time","48","0.0313340829034168","0.0223232201535324","0.0403449456533012","3"
"3 on Scale 1 to 10","1984","Full Time","130","0.0225395275693842","0.0185868564576371","0.0264921986811312","3"
"3 on Scale 1 to 10","1984","Not Working","9","","","","3"
"4 on Scale 1 to 10","1984","Full Time","137","0.0242289678052895","0.0201343809285975","0.0283235546819815","4"
"4 on Scale 1 to 10","1984","Not Working","6","","","","4"
"4 on Scale 1 to 10","1984","Part Time","41","0.0275476519054888","0.0190822549237467","0.0360130488872309","4"
"5 on Scale 1 to 10","1984","Full Time","494","0.0891900692886123","0.0816000863009617","0.0967800522762629","5"
"5 on Scale 1 to 10","1984","Part Time","169","0.121978331287183","0.1050519222393","0.138904740335067","5"
"5 on Scale 1 to 10","1984","Not Working","12","","","","5"
"6 on Scale 1 to 10","1984","Full Time","373","0.0696102041581794","0.062833202432001","0.0763872058843577","6"
"6 on Scale 1 to 10","1984","Part Time","92","0.0617561953723202","0.0493062057337136","0.0742061850109267","6"
"6 on Scale 1 to 10","1984","Not Working","12","","","","6"
"7 on Scale 1 to 10","1984","Not Working","26","","","","7"
"7 on Scale 1 to 10","1984","Full Time","639","0.126091036900082","0.117251207612618","0.134930866187547","7"
"7 on Scale 1 to 10","1984","Part Time","199","0.128612342935817","0.111297526249307","0.145927159622326","7"
