"plh0177","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Not Employed","in school","3","","","","0"
"0 Completely dissatisfied","1984","Not Employed","inadequately","24","","","","0"
"0 Completely dissatisfied","1984","Not Employed","general elemantary","29","","","","0"
"0 Completely dissatisfied","1984","Not Employed","middle vocational","31","0.011764812365677","0.00688814699059687","0.0166414777407571","0"
"0 Completely dissatisfied","1984","Not Employed","vocational + Abi","4","","","","0"
"0 Completely dissatisfied","1984","Not Employed","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","Not Employed","higher education","1","","","","0"
"0 Completely dissatisfied","1984","Employed","in school","","","","","0"
"0 Completely dissatisfied","1984","Employed","inadequately","33","0.0579619454638742","0.0398442330243122","0.0760796579034361","0"
"0 Completely dissatisfied","1984","Employed","general elemantary","58","0.0217909733315621","0.0148301776479345","0.0287517690151896","0"
"0 Completely dissatisfied","1984","Employed","middle vocational","69","0.0106329930565484","0.00737874701737873","0.0138872390957182","0"
"0 Completely dissatisfied","1984","Employed","vocational + Abi","4","","","","0"
"0 Completely dissatisfied","1984","Employed","higher vocational","3","","","","0"
"0 Completely dissatisfied","1984","Employed","higher education","4","","","","0"
"1 on Scale 1 to 10","1984","Employed","higher vocational","4","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","middle vocational","18","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","higher education","2","","","","1"
"1 on Scale 1 to 10","1984","Employed","higher education","6","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","in school","","","","","1"
"1 on Scale 1 to 10","1984","Employed","middle vocational","29","","","","1"
"1 on Scale 1 to 10","1984","Employed","vocational + Abi","8","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","inadequately","14","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","general elemantary","20","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1984","Employed","in school","","","","","1"
"1 on Scale 1 to 10","1984","Employed","inadequately","13","","","","1"
"1 on Scale 1 to 10","1984","Employed","general elemantary","28","","","","1"
"10 Completely satisfied","1984","Not Employed","higher education","64","0.421622222422555","0.345105625709078","0.498138819136032","10"
"10 Completely satisfied","1984","Employed","inadequately","150","0.221325088696892","0.189137304832894","0.253512872560891","10"
"10 Completely satisfied","1984","Employed","higher education","192","0.311838473232456","0.275722477421059","0.347954469043852","10"
"10 Completely satisfied","1984","Employed","in school","2","","","","10"
"10 Completely satisfied","1984","Employed","middle vocational","1205","0.334077987519314","0.319112890941667","0.34904308409696","10"
"10 Completely satisfied","1984","Not Employed","in school","65","0.375444813877369","0.302653074907665","0.448236552847073","10"
"10 Completely satisfied","1984","Not Employed","inadequately","65","0.180551954033045","0.14187804234549","0.219225865720601","10"
"10 Completely satisfied","1984","Not Employed","general elemantary","591","0.368047522579237","0.345432563915752","0.390662481242722","10"
"10 Completely satisfied","1984","Not Employed","vocational + Abi","27","","","","10"
"10 Completely satisfied","1984","Not Employed","higher vocational","79","0.454048158535506","0.382303371011856","0.525792946059155","10"
"10 Completely satisfied","1984","Employed","general elemantary","499","0.332741442915182","0.310276502941454","0.355206382888911","10"
"10 Completely satisfied","1984","Employed","higher vocational","157","0.334882657267494","0.292260728193686","0.377504586341303","10"
"10 Completely satisfied","1984","Not Employed","middle vocational","671","0.374000542060884","0.352116709084751","0.395884375037016","10"
"10 Completely satisfied","1984","Employed","vocational + Abi","60","0.286829859385539","0.228505381881719","0.345154336889359","10"
"2 on Scale 1 to 10","1984","Not Employed","in school","1","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","general elemantary","23","","","","2"
"2 on Scale 1 to 10","1984","Employed","in school","","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","higher education","3","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","inadequately","21","","","","2"
"2 on Scale 1 to 10","1984","Employed","inadequately","20","","","","2"
"2 on Scale 1 to 10","1984","Employed","higher education","10","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","higher vocational","1","","","","2"
"2 on Scale 1 to 10","1984","Not Employed","middle vocational","30","0.012953736413209","0.00783966746045708","0.0180678053659608","2"
"2 on Scale 1 to 10","1984","Not Employed","vocational + Abi","1","","","","2"
"2 on Scale 1 to 10","1984","Employed","general elemantary","46","0.0168331498512836","0.010699753267944","0.0229665464346231","2"
"2 on Scale 1 to 10","1984","Employed","middle vocational","71","0.0137879952414526","0.0100881836151276","0.0174878068677777","2"
"2 on Scale 1 to 10","1984","Employed","vocational + Abi","5","","","","2"
"2 on Scale 1 to 10","1984","Employed","higher vocational","4","","","","2"
"3 on Scale 1 to 10","1984","Not Employed","inadequately","28","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","in school","3","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","general elemantary","50","0.0216255901037065","0.0148047453558972","0.0284464348515158","3"
"3 on Scale 1 to 10","1984","Not Employed","middle vocational","40","0.0158890659078076","0.0102335593688019","0.0215445724468133","3"
"3 on Scale 1 to 10","1984","Not Employed","vocational + Abi","2","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","higher vocational","3","","","","3"
"3 on Scale 1 to 10","1984","Employed","inadequately","34","0.0441452544726791","0.0282181941629584","0.0600723147823999","3"
"3 on Scale 1 to 10","1984","Employed","general elemantary","56","0.0264916353551222","0.0188351586288544","0.0341481120813899","3"
"3 on Scale 1 to 10","1984","Employed","middle vocational","116","0.0252927132346944","0.0203109999991766","0.0302744264702123","3"
"3 on Scale 1 to 10","1984","Employed","vocational + Abi","8","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","higher education","5","","","","3"
"3 on Scale 1 to 10","1984","Employed","in school","1","","","","3"
"3 on Scale 1 to 10","1984","Employed","higher vocational","12","","","","3"
"3 on Scale 1 to 10","1984","Employed","higher education","20","","","","3"
"4 on Scale 1 to 10","1984","Not Employed","higher education","5","","","","4"
"4 on Scale 1 to 10","1984","Employed","higher vocational","14","","","","4"
"4 on Scale 1 to 10","1984","Not Employed","higher vocational","10","","","","4"
"4 on Scale 1 to 10","1984","Employed","vocational + Abi","13","","","","4"
"4 on Scale 1 to 10","1984","Employed","middle vocational","119","0.0279800265073865","0.0227475707685254","0.0332124822462477","4"
"4 on Scale 1 to 10","1984","Not Employed","inadequately","30","0.0773907526998779","0.0505243370375618","0.104257168362194","4"
"4 on Scale 1 to 10","1984","Not Employed","general elemantary","45","0.0200966700763001","0.0135162244233781","0.0266771157292221","4"
"4 on Scale 1 to 10","1984","Not Employed","middle vocational","43","0.0185776475213393","0.0124707078618132","0.0246845871808655","4"
"4 on Scale 1 to 10","1984","Not Employed","vocational + Abi","3","","","","4"
"4 on Scale 1 to 10","1984","Employed","in school","","","","","4"
"4 on Scale 1 to 10","1984","Employed","inadequately","39","0.0894436652187703","0.0673164955644571","0.111570834873083","4"
"4 on Scale 1 to 10","1984","Employed","higher education","24","","","","4"
"4 on Scale 1 to 10","1984","Not Employed","in school","3","","","","4"
"4 on Scale 1 to 10","1984","Employed","general elemantary","66","0.0308173699025183","0.0225777849586142","0.0390569548464223","4"
"5 on Scale 1 to 10","1984","Not Employed","in school","12","","","","5"
"5 on Scale 1 to 10","1984","Not Employed","inadequately","34","0.0870467951688238","0.0587030689368776","0.11539052140077","5"
"5 on Scale 1 to 10","1984","Not Employed","higher education","11","","","","5"
"5 on Scale 1 to 10","1984","Employed","in school","1","","","","5"
"5 on Scale 1 to 10","1984","Employed","inadequately","91","0.143008361728799","0.11586481027849","0.170151913179107","5"
"5 on Scale 1 to 10","1984","Employed","general elemantary","183","0.096115962625391","0.0820632923263205","0.110168632924461","5"
"5 on Scale 1 to 10","1984","Employed","vocational + Abi","18","","","","5"
"5 on Scale 1 to 10","1984","Employed","higher vocational","40","0.085833433349071","0.0605358784640664","0.111130988234075","5"
"5 on Scale 1 to 10","1984","Employed","higher education","49","0.0738010550114014","0.0534178262787127","0.09418428374409","5"
"5 on Scale 1 to 10","1984","Not Employed","general elemantary","139","0.0736591309492143","0.0614101390802228","0.0859081228182059","5"
"5 on Scale 1 to 10","1984","Not Employed","middle vocational","158","0.0767870631639681","0.0647451562236013","0.0888289701043349","5"
"5 on Scale 1 to 10","1984","Not Employed","vocational + Abi","12","","","","5"
"5 on Scale 1 to 10","1984","Not Employed","higher vocational","18","","","","5"
"5 on Scale 1 to 10","1984","Employed","middle vocational","378","0.0926629030263332","0.0834630435693713","0.101862762483295","5"
"6 on Scale 1 to 10","1984","Not Employed","inadequately","32","0.101565033123152","0.0711931497827773","0.131936916463527","6"
