"plh0177","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","no migration background","Urban Area","37","0.00600804051987994","0.00405559078697592","0.00796049025278396","0"
"0 Completely dissatisfied","1985","no migration background","Rural Area","12","","","","0"
"0 Completely dissatisfied","1985","direct migration background","Urban Area","103","0.0383306234168824","0.0309049402356266","0.0457563065981382","0"
"0 Completely dissatisfied","1985","direct migration background","Rural Area","9","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Urban Area","2","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1985","direct migration background","Urban Area","40","0.0117648601112643","0.00759449468570123","0.0159352255368274","1"
"1 on Scale 1 to 10","1985","direct migration background","Rural Area","6","","","","1"
"1 on Scale 1 to 10","1985","no migration background","Urban Area","42","0.00609643204176579","0.00412975977924533","0.00806310430428624","1"
"1 on Scale 1 to 10","1985","no migration background","Rural Area","11","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","1"
"10 Completely satisfied","1985","no migration background","Urban Area","1750","0.298342090658714","0.286782512753077","0.309901668564351","10"
"10 Completely satisfied","1985","no migration background","Rural Area","609","0.32902407551046","0.307902595815428","0.350145555205492","10"
"10 Completely satisfied","1985","direct migration background","Urban Area","504","0.228126757565468","0.211897012866842","0.244356502264095","10"
"10 Completely satisfied","1985","direct migration background","Rural Area","102","0.312572916866195","0.263800716918028","0.361345116814361","10"
"10 Completely satisfied","1985","indirect migration background","Urban Area","40","0.363769591728513","0.279433495986133","0.448105687470893","10"
"10 Completely satisfied","1985","indirect migration background","Rural Area","5","","","","10"
"2 on Scale 1 to 10","1985","no migration background","Urban Area","82","0.013158281341617","0.0102792570198268","0.0160373056634072","2"
"2 on Scale 1 to 10","1985","direct migration background","Urban Area","90","0.0282756279081144","0.0218645912812049","0.034686664535024","2"
"2 on Scale 1 to 10","1985","indirect migration background","Urban Area","2","","","","2"
"2 on Scale 1 to 10","1985","no migration background","Rural Area","13","","","","2"
"2 on Scale 1 to 10","1985","indirect migration background","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1985","direct migration background","Rural Area","11","","","","2"
"3 on Scale 1 to 10","1985","direct migration background","Urban Area","152","0.051964025709113","0.0433795379730115","0.0605485134452146","3"
"3 on Scale 1 to 10","1985","no migration background","Urban Area","163","0.0252859277512153","0.0213194952895322","0.0292523602128984","3"
"3 on Scale 1 to 10","1985","no migration background","Rural Area","28","","","","3"
"3 on Scale 1 to 10","1985","direct migration background","Rural Area","12","","","","3"
"3 on Scale 1 to 10","1985","indirect migration background","Urban Area","5","","","","3"
"3 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","3"
"4 on Scale 1 to 10","1985","direct migration background","Rural Area","10","","","","4"
"4 on Scale 1 to 10","1985","no migration background","Urban Area","160","0.0253735662133922","0.021400444698466","0.0293466877283185","4"
"4 on Scale 1 to 10","1985","direct migration background","Urban Area","140","0.047552657761643","0.0393215466173266","0.0557837689059594","4"
"4 on Scale 1 to 10","1985","no migration background","Rural Area","28","","","","4"
"4 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","4"
"4 on Scale 1 to 10","1985","indirect migration background","Urban Area","9","","","","4"
"5 on Scale 1 to 10","1985","no migration background","Rural Area","150","0.0761402237388589","0.0642177290854401","0.0880627183922777","5"
"5 on Scale 1 to 10","1985","no migration background","Urban Area","502","0.082790451815446","0.0758282531892358","0.0897526504416563","5"
"5 on Scale 1 to 10","1985","direct migration background","Urban Area","331","0.123833911554367","0.11109408260648","0.136573740502254","5"
"5 on Scale 1 to 10","1985","direct migration background","Rural Area","25","","","","5"
"5 on Scale 1 to 10","1985","indirect migration background","Urban Area","12","","","","5"
"5 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","5"
"6 on Scale 1 to 10","1985","direct migration background","Urban Area","203","0.063727242546333","0.0542797982836392","0.0731746868090268","6"
"6 on Scale 1 to 10","1985","no migration background","Urban Area","357","0.0593416932899962","0.0533724687725924","0.0653109178074001","6"
"6 on Scale 1 to 10","1985","no migration background","Rural Area","96","0.0493019638148859","0.0395697769232335","0.0590341507065382","6"
"6 on Scale 1 to 10","1985","direct migration background","Rural Area","33","0.0695320169861956","0.0427695290617748","0.0962945049106164","6"
"6 on Scale 1 to 10","1985","indirect migration background","Urban Area","7","","","","6"
"6 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","6"
"7 on Scale 1 to 10","1985","direct migration background","Urban Area","273","0.11295425206857","0.100711617605583","0.125196886531557","7"
"7 on Scale 1 to 10","1985","no migration background","Urban Area","697","0.112955922356898","0.104958517119499","0.120953327594298","7"
"7 on Scale 1 to 10","1985","no migration background","Rural Area","222","0.117886010090223","0.103389931928367","0.132382088252079","7"
"7 on Scale 1 to 10","1985","direct migration background","Rural Area","24","","","","7"
"7 on Scale 1 to 10","1985","indirect migration background","Urban Area","12","","","","7"
"7 on Scale 1 to 10","1985","indirect migration background","Rural Area","2","","","","7"
"8 on Scale 1 to 10","1985","no migration background","Rural Area","428","0.218998985483304","0.200407937016145","0.237590033950463","8"
"8 on Scale 1 to 10","1985","indirect migration background","Urban Area","20","","","","8"
"8 on Scale 1 to 10","1985","direct migration background","Rural Area","57","0.164122208342008","0.125151488942554","0.203092927741462","8"
"8 on Scale 1 to 10","1985","direct migration background","Urban Area","450","0.174565442546361","0.159883921849226","0.189246963243497","8"
"8 on Scale 1 to 10","1985","no migration background","Urban Area","1299","0.217198452027504","0.206780647603134","0.227616256451874","8"
"8 on Scale 1 to 10","1985","indirect migration background","Rural Area","5","","","","8"
"9 on Scale 1 to 10","1985","direct migration background","Rural Area","58","0.17936480149502","0.138997749450418","0.219731853539621","9"
"9 on Scale 1 to 10","1985","no migration background","Urban Area","929","0.153449141983571","0.144343076719149","0.162555207247994","9"
"9 on Scale 1 to 10","1985","indirect migration background","Urban Area","14","","","","9"
"9 on Scale 1 to 10","1985","direct migration background","Urban Area","282","0.118904598811883","0.106385837054305","0.131423360569461","9"
"9 on Scale 1 to 10","1985","no migration background","Rural Area","304","0.159271400955023","0.142821857717567","0.17572094419248","9"
"9 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","9"
"0 Completely dissatisfied","1986","no migration background","Urban Area","39","0.00765117137667975","0.00540655327067459","0.00989578948268491","0"
"0 Completely dissatisfied","1986","no migration background","Rural Area","9","","","","0"
"0 Completely dissatisfied","1986","direct migration background","Urban Area","79","0.0233112828403819","0.0173798625141434","0.0292427031666205","0"
"0 Completely dissatisfied","1986","direct migration background","Rural Area","11","","","","0"
"0 Completely dissatisfied","1986","indirect migration background","Urban Area","4","","","","0"
"0 Completely dissatisfied","1986","indirect migration background","Rural Area","2","","","","0"
"1 on Scale 1 to 10","1986","direct migration background","Urban Area","42","0.0134000200007616","0.00888020350000561","0.0179198365015175","1"
"1 on Scale 1 to 10","1986","direct migration background","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1986","no migration background","Urban Area","35","0.00564593025846349","0.00371580897986673","0.00757605153706025","1"
"1 on Scale 1 to 10","1986","no migration background","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1986","indirect migration background","Urban Area","","","","","1"
"1 on Scale 1 to 10","1986","indirect migration background","Rural Area","1","","","","1"
"10 Completely satisfied","1986","no migration background","Rural Area","532","0.300366259037193","0.279194732153143","0.321537785921243","10"
"10 Completely satisfied","1986","no migration background","Urban Area","1515","0.265250058809372","0.25387787578416","0.276622241834585","10"
"10 Completely satisfied","1986","direct migration background","Rural Area","81","0.253308978852255","0.208068241867525","0.298549715836986","10"
"10 Completely satisfied","1986","direct migration background","Urban Area","416","0.194569604838865","0.179008191634484","0.210131018043246","10"
"10 Completely satisfied","1986","indirect migration background","Urban Area","33","0.329096337240288","0.250124863519564","0.408067810961013","10"
"10 Completely satisfied","1986","indirect migration background","Rural Area","4","","","","10"
"2 on Scale 1 to 10","1986","no migration background","Urban Area","78","0.0131183653020973","0.0101873457875199","0.0160493848166747","2"
"2 on Scale 1 to 10","1986","direct migration background","Urban Area","85","0.0280439256354811","0.0215539920659244","0.0345338592050378","2"
"2 on Scale 1 to 10","1986","direct migration background","Rural Area","8","","","","2"
"2 on Scale 1 to 10","1986","indirect migration background","Urban Area","2","","","","2"
"2 on Scale 1 to 10","1986","indirect migration background","Rural Area","","","","","2"
"2 on Scale 1 to 10","1986","no migration background","Rural Area","24","","","","2"
"3 on Scale 1 to 10","1986","direct migration background","Urban Area","114","0.0325182538582036","0.025545850116046","0.0394906576003612","3"
"3 on Scale 1 to 10","1986","no migration background","Urban Area","122","0.0198392535249912","0.0162470773108913","0.023431429739091","3"
"3 on Scale 1 to 10","1986","no migration background","Rural Area","34","0.0195860986601258","0.0131862466163638","0.0259859507038879","3"
"3 on Scale 1 to 10","1986","direct migration background","Rural Area","10","","","","3"
"3 on Scale 1 to 10","1986","indirect migration background","Urban Area","7","","","","3"
"3 on Scale 1 to 10","1986","indirect migration background","Rural Area","","","","","3"
"4 on Scale 1 to 10","1986","direct migration background","Urban Area","116","0.039441663358711","0.0317903319621332","0.0470929947552889","4"
"4 on Scale 1 to 10","1986","direct migration background","Rural Area","12","","","","4"
"4 on Scale 1 to 10","1986","no migration background","Urban Area","142","0.0240974811875833","0.0201471331438174","0.0280478292313492","4"
"4 on Scale 1 to 10","1986","no migration background","Rural Area","40","0.02305339927423","0.0161224274441334","0.0299843711043266","4"
"4 on Scale 1 to 10","1986","indirect migration background","Urban Area","5","","","","4"
"4 on Scale 1 to 10","1986","indirect migration background","Rural Area","1","","","","4"
"5 on Scale 1 to 10","1986","no migration background","Rural Area","118","0.0638536204300243","0.0525620101927347","0.0751452306673139","5"
"5 on Scale 1 to 10","1986","no migration background","Urban Area","504","0.0871407484251868","0.0798753594637219","0.0944061373866518","5"
"5 on Scale 1 to 10","1986","direct migration background","Urban Area","325","0.131592299652169","0.118303841287127","0.144880758017211","5"
"5 on Scale 1 to 10","1986","direct migration background","Rural Area","35","0.0784337961660598","0.0504666081582245","0.106400984173895","5"
"5 on Scale 1 to 10","1986","indirect migration background","Urban Area","14","","","","5"
"5 on Scale 1 to 10","1986","indirect migration background","Rural Area","","","","","5"
"6 on Scale 1 to 10","1986","no migration background","Rural Area","115","0.063468207935788","0.0522084095317303","0.0747280063398458","6"
"6 on Scale 1 to 10","1986","no migration background","Urban Area","356","0.0611164026357613","0.0549457502208035","0.0672870550507191","6"
"6 on Scale 1 to 10","1986","direct migration background","Urban Area","207","0.0750110033486837","0.064656523208757","0.0853654834886103","6"
"6 on Scale 1 to 10","1986","direct migration background","Rural Area","31","0.068199659892937","0.0419764137629383","0.0944229060229358","6"
"6 on Scale 1 to 10","1986","indirect migration background","Urban Area","16","","","","6"
"6 on Scale 1 to 10","1986","indirect migration background","Rural Area","1","","","","6"
"7 on Scale 1 to 10","1986","no migration background","Rural Area","211","0.117970577560921","0.10307286386876","0.132868291253083","7"
"7 on Scale 1 to 10","1986","no migration background","Urban Area","725","0.126228250721106","0.117673180125697","0.134783321316514","7"
"7 on Scale 1 to 10","1986","direct migration background","Urban Area","348","0.131643486324685","0.118352835457345","0.144934137192025","7"
"7 on Scale 1 to 10","1986","direct migration background","Rural Area","42","0.125303249412187","0.0908647802837134","0.159741718540661","7"
"7 on Scale 1 to 10","1986","indirect migration background","Urban Area","14","","","","7"
"7 on Scale 1 to 10","1986","indirect migration background","Rural Area","3","","","","7"
"8 on Scale 1 to 10","1986","no migration background","Rural Area","427","0.244473155577123","0.224624469017501","0.264321842136745","8"
"8 on Scale 1 to 10","1986","no migration background","Urban Area","1334","0.231186393101241","0.220326189144918","0.242046597057564","8"
"8 on Scale 1 to 10","1986","direct migration background","Urban Area","479","0.208738510478895","0.19276284958148","0.22471417137631","8"
"8 on Scale 1 to 10","1986","direct migration background","Rural Area","75","0.219570170477778","0.176508833047395","0.262631507908161","8"
"8 on Scale 1 to 10","1986","indirect migration background","Urban Area","21","","","","8"
"8 on Scale 1 to 10","1986","indirect migration background","Rural Area","4","","","","8"
"9 on Scale 1 to 10","1986","no migration background","Urban Area","939","0.158725944657518","0.149312706984014","0.168139182331022","9"
"9 on Scale 1 to 10","1986","no migration background","Rural Area","288","0.148531936413324","0.132107694325498","0.164956178501151","9"
"9 on Scale 1 to 10","1986","direct migration background","Urban Area","275","0.121729949663163","0.108876778627026","0.134583120699299","9"
"9 on Scale 1 to 10","1986","direct migration background","Rural Area","47","0.162858706397932","0.124449194580818","0.201268218215046","9"
"9 on Scale 1 to 10","1986","indirect migration background","Urban Area","20","","","","9"
"9 on Scale 1 to 10","1986","indirect migration background","Rural Area","2","","","","9"
"0 Completely dissatisfied","1987","no migration background","Urban Area","34","0.00580431647938571","0.00382999461250379","0.00777863834626764","0"
"0 Completely dissatisfied","1987","no migration background","Rural Area","10","","","","0"
"0 Completely dissatisfied","1987","direct migration background","Urban Area","4","","","","0"
"0 Completely dissatisfied","1987","direct migration background","Rural Area","2","","","","0"
"0 Completely dissatisfied","1987","indirect migration background","Urban Area","1","","","","0"
"0 Completely dissatisfied","1987","indirect migration background","Rural Area","","","","","0"
"1 on Scale 1 to 10","1987","direct migration background","Rural Area","","","","","1"
