"plh0177","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","in school","West Germany","3","","","","0"
"0 Completely dissatisfied","1984","in school","East Germany","","","","","0"
"0 Completely dissatisfied","1984","inadequately","West Germany","57","0.0553684026588215","0.0413265881903996","0.0694102171272433","0"
"0 Completely dissatisfied","1984","inadequately","East Germany","","","","","0"
"0 Completely dissatisfied","1984","general elemantary","West Germany","87","0.014137926351379","0.010190997822979","0.018084854879779","0"
"0 Completely dissatisfied","1984","general elemantary","East Germany","","","","","0"
"0 Completely dissatisfied","1984","middle vocational","West Germany","100","0.0110629987302823","0.00834618349439639","0.0137798139661682","0"
"0 Completely dissatisfied","1984","middle vocational","East Germany","","","","","0"
"0 Completely dissatisfied","1984","vocational + Abi","West Germany","8","","","","0"
"0 Completely dissatisfied","1984","vocational + Abi","East Germany","","","","","0"
"0 Completely dissatisfied","1984","higher vocational","West Germany","3","","","","0"
"0 Completely dissatisfied","1984","higher vocational","East Germany","","","","","0"
"0 Completely dissatisfied","1984","higher education","West Germany","5","","","","0"
"0 Completely dissatisfied","1984","higher education","East Germany","","","","","0"
"1 on Scale 1 to 10","1984","higher education","West Germany","8","","","","1"
"1 on Scale 1 to 10","1984","inadequately","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","West Germany","47","0.00677055424649461","0.00464057062555617","0.00890053786743305","1"
"1 on Scale 1 to 10","1984","higher education","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","in school","West Germany","","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","West Germany","5","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","in school","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","inadequately","West Germany","27","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","West Germany","48","0.0120351246485577","0.00838964755588849","0.0156806017412269","1"
"1 on Scale 1 to 10","1984","general elemantary","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","West Germany","9","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","","","1"
"10 Completely satisfied","1984","middle vocational","West Germany","1876","0.349245536636356","0.33686289313639","0.361628180136322","10"
"10 Completely satisfied","1984","vocational + Abi","West Germany","87","0.31480382730106","0.263269304358192","0.366338350243927","10"
"10 Completely satisfied","1984","higher education","East Germany","","","","","10"
"10 Completely satisfied","1984","middle vocational","East Germany","","","","","10"
"10 Completely satisfied","1984","higher vocational","West Germany","236","0.372696605063598","0.335695669212117","0.409697540915079","10"
"10 Completely satisfied","1984","in school","West Germany","67","0.367570290160809","0.296938874974278","0.43820170534734","10"
"10 Completely satisfied","1984","in school","East Germany","","","","","10"
"10 Completely satisfied","1984","inadequately","West Germany","215","0.203056124590623","0.178356923025835","0.227755326155411","10"
"10 Completely satisfied","1984","general elemantary","West Germany","1090","0.354250023746866","0.33826013402997","0.370239913463762","10"
"10 Completely satisfied","1984","general elemantary","East Germany","","","","","10"
"10 Completely satisfied","1984","vocational + Abi","East Germany","","","","","10"
"10 Completely satisfied","1984","higher education","West Germany","256","0.336910039323926","0.303992398457597","0.369827680190254","10"
"10 Completely satisfied","1984","inadequately","East Germany","","","","","10"
"10 Completely satisfied","1984","higher vocational","East Germany","","","","","10"
"2 on Scale 1 to 10","1984","in school","West Germany","1","","","","2"
"2 on Scale 1 to 10","1984","inadequately","West Germany","41","0.0450535163953953","0.032318049758666","0.0577889830321246","2"
"2 on Scale 1 to 10","1984","middle vocational","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","middle vocational","West Germany","101","0.0134710400290667","0.0104767432560121","0.0164653368021213","2"
"2 on Scale 1 to 10","1984","in school","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","vocational + Abi","West Germany","6","","","","2"
"2 on Scale 1 to 10","1984","higher education","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","general elemantary","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","inadequately","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","general elemantary","West Germany","69","0.012577927917125","0.0088521729326551","0.0163036829015949","2"
"2 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","higher vocational","West Germany","5","","","","2"
"2 on Scale 1 to 10","1984","higher vocational","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","higher education","West Germany","13","","","","2"
"3 on Scale 1 to 10","1984","in school","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","in school","West Germany","4","","","","3"
"3 on Scale 1 to 10","1984","inadequately","West Germany","62","0.053433569507914","0.0396251605206709","0.0672419784951572","3"
"3 on Scale 1 to 10","1984","inadequately","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","general elemantary","West Germany","106","0.0235272244486555","0.0184599579834536","0.0285944909138573","3"
"3 on Scale 1 to 10","1984","general elemantary","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","vocational + Abi","West Germany","10","","","","3"
"3 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","higher vocational","West Germany","15","","","","3"
"3 on Scale 1 to 10","1984","higher vocational","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","middle vocational","West Germany","156","0.021720038982064","0.0179338591430499","0.0255062188210782","3"
"3 on Scale 1 to 10","1984","middle vocational","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","higher education","West Germany","25","","","","3"
