"plh0178","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","1-pers.-HH","3","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","(Married) couple without C. ","8","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","Single parent ","7","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","Couple + C. LE 16 ","44","0.0250977931864916","0.0171924183362429","0.0330031680367403","0"
"0 Completely dissatisfied","1984","16-34 y.","Couple + C. GT 16 ","9","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","Couple + C. LE and GT 16","11","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","1-pers.-HH","4","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","(Married) couple without C. ","25","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","Single parent ","11","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","Couple + C. LE 16 ","33","0.0157351761134512","0.00956157698834641","0.021908775238556","0"
"0 Completely dissatisfied","1984","35-65 y.","Couple + C. GT 16 ","23","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","Couple + C. LE and GT 16","37","0.0302214637347669","0.0196372380524054","0.0408056894171284","0"
"0 Completely dissatisfied","1984","66 and older","1-pers.-HH","2","","","","0"
"0 Completely dissatisfied","1984","66 and older","(Married) couple without C. ","5","","","","0"
"0 Completely dissatisfied","1984","66 and older","Single parent ","1","","","","0"
"0 Completely dissatisfied","1984","66 and older","Couple + C. LE 16 ","","","","","0"
"0 Completely dissatisfied","1984","66 and older","Couple + C. GT 16 ","","","","","0"
"0 Completely dissatisfied","1984","66 and older","Couple + C. LE and GT 16","","","","","0"
"1 on Scale 1 to 10","1984","16-34 y.","1-pers.-HH","1","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","(Married) couple without C. ","7","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","Single parent ","2","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE 16 ","16","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","1-pers.-HH","12","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","(Married) couple without C. ","6","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","Couple + C. GT 16 ","15","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE and GT 16","17","","","","1"
"1 on Scale 1 to 10","1984","66 and older","1-pers.-HH","1","","","","1"
"1 on Scale 1 to 10","1984","66 and older","Single parent ","","","","","1"
"1 on Scale 1 to 10","1984","66 and older","Couple + C. LE 16 ","","","","","1"
"1 on Scale 1 to 10","1984","66 and older","(Married) couple without C. ","4","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","Couple + C. GT 16 ","6","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE and GT 16","4","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","Single parent ","2","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE 16 ","21","","","","1"
"1 on Scale 1 to 10","1984","66 and older","Couple + C. GT 16 ","","","","","1"
"1 on Scale 1 to 10","1984","66 and older","Couple + C. LE and GT 16","","","","","1"
"10 Completely satisfied","1984","16-34 y.","(Married) couple without C. ","144","0.22081775014167","0.188831130388092","0.252804369895248","10"
"10 Completely satisfied","1984","35-65 y.","Couple + C. LE 16 ","347","0.238301065743871","0.217166111800044","0.259436019687698","10"
"10 Completely satisfied","1984","16-34 y.","1-pers.-HH","78","0.230229836020894","0.18631390670435","0.274145765337438","10"
"10 Completely satisfied","1984","16-34 y.","Single parent ","65","0.227184938708026","0.178538257404056","0.275831620011995","10"
"10 Completely satisfied","1984","16-34 y.","Couple + C. LE 16 ","294","0.193899958616566","0.173919405670641","0.213880511562491","10"
"10 Completely satisfied","1984","16-34 y.","Couple + C. GT 16 ","186","0.237810298282644","0.20806573533945","0.267554861225838","10"
"10 Completely satisfied","1984","16-34 y.","Couple + C. LE and GT 16","198","0.277069373746132","0.243985755422326","0.310152992069938","10"
"10 Completely satisfied","1984","35-65 y.","1-pers.-HH","152","0.310197077010453","0.270207399923944","0.350186754096961","10"
"10 Completely satisfied","1984","35-65 y.","(Married) couple without C. ","475","0.335981486288904","0.311868715555102","0.360094257022706","10"
"10 Completely satisfied","1984","35-65 y.","Single parent ","41","0.167596596885088","0.122541321443979","0.212651872326197","10"
"10 Completely satisfied","1984","35-65 y.","Couple + C. GT 16 ","289","0.274120990441774","0.248272312000299","0.299969668883248","10"
"10 Completely satisfied","1984","35-65 y.","Couple + C. LE and GT 16","214","0.218180921683085","0.192646467542914","0.243715375823256","10"
