"plh0178","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","Schleswig-Holstein","Urban Area","2","","","","0"
"0 Completely dissatisfied","1985","Schleswig-Holstein","Rural Area","2","","","","0"
"0 Completely dissatisfied","1985","Hamburg","Urban Area","5","","","","0"
"0 Completely dissatisfied","1985","Hamburg","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","Lower Saxony","Urban Area","3","","","","0"
"0 Completely dissatisfied","1985","Lower Saxony","Rural Area","8","","","","0"
"0 Completely dissatisfied","1985","Bremen","Urban Area","2","","","","0"
"0 Completely dissatisfied","1985","Bremen","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","North Rhine-Westphalia","Urban Area","37","0.0119736850205972","0.00800200152257783","0.0159453685186166","0"
"0 Completely dissatisfied","1985","North Rhine-Westphalia","Rural Area","1","","","","0"
"0 Completely dissatisfied","1985","Hesse","Urban Area","10","","","","0"
"0 Completely dissatisfied","1985","Hesse","Rural Area","1","","","","0"
"0 Completely dissatisfied","1985","Rhineland-Palatinate,Saarland","Urban Area","2","","","","0"
"0 Completely dissatisfied","1985","Rhineland-Palatinate,Saarland","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","Baden-Württemberg","Urban Area","30","0.0121734666789173","0.00703860771720266","0.0173083256406318","0"
"0 Completely dissatisfied","1985","Baden-Württemberg","Rural Area","2","","","","0"
"0 Completely dissatisfied","1985","Bavaria","Urban Area","15","","","","0"
"0 Completely dissatisfied","1985","Bavaria","Rural Area","15","","","","0"
"0 Completely dissatisfied","1985","Berlin","Urban Area","6","","","","0"
"0 Completely dissatisfied","1985","Berlin","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","Brandenburg","Urban Area","","","","","0"
"0 Completely dissatisfied","1985","Brandenburg","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","Mecklenburg-Western Pomerania","Urban Area","","","","","0"
"0 Completely dissatisfied","1985","Mecklenburg-Western Pomerania","Rural Area","","","","","0"
"0 Completely dissatisfied","1985","Saxony","Urban Area","","","","","0"
