"plh0178","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","in school","Male","1","","","","0"
"0 Completely dissatisfied","1984","in school","Female","1","","","","0"
"0 Completely dissatisfied","1984","inadequately","Male","12","","","","0"
"0 Completely dissatisfied","1984","inadequately","Female","20","","","","0"
"0 Completely dissatisfied","1984","general elemantary","Male","22","","","","0"
"0 Completely dissatisfied","1984","general elemantary","Female","51","0.0166048908379402","0.0113802659692946","0.0218295157065857","0"
"0 Completely dissatisfied","1984","middle vocational","Male","53","0.01437114192839","0.0102195644756216","0.0185227193811584","0"
"0 Completely dissatisfied","1984","middle vocational","Female","57","0.0192313269554404","0.0138903690982277","0.0245722848126532","0"
"0 Completely dissatisfied","1984","vocational + Abi","Male","5","","","","0"
"0 Completely dissatisfied","1984","vocational + Abi","Female","2","","","","0"
"0 Completely dissatisfied","1984","higher vocational","Male","6","","","","0"
"0 Completely dissatisfied","1984","higher vocational","Female","5","","","","0"
"0 Completely dissatisfied","1984","higher education","Male","6","","","","0"
"0 Completely dissatisfied","1984","higher education","Female","4","","","","0"
"1 on Scale 1 to 10","1984","higher education","Male","7","","","","1"
"1 on Scale 1 to 10","1984","inadequately","Female","11","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","Male","27","","","","1"
"1 on Scale 1 to 10","1984","higher education","Female","2","","","","1"
"1 on Scale 1 to 10","1984","in school","Male","","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","Male","8","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","Female","5","","","","1"
"1 on Scale 1 to 10","1984","in school","Female","","","","","1"
"1 on Scale 1 to 10","1984","inadequately","Male","6","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","Male","10","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","Female","22","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","Female","21","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","Male","4","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","Female","3","","","","1"
"10 Completely satisfied","1984","middle vocational","Male","864","0.291483212870004","0.275630899595197","0.307335526144812","10"
"10 Completely satisfied","1984","vocational + Abi","Male","47","0.288533048158075","0.224776855581403","0.352289240734747","10"
"10 Completely satisfied","1984","higher education","Female","59","0.267409421964836","0.21319096851834","0.321627875411332","10"
"10 Completely satisfied","1984","middle vocational","Female","668","0.287684280607673","0.270079704877617","0.305288856337729","10"
"10 Completely satisfied","1984","higher vocational","Male","113","0.30536336152779","0.259117496187242","0.351609226868339","10"
"10 Completely satisfied","1984","in school","Male","24","","","","10"
"10 Completely satisfied","1984","in school","Female","18","","","","10"
"10 Completely satisfied","1984","inadequately","Male","114","0.314579413580637","0.270432804855871","0.358726022305402","10"
"10 Completely satisfied","1984","general elemantary","Male","322","0.316676251974021","0.289743744597509","0.343608759350533","10"
"10 Completely satisfied","1984","general elemantary","Female","595","0.280760343405172","0.262387440758937","0.299133246051407","10"
"10 Completely satisfied","1984","vocational + Abi","Female","32","0.321500502173867","0.236871201286073","0.406129803061661","10"
"10 Completely satisfied","1984","higher education","Male","113","0.21967946587259","0.184464110108987","0.254894821636194","10"
"10 Completely satisfied","1984","inadequately","Female","121","0.242603062080644","0.208073016692185","0.277133107469102","10"
"10 Completely satisfied","1984","higher vocational","Female","70","0.28790250438268","0.234387668898322","0.341417339867039","10"
"2 on Scale 1 to 10","1984","in school","Male","4","","","","2"
"2 on Scale 1 to 10","1984","inadequately","Male","9","","","","2"
"2 on Scale 1 to 10","1984","middle vocational","Female","76","0.0254898746848006","0.0193606116287725","0.0316191377408286","2"
"2 on Scale 1 to 10","1984","middle vocational","Male","79","0.0266830980589493","0.0210615483055141","0.0323046478123844","2"
"2 on Scale 1 to 10","1984","in school","Female","3","","","","2"
"2 on Scale 1 to 10","1984","vocational + Abi","Male","6","","","","2"
"2 on Scale 1 to 10","1984","higher education","Female","13","","","","2"
"2 on Scale 1 to 10","1984","general elemantary","Female","65","0.0248762186586573","0.0185083347733217","0.0312441025439929","2"
"2 on Scale 1 to 10","1984","inadequately","Female","32","0.0395116100216256","0.0238189827051013","0.05520423733815","2"
"2 on Scale 1 to 10","1984","general elemantary","Male","30","0.0233319539659594","0.0145920868976343","0.0320718210342845","2"
"2 on Scale 1 to 10","1984","vocational + Abi","Female","3","","","","2"
"2 on Scale 1 to 10","1984","higher vocational","Male","12","","","","2"
"2 on Scale 1 to 10","1984","higher vocational","Female","8","","","","2"
"2 on Scale 1 to 10","1984","higher education","Male","10","","","","2"
"3 on Scale 1 to 10","1984","in school","Female","2","","","","3"
"3 on Scale 1 to 10","1984","in school","Male","1","","","","3"
"3 on Scale 1 to 10","1984","inadequately","Male","19","","","","3"
"3 on Scale 1 to 10","1984","inadequately","Female","34","0.0428954763220759","0.0265735027827183","0.0592174498614335","3"
"3 on Scale 1 to 10","1984","general elemantary","Male","50","0.0361475373594475","0.0253406550845752","0.0469544196343198","3"
"3 on Scale 1 to 10","1984","general elemantary","Female","112","0.0379211383766221","0.0301117126598426","0.0457305640934015","3"
"3 on Scale 1 to 10","1984","vocational + Abi","Male","9","","","","3"
"3 on Scale 1 to 10","1984","vocational + Abi","Female","2","","","","3"
"3 on Scale 1 to 10","1984","higher vocational","Male","9","","","","3"
"3 on Scale 1 to 10","1984","higher vocational","Female","10","","","","3"
"3 on Scale 1 to 10","1984","middle vocational","Male","101","0.0302239515933525","0.024251919273287","0.036195983913418","3"
"3 on Scale 1 to 10","1984","middle vocational","Female","118","0.0423413091524591","0.034510281621601","0.0501723366833171","3"
"3 on Scale 1 to 10","1984","higher education","Male","24","","","","3"
"3 on Scale 1 to 10","1984","higher education","Female","12","","","","3"
"4 on Scale 1 to 10","1984","middle vocational","Male","116","0.0344186036728634","0.0280594126826773","0.0407777946630496","4"
"4 on Scale 1 to 10","1984","higher education","Male","20","","","","4"
"4 on Scale 1 to 10","1984","general elemantary","Female","98","0.0366437294890636","0.0289618696774212","0.044325589300706","4"
"4 on Scale 1 to 10","1984","higher vocational","Female","13","","","","4"
"4 on Scale 1 to 10","1984","higher vocational","Male","4","","","","4"
"4 on Scale 1 to 10","1984","in school","Female","4","","","","4"
"4 on Scale 1 to 10","1984","inadequately","Male","17","","","","4"
"4 on Scale 1 to 10","1984","inadequately","Female","22","","","","4"
"4 on Scale 1 to 10","1984","general elemantary","Male","38","0.0273153957293517","0.0178781437410584","0.036752647717645","4"
"4 on Scale 1 to 10","1984","middle vocational","Female","100","0.0352023468897536","0.0280353839126481","0.0423693098668591","4"
"4 on Scale 1 to 10","1984","vocational + Abi","Male","7","","","","4"
"4 on Scale 1 to 10","1984","higher education","Female","13","","","","4"
"4 on Scale 1 to 10","1984","in school","Male","2","","","","4"
"4 on Scale 1 to 10","1984","vocational + Abi","Female","3","","","","4"
"5 on Scale 1 to 10","1984","in school","Male","3","","","","5"
"5 on Scale 1 to 10","1984","in school","Female","11","","","","5"
"5 on Scale 1 to 10","1984","middle vocational","Male","310","0.0915067392496903","0.0814490504192607","0.10156442808012","5"
