"plh0178","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","Urban Area","112","0.0101428851118972","0.00804208743251608","0.0122436827912782","0"
"0 Completely dissatisfied","1985","Rural Area","29","","","","0"
"1 on Scale 1 to 10","1985","Urban Area","89","0.00828290519762285","0.00638269140352254","0.0101831189917232","1"
"1 on Scale 1 to 10","1985","Rural Area","26","","","","1"
"10 Completely satisfied","1985","Urban Area","1814","0.232865342452342","0.224003878979191","0.241726805925493","10"
"10 Completely satisfied","1985","Rural Area","524","0.245848986968846","0.228112269395325","0.263585704542368","10"
"2 on Scale 1 to 10","1985","Urban Area","290","0.0287043576388634","0.0252035612065518","0.0322051540711751","2"
"2 on Scale 1 to 10","1985","Rural Area","59","0.0197936421046831","0.0140560259057306","0.0255312583036356","2"
"3 on Scale 1 to 10","1985","Rural Area","90","0.0361605634124725","0.0284705017884073","0.0438506250365378","3"
"3 on Scale 1 to 10","1985","Urban Area","385","0.0390868526971967","0.0350235924419241","0.0431501129524692","3"
"4 on Scale 1 to 10","1985","Urban Area","410","0.041458626265468","0.0372790706675893","0.0456381818633467","4"
"4 on Scale 1 to 10","1985","Rural Area","89","0.0379404823129667","0.030070708076849","0.0458102565490844","4"
"5 on Scale 1 to 10","1985","Urban Area","973","0.103580127461859","0.0971914468101979","0.10996880811352","5"
"5 on Scale 1 to 10","1985","Rural Area","241","0.103473505693463","0.0909274842463142","0.116019527140611","5"
"6 on Scale 1 to 10","1985","Urban Area","716","0.0760784475354499","0.0705198453828493","0.0816370496880504","6"
"6 on Scale 1 to 10","1985","Rural Area","197","0.0802177927482498","0.0690288839021103","0.0914067015943894","6"
"7 on Scale 1 to 10","1985","Urban Area","1193","0.136972517540991","0.129763995125545","0.144181039956436","7"
"7 on Scale 1 to 10","1985","Rural Area","302","0.132148851972203","0.118199173480903","0.146098530463503","7"
"8 on Scale 1 to 10","1985","Urban Area","1779","0.207394372622237","0.19889387635164","0.215894868892834","8"
"8 on Scale 1 to 10","1985","Rural Area","473","0.212243453815723","0.195400314444709","0.229086593186737","8"
"9 on Scale 1 to 10","1985","Urban Area","978","0.115433565476073","0.10873397117719","0.122133159774956","9"
"9 on Scale 1 to 10","1985","Rural Area","234","0.109455472479301","0.0965950143620883","0.122315930596514","9"
"0 Completely dissatisfied","1986","Urban Area","118","0.0111926821759131","0.00894588745746147","0.0134394768943647","0"
"0 Completely dissatisfied","1986","Rural Area","32","0.012068564921655","0.0074743697414288","0.0166627601018811","0"
"1 on Scale 1 to 10","1986","Urban Area","111","0.0115701403709668","0.00928621076213798","0.0138540699797956","1"
"1 on Scale 1 to 10","1986","Rural Area","16","","","","1"
"10 Completely satisfied","1986","Urban Area","1514","0.206570506773351","0.197924236640638","0.215216776906065","10"
"10 Completely satisfied","1986","Rural Area","441","0.224256207711243","0.20670731917838","0.241805096244106","10"
"2 on Scale 1 to 10","1986","Urban Area","254","0.024590172670471","0.021282558643222","0.02789778669772","2"
"2 on Scale 1 to 10","1986","Rural Area","53","0.0219518597727304","0.0157868467291504","0.0281168728163104","2"
"3 on Scale 1 to 10","1986","Rural Area","100","0.0440730823806361","0.0354369899438374","0.0527091748174348","3"
"3 on Scale 1 to 10","1986","Urban Area","397","0.0398692946551604","0.0356907511509995","0.0440478381593214","3"
"4 on Scale 1 to 10","1986","Urban Area","447","0.0470133376151748","0.0424927548413013","0.0515339203890484","4"
"4 on Scale 1 to 10","1986","Rural Area","123","0.0521994411354132","0.0428408681647509","0.0615580141060756","4"
"5 on Scale 1 to 10","1986","Urban Area","992","0.110451779229317","0.103757380466706","0.117146177991927","5"
"5 on Scale 1 to 10","1986","Rural Area","223","0.0967383396176321","0.0843010906823267","0.109175588552938","5"
"6 on Scale 1 to 10","1986","Urban Area","688","0.0797501030704964","0.0739643620802291","0.0855358440607636","6"
"6 on Scale 1 to 10","1986","Rural Area","201","0.0921711181055694","0.0800003594725212","0.104341876738618","6"
"7 on Scale 1 to 10","1986","Urban Area","1160","0.132265264424442","0.125029959044477","0.139500569804406","7"
"7 on Scale 1 to 10","1986","Rural Area","330","0.147781529005473","0.132850017496685","0.162713040514261","7"
"8 on Scale 1 to 10","1986","Urban Area","1797","0.2174788583871","0.208668429813649","0.226289286960551","8"
"8 on Scale 1 to 10","1986","Rural Area","439","0.205951569074095","0.188936869996003","0.222966268152186","8"
"9 on Scale 1 to 10","1986","Urban Area","944","0.119247860627608","0.112326481737932","0.126169239517284","9"
"9 on Scale 1 to 10","1986","Rural Area","212","0.0965034798780812","0.084079722736767","0.108927237019395","9"
"0 Completely dissatisfied","1987","Urban Area","104","0.0110503187894068","0.0088024324501761","0.0132982051286375","0"
"0 Completely dissatisfied","1987","Rural Area","22","","","","0"
"1 on Scale 1 to 10","1987","Rural Area","24","","","","1"
"1 on Scale 1 to 10","1987","Urban Area","82","0.00946327506967239","0.00738139422127887","0.0115451559180659","1"
"10 Completely satisfied","1987","Urban Area","1466","0.204631760596391","0.195956740493144","0.213306780699638","10"
"10 Completely satisfied","1987","Rural Area","427","0.213096258239548","0.195778978611493","0.230413537867604","10"
"2 on Scale 1 to 10","1987","Urban Area","232","0.0248904184293664","0.0215404350077606","0.0282404018509721","2"
"2 on Scale 1 to 10","1987","Rural Area","56","0.0233781705460709","0.016988191596416","0.0297681494957259","2"
"3 on Scale 1 to 10","1987","Urban Area","380","0.0406325080145646","0.0363870049263675","0.0448780111027617","3"
"3 on Scale 1 to 10","1987","Rural Area","96","0.0383951616249319","0.0302693355496232","0.0465209877002406","3"
"4 on Scale 1 to 10","1987","Urban Area","368","0.0402964285873921","0.0360677791673896","0.0445250780073947","4"
"4 on Scale 1 to 10","1987","Rural Area","98","0.0447434566479264","0.0360005522533714","0.0534863610424813","4"
"5 on Scale 1 to 10","1987","Urban Area","957","0.106988723301125","0.100342157308002","0.113635289294248","5"
"5 on Scale 1 to 10","1987","Rural Area","206","0.0915133927101837","0.0793197758321445","0.103707009588223","5"
"6 on Scale 1 to 10","1987","Urban Area","773","0.0820878002018816","0.0761852494919336","0.0879903509118296","6"
"6 on Scale 1 to 10","1987","Rural Area","199","0.0922377141265246","0.0800008176479245","0.104474610605125","6"
"7 on Scale 1 to 10","1987","Rural Area","322","0.149432978197712","0.134356203371381","0.164509753024042","7"
"7 on Scale 1 to 10","1987","Urban Area","1180","0.133894413524855","0.126571793554642","0.141217033495069","7"
"8 on Scale 1 to 10","1987","Urban Area","1841","0.226069225592418","0.217074837379951","0.235063613804885","8"
"8 on Scale 1 to 10","1987","Rural Area","443","0.21289923661028","0.195587797544914","0.230210675675646","8"
"9 on Scale 1 to 10","1987","Urban Area","925","0.119995127892926","0.113007589745519","0.126982666040333","9"
"9 on Scale 1 to 10","1987","Rural Area","255","0.11763686240608","0.10401218127481","0.131261543537349","9"
"0 Completely dissatisfied","1988","Urban Area","92","0.00889266382519184","0.00683028785470041","0.0109550397956833","0"
"0 Completely dissatisfied","1988","Rural Area","26","","","","0"
"1 on Scale 1 to 10","1988","Rural Area","22","","","","1"
"1 on Scale 1 to 10","1988","Urban Area","100","0.0106947938168274","0.00843513478107643","0.0129544528525784","1"
"10 Completely satisfied","1988","Rural Area","367","0.190831992685626","0.173687191457061","0.20797679391419","10"
"10 Completely satisfied","1988","Urban Area","1229","0.17967035272926","0.171236539655494","0.188104165803025","10"
"2 on Scale 1 to 10","1988","Urban Area","237","0.0274218320088114","0.0238342482574728","0.03100941576015","2"
"2 on Scale 1 to 10","1988","Rural Area","45","0.0210125454456496","0.0147548358298509","0.0272702550614483","2"
"3 on Scale 1 to 10","1988","Urban Area","363","0.0396522786168333","0.0353654128300717","0.0439391444035948","3"
"3 on Scale 1 to 10","1988","Rural Area","95","0.0437750125018201","0.0348485231023846","0.0527015019012556","3"
"4 on Scale 1 to 10","1988","Urban Area","440","0.0482819116438394","0.0435728112705146","0.0529910120171643","4"
"4 on Scale 1 to 10","1988","Rural Area","96","0.046767089704302","0.0375550204035381","0.0559791590050658","4"
"5 on Scale 1 to 10","1988","Urban Area","1003","0.126616196015767","0.119310884247","0.133921507784534","5"
"5 on Scale 1 to 10","1988","Rural Area","264","0.124212850171208","0.109822543211865","0.13860315713055","5"
"6 on Scale 1 to 10","1988","Urban Area","754","0.0883968309100968","0.0821607345388767","0.0946329272813169","6"
"6 on Scale 1 to 10","1988","Rural Area","169","0.0815017720502308","0.0695643596623562","0.0934391844381054","6"
"7 on Scale 1 to 10","1988","Urban Area","1189","0.138652184639913","0.131060394509266","0.14624397477056","7"
"7 on Scale 1 to 10","1988","Rural Area","273","0.135503235482481","0.120570339884251","0.15043613108071","7"
"8 on Scale 1 to 10","1988","Rural Area","433","0.218383863019401","0.200358063332536","0.236409662706266","8"
"8 on Scale 1 to 10","1988","Urban Area","1732","0.219132599201115","0.210045323624915","0.228219874777314","8"
"9 on Scale 1 to 10","1988","Urban Area","821","0.112588356592346","0.105644498154374","0.119532215030317","9"
"9 on Scale 1 to 10","1988","Rural Area","228","0.117483070073934","0.103434352677777","0.13153178747009","9"
"0 Completely dissatisfied","1989","Urban Area","78","0.00828600785104827","0.00626690076939244","0.0103051149327041","0"
"0 Completely dissatisfied","1989","Rural Area","23","","","","0"
"1 on Scale 1 to 10","1989","Urban Area","96","0.0104430298673642","0.00817876555009565","0.0127072941846328","1"
"1 on Scale 1 to 10","1989","Rural Area","27","","","","1"
"10 Completely satisfied","1989","Rural Area","314","0.17131537390846","0.154404519341303","0.188226228475617","10"
"10 Completely satisfied","1989","Urban Area","1124","0.1702531987873","0.161881494199775","0.178624903374826","10"
"2 on Scale 1 to 10","1989","Urban Area","241","0.0286579718193244","0.0249417444529212","0.0323741991857275","2"
"2 on Scale 1 to 10","1989","Rural Area","66","0.0285692404043586","0.0210922294528426","0.0360462513558747","2"
"3 on Scale 1 to 10","1989","Urban Area","401","0.0467237249416919","0.0420229270107122","0.0514245228726715","3"
"3 on Scale 1 to 10","1989","Rural Area","82","0.0432591134583765","0.034128315796277","0.052389911120476","3"
"4 on Scale 1 to 10","1989","Urban Area","452","0.0499117233591158","0.0450613326451534","0.0547621140730783","4"
"4 on Scale 1 to 10","1989","Rural Area","95","0.0439172004785851","0.03472037763085","0.0531140233263203","4"
"5 on Scale 1 to 10","1989","Urban Area","954","0.115149986841454","0.108040140111342","0.122259833571565","5"
