"plh0184","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Often","2007","16-34 y.","Rural Area","401","0.255805682240434","0.234493230080209","0.277118134400659"
"Often","2007","16-34 y.","Urban Area","767","0.248586748650508","0.233399591133386","0.263773906167629"
"Often","2007","35-65 y.","Rural Area","840","0.223366726499404","0.21021039031066","0.236523062688149"
"Often","2007","35-65 y.","Urban Area","1703","0.238233421401724","0.228662813337283","0.247804029466166"
"Often","2007","66 and older","Rural Area","184","0.12447521107096","0.107763422454418","0.141186999687501"
"Often","2007","66 and older","Urban Area","326","0.105612665197531","0.0944016350450354","0.116823695350026"
"Rarely","2007","16-34 y.","Rural Area","304","0.182638265064978","0.163765384539686","0.20151114559027"
"Rarely","2007","16-34 y.","Urban Area","618","0.187332728033849","0.173621975279892","0.201043480787806"
"Rarely","2007","35-65 y.","Rural Area","778","0.193727465685421","0.181243451377716","0.206211479993126"
"Rarely","2007","35-65 y.","Urban Area","1537","0.195639772256622","0.186727650758895","0.204551893754349"
"Rarely","2007","66 and older","Rural Area","457","0.287260613797099","0.264354537866957","0.31016668972724"
"Rarely","2007","66 and older","Urban Area","831","0.282696118226066","0.266269952046038","0.299122284406094"
"Sometimes","2007","16-34 y.","Rural Area","706","0.441355510523202","0.417100738928466","0.465610282117937"
"Sometimes","2007","16-34 y.","Urban Area","1274","0.419198934315565","0.40186002110712","0.43653784752401"
"Sometimes","2007","35-65 y.","Rural Area","1705","0.43863858348411","0.42296412950211","0.454313037466109"
"Sometimes","2007","35-65 y.","Urban Area","3246","0.42102926566592","0.409937219251795","0.432121312080045"
"Sometimes","2007","66 and older","Rural Area","561","0.37875061643242","0.354194655476719","0.40330657738812"
"Sometimes","2007","66 and older","Urban Area","1061","0.378899025263371","0.361203333350274","0.396594717176469"
"Very often","2007","16-34 y.","Rural Area","109","0.0748487587269227","0.0619948911270635","0.0877026263267819"
"Very often","2007","16-34 y.","Urban Area","231","0.0755874223732027","0.0662987044147445","0.0848761403316608"
"Very often","2007","35-65 y.","Rural Area","254","0.0671605393922533","0.0592541487456695","0.0750669300388372"
"Very often","2007","35-65 y.","Urban Area","467","0.065094570977854","0.0595523548802799","0.0706367870754281"
"Very often","2007","66 and older","Rural Area","29","","",""
"Very often","2007","66 and older","Urban Area","83","0.0251862713063822","0.0194705972297879","0.0309019453829764"
"Very rare","2007","16-34 y.","Rural Area","90","0.0453517834444631","0.0351880323486691","0.0555155345402572"
"Very rare","2007","16-34 y.","Urban Area","221","0.0692941666268753","0.0603703088228431","0.0782180244309074"
"Very rare","2007","35-65 y.","Rural Area","273","0.0771066849388117","0.0686803349756806","0.0855330349019428"
"Very rare","2007","35-65 y.","Urban Area","658","0.0800029696978799","0.07390797268791","0.0860979667078498"
