"plh0185","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Often","2007","West Germany","Female","732","0.0958957912593964","0.0895063150195572","0.102285267499236","4"
"Often","2007","West Germany","Male","279","0.0442253897210784","0.0395296417428517","0.0489211376993051","4"
"Often","2007","East Germany","Female","232","0.104854665262758","0.0930875974454903","0.116621733080026","4"
"Often","2007","East Germany","Male","88","0.0496356996298252","0.0409626501924769","0.0583087490671735","4"
"Rarely","2007","West Germany","Female","2568","0.30383806265791","0.293858018407132","0.313818106908689","2"
"Rarely","2007","West Germany","Male","2279","0.319752391574644","0.309100380393794","0.330404402755494","2"
"Rarely","2007","East Germany","Female","844","0.315028213694661","0.297186413639877","0.332870013749445","2"
"Rarely","2007","East Germany","Male","805","0.341189131632757","0.322256644826957","0.360121618438556","2"
"Sometimes","2007","West Germany","Female","1825","0.238512516981032","0.229264615111398","0.247760418850667","3"
"Sometimes","2007","West Germany","Male","985","0.15223438702097","0.144029256744771","0.160439517297169","3"
"Sometimes","2007","East Germany","Female","713","0.271153502832652","0.254078796378345","0.288228209286959","3"
"Sometimes","2007","East Germany","Male","376","0.158685853522861","0.14409509423041","0.173276612815312","3"
"Very often","2007","West Germany","Male","72","0.00928469760018274","0.00709416602135239","0.0114752291790131","5"
"Very often","2007","East Germany","Female","61","0.0258218645273512","0.0197301353254529","0.0319135937292494","5"
"Very often","2007","East Germany","Male","28","","","","5"
"Very often","2007","West Germany","Female","194","0.0259879802729498","0.0225355520129426","0.0294404085329569","5"
"Very rare","2007","West Germany","Female","2839","0.335765648828711","0.325517745081462","0.346013552575961","1"
"Very rare","2007","West Germany","Male","3749","0.474503134083125","0.4630981204473","0.485908147718951","1"
"Very rare","2007","East Germany","Female","754","0.283141753682577","0.265837765787915","0.30044574157724","1"
"Very rare","2007","East Germany","Male","1112","0.435812523037692","0.416011334232481","0.455613711842903","1"
"Often","2008","West Germany","Female","620","0.0863048442392533","0.0800162734517049","0.0925934150268017","4"
"Often","2008","West Germany","Male","259","0.0447863344318395","0.0399095664925587","0.0496631023711202","4"
"Often","2008","East Germany","Female","217","0.106406178835802","0.0942554663187009","0.118556891352903","4"
"Often","2008","East Germany","Male","81","0.0432974599056181","0.0349923771055491","0.0516025427056871","4"
"Rarely","2008","East Germany","Female","932","0.352563208049081","0.333736888508271","0.37138952758989","2"
"Rarely","2008","East Germany","Male","841","0.358542064349609","0.338972622358709","0.37811150634051","2"
"Rarely","2008","West Germany","Female","2648","0.331541429951492","0.320999021044433","0.342083838858552","2"
"Rarely","2008","West Germany","Male","2296","0.334906527800215","0.323778653370359","0.34603440223007","2"
"Sometimes","2008","West Germany","Female","1625","0.223829101945769","0.214495040405555","0.233163163485983","3"
"Sometimes","2008","West Germany","Male","844","0.133553329763738","0.125532720749135","0.141573938778342","3"
"Sometimes","2008","East Germany","Female","569","0.224744155930778","0.208296084949973","0.241192226911582","3"
"Sometimes","2008","East Germany","Male","309","0.142682694797251","0.128410829422071","0.156954560172431","3"
"Very often","2008","West Germany","Female","164","0.0225123105499197","0.0191903123710952","0.0258343087287443","5"
"Very often","2008","West Germany","Male","71","0.0117249088950687","0.00918684395217836","0.0142629738379589","5"
"Very often","2008","East Germany","Female","53","0.0267276750343287","0.0203722291996345","0.0330831208690229","5"
"Very often","2008","East Germany","Male","20","","","","5"
"Very rare","2008","East Germany","Male","1056","0.446494951799755","0.426209094629905","0.466780808969605","1"
"Very rare","2008","West Germany","Female","2603","0.335812313313566","0.325236167630824","0.346388458996307","1"
"Very rare","2008","West Germany","Male","3440","0.475028899109139","0.463254553447258","0.486803244771019","1"
"Very rare","2008","East Germany","Female","703","0.289558782150011","0.271686472137458","0.307431092162564","1"
"Often","2009","East Germany","Male","70","0.0322460198613114","0.0248288193847992","0.0396632203378237","4"
"Often","2009","West Germany","Female","601","0.088031536150123","0.0814231823723213","0.0946398899279247","4"
"Often","2009","West Germany","Male","224","0.0395238495753449","0.0347537673343096","0.0442939318163801","4"
"Often","2009","East Germany","Female","215","0.089946666492578","0.0783840694413123","0.101509263543844","4"
"Rarely","2009","East Germany","Male","784","0.359742968954968","0.339592144883629","0.379893793026307","2"
"Rarely","2009","West Germany","Female","2406","0.340034762959586","0.328986183996954","0.351083341922218","2"
"Rarely","2009","West Germany","Male","2068","0.331775202669991","0.320247674006598","0.343302731333385","2"
"Rarely","2009","East Germany","Female","869","0.352172660698655","0.332869123913326","0.371476197483984","2"
"Sometimes","2009","East Germany","Male","272","0.144401661967631","0.129643219117148","0.159160104818114","3"
"Sometimes","2009","West Germany","Female","1602","0.235528291049681","0.225631680418799","0.245424901680564","3"
"Sometimes","2009","West Germany","Male","844","0.146176575172246","0.137527376375392","0.1548257739691","3"
"Sometimes","2009","East Germany","Female","553","0.244407150620429","0.227039930614406","0.261774370626452","3"
"Very often","2009","East Germany","Male","18","","","","5"
"Very often","2009","West Germany","Female","167","0.022483027606922","0.01902543528901","0.0259406199248339","5"
"Very often","2009","West Germany","Male","61","0.0100011845201638","0.00756507946647442","0.0124372895738533","5"
"Very often","2009","East Germany","Female","46","0.0229531882283451","0.01690105294353","0.0290053235131602","5"
"Very rare","2009","East Germany","Male","1035","0.454070822755081","0.433165858611567","0.474975786898595","1"
"Very rare","2009","West Germany","Female","2286","0.313922382233688","0.303098526358493","0.324746238108882","1"
"Very rare","2009","West Germany","Male","3212","0.472523188062254","0.460300514744764","0.484745861379744","1"
"Very rare","2009","East Germany","Female","669","0.290520333959993","0.272172378544862","0.308868289375124","1"
"Often","2010","East Germany","Male","65","0.044467531870827","0.035392659982476","0.053542403759178","4"
"Often","2010","West Germany","Female","542","0.0861302983948096","0.079358146841981","0.0929024499476381","4"
"Often","2010","West Germany","Male","211","0.0419901388861592","0.0368973404624802","0.0470829373098382","4"
"Often","2010","East Germany","Female","188","0.101010534589471","0.0882639830927486","0.113757086086194","4"
"Rarely","2010","East Germany","Male","755","0.375731846845041","0.354410194411185","0.397053499278898","2"
"Rarely","2010","West Germany","Male","2068","0.363716343547189","0.351501029584169","0.37593165751021","2"
"Rarely","2010","East Germany","Female","799","0.341881833519842","0.321817625557904","0.361946041481779","2"
"Rarely","2010","West Germany","Female","2343","0.358718820992502","0.3471415051397","0.370296136845305","2"
"Sometimes","2010","East Germany","Male","237","0.123823920067862","0.109323044138754","0.13832479599697","3"
"Sometimes","2010","West Germany","Female","1498","0.239460169465298","0.229159055838372","0.249761283092223","3"
"Sometimes","2010","West Germany","Male","775","0.14551380559679","0.136560107096245","0.154467504097336","3"
"Sometimes","2010","East Germany","Female","512","0.258362916167671","0.239847099308924","0.276878733026418","3"
"Very often","2010","East Germany","Male","14","","","","5"
