"plh0187","year","n","percent","lower_confidence","upper_confidence"
"Often","2007","2109","0.113932752341465","0.109589392021116","0.118276112661815"
"Rarely","2007","6840","0.314906354054272","0.308556936260411","0.321255771848134"
"Sometimes","2007","6378","0.325309104525078","0.318904847446008","0.331713361604149"
"Very often","2007","686","0.0378590721234333","0.0352500813060052","0.0404680629408614"
"Very rare","2007","4544","0.20799271695575","0.202444456059813","0.213540977851687"
"Often","2008","1968","0.114898299287644","0.110407249400979","0.119389349174309"
"Rarely","2008","6696","0.330834694018537","0.324208460714243","0.337460927322831"
"Sometimes","2008","5883","0.312320951765284","0.305794337474838","0.31884756605573"
"Very often","2008","587","0.0339989647316202","0.0314467563307834","0.0365511731324569"
"Very rare","2008","4235","0.207947090196915","0.202231672013576","0.213662508380254"
"Often","2009","1810","0.108659920325131","0.104116919973548","0.113202920676715"
"Rarely","2009","6300","0.337410777457676","0.330508569808137","0.344312985107216"
"Sometimes","2009","5530","0.316729038971556","0.30993814757619","0.323519930366922"
"Very often","2009","568","0.0358432970938674","0.0331295826258233","0.0385570115619115"
"Very rare","2009","3819","0.201356966151769","0.195503056098221","0.207210876205317"
"Often","2010","1723","0.111912712641419","0.107129425019268","0.116696000263571"
"Rarely","2010","5839","0.338592556496888","0.331412428266903","0.345772684726873"
"Sometimes","2010","5081","0.31399857390554","0.306956747654748","0.321040400156332"
"Very often","2010","473","0.0329978080735612","0.0302875213767463","0.0357080947703762"
"Very rare","2010","3571","0.202498348882591","0.196401077902873","0.20859561986231"
"Often","2011","2148","0.111262596952011","0.106984731473558","0.115540462430463"
"Rarely","2011","6974","0.327331165710619","0.320947647079626","0.333714684341612"
"Sometimes","2011","6703","0.326976371950469","0.320594631467228","0.333358112433709"
"Very often","2011","597","0.0303128581070947","0.0279805009242122","0.0326452152899772"
"Very rare","2011","4335","0.204117007279807","0.198633858797739","0.209600155761875"
"Often","2012","1911","0.100152499972055","0.0960460269806223","0.104258972963487"
"Rarely","2012","7342","0.349819884365177","0.343296203552054","0.3563435651783"
"Sometimes","2012","6077","0.300636533148953","0.294364245533912","0.306908820763995"
"Very often","2012","510","0.0263511375597538","0.024160076498534","0.0285421986209736"
"Very rare","2012","4690","0.223039944954061","0.217345593257374","0.228734296650749"
"Often","2013","2470","0.0998908186708726","0.0962266762956841","0.103554961046061"
"Rarely","2013","9348","0.349362340810806","0.343536352603931","0.355188329017681"
"Sometimes","2013","7563","0.302331317699138","0.296719182291342","0.307943453106935"
"Very often","2013","703","0.0271692109800412","0.0251825712109412","0.0291558507491412"
"Very rare","2013","5642","0.221246311839142","0.216174069013976","0.226318554664308"
"Often","2014","2572","0.0971708445058588","0.093646698001669","0.100694991010049"
"Rarely","2014","9622","0.349209057029388","0.343536920476202","0.354881193582575"
"Sometimes","2014","7884","0.29459622797838","0.28917227822306","0.300020177733699"
"Very often","2014","803","0.0280312851889979","0.0260673333835359","0.02999523699446"
"Very rare","2014","6254","0.230992585297375","0.225977856377015","0.236007314217735"
"Often","2015","2338","0.0966620051459732","0.0930062123550648","0.100317797936882"
"Rarely","2015","9062","0.355010230532878","0.349090180449297","0.360930280616459"
"Sometimes","2015","7279","0.296949494201202","0.291296701088058","0.302602287314347"
"Very often","2015","700","0.0286590036481588","0.0265948361433751","0.0307231711529426"
"Very rare","2015","5719","0.222719266471788","0.217571766192963","0.227866766750613"
"Often","2016","2161","0.0962641976737046","0.0925513421352065","0.0999770532122027"
"Rarely","2016","8683","0.349955905768388","0.343952012235986","0.355959799300791"
"Sometimes","2016","7109","0.295560438932816","0.289816630715672","0.301304247149959"
"Very often","2016","661","0.0276164538768944","0.0255536512923637","0.0296792564614251"
"Very rare","2016","5629","0.230603003748197","0.225300724047372","0.235905283449022"
"Often","2017","2351","0.0960333674971208","0.0924892908369908","0.0995774441572508"
"Rarely","2017","9745","0.369567148244142","0.363761082813805","0.375373213674478"
"Sometimes","2017","7567","0.283908193090848","0.278484574464513","0.289331811717183"
"Very often","2017","705","0.0265623087480371","0.0246281023411072","0.0284965151549669"
"Very rare","2017","6182","0.223928982419852","0.218914550791519","0.228943414048186"
"Often","2018","2296","0.0919998444876948","0.088465001089752","0.0955346878856375"
"Rarely","2018","9416","0.365324091734138","0.35943499302939","0.371213190438887"
"Sometimes","2018","7155","0.284905446445894","0.279385107027888","0.2904257858639"
"Very often","2018","664","0.0280640023108448","0.0260441142245458","0.0300838903971437"
"Very rare","2018","6151","0.229706615021428","0.224562051838461","0.234851178204395"
"Often","2019","2239","0.0938779090045859","0.0903218537858026","0.0974339642233693"
"Rarely","2019","9377","0.359254609628491","0.353404858998179","0.365104360258803"
"Sometimes","2019","7240","0.288647171623704","0.283122332741369","0.294172010506038"
"Very often","2019","589","0.0247887648747831","0.0228930621903455","0.0266844675592207"
"Very rare","2019","6396","0.233431544868436","0.228273932757732","0.238589156979141"
