"plh0187","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Often","2007","16-34 y.","Female","375","0.145493858832083","0.131605443478819","0.159382274185347"
"Often","2007","16-34 y.","Male","171","0.0950242092656848","0.0828802669750139","0.107168151556356"
"Often","2007","35-65 y.","Female","708","0.134115077128132","0.125460623861168","0.142769530395096"
"Often","2007","35-65 y.","Male","390","0.0880552443511913","0.0805620733822903","0.0955484153200923"
"Often","2007","66 and older","Female","330","0.141843423589786","0.127713412077978","0.155973435101594"
"Often","2007","66 and older","Male","135","0.0776037112357683","0.0660192155869753","0.0891882068845612"
"Rarely","2007","16-34 y.","Female","719","0.271702790777311","0.254181175375606","0.289224406179015"
"Rarely","2007","16-34 y.","Male","855","0.372589675583212","0.352567313051599","0.392612038114825"
"Rarely","2007","35-65 y.","Female","1857","0.285015705947592","0.273551251481246","0.296480160413938"
"Rarely","2007","35-65 y.","Male","2029","0.351820692492771","0.339193347841771","0.364448037143771"
"Rarely","2007","66 and older","Female","677","0.275339435018721","0.257248701839802","0.293430168197641"
"Rarely","2007","66 and older","Male","703","0.330253929401852","0.309890252592316","0.350617606211389"
"Sometimes","2007","16-34 y.","Female","886","0.376325679064632","0.357243251203563","0.395408106925701"
"Sometimes","2007","16-34 y.","Male","558","0.270177260445034","0.251788300191066","0.288566220699003"
"Sometimes","2007","35-65 y.","Female","2089","0.36134457856827","0.34914443841943","0.373544718717111"
"Sometimes","2007","35-65 y.","Male","1470","0.282293088158248","0.27039088249919","0.294195293817307"
"Sometimes","2007","66 and older","Female","824","0.373670534545726","0.354077554597822","0.39326351449363"
"Sometimes","2007","66 and older","Male","551","0.285849853545089","0.266286609905715","0.305413097184463"
"Very often","2007","16-34 y.","Female","123","0.0622185197709952","0.052704075337163","0.0717329642048274"
"Very often","2007","16-34 y.","Male","40","0.0207242605617906","0.0148247483893848","0.0266237727341964"
"Very often","2007","35-65 y.","Female","261","0.0529571297766403","0.0472696772412226","0.0586445823120579"
"Very often","2007","35-65 y.","Male","101","0.0231167182242006","0.0191430812163519","0.0270903552320493"
"Very often","2007","66 and older","Female","96","0.0356185685712749","0.0281124175747049","0.0431247195678449"
"Very often","2007","66 and older","Male","65","0.032428387936303","0.0247586354181275","0.0400981404544785"
"Very rare","2007","16-34 y.","Female","373","0.144259151554979","0.130419804854314","0.158098498255643"
"Very rare","2007","16-34 y.","Male","616","0.241484594144279","0.223761032520893","0.259208155767664"
"Very rare","2007","35-65 y.","Female","1041","0.166567508579365","0.157105112887054","0.176029904271676"
"Very rare","2007","35-65 y.","Male","1504","0.254714256773589","0.24319321378349","0.266235299763688"
"Very rare","2007","66 and older","Female","415","0.173528038274492","0.158190574975224","0.188865501573759"
"Very rare","2007","66 and older","Male","595","0.273864117880988","0.254555391521181","0.293172844240794"
"Often","2008","16-34 y.","Female","290","0.144955222698437","0.130523394805405","0.159387050591469"
"Often","2008","16-34 y.","Male","152","0.0817930427594578","0.0700129335091507","0.093573152009765"
"Often","2008","35-65 y.","Female","655","0.132416479495514","0.123511310360546","0.141321648630482"
"Often","2008","35-65 y.","Male","383","0.0943373770092954","0.0863152760436231","0.102359477974968"
"Often","2008","66 and older","Female","330","0.14514382713715","0.130738822427286","0.159548831847014"
"Often","2008","66 and older","Male","158","0.0873190150038434","0.0750747100533532","0.0995633199543336"
