"plh0187","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Very rare","2007","Not Employed","Full Time","","","",""
"Very rare","2007","Not Employed","Part Time","","","",""
"Very rare","2007","Not Employed","Not Working","1697","0.200309017903359","0.191527184204766","0.209090851601952"
"Very rare","2007","Employed","Full Time","1914","0.228948319331705","0.219660964355193","0.238235674308218"
"Very rare","2007","Employed","Part Time","933","0.186464578879319","0.175348602928355","0.197580554830283"
"Very rare","2007","Employed","Not Working","","","",""
"Rarely","2007","Not Employed","Full Time","","","",""
"Rarely","2007","Not Employed","Part Time","","","",""
"Rarely","2007","Not Employed","Not Working","2467","0.293337037761001","0.283347084087654","0.303326991434349"
"Rarely","2007","Employed","Full Time","2875","0.349842932640488","0.339300829336314","0.360385035944661"
"Rarely","2007","Employed","Part Time","1498","0.295021327405728","0.282005376899497","0.30803727791196"
"Rarely","2007","Employed","Not Working","","","",""
"Sometimes","2007","Not Employed","Full Time","","","",""
"Sometimes","2007","Not Employed","Part Time","","","",""
"Sometimes","2007","Not Employed","Not Working","2549","0.337054947900713","0.326682936661082","0.347426959140344"
"Sometimes","2007","Employed","Full Time","2276","0.298179265557014","0.288067351052744","0.308291180061284"
"Sometimes","2007","Employed","Part Time","1553","0.34989414948312","0.336282161080417","0.363506137885823"
"Sometimes","2007","Employed","Not Working","","","",""
"Often","2007","Not Employed","Full Time","","","",""
"Often","2007","Not Employed","Part Time","","","",""
"Often","2007","Not Employed","Not Working","923","0.124695799700382","0.117446780048178","0.131944819352586"
"Often","2007","Employed","Full Time","625","0.0957570035061443","0.0892525708458009","0.102261436166488"
"Often","2007","Employed","Part Time","561","0.125115554872971","0.115672941812559","0.134558167933383"
"Often","2007","Employed","Not Working","","","",""
"Very often","2007","Not Employed","Full Time","","","",""
"Very often","2007","Not Employed","Part Time","","","",""
"Very often","2007","Not Employed","Not Working","343","0.0446031967345441","0.0400737125940607","0.0491326808750276"
"Very often","2007","Employed","Full Time","172","0.0272724789646486","0.0236721724136128","0.0308727855156843"
"Very often","2007","Employed","Part Time","171","0.0435043893588615","0.0376824292945311","0.049326349423192"
"Very often","2007","Employed","Not Working","","","",""
"Very rare","2008","Not Employed","Full Time","","","",""
"Very rare","2008","Not Employed","Part Time","","","",""
"Very rare","2008","Not Employed","Not Working","1526","0.188219265273938","0.179353291905405","0.19708523864247"
"Very rare","2008","Employed","Full Time","1816","0.234365383366909","0.22477023515373","0.243960531580087"
"Very rare","2008","Employed","Part Time","893","0.197168531272345","0.185432703393989","0.2089043591507"
"Very rare","2008","Employed","Not Working","","","",""
"Rarely","2008","Not Employed","Full Time","","","",""
"Rarely","2008","Not Employed","Part Time","","","",""
"Rarely","2008","Not Employed","Not Working","2404","0.307223568643807","0.296759542108883","0.317687595178731"
"Rarely","2008","Employed","Full Time","2812","0.367423589921809","0.356503299494971","0.378343880348647"
"Rarely","2008","Employed","Part Time","1480","0.309333531401327","0.295699307467066","0.322967755335588"
"Rarely","2008","Employed","Not Working","","","",""
"Sometimes","2008","Not Employed","Full Time","","","",""
"Sometimes","2008","Not Employed","Part Time","","","",""
"Sometimes","2008","Not Employed","Not Working","2359","0.330392785687985","0.319724359538182","0.341061211837787"
"Sometimes","2008","Employed","Full Time","2103","0.280361905350797","0.270187459884348","0.290536350817246"
"Sometimes","2008","Employed","Part Time","1421","0.335620202127448","0.321691360723845","0.349549043531051"
"Sometimes","2008","Employed","Not Working","","","",""
"Often","2008","Not Employed","Full Time","","","",""
"Often","2008","Not Employed","Part Time","","","",""
"Often","2008","Not Employed","Not Working","874","0.131239417457427","0.123580679397406","0.138898155517448"
"Often","2008","Employed","Full Time","604","0.09467072128918","0.0880393201374424","0.101302122440918"
