"plh0188","year","bula_h","sex","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","Schleswig-Holstein","Male","","","",""
"True entirely","1990","Schleswig-Holstein","Female","","","",""
"True entirely","1990","Hamburg","Male","","","",""
"True entirely","1990","Hamburg","Female","","","",""
"True entirely","1990","Lower Saxony","Male","","","",""
"True entirely","1990","Lower Saxony","Female","","","",""
"True entirely","1990","Bremen","Male","","","",""
"True entirely","1990","Bremen","Female","","","",""
"True entirely","1990","North Rhine-Westphalia","Male","","","",""
"True entirely","1990","North Rhine-Westphalia","Female","","","",""
"True entirely","1990","Hesse","Male","","","",""
"True entirely","1990","Hesse","Female","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","Male","","","",""
"True entirely","1990","Rhineland-Palatinate,Saarland","Female","","","",""
"True entirely","1990","Baden-Württemberg","Male","","","",""
"True entirely","1990","Baden-Württemberg","Female","","","",""
"True entirely","1990","Bavaria","Male","","","",""
"True entirely","1990","Bavaria","Female","","","",""
"True entirely","1990","Berlin","Male","19","","",""
"True entirely","1990","Berlin","Female","13","","",""
"True entirely","1990","Brandenburg","Male","69","0.194950621535889","0.153913192069634","0.235988051002143"
"True entirely","1990","Brandenburg","Female","64","0.174549957368718","0.136131694140864","0.212968220596571"
"True entirely","1990","Mecklenburg-Western Pomerania","Male","48","0.215000468693047","0.163662942254378","0.266337995131715"
"True entirely","1990","Mecklenburg-Western Pomerania","Female","32","0.125360227537554","0.0851883311131213","0.165532123961986"
"True entirely","1990","Saxony","Male","130","0.206933261555526","0.175349811334854","0.238516711776197"
"True entirely","1990","Saxony","Female","124","0.175839459927346","0.14781811006342","0.203860809791271"
"True entirely","1990","Saxony-Anhalt","Male","66","0.170072128981533","0.132495377915086","0.207648880047981"
"True entirely","1990","Saxony-Anhalt","Female","68","0.171876166857755","0.136175616061325","0.207576717654185"
"True entirely","1990","Thuringia","Male","76","0.208396331882131","0.16584501521442","0.250947648549843"
"True entirely","1990","Thuringia","Female","80","0.216846953528504","0.175999997698964","0.257693909358044"
"Tends to agree","1990","Schleswig-Holstein","Male","","","",""
"Tends to agree","1990","Schleswig-Holstein","Female","","","",""
"Tends to agree","1990","Hamburg","Male","","","",""
"Tends to agree","1990","Hamburg","Female","","","",""
"Tends to agree","1990","Lower Saxony","Male","","","",""
"Tends to agree","1990","Lower Saxony","Female","","","",""
"Tends to agree","1990","Bremen","Male","","","",""
"Tends to agree","1990","Bremen","Female","","","",""
"Tends to agree","1990","North Rhine-Westphalia","Male","","","",""
"Tends to agree","1990","North Rhine-Westphalia","Female","","","",""
"Tends to agree","1990","Hesse","Male","","","",""
"Tends to agree","1990","Hesse","Female","","","",""
"Tends to agree","1990","Rhineland-Palatinate,Saarland","Male","","","",""
"Tends to agree","1990","Rhineland-Palatinate,Saarland","Female","","","",""
"Tends to agree","1990","Baden-Württemberg","Male","","","",""
"Tends to agree","1990","Baden-Württemberg","Female","","","",""
"Tends to agree","1990","Bavaria","Male","","","",""
"Tends to agree","1990","Bavaria","Female","","","",""
"Tends to agree","1990","Berlin","Male","57","0.42311468565803","0.340384957218341","0.505844414097718"
"Tends to agree","1990","Berlin","Female","59","0.377617589386501","0.302263939704168","0.452971239068834"
"Tends to agree","1990","Brandenburg","Male","147","0.41401127210146","0.362989294060403","0.465033250142518"
"Tends to agree","1990","Brandenburg","Female","144","0.385177257952097","0.335923685350218","0.434430830553975"
"Tends to agree","1990","Mecklenburg-Western Pomerania","Male","97","0.394982821417302","0.333895160744599","0.456070482090004"
"Tends to agree","1990","Mecklenburg-Western Pomerania","Female","107","0.393806782389471","0.334531317386243","0.453082247392699"
"Tends to agree","1990","Saxony","Male","304","0.479970137063295","0.441019837476981","0.518920436649609"
"Tends to agree","1990","Saxony","Female","325","0.45992648192781","0.423240882224085","0.496612081631534"
"Tends to agree","1990","Saxony-Anhalt","Male","179","0.472512189193778","0.422578322077659","0.522446056309897"
"Tends to agree","1990","Saxony-Anhalt","Female","203","0.48002838420657","0.432752166655151","0.52730460175799"
"Tends to agree","1990","Thuringia","Male","169","0.481118555344557","0.428773677283916","0.533463433405197"
"Tends to agree","1990","Thuringia","Female","178","0.441117848091897","0.391902886825173","0.490332809358622"
"Rather not true","1990","Schleswig-Holstein","Male","","","",""
"Rather not true","1990","Schleswig-Holstein","Female","","","",""
"Rather not true","1990","Hamburg","Male","","","",""
"Rather not true","1990","Hamburg","Female","","","",""
"Rather not true","1990","Lower Saxony","Male","","","",""
"Rather not true","1990","Lower Saxony","Female","","","",""
"Rather not true","1990","Bremen","Male","","","",""
"Rather not true","1990","Bremen","Female","","","",""
"Rather not true","1990","North Rhine-Westphalia","Male","","","",""
"Rather not true","1990","North Rhine-Westphalia","Female","","","",""
"Rather not true","1990","Hesse","Male","","","",""
"Rather not true","1990","Hesse","Female","","","",""
"Rather not true","1990","Rhineland-Palatinate,Saarland","Male","","","",""
"Rather not true","1990","Rhineland-Palatinate,Saarland","Female","","","",""
"Rather not true","1990","Baden-Württemberg","Male","","","",""
"Rather not true","1990","Baden-Württemberg","Female","","","",""
"Rather not true","1990","Bavaria","Male","","","",""
"Rather not true","1990","Bavaria","Female","","","",""
"Rather not true","1990","Berlin","Male","48","0.33866379379625","0.259416700470103","0.417910887122398"
"Rather not true","1990","Berlin","Female","65","0.409715842905666","0.333275703356767","0.486155982454565"
"Rather not true","1990","Brandenburg","Male","109","0.303885443358667","0.256242137997493","0.351528748719842"
"Rather not true","1990","Brandenburg","Female","126","0.325537609042936","0.278112109866003","0.372963108219869"
"Rather not true","1990","Mecklenburg-Western Pomerania","Male","81","0.315980420421147","0.257884599829905","0.374076241012389"
"Rather not true","1990","Mecklenburg-Western Pomerania","Female","98","0.396487947155095","0.3371427186833","0.455833175626891"
"Rather not true","1990","Saxony","Male","169","0.262104123725242","0.227817555334798","0.296390692115686"
"Rather not true","1990","Saxony","Female","216","0.299121012836475","0.265417904636326","0.332824121036624"
"Rather not true","1990","Saxony-Anhalt","Male","119","0.301816208742524","0.255902894891491","0.347729522593556"
"Rather not true","1990","Saxony-Anhalt","Female","128","0.278011180731678","0.235616066274053","0.320406295189304"
"Rather not true","1990","Thuringia","Male","85","0.246648666317793","0.201488842877407","0.291808489758179"
"Rather not true","1990","Thuringia","Female","105","0.259061366220192","0.215635133220575","0.302487599219808"
"Totally disagree","1990","Schleswig-Holstein","Male","","","",""
"Totally disagree","1990","Schleswig-Holstein","Female","","","",""
"Totally disagree","1990","Hamburg","Male","","","",""
"Totally disagree","1990","Hamburg","Female","","","",""
"Totally disagree","1990","Lower Saxony","Male","","","",""
"Totally disagree","1990","Lower Saxony","Female","","","",""
"Totally disagree","1990","Bremen","Male","","","",""
"Totally disagree","1990","Bremen","Female","","","",""
"Totally disagree","1990","North Rhine-Westphalia","Male","","","",""
"Totally disagree","1990","North Rhine-Westphalia","Female","","","",""
"Totally disagree","1990","Hesse","Male","","","",""
"Totally disagree","1990","Hesse","Female","","","",""
"Totally disagree","1990","Rhineland-Palatinate,Saarland","Male","","","",""
"Totally disagree","1990","Rhineland-Palatinate,Saarland","Female","","","",""
"Totally disagree","1990","Baden-Württemberg","Male","","","",""
"Totally disagree","1990","Baden-Württemberg","Female","","","",""
"Totally disagree","1990","Bavaria","Male","","","",""
"Totally disagree","1990","Bavaria","Female","","","",""
"Totally disagree","1990","Berlin","Male","13","","",""
"Totally disagree","1990","Berlin","Female","22","","",""
"Totally disagree","1990","Brandenburg","Male","33","0.0871526630039832","0.0579349657267989","0.116370360281167"
"Totally disagree","1990","Brandenburg","Female","41","0.11473517563625","0.0824786673766395","0.14699168389586"
"Totally disagree","1990","Mecklenburg-Western Pomerania","Male","20","","",""
"Totally disagree","1990","Mecklenburg-Western Pomerania","Female","24","","",""
"Totally disagree","1990","Saxony","Male","29","","",""
"Totally disagree","1990","Saxony","Female","44","0.0651130453083696","0.0469520967994543","0.0832739938172849"
"Totally disagree","1990","Saxony-Anhalt","Male","20","","",""
"Totally disagree","1990","Saxony-Anhalt","Female","30","0.0700842682039968","0.0459267945894326","0.094241741818561"
"Totally disagree","1990","Thuringia","Male","20","","",""
"Totally disagree","1990","Thuringia","Female","28","","",""
"True entirely","1991","Schleswig-Holstein","Male","2","","",""
"True entirely","1991","Schleswig-Holstein","Female","","","",""
"True entirely","1991","Hamburg","Male","","","",""
"True entirely","1991","Hamburg","Female","","","",""
"True entirely","1991","Lower Saxony","Male","","","",""
"True entirely","1991","Lower Saxony","Female","","","",""
"True entirely","1991","Bremen","Male","","","",""
"True entirely","1991","Bremen","Female","","","",""
