"plh0188","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"True entirely","1990","1-pers.-HH","71","0.207790779190525","0.164408582941457","0.251172975439593"
"True entirely","1990","(Married) couple without C. ","176","0.178293108430473","0.154030086658756","0.20255613020219"
"True entirely","1990","Single parent ","22","","",""
"True entirely","1990","Couple + C. LE 16 ","248","0.169660359193607","0.150531807849276","0.188788910537937"
"True entirely","1990","Couple + C. GT 16 ","161","0.200874422708891","0.173501699250771","0.228247146167011"
"True entirely","1990","Couple + C. LE and GT 16","54","0.158765375799665","0.118661234935098","0.198869516664231"
"Tends to agree","1990","1-pers.-HH","126","0.377482313663909","0.3256497602634","0.429314867064417"
"Tends to agree","1990","(Married) couple without C. ","404","0.434309684982902","0.402889533564396","0.465729836401407"
"Tends to agree","1990","Single parent ","83","0.429254451451116","0.358688393145013","0.499820509757219"
"Tends to agree","1990","Couple + C. LE 16 ","694","0.481734248954154","0.456269228999932","0.507199268908376"
"Tends to agree","1990","Couple + C. GT 16 ","354","0.420312349803105","0.386588956086041","0.454035743520168"
"Tends to agree","1990","Couple + C. LE and GT 16","155","0.496110029001275","0.441243231717266","0.550976826285284"
"Rather not true","1990","1-pers.-HH","101","0.308681507521393","0.259287661252746","0.35807535379004"
"Rather not true","1990","(Married) couple without C. ","291","0.298106579600024","0.26911041800943","0.327102741190619"
"Rather not true","1990","Single parent ","66","0.352145706697058","0.284050419095181","0.420240994298935"
"Rather not true","1990","Couple + C. LE 16 ","445","0.289749433576317","0.266629792038279","0.312869075114354"
"Rather not true","1990","Couple + C. GT 16 ","261","0.318399648331408","0.286572379970522","0.350226916692295"
"Rather not true","1990","Couple + C. LE and GT 16","91","0.282832212404576","0.233409386706562","0.33225503810259"
"Totally disagree","1990","1-pers.-HH","38","0.106045399624173","0.0731237111772261","0.13896708807112"
"Totally disagree","1990","(Married) couple without C. ","85","0.0892906269866015","0.0712142252650516","0.107367028708151"
"Totally disagree","1990","Single parent ","18","","",""
"Totally disagree","1990","Couple + C. LE 16 ","92","0.0588559582759224","0.0468613168311045","0.0708505997207404"
"Totally disagree","1990","Couple + C. GT 16 ","47","0.0604135791565961","0.0441362246482439","0.0766909336649483"
"Totally disagree","1990","Couple + C. LE and GT 16","19","","",""
"True entirely","1991","1-pers.-HH","50","0.177965682977306","0.13482790941383","0.221103456540781"
"True entirely","1991","(Married) couple without C. ","136","0.140939967336253","0.118232240428177","0.163647694244329"
"True entirely","1991","Single parent ","32","0.187594533024709","0.129588926214016","0.245600139835403"
"True entirely","1991","Couple + C. LE 16 ","205","0.155235017138511","0.135988974863155","0.174481059413867"
"True entirely","1991","Couple + C. GT 16 ","117","0.141281353484041","0.117470220948151","0.165092486019932"
"True entirely","1991","Couple + C. LE and GT 16","48","0.142822742023756","0.104605956185648","0.181039527861864"
"Tends to agree","1991","1-pers.-HH","105","0.341886251104584","0.288388451509636","0.395384050699531"
"Tends to agree","1991","(Married) couple without C. ","369","0.414188277914999","0.382042587866522","0.446333967963477"
"Tends to agree","1991","Single parent ","56","0.32028087164752","0.250953663109177","0.389608080185862"
"Tends to agree","1991","Couple + C. LE 16 ","581","0.428117051395551","0.401819611359329","0.454414491431773"
"Tends to agree","1991","Couple + C. GT 16 ","344","0.415552647881945","0.381862888676196","0.449242407087695"
"Tends to agree","1991","Couple + C. LE and GT 16","164","0.518312013128999","0.463736390358318","0.57288763589968"
"Rather not true","1991","1-pers.-HH","101","0.336541770811084","0.28324868105335","0.389834860568818"
"Rather not true","1991","(Married) couple without C. ","294","0.32951250833758","0.298838105627342","0.360186911047819"
"Rather not true","1991","Single parent ","76","0.433247184569476","0.359620001565105","0.506874367573847"
"Rather not true","1991","Couple + C. LE 16 ","462","0.332651976987782","0.307611080073079","0.357692873902486"
"Rather not true","1991","Couple + C. GT 16 ","278","0.338781408436279","0.30642617817149","0.371136638701068"
"Rather not true","1991","Couple + C. LE and GT 16","86","0.267430897354736","0.219086044272447","0.315775750437024"
"Totally disagree","1991","1-pers.-HH","46","0.143606295107027","0.104054327656235","0.183158262557818"
"Totally disagree","1991","(Married) couple without C. ","103","0.115359246411167","0.0945117216326029","0.136206771189731"
"Totally disagree","1991","Single parent ","10","","",""
"Totally disagree","1991","Couple + C. LE 16 ","112","0.0839959544781552","0.069253950724136","0.0987379582321743"
"Totally disagree","1991","Couple + C. GT 16 ","83","0.104384590197735","0.0834824307560531","0.125286749639416"
"Totally disagree","1991","Couple + C. LE and GT 16","24","","",""
"True entirely","1992","1-pers.-HH","176","0.146132823775337","0.126237772299672","0.166027875251003"
"True entirely","1992","(Married) couple without C. ","410","0.132012051510974","0.119811314484113","0.144212788537835"
"True entirely","1992","Single parent ","78","0.129425328634245","0.101061189622072","0.157789467646418"
"True entirely","1992","Couple + C. LE 16 ","382","0.13977861647571","0.126754455475697","0.152802777475722"
"True entirely","1992","Couple + C. GT 16 ","310","0.14267928889912","0.128004466844424","0.157354110953815"
"True entirely","1992","Couple + C. LE and GT 16","108","0.147969629830458","0.122070013922465","0.173869245738451"
"Tends to agree","1992","1-pers.-HH","488","0.398838926259132","0.371260453357703","0.426417399160561"
"Tends to agree","1992","(Married) couple without C. ","1365","0.445464109039576","0.427550065799902","0.463378152279251"
"Tends to agree","1992","Single parent ","239","0.461941154734364","0.419813705043138","0.504068604425589"
"Tends to agree","1992","Couple + C. LE 16 ","1372","0.509625932788987","0.490849470145267","0.528402395432707"
"Tends to agree","1992","Couple + C. GT 16 ","1043","0.475903395398635","0.454948485750357","0.496858305046913"
"Tends to agree","1992","Couple + C. LE and GT 16","378","0.522356696573752","0.485922019703129","0.558791373444374"
"Rather not true","1992","1-pers.-HH","432","0.358750156965132","0.331736355407088","0.385763958523176"
"Rather not true","1992","(Married) couple without C. ","919","0.331640586535576","0.314671389179589","0.348609783891563"
"Rather not true","1992","Single parent ","172","0.318364240916184","0.279000598615052","0.357727883217317"
"Rather not true","1992","Couple + C. LE 16 ","820","0.293164232372136","0.276066480086109","0.310261984658162"
"Rather not true","1992","Couple + C. GT 16 ","704","0.32337941927926","0.30375261877746","0.343006219781061"
"Rather not true","1992","Couple + C. LE and GT 16","192","0.26920848762571","0.236855036480886","0.301561938770534"
"Totally disagree","1992","1-pers.-HH","115","0.0962780930003989","0.0796647449270663","0.112891441073731"
"Totally disagree","1992","(Married) couple without C. ","263","0.0908832529138737","0.0805229085905984","0.101243597237149"
"Totally disagree","1992","Single parent ","49","0.0902692757152068","0.0660543376100275","0.114484213820386"
"Totally disagree","1992","Couple + C. LE 16 ","149","0.0574312183631678","0.0486923577768992","0.0661700789494363"
"Totally disagree","1992","Couple + C. GT 16 ","125","0.0580378964229849","0.0482273484704531","0.0678484443755167"
"Totally disagree","1992","Couple + C. LE and GT 16","44","0.0604651859700799","0.0430796282430111","0.0778507436971487"
"True entirely","1993","1-pers.-HH","154","0.105386789486185","0.0893712532897944","0.121402325682576"
"True entirely","1993","(Married) couple without C. ","358","0.105404071947691","0.0949556175135828","0.115852526381799"
"True entirely","1993","Single parent ","79","0.136790853222683","0.109409371257612","0.164172335187754"
"True entirely","1993","Couple + C. LE 16 ","333","0.0976756251798265","0.0872451824867062","0.108106067872947"
"True entirely","1993","Couple + C. GT 16 ","287","0.111091463064169","0.0989492715183548","0.123233654609984"
"True entirely","1993","Couple + C. LE and GT 16","143","0.115918286167693","0.0976837626435626","0.134152809691824"
"Tends to agree","1993","1-pers.-HH","520","0.358321074064956","0.333310376395437","0.383331771734475"
"Tends to agree","1993","(Married) couple without C. ","1339","0.387026980510428","0.370453977830492","0.403599983190364"
"Tends to agree","1993","Single parent ","236","0.374391970935777","0.335827726774813","0.41295621509674"
"Tends to agree","1993","Couple + C. LE 16 ","1455","0.453592689722454","0.436101491129968","0.47108388831494"
"Tends to agree","1993","Couple + C. GT 16 ","1098","0.41462084804487","0.395584992902313","0.433656703187427"
"Tends to agree","1993","Couple + C. LE and GT 16","558","0.460999722655806","0.432606344525931","0.489393100785681"
"Rather not true","1993","1-pers.-HH","534","0.386153320987664","0.360758767264485","0.411547874710842"
"Rather not true","1993","(Married) couple without C. ","1255","0.390297386018411","0.373698966004003","0.406895806032819"
"Rather not true","1993","Single parent ","215","0.362194613879011","0.32389578546911","0.400493442288911"
"Rather not true","1993","Couple + C. LE 16 ","1078","0.370341767607393","0.35337566507257","0.387307870142216"
"Rather not true","1993","Couple + C. GT 16 ","925","0.365008779255468","0.346406604777178","0.383610953733759"
"Rather not true","1993","Couple + C. LE and GT 16","377","0.33696723695177","0.310043609480927","0.363890864422612"
"Totally disagree","1993","1-pers.-HH","204","0.150138815461195","0.131507169103887","0.168770461818504"
"Totally disagree","1993","(Married) couple without C. ","366","0.11727156152347","0.106323939027598","0.128219184019343"
"Totally disagree","1993","Single parent ","75","0.126622561962529","0.100123717490639","0.153121406434419"
"Totally disagree","1993","Couple + C. LE 16 ","246","0.0783899174903262","0.0689464387012366","0.0878333962794157"
"Totally disagree","1993","Couple + C. GT 16 ","263","0.109278909635493","0.0972239088714341","0.121333910399551"
"Totally disagree","1993","Couple + C. LE and GT 16","106","0.086114754224731","0.0701354871329449","0.102094021316517"
"True entirely","1994","1-pers.-HH","","","",""
"True entirely","1994","(Married) couple without C. ","","","",""
"True entirely","1994","Single parent ","","","",""
"True entirely","1994","Couple + C. LE 16 ","","","",""
"True entirely","1994","Couple + C. GT 16 ","","","",""
"True entirely","1994","Couple + C. LE and GT 16","","","",""
"Tends to agree","1994","1-pers.-HH","","","",""
"Tends to agree","1994","(Married) couple without C. ","","","",""
"Tends to agree","1994","Single parent ","","","",""
"Tends to agree","1994","Couple + C. LE 16 ","","","",""
"Tends to agree","1994","Couple + C. GT 16 ","","","",""
"Tends to agree","1994","Couple + C. LE and GT 16","","","",""
"Rather not true","1994","1-pers.-HH","","","",""
"Rather not true","1994","(Married) couple without C. ","","","",""
"Rather not true","1994","Single parent ","","","",""
"Rather not true","1994","Couple + C. LE 16 ","","","",""
"Rather not true","1994","Couple + C. GT 16 ","","","",""
"Rather not true","1994","Couple + C. LE and GT 16","","","",""
"Totally disagree","1994","1-pers.-HH","","","",""
"Totally disagree","1994","(Married) couple without C. ","","","",""
"Totally disagree","1994","Single parent ","","","",""
"Totally disagree","1994","Couple + C. LE 16 ","","","",""
"Totally disagree","1994","Couple + C. GT 16 ","","","",""
"Totally disagree","1994","Couple + C. LE and GT 16","","","",""
"True entirely","1995","1-pers.-HH","218","0.134376132671355","0.116827630044795","0.151924635297915"
"True entirely","1995","(Married) couple without C. ","475","0.135635113926112","0.124310967833334","0.14695926001889"
"True entirely","1995","Single parent ","104","0.176026436750341","0.145878094172061","0.206174779328622"
"True entirely","1995","Couple + C. LE 16 ","460","0.141500991297944","0.129323737441912","0.153678245153977"
"True entirely","1995","Couple + C. GT 16 ","397","0.154943210506423","0.140739030259733","0.169147390753114"
"True entirely","1995","Couple + C. LE and GT 16","168","0.148984460881016","0.129181664357838","0.168787257404193"
"Tends to agree","1995","1-pers.-HH","661","0.440843709857183","0.415297685822829","0.466389733891537"
"Tends to agree","1995","(Married) couple without C. ","1762","0.489951924363979","0.473418868699247","0.506484980028711"
"Tends to agree","1995","Single parent ","306","0.504972630634388","0.465393488261877","0.544551773006899"
"Tends to agree","1995","Couple + C. LE 16 ","1795","0.575042767313066","0.557771571625084","0.592313963001048"
"Tends to agree","1995","Couple + C. GT 16 ","1308","0.528463542366712","0.508868233838055","0.548058850895369"
"Tends to agree","1995","Couple + C. LE and GT 16","704","0.556062465440026","0.528430612015843","0.58369431886421"
