"plh0192","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Full Time","1-pers.-HH","57","0.0536946633261663","0.0402385412935714","0.0671507853587613"
"Fully agree","2003","Full Time","(Married) couple without C. ","130","0.0475319450780229","0.0391763145125174","0.0558875756435284"
"Fully agree","2003","Full Time","Single parent ","21","","",""
"Fully agree","2003","Full Time","Couple + C. LE 16 ","108","0.0377160490823438","0.0297877132567743","0.0456443849079134"
"Fully agree","2003","Full Time","Couple + C. GT 16 ","109","0.0591844214362098","0.0480970289850097","0.0702718138874098"
"Fully agree","2003","Full Time","Couple + C. LE and GT 16","49","0.0471309941507026","0.0322206684221945","0.0620413198792108"
"Fully agree","2003","Part Time","1-pers.-HH","33","0.0869942722501143","0.060897237446069","0.11309130705416"
"Fully agree","2003","Part Time","(Married) couple without C. ","76","0.0729143130745435","0.0585126628478705","0.0873159633012165"
"Fully agree","2003","Part Time","Single parent ","21","","",""
"Fully agree","2003","Part Time","Couple + C. LE 16 ","73","0.0519322732213022","0.0401002567749678","0.0637642896676366"
"Fully agree","2003","Part Time","Couple + C. GT 16 ","64","0.0696914666509921","0.0541262618930035","0.0852566714089807"
"Fully agree","2003","Part Time","Couple + C. LE and GT 16","41","0.0551338414333711","0.036230074629633","0.0740376082371092"
"Fully agree","2003","Not Working","1-pers.-HH","116","0.0805996579578296","0.0665882099441159","0.0946111059715434"
"Fully agree","2003","Not Working","(Married) couple without C. ","278","0.0785857497896696","0.0697475977756386","0.0874239018037006"
"Fully agree","2003","Not Working","Single parent ","33","0.0926030589579249","0.0635721906324742","0.121633927283376"
"Fully agree","2003","Not Working","Couple + C. LE 16 ","42","0.0389008176701845","0.0255103636713924","0.0522912716689766"
"Fully agree","2003","Not Working","Couple + C. GT 16 ","96","0.0903640092758249","0.0739848569065704","0.106743161645079"
"Fully agree","2003","Not Working","Couple + C. LE and GT 16","38","0.0731647021336565","0.0503166119002734","0.0960127923670395"
"Rather agree","2003","Full Time","1-pers.-HH","593","0.539190033997986","0.509434306668923","0.568945761327048"
"Rather agree","2003","Full Time","(Married) couple without C. ","1472","0.569617722624413","0.550173966579756","0.58906147866907"
"Rather agree","2003","Full Time","Single parent ","209","0.47809847778342","0.428899796707189","0.527297158859651"
"Rather agree","2003","Full Time","Couple + C. LE 16 ","1248","0.549467288191778","0.528761040446554","0.570173535937003"
"Rather agree","2003","Full Time","Couple + C. GT 16 ","961","0.535624373821989","0.51219081005155","0.559057937592427"
"Rather agree","2003","Full Time","Couple + C. LE and GT 16","435","0.557528714958901","0.522583042958745","0.592474386959056"
"Rather agree","2003","Part Time","1-pers.-HH","262","0.567711964383404","0.521838692672371","0.613585236094436"
"Rather agree","2003","Part Time","(Married) couple without C. ","715","0.55430482008917","0.526772727410915","0.581836912767426"
"Rather agree","2003","Part Time","Single parent ","145","0.457804518489","0.404212880200682","0.511396156777318"
"Rather agree","2003","Part Time","Couple + C. LE 16 ","738","0.527449497364355","0.500827847165176","0.554071147563535"
"Rather agree","2003","Part Time","Couple + C. GT 16 ","584","0.56441659153304","0.534106511435008","0.594726671631072"
"Rather agree","2003","Part Time","Couple + C. LE and GT 16","321","0.550888118260038","0.509691359086547","0.592084877433529"
"Rather agree","2003","Not Working","1-pers.-HH","774","0.541448185473022","0.515801174986403","0.567095195959642"
"Rather agree","2003","Not Working","(Married) couple without C. ","1918","0.53577754864039","0.519397415407737","0.552157681873042"
"Rather agree","2003","Not Working","Single parent ","183","0.472853987370773","0.422853101970952","0.522854872770595"
"Rather agree","2003","Not Working","Couple + C. LE 16 ","411","0.546281010025666","0.511803700872059","0.580758319179274"
"Rather agree","2003","Not Working","Couple + C. GT 16 ","633","0.520063222854304","0.491521515656542","0.548604930052066"
"Rather agree","2003","Not Working","Couple + C. LE and GT 16","276","0.569738743881873","0.526297543684928","0.613179944078819"
"Rather disagree","2003","Full Time","1-pers.-HH","376","0.34662430334344","0.31821571173629","0.37503289495059"
"Rather disagree","2003","Full Time","(Married) couple without C. ","794","0.337371302758551","0.318803931702852","0.35593867381425"
"Rather disagree","2003","Full Time","Single parent ","140","0.363345678694537","0.315974701532471","0.410716655856602"
"Rather disagree","2003","Full Time","Couple + C. LE 16 ","749","0.35573638591311","0.335812994523394","0.375659777302826"
"Rather disagree","2003","Full Time","Couple + C. GT 16 ","603","0.359912558181788","0.337360217658509","0.382464898705067"
"Rather disagree","2003","Full Time","Couple + C. LE and GT 16","261","0.354155426595157","0.320505959696828","0.387804893493487"
"Rather disagree","2003","Part Time","1-pers.-HH","138","0.311021227157498","0.268155813395309","0.353886640919686"
"Rather disagree","2003","Part Time","(Married) couple without C. ","402","0.316248502701185","0.290490670435019","0.342006334967351"
"Rather disagree","2003","Part Time","Single parent ","147","0.425795118398656","0.372607220257669","0.478983016539643"
"Rather disagree","2003","Part Time","Couple + C. LE 16 ","470","0.356154834876975","0.330620146738936","0.381689523015014"
"Rather disagree","2003","Part Time","Couple + C. GT 16 ","341","0.323572674080952","0.294973859992785","0.35217148816912"
"Rather disagree","2003","Part Time","Couple + C. LE and GT 16","181","0.35207293430303","0.312515013336455","0.391630855269605"
"Rather disagree","2003","Not Working","1-pers.-HH","446","0.300015879505937","0.276428466855083","0.32360329215679"
"Rather disagree","2003","Not Working","(Married) couple without C. ","1171","0.326305236054716","0.310905768272354","0.341704703837079"
"Rather disagree","2003","Not Working","Single parent ","147","0.385398322548485","0.336656643606655","0.434140001490315"
"Rather disagree","2003","Not Working","Couple + C. LE 16 ","315","0.374811350831594","0.341288284027201","0.408334417635986"
"Rather disagree","2003","Not Working","Couple + C. GT 16 ","388","0.336769111854852","0.309769447988344","0.36376877572136"
"Rather disagree","2003","Not Working","Couple + C. LE and GT 16","152","0.276365037904752","0.237127735704802","0.315602340104702"
"Disagree fully","2003","Full Time","1-pers.-HH","52","0.060490999332408","0.0462600273781822","0.0747219712866338"
"Disagree fully","2003","Full Time","(Married) couple without C. ","95","0.0454790295390129","0.0372970279644333","0.0536610311135925"
"Disagree fully","2003","Full Time","Single parent ","26","","",""
"Disagree fully","2003","Full Time","Couple + C. LE 16 ","113","0.0570802768127678","0.0474253782476872","0.0667351753778485"
"Disagree fully","2003","Full Time","Couple + C. GT 16 ","67","0.0452786465600136","0.0355094577501867","0.0550478353698404"
"Disagree fully","2003","Full Time","Couple + C. LE and GT 16","31","0.0411848642952394","0.0272033731942451","0.0551663553962336"
"Disagree fully","2003","Part Time","1-pers.-HH","15","","",""
"Disagree fully","2003","Part Time","(Married) couple without C. ","59","0.0565323641351014","0.0437397881900251","0.0693249400801778"
"Disagree fully","2003","Part Time","Single parent ","19","","",""
"Disagree fully","2003","Part Time","Couple + C. LE 16 ","70","0.0644633945373671","0.051368337494148","0.0775584515805862"
"Disagree fully","2003","Part Time","Couple + C. GT 16 ","39","0.0423192677350152","0.0300128690452582","0.0546256664247721"
"Disagree fully","2003","Part Time","Couple + C. LE and GT 16","17","","",""
"Disagree fully","2003","Not Working","1-pers.-HH","114","0.0779362770632114","0.0641383328134671","0.0917342213129556"
"Disagree fully","2003","Not Working","(Married) couple without C. ","194","0.0593314655152247","0.0515721582411042","0.0670907727893451"
"Disagree fully","2003","Not Working","Single parent ","20","","",""
"Disagree fully","2003","Not Working","Couple + C. LE 16 ","33","0.0400068214725554","0.0264351627369535","0.0535784802081572"
"Disagree fully","2003","Not Working","Couple + C. GT 16 ","60","0.0528036560150188","0.0400271570901799","0.0655801549398577"
"Disagree fully","2003","Not Working","Couple + C. LE and GT 16","33","0.0807315160797183","0.0568291684765131","0.104633863682924"
"Fully agree","2004","Full Time","1-pers.-HH","","","",""
"Fully agree","2004","Full Time","(Married) couple without C. ","","","",""
"Fully agree","2004","Full Time","Single parent ","","","",""
