"plh0192","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","in school","Male","27","","",""
"Fully agree","2003","in school","Female","29","","",""
"Fully agree","2003","inadequately","Male","5","","",""
"Fully agree","2003","inadequately","Female","14","","",""
"Fully agree","2003","general elemantary","Male","53","0.0597108019107134","0.0443493534341032","0.0750722503873237"
"Fully agree","2003","general elemantary","Female","142","0.0843076169345165","0.0715879697190822","0.0970272641499509"
"Fully agree","2003","middle vocational","Male","320","0.0608511940321447","0.0544303807240859","0.0672720073402034"
"Fully agree","2003","middle vocational","Female","311","0.0540337122683233","0.048213796844951","0.0598536276916957"
"Fully agree","2003","vocational + Abi","Male","27","","",""
"Fully agree","2003","vocational + Abi","Female","41","0.0692663271979139","0.0501401775304636","0.0883924768653641"
"Fully agree","2003","higher vocational","Male","40","0.0408591218042022","0.0284521904871945","0.0532660531212099"
"Fully agree","2003","higher vocational","Female","47","0.0731851190524017","0.0540011107766496","0.0923691273281538"
"Fully agree","2003","higher education","Male","190","0.0660238566838709","0.0562188910563989","0.0758288223113429"
"Fully agree","2003","higher education","Female","147","0.0818640466878323","0.0695073488139355","0.094220744561729"
"Rather agree","2003","in school","Male","175","0.595551154871294","0.540014617437836","0.651087692304752"
"Rather agree","2003","in school","Female","179","0.510042860995444","0.454925688361359","0.565160033629529"
"Rather agree","2003","inadequately","Male","43","0.367087209868778","0.274449462932762","0.459724956804793"
"Rather agree","2003","inadequately","Female","59","0.392439934355904","0.314813881359308","0.470065987352501"
"Rather agree","2003","general elemantary","Male","445","0.478974489223187","0.446588238132189","0.511360740314184"
"Rather agree","2003","general elemantary","Female","897","0.487544509115359","0.464662082997214","0.510426935233504"
"Rather agree","2003","middle vocational","Male","2796","0.52809334217695","0.514685105005381","0.541501579348519"
"Rather agree","2003","middle vocational","Female","3120","0.528104989874564","0.515254216379443","0.540955763369685"
"Rather agree","2003","vocational + Abi","Male","289","0.61770510540165","0.574501518890299","0.660908691913002"
"Rather agree","2003","vocational + Abi","Female","393","0.61264604240933","0.575950562518642","0.649341522300019"
"Rather agree","2003","higher vocational","Male","566","0.577666052534853","0.546710035098252","0.608622069971455"
"Rather agree","2003","higher vocational","Female","407","0.542951801027944","0.506257966161816","0.579645635894072"
"Rather agree","2003","higher education","Male","1571","0.619117607443152","0.599943738029691","0.638291476856612"
"Rather agree","2003","higher education","Female","1186","0.593698644955081","0.571562117680084","0.615835172230077"
