"plh0194","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","16-34 y.","East Germany","21","","","","4"
"Disagree fully","2003","35-65 y.","East Germany","57","0.0213654785354401","0.0161703271712445","0.0265606298996356","4"
"Disagree fully","2003","16-34 y.","West Germany","57","0.0127203609633895","0.00940685411387064","0.0160338678129083","4"
"Disagree fully","2003","35-65 y.","West Germany","165","0.0184980786763842","0.0158126026016023","0.021183554751166","4"
"Disagree fully","2003","66 and older","West Germany","56","0.02118819498849","0.0158194144512138","0.0265569755257662","4"
"Disagree fully","2003","66 and older","East Germany","19","","","","4"
"Fully agree","2003","16-34 y.","West Germany","1846","0.415494761401048","0.400923570604587","0.43006595219751","1"
"Fully agree","2003","16-34 y.","East Germany","622","0.41776163628642","0.392480936499869","0.44304233607297","1"
"Fully agree","2003","35-65 y.","West Germany","4008","0.438099890611039","0.428211433594641","0.447988347627436","1"
"Fully agree","2003","35-65 y.","East Germany","1414","0.498301207341574","0.480337369533615","0.516265045149533","1"
"Fully agree","2003","66 and older","West Germany","1426","0.51293548477168","0.494301587832069","0.531569381711291","1"
"Fully agree","2003","66 and older","East Germany","512","0.560108977639936","0.528034248798636","0.592183706481235","1"
"Rather agree","2003","35-65 y.","East Germany","1236","0.391279586720279","0.373745459386173","0.408813714054386","2"
"Rather agree","2003","16-34 y.","East Germany","682","0.4644677755271","0.43890282225846","0.49003272879574","2"
"Rather agree","2003","16-34 y.","West Germany","2000","0.456241296839276","0.441514154924604","0.470968438753948","2"
"Rather agree","2003","35-65 y.","West Germany","4439","0.439303495856983","0.429412075621567","0.4491949160924","2"
"Rather agree","2003","66 and older","West Germany","1033","0.378149090737536","0.360070951011023","0.39622723046405","2"
"Rather agree","2003","66 and older","East Germany","305","0.335975086368827","0.305454006069801","0.366496166667854","2"
"Rather disagree","2003","16-34 y.","West Germany","491","0.115543580796286","0.106091461480573","0.124995700111999","3"
"Rather disagree","2003","16-34 y.","East Germany","137","0.102079241224045","0.0865602986060697","0.117598183842021","3"
"Rather disagree","2003","35-65 y.","East Germany","269","0.0890537274027067","0.07882070181497","0.0992867529904433","3"
"Rather disagree","2003","35-65 y.","West Germany","1059","0.104098534855594","0.0980120740271339","0.110184995684054","3"
"Rather disagree","2003","66 and older","West Germany","249","0.0877272295022938","0.0771807227537225","0.0982737362508651","3"
"Rather disagree","2003","66 and older","East Germany","84","0.0847319491724735","0.0667369460131792","0.102726952331768","3"
"Disagree fully","2004","16-34 y.","East Germany","","","","","4"
"Disagree fully","2004","35-65 y.","East Germany","","","","","4"
"Disagree fully","2004","16-34 y.","West Germany","","","","","4"
"Disagree fully","2004","35-65 y.","West Germany","","","","","4"
"Disagree fully","2004","66 and older","West Germany","","","","","4"
"Disagree fully","2004","66 and older","East Germany","","","","","4"
"Fully agree","2004","16-34 y.","West Germany","","","","","1"
"Fully agree","2004","16-34 y.","East Germany","","","","","1"
"Fully agree","2004","35-65 y.","West Germany","","","","","1"
"Fully agree","2004","35-65 y.","East Germany","","","","","1"
"Fully agree","2004","66 and older","West Germany","","","","","1"
"Fully agree","2004","66 and older","East Germany","","","","","1"
"Rather agree","2004","16-34 y.","East Germany","","","","","2"
"Rather agree","2004","16-34 y.","West Germany","","","","","2"
"Rather agree","2004","35-65 y.","East Germany","","","","","2"
"Rather agree","2004","35-65 y.","West Germany","","","","","2"
"Rather agree","2004","66 and older","West Germany","","","","","2"
"Rather agree","2004","66 and older","East Germany","","","","","2"
"Rather disagree","2004","16-34 y.","East Germany","","","","","3"
"Rather disagree","2004","16-34 y.","West Germany","","","","","3"
"Rather disagree","2004","35-65 y.","East Germany","","","","","3"
"Rather disagree","2004","35-65 y.","West Germany","","","","","3"
"Rather disagree","2004","66 and older","West Germany","","","","","3"
"Rather disagree","2004","66 and older","East Germany","","","","","3"
"Disagree fully","2005","16-34 y.","East Germany","","","","","4"
"Disagree fully","2005","16-34 y.","West Germany","","","","","4"
"Disagree fully","2005","35-65 y.","East Germany","","","","","4"
"Disagree fully","2005","35-65 y.","West Germany","","","","","4"
"Disagree fully","2005","66 and older","West Germany","","","","","4"
"Disagree fully","2005","66 and older","East Germany","","","","","4"
"Fully agree","2005","16-34 y.","West Germany","","","","","1"
"Fully agree","2005","16-34 y.","East Germany","","","","","1"
"Fully agree","2005","35-65 y.","West Germany","","","","","1"
"Fully agree","2005","35-65 y.","East Germany","","","","","1"
"Fully agree","2005","66 and older","West Germany","","","","","1"
"Fully agree","2005","66 and older","East Germany","","","","","1"
"Rather agree","2005","16-34 y.","East Germany","","","","","2"
"Rather agree","2005","16-34 y.","West Germany","","","","","2"
"Rather agree","2005","35-65 y.","East Germany","","","","","2"
"Rather agree","2005","35-65 y.","West Germany","","","","","2"
"Rather agree","2005","66 and older","West Germany","","","","","2"
"Rather agree","2005","66 and older","East Germany","","","","","2"
"Rather disagree","2005","16-34 y.","East Germany","","","","","3"
"Rather disagree","2005","16-34 y.","West Germany","","","","","3"
"Rather disagree","2005","35-65 y.","East Germany","","","","","3"
"Rather disagree","2005","35-65 y.","West Germany","","","","","3"
"Rather disagree","2005","66 and older","West Germany","","","","","3"
"Rather disagree","2005","66 and older","East Germany","","","","","3"
"Disagree fully","2006","35-65 y.","East Germany","","","","","4"
"Disagree fully","2006","16-34 y.","West Germany","","","","","4"
"Disagree fully","2006","16-34 y.","East Germany","","","","","4"
"Disagree fully","2006","35-65 y.","West Germany","","","","","4"
"Disagree fully","2006","66 and older","West Germany","","","","","4"
"Disagree fully","2006","66 and older","East Germany","","","","","4"
"Fully agree","2006","16-34 y.","West Germany","","","","","1"
"Fully agree","2006","16-34 y.","East Germany","","","","","1"
"Fully agree","2006","35-65 y.","West Germany","","","","","1"
"Fully agree","2006","35-65 y.","East Germany","","","","","1"
"Fully agree","2006","66 and older","West Germany","","","","","1"
"Fully agree","2006","66 and older","East Germany","","","","","1"
"Rather agree","2006","16-34 y.","East Germany","","","","","2"
"Rather agree","2006","16-34 y.","West Germany","","","","","2"
"Rather agree","2006","35-65 y.","West Germany","","","","","2"
"Rather agree","2006","35-65 y.","East Germany","","","","","2"
"Rather agree","2006","66 and older","West Germany","","","","","2"
"Rather agree","2006","66 and older","East Germany","","","","","2"
"Rather disagree","2006","16-34 y.","East Germany","","","","","3"
"Rather disagree","2006","16-34 y.","West Germany","","","","","3"
"Rather disagree","2006","35-65 y.","East Germany","","","","","3"
"Rather disagree","2006","35-65 y.","West Germany","","","","","3"
"Rather disagree","2006","66 and older","West Germany","","","","","3"
"Rather disagree","2006","66 and older","East Germany","","","","","3"
"Disagree fully","2007","16-34 y.","East Germany","","","","","4"
"Disagree fully","2007","35-65 y.","East Germany","","","","","4"
"Disagree fully","2007","16-34 y.","West Germany","","","","","4"
"Disagree fully","2007","35-65 y.","West Germany","","","","","4"
"Disagree fully","2007","66 and older","West Germany","","","","","4"
"Disagree fully","2007","66 and older","East Germany","","","","","4"
"Fully agree","2007","16-34 y.","West Germany","","","","","1"
"Fully agree","2007","16-34 y.","East Germany","","","","","1"
"Fully agree","2007","35-65 y.","West Germany","","","","","1"
"Fully agree","2007","35-65 y.","East Germany","","","","","1"
"Fully agree","2007","66 and older","West Germany","","","","","1"
"Fully agree","2007","66 and older","East Germany","","","","","1"
"Rather agree","2007","16-34 y.","East Germany","","","","","2"
"Rather agree","2007","16-34 y.","West Germany","","","","","2"
"Rather agree","2007","35-65 y.","East Germany","","","","","2"
"Rather agree","2007","35-65 y.","West Germany","","","","","2"
"Rather agree","2007","66 and older","West Germany","","","","","2"
"Rather agree","2007","66 and older","East Germany","","","","","2"
"Rather disagree","2007","16-34 y.","East Germany","","","","","3"
"Rather disagree","2007","16-34 y.","West Germany","","","","","3"
"Rather disagree","2007","35-65 y.","East Germany","","","","","3"
"Rather disagree","2007","35-65 y.","West Germany","","","","","3"
"Rather disagree","2007","66 and older","West Germany","","","","","3"
"Rather disagree","2007","66 and older","East Germany","","","","","3"
"Disagree fully","2008","35-65 y.","East Germany","43","0.0193456353250342","0.0139593698515976","0.0247319007984709","4"
"Disagree fully","2008","16-34 y.","West Germany","34","0.00876928897414671","0.00554953792032846","0.011989040027965","4"
"Disagree fully","2008","16-34 y.","East Germany","18","","","","4"
"Disagree fully","2008","35-65 y.","West Germany","150","0.0174926787799688","0.0146454309754168","0.0203399265845208","4"
"Disagree fully","2008","66 and older","West Germany","59","0.0196779323543368","0.0148701981116434","0.0244856665970301","4"
"Disagree fully","2008","66 and older","East Germany","30","0.024797285840576","0.0157503880245514","0.0338441836566006","4"
"Fully agree","2008","16-34 y.","West Germany","1324","0.434871319929734","0.417751200658182","0.451991439201286","1"
"Fully agree","2008","16-34 y.","East Germany","470","0.413265291994563","0.384718301404062","0.441812282585064","1"
"Fully agree","2008","35-65 y.","West Germany","3152","0.399636576034297","0.388998356799295","0.410274795269299","1"
"Fully agree","2008","35-65 y.","East Germany","1102","0.457337108198869","0.43785564571167","0.476818570686067","1"
"Fully agree","2008","66 and older","West Germany","1550","0.477082389163955","0.459792999641476","0.494371778686434","1"
"Fully agree","2008","66 and older","East Germany","624","0.570763134397884","0.541967501731057","0.599558767064711","1"
"Rather agree","2008","16-34 y.","East Germany","536","0.469208551330576","0.440277121749362","0.49813998091179","2"
"Rather agree","2008","16-34 y.","West Germany","1500","0.458519443849493","0.441311735357883","0.475727152341103","2"
"Rather agree","2008","35-65 y.","West Germany","3907","0.469966373544361","0.459126747181691","0.480805999907031","2"
"Rather agree","2008","35-65 y.","East Germany","1061","0.410776112118352","0.391537176724772","0.430015047511933","2"
"Rather agree","2008","66 and older","West Germany","1297","0.40397756434229","0.386992145555188","0.420962983129392","2"
"Rather agree","2008","66 and older","East Germany","383","0.320842083846161","0.293685120381654","0.347999047310669","2"
"Rather disagree","2008","16-34 y.","East Germany","119","0.106513413610748","0.0886291465665965","0.1243976806549","3"
