"plh0194","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","Not Employed","no migration background","3458","0.507602342143617","0.495772629936218","0.519432054351017"
"Fully agree","2003","Not Employed","direct migration background","523","0.475878468402019","0.445770973210015","0.505985963594023"
"Fully agree","2003","Not Employed","indirect migration background","107","0.465144264767457","0.402941200701203","0.527347328833712"
"Fully agree","2003","Employed","no migration background","4737","0.416366356410826","0.407519469905574","0.425213242916078"
"Fully agree","2003","Employed","direct migration background","769","0.485089917311379","0.460313105402364","0.509866729220394"
"Fully agree","2003","Employed","indirect migration background","234","0.412428677754619","0.370597798017448","0.454259557491791"
"Rather agree","2003","Not Employed","no migration background","2691","0.38989287829159","0.378352233347499","0.401433523235681"
"Rather agree","2003","Not Employed","direct migration background","427","0.423530167505028","0.39374218673217","0.453318148277886"
"Rather agree","2003","Not Employed","indirect migration background","106","0.371704619887895","0.311437487564271","0.431971752211519"
"Rather agree","2003","Employed","no migration background","5604","0.451087304916814","0.442157038377555","0.460017571456073"
"Rather agree","2003","Employed","direct migration background","629","0.404065682359651","0.379738389503006","0.428392975216296"
"Rather agree","2003","Employed","indirect migration background","238","0.452479271168895","0.410183991403545","0.494774550934246"
"Rather disagree","2003","Not Employed","no migration background","594","0.0840093352728204","0.0774454092267724","0.0905732613188683"
"Rather disagree","2003","Not Employed","direct migration background","89","0.0809929654918039","0.0645457014145025","0.0974402295691054"
"Rather disagree","2003","Not Employed","indirect migration background","30","0.155167185582766","0.110014358954431","0.200320012211101"
"Rather disagree","2003","Employed","no migration background","1392","0.115515997090979","0.109779476745534","0.121252517436423"
"Rather disagree","2003","Employed","direct migration background","135","0.0925197673474962","0.0781548062274931","0.106884728467499"
"Rather disagree","2003","Employed","indirect migration background","49","0.103081508450504","0.0772434934281075","0.1289195234729"
"Disagree fully","2003","Not Employed","no migration background","118","0.0184954442919721","0.0153073370240341","0.02168355155991"
"Disagree fully","2003","Not Employed","direct migration background","18","","",""
"Disagree fully","2003","Not Employed","indirect migration background","4","","",""
"Disagree fully","2003","Employed","no migration background","194","0.0170303415813811","0.0147083308792469","0.0193523522835154"
"Disagree fully","2003","Employed","direct migration background","30","0.018324632981474","0.0116754208088069","0.024973845154141"
"Disagree fully","2003","Employed","indirect migration background","11","","",""
"Fully agree","2004","Not Employed","no migration background","","","",""
"Fully agree","2004","Not Employed","direct migration background","","","",""
"Fully agree","2004","Not Employed","indirect migration background","","","",""
"Fully agree","2004","Employed","no migration background","","","",""
"Fully agree","2004","Employed","direct migration background","","","",""
"Fully agree","2004","Employed","indirect migration background","","","",""
"Rather agree","2004","Not Employed","no migration background","","","",""
"Rather agree","2004","Not Employed","direct migration background","","","",""
"Rather agree","2004","Not Employed","indirect migration background","","","",""
"Rather agree","2004","Employed","no migration background","","","",""
"Rather agree","2004","Employed","direct migration background","","","",""
"Rather agree","2004","Employed","indirect migration background","","","",""
"Rather disagree","2004","Not Employed","no migration background","","","",""
"Rather disagree","2004","Not Employed","direct migration background","","","",""
"Rather disagree","2004","Not Employed","indirect migration background","","","",""
"Rather disagree","2004","Employed","no migration background","","","",""
"Rather disagree","2004","Employed","direct migration background","","","",""
