"plh0194","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Disagree fully","2003","Employed","Female","93","0.0163051716108626","0.0132331968881707","0.0193771463335544","4"
"Disagree fully","2003","Not Employed","Male","60","0.0195920819939252","0.0147788469220699","0.0244053170657804","4"
"Disagree fully","2003","Not Employed","Female","80","0.0176231919409335","0.0139688031018429","0.0212775807800242","4"
"Disagree fully","2003","Employed","Male","142","0.0188411661920814","0.0157626334702863","0.0219196989138764","4"
"Fully agree","2003","Not Employed","Male","1565","0.488582530798187","0.471222514864777","0.505942546731598","1"
"Fully agree","2003","Not Employed","Female","2523","0.511018238768404","0.497134771194202","0.524901706342605","1"
"Fully agree","2003","Employed","Male","2993","0.413061901552065","0.401913208845819","0.424210594258311","1"
"Fully agree","2003","Employed","Female","2747","0.43976405281308","0.427724229718747","0.451803875907413","1"
"Rather agree","2003","Employed","Female","2984","0.435579604500629","0.423552533516447","0.447606675484812","2"
"Rather agree","2003","Not Employed","Male","1268","0.401647579040594","0.384622290704987","0.418672867376201","2"
"Rather agree","2003","Not Employed","Female","1956","0.389036897516976","0.37549634743888","0.402577447595072","2"
"Rather agree","2003","Employed","Male","3487","0.452864460354382","0.441593736546828","0.464135184161937","2"
"Rather disagree","2003","Not Employed","Male","292","0.0901778081672933","0.0802301357981394","0.100125480536447","3"
"Rather disagree","2003","Not Employed","Female","421","0.0823216717736866","0.0746879601777161","0.0899553833696571","3"
"Rather disagree","2003","Employed","Male","871","0.115232471901471","0.108002739023179","0.122462204779764","3"
"Rather disagree","2003","Employed","Female","705","0.108351171075428","0.10081174159751","0.115890600553346","3"
"Disagree fully","2004","Not Employed","Male","","","","","4"
"Disagree fully","2004","Not Employed","Female","","","","","4"
"Disagree fully","2004","Employed","Male","","","","","4"
"Disagree fully","2004","Employed","Female","","","","","4"
"Fully agree","2004","Not Employed","Female","","","","","1"
"Fully agree","2004","Employed","Male","","","","","1"
"Fully agree","2004","Employed","Female","","","","","1"
"Fully agree","2004","Not Employed","Male","","","","","1"
"Rather agree","2004","Not Employed","Male","","","","","2"
"Rather agree","2004","Not Employed","Female","","","","","2"
"Rather agree","2004","Employed","Male","","","","","2"
"Rather agree","2004","Employed","Female","","","","","2"
"Rather disagree","2004","Not Employed","Female","","","","","3"
"Rather disagree","2004","Employed","Male","","","","","3"
"Rather disagree","2004","Employed","Female","","","","","3"
"Rather disagree","2004","Not Employed","Male","","","","","3"
"Disagree fully","2005","Not Employed","Female","","","","","4"
"Disagree fully","2005","Employed","Male","","","","","4"
"Disagree fully","2005","Employed","Female","","","","","4"
"Disagree fully","2005","Not Employed","Male","","","","","4"
"Fully agree","2005","Not Employed","Female","","","","","1"
"Fully agree","2005","Not Employed","Male","","","","","1"
"Fully agree","2005","Employed","Male","","","","","1"
"Fully agree","2005","Employed","Female","","","","","1"
"Rather agree","2005","Not Employed","Female","","","","","2"
"Rather agree","2005","Employed","Male","","","","","2"
"Rather agree","2005","Employed","Female","","","","","2"
"Rather agree","2005","Not Employed","Male","","","","","2"
"Rather disagree","2005","Not Employed","Female","","","","","3"
"Rather disagree","2005","Not Employed","Male","","","","","3"
"Rather disagree","2005","Employed","Male","","","","","3"
"Rather disagree","2005","Employed","Female","","","","","3"
"Disagree fully","2006","Not Employed","Female","","","","","4"
"Disagree fully","2006","Employed","Male","","","","","4"
"Disagree fully","2006","Employed","Female","","","","","4"
"Disagree fully","2006","Not Employed","Male","","","","","4"
"Fully agree","2006","Not Employed","Male","","","","","1"
"Fully agree","2006","Not Employed","Female","","","","","1"
"Fully agree","2006","Employed","Male","","","","","1"
"Fully agree","2006","Employed","Female","","","","","1"
"Rather agree","2006","Not Employed","Female","","","","","2"
"Rather agree","2006","Employed","Male","","","","","2"
"Rather agree","2006","Employed","Female","","","","","2"
"Rather agree","2006","Not Employed","Male","","","","","2"
"Rather disagree","2006","Not Employed","Male","","","","","3"
"Rather disagree","2006","Not Employed","Female","","","","","3"
"Rather disagree","2006","Employed","Male","","","","","3"
"Rather disagree","2006","Employed","Female","","","","","3"
"Disagree fully","2007","Not Employed","Male","","","","","4"
"Disagree fully","2007","Not Employed","Female","","","","","4"
"Disagree fully","2007","Employed","Male","","","","","4"
"Disagree fully","2007","Employed","Female","","","","","4"
"Fully agree","2007","Not Employed","Female","","","","","1"
"Fully agree","2007","Employed","Male","","","","","1"
"Fully agree","2007","Employed","Female","","","","","1"
"Fully agree","2007","Not Employed","Male","","","","","1"
"Rather agree","2007","Not Employed","Male","","","","","2"
"Rather agree","2007","Not Employed","Female","","","","","2"
"Rather agree","2007","Employed","Male","","","","","2"
"Rather agree","2007","Employed","Female","","","","","2"
"Rather disagree","2007","Not Employed","Female","","","","","3"
"Rather disagree","2007","Employed","Male","","","","","3"
"Rather disagree","2007","Employed","Female","","","","","3"
"Rather disagree","2007","Not Employed","Male","","","","","3"
"Disagree fully","2008","Not Employed","Female","79","0.0193244002704132","0.0152577317957183","0.0233910687451082","4"
"Disagree fully","2008","Employed","Male","105","0.0150514696768381","0.0120111537899447","0.0180917855637315","4"
"Disagree fully","2008","Employed","Female","85","0.0114411026397873","0.00868819059707955","0.0141940146824951","4"
"Disagree fully","2008","Not Employed","Male","65","0.0240065583209489","0.0185875321001593","0.0294255845417384","4"
"Fully agree","2008","Not Employed","Female","2189","0.507927349041494","0.493158777716596","0.522695920366392","1"
"Fully agree","2008","Employed","Female","2237","0.401543659740861","0.388854299033672","0.41423302044805","1"
"Fully agree","2008","Not Employed","Male","1424","0.455758669478402","0.438126892627984","0.473390446328821","1"
"Fully agree","2008","Employed","Male","2372","0.400824668042606","0.388587619861737","0.413061716223475","1"
"Rather agree","2008","Not Employed","Female","1770","0.39108093595263","0.376665221192965","0.405496650712296","2"
"Rather agree","2008","Employed","Male","2912","0.46651886518536","0.454061774528531","0.478975955842189","2"
"Rather agree","2008","Employed","Female","2741","0.477662456568752","0.464732612269124","0.490592300868379","2"
"Rather agree","2008","Not Employed","Male","1261","0.409284431204337","0.391877000596731","0.426691861811944","2"
"Rather disagree","2008","Not Employed","Female","364","0.0816673147354629","0.0735773387787062","0.0897572906922196","3"
"Rather disagree","2008","Employed","Female","670","0.1093527810506","0.101274389586946","0.117431172514254","3"
"Rather disagree","2008","Not Employed","Male","315","0.110950340996311","0.0998314830405564","0.122069198952066","3"
"Rather disagree","2008","Employed","Male","772","0.117604997095196","0.109561092807926","0.125648901382466","3"
"Disagree fully","2009","Not Employed","Female","","","","","4"
"Disagree fully","2009","Employed","Female","","","","","4"
"Disagree fully","2009","Not Employed","Male","","","","","4"
"Disagree fully","2009","Employed","Male","","","","","4"
"Fully agree","2009","Not Employed","Female","","","","","1"
"Fully agree","2009","Employed","Female","","","","","1"
"Fully agree","2009","Not Employed","Male","","","","","1"
"Fully agree","2009","Employed","Male","","","","","1"
"Rather agree","2009","Not Employed","Female","","","","","2"
"Rather agree","2009","Employed","Female","","","","","2"
"Rather agree","2009","Not Employed","Male","","","","","2"
"Rather agree","2009","Employed","Male","","","","","2"
"Rather disagree","2009","Not Employed","Female","","","","","3"
"Rather disagree","2009","Employed","Female","","","","","3"
"Rather disagree","2009","Not Employed","Male","","","","","3"
"Rather disagree","2009","Employed","Male","","","","","3"
"Disagree fully","2010","Not Employed","Female","","","","","4"
"Disagree fully","2010","Employed","Female","","","","","4"
"Disagree fully","2010","Not Employed","Male","","","","","4"
"Disagree fully","2010","Employed","Male","","","","","4"
"Fully agree","2010","Not Employed","Male","","","","","1"
"Fully agree","2010","Not Employed","Female","","","","","1"
"Fully agree","2010","Employed","Female","","","","","1"
"Fully agree","2010","Employed","Male","","","","","1"
"Rather agree","2010","Not Employed","Female","","","","","2"
"Rather agree","2010","Employed","Female","","","","","2"
"Rather agree","2010","Not Employed","Male","","","","","2"
"Rather agree","2010","Employed","Male","","","","","2"
"Rather disagree","2010","Not Employed","Male","","","","","3"
"Rather disagree","2010","Not Employed","Female","","","","","3"
"Rather disagree","2010","Employed","Female","","","","","3"
"Rather disagree","2010","Employed","Male","","","","","3"
"Disagree fully","2011","Not Employed","Female","","","","","4"
"Disagree fully","2011","Not Employed","Male","","","","","4"
"Disagree fully","2011","Employed","Male","","","","","4"
"Disagree fully","2011","Employed","Female","","","","","4"
"Fully agree","2011","Not Employed","Female","","","","","1"
"Fully agree","2011","Employed","Female","","","","","1"
"Fully agree","2011","Not Employed","Male","","","","","1"
"Fully agree","2011","Employed","Male","","","","","1"
"Rather agree","2011","Not Employed","Female","","","","","2"
"Rather agree","2011","Not Employed","Male","","","","","2"
"Rather agree","2011","Employed","Male","","","","","2"
"Rather agree","2011","Employed","Female","","","","","2"
"Rather disagree","2011","Not Employed","Female","","","","","3"
"Rather disagree","2011","Employed","Female","","","","","3"
"Rather disagree","2011","Not Employed","Male","","","","","3"
"Rather disagree","2011","Employed","Male","","","","","3"
"Disagree fully","2012","Not Employed","Female","","","","","4"
"Disagree fully","2012","Employed","Female","","","","","4"
"Disagree fully","2012","Not Employed","Male","","","","","4"
"Disagree fully","2012","Employed","Male","","","","","4"
"Fully agree","2012","Not Employed","Female","","","","","1"
"Fully agree","2012","Employed","Female","","","","","1"
"Fully agree","2012","Not Employed","Male","","","","","1"
"Fully agree","2012","Employed","Male","","","","","1"
"Rather agree","2012","Not Employed","Female","","","","","2"
"Rather agree","2012","Employed","Female","","","","","2"
"Rather agree","2012","Not Employed","Male","","","","","2"
"Rather agree","2012","Employed","Male","","","","","2"
"Rather disagree","2012","Not Employed","Female","","","","","3"
"Rather disagree","2012","Employed","Female","","","","","3"
"Rather disagree","2012","Not Employed","Male","","","","","3"
"Rather disagree","2012","Employed","Male","","","","","3"
"Disagree fully","2013","Not Employed","Female","58","0.0110081014957372","0.008192915304913","0.0138232876865614","4"
"Disagree fully","2013","Employed","Female","112","0.0118087112943937","0.00953853203111174","0.0140788905576756","4"
"Disagree fully","2013","Not Employed","Male","51","0.0151495629325916","0.0111040349181993","0.0191950909469838","4"
"Disagree fully","2013","Employed","Male","129","0.018926338118984","0.0159461245779315","0.0219065516600366","4"
"Fully agree","2013","Employed","Female","3444","0.408048041038038","0.397719540676997","0.41837654139908","1"
"Fully agree","2013","Not Employed","Male","1668","0.476321726792325","0.4597803180246","0.492863135560049","1"
"Fully agree","2013","Not Employed","Female","2580","0.505952901391714","0.492463466202884","0.519442336580544","1"
"Fully agree","2013","Employed","Male","2943","0.366920884488102","0.356379965213397","0.377461803762807","1"
"Rather agree","2013","Not Employed","Female","2224","0.403841675069948","0.390603109899322","0.417080240240574","2"
"Rather agree","2013","Employed","Female","4155","0.462369150222273","0.451891234408185","0.472847066036362","2"
"Rather agree","2013","Not Employed","Male","1470","0.419600842397888","0.403256344539459","0.435945340256317","2"
"Rather agree","2013","Employed","Male","3887","0.481633678498341","0.470705693488774","0.492561663507908","2"
"Rather disagree","2013","Employed","Female","987","0.117774097445295","0.11099997279082","0.124548222099769","3"
"Rather disagree","2013","Not Employed","Male","313","0.0889278678771955","0.079500610992566","0.0983551247618249","3"
"Rather disagree","2013","Not Employed","Female","415","0.0791973220426009","0.0719112564083688","0.086483387676833","3"
"Rather disagree","2013","Employed","Male","1072","0.132519098894573","0.125103734862857","0.13993446292629","3"
"Disagree fully","2014","Employed","Female","","","","","4"
"Disagree fully","2014","Not Employed","Male","","","","","4"
"Disagree fully","2014","Not Employed","Female","","","","","4"
"Disagree fully","2014","Employed","Male","","","","","4"
"Fully agree","2014","Not Employed","Male","","","","","1"
"Fully agree","2014","Not Employed","Female","","","","","1"
"Fully agree","2014","Employed","Male","","","","","1"
"Fully agree","2014","Employed","Female","","","","","1"
"Rather agree","2014","Employed","Female","","","","","2"
"Rather agree","2014","Not Employed","Male","","","","","2"
"Rather agree","2014","Not Employed","Female","","","","","2"
"Rather agree","2014","Employed","Male","","","","","2"
"Rather disagree","2014","Not Employed","Male","","","","","3"
"Rather disagree","2014","Not Employed","Female","","","","","3"
"Rather disagree","2014","Employed","Male","","","","","3"
"Rather disagree","2014","Employed","Female","","","","","3"
"Disagree fully","2015","Not Employed","Male","","","","","4"
"Disagree fully","2015","Not Employed","Female","","","","","4"
"Disagree fully","2015","Employed","Male","","","","","4"
"Disagree fully","2015","Employed","Female","","","","","4"
"Fully agree","2015","Employed","Female","","","","","1"
"Fully agree","2015","Not Employed","Male","","","","","1"
"Fully agree","2015","Not Employed","Female","","","","","1"
"Fully agree","2015","Employed","Male","","","","","1"
"Rather agree","2015","Not Employed","Male","","","","","2"
"Rather agree","2015","Not Employed","Female","","","","","2"
"Rather agree","2015","Employed","Male","","","","","2"
"Rather agree","2015","Employed","Female","","","","","2"
"Rather disagree","2015","Employed","Female","","","","","3"
"Rather disagree","2015","Not Employed","Male","","","","","3"
"Rather disagree","2015","Not Employed","Female","","","","","3"
"Rather disagree","2015","Employed","Male","","","","","3"
"Disagree fully","2016","Not Employed","Male","","","","","4"
"Disagree fully","2016","Not Employed","Female","","","","","4"
"Disagree fully","2016","Employed","Female","","","","","4"
"Disagree fully","2016","Employed","Male","","","","","4"
"Fully agree","2016","Employed","Female","","","","","1"
"Fully agree","2016","Not Employed","Male","","","","","1"
"Fully agree","2016","Not Employed","Female","","","","","1"
"Fully agree","2016","Employed","Male","","","","","1"
"Rather agree","2016","Not Employed","Male","","","","","2"
"Rather agree","2016","Not Employed","Female","","","","","2"
"Rather agree","2016","Employed","Female","","","","","2"
"Rather agree","2016","Employed","Male","","","","","2"
"Rather disagree","2016","Employed","Female","","","","","3"
"Rather disagree","2016","Not Employed","Male","","","","","3"
"Rather disagree","2016","Not Employed","Female","","","","","3"
"Rather disagree","2016","Employed","Male","","","","","3"
"Disagree fully","2017","Employed","Female","","","","","4"
"Disagree fully","2017","Not Employed","Male","","","","","4"
"Disagree fully","2017","Not Employed","Female","","","","","4"
"Disagree fully","2017","Employed","Male","","","","","4"
"Fully agree","2017","Not Employed","Male","","","","","1"
"Fully agree","2017","Not Employed","Female","","","","","1"
"Fully agree","2017","Employed","Male","","","","","1"
"Fully agree","2017","Employed","Female","","","","","1"
"Rather agree","2017","Employed","Female","","","","","2"
"Rather agree","2017","Not Employed","Male","","","","","2"
"Rather agree","2017","Not Employed","Female","","","","","2"
"Rather agree","2017","Employed","Male","","","","","2"
"Rather disagree","2017","Not Employed","Male","","","","","3"
"Rather disagree","2017","Not Employed","Female","","","","","3"
"Rather disagree","2017","Employed","Male","","","","","3"
"Rather disagree","2017","Employed","Female","","","","","3"
"Disagree fully","2018","Not Employed","Male","103","0.0144539496037047","0.0112578596292399","0.0176500395781695","4"
"Disagree fully","2018","Not Employed","Female","107","0.0119412988256136","0.00923403545461093","0.0146485621966162","4"
"Disagree fully","2018","Employed","Male","201","0.0219554636612212","0.0189003897989596","0.0250105375234827","4"
"Disagree fully","2018","Employed","Female","166","0.0171553265067896","0.0144884533442582","0.0198221996693209","4"
"Fully agree","2018","Not Employed","Female","3333","0.489008922190024","0.476550059464587","0.501467784915461","1"
"Fully agree","2018","Employed","Male","3373","0.355033780739985","0.345057367837879","0.365010193642091","1"
"Fully agree","2018","Employed","Female","3483","0.373972721675343","0.364035224597186","0.383910218753499","1"
"Fully agree","2018","Not Employed","Male","2840","0.46653924200324","0.453179976030601","0.479898507975879","1"
"Rather agree","2018","Not Employed","Male","1942","0.423219365713453","0.409988892770597","0.436449838656308","2"
"Rather agree","2018","Not Employed","Female","2211","0.400298396695487","0.388086787961208","0.412510005429765","2"
"Rather agree","2018","Employed","Male","3959","0.469533545042817","0.459128753879439","0.479938336206196","2"
"Rather agree","2018","Employed","Female","4138","0.462372211632541","0.452132278059032","0.472612145206051","2"
"Rather disagree","2018","Not Employed","Female","533","0.0987513822888762","0.0913159324503955","0.106186832127357","3"
"Rather disagree","2018","Employed","Male","1305","0.153477210555977","0.145962498084425","0.160991923027529","3"
"Rather disagree","2018","Employed","Female","1320","0.146499740185326","0.139237331600105","0.153762148770548","3"
"Rather disagree","2018","Not Employed","Male","472","0.0957874426796028","0.0879065243993533","0.103668360959852","3"
