"plh0195","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence"
"People exploit","2003","Schleswig-Holstein","Full Time","128","0.560314687835225","0.500554474852789","0.620074900817662"
"People exploit","2003","Schleswig-Holstein","Part Time","52","0.355105333440461","0.278266998195104","0.431943668685817"
"People exploit","2003","Schleswig-Holstein","Not Working","111","0.504273444872887","0.441018189782212","0.567528699963561"
"People exploit","2003","Hamburg","Full Time","49","0.486294614359283","0.3968685212812","0.575720707437367"
"People exploit","2003","Hamburg","Part Time","21","","",""
"People exploit","2003","Hamburg","Not Working","34","0.368807470055569","0.275630140744671","0.461984799366467"
"People exploit","2003","Lower Saxony","Full Time","336","0.481890502466589","0.445392692719365","0.518388312213813"
"People exploit","2003","Lower Saxony","Part Time","202","0.472358901785062","0.426835735278985","0.517882068291139"
"People exploit","2003","Lower Saxony","Not Working","299","0.441603469118501","0.404817121964308","0.478389816272694"
"People exploit","2003","Bremen","Full Time","25","","",""
"People exploit","2003","Bremen","Part Time","10","","",""
"People exploit","2003","Bremen","Not Working","33","0.456865345399862","0.340171772744654","0.57355891805507"
"People exploit","2003","North Rhine-Westphalia","Full Time","812","0.45725464492851","0.43400716286888","0.480502126988139"
"People exploit","2003","North Rhine-Westphalia","Part Time","479","0.436806549031107","0.407455870496744","0.466157227565469"
"People exploit","2003","North Rhine-Westphalia","Not Working","788","0.458123434673198","0.434563290159907","0.481683579186488"
"People exploit","2003","Hesse","Full Time","311","0.477345331023409","0.438465244852929","0.516225417193889"
"People exploit","2003","Hesse","Part Time","160","0.461305281514501","0.410511236296578","0.512099326732425"
"People exploit","2003","Hesse","Not Working","197","0.438313827553484","0.393360213093129","0.483267442013839"
"People exploit","2003","Rhineland-Palatinate,Saarland","Full Time","238","0.49424091039402","0.449972773442806","0.538509047345234"
"People exploit","2003","Rhineland-Palatinate,Saarland","Part Time","135","0.446555009383896","0.390579057189828","0.502530961577965"
"People exploit","2003","Rhineland-Palatinate,Saarland","Not Working","216","0.395699613071977","0.354379052743546","0.437020173400407"
"People exploit","2003","Baden-Württemberg","Full Time","512","0.522795311972496","0.493224652713759","0.552365971231233"
"People exploit","2003","Baden-Württemberg","Part Time","294","0.435608441017718","0.398611829956877","0.472605052078558"
"People exploit","2003","Baden-Württemberg","Not Working","347","0.418263518945287","0.385910820868714","0.450616217021861"
"People exploit","2003","Bavaria","Full Time","657","0.53295552572609","0.505886823226898","0.560024228225281"
"People exploit","2003","Bavaria","Part Time","367","0.50852375431981","0.473143797591232","0.543903711048388"
"People exploit","2003","Bavaria","Not Working","441","0.421439912619923","0.391195846465662","0.451683978774184"
"People exploit","2003","Berlin","Full Time","176","0.535842980689816","0.482278461792038","0.589407499587595"
"People exploit","2003","Berlin","Part Time","100","0.538153722306246","0.467451460795597","0.608855983816896"
"People exploit","2003","Berlin","Not Working","143","0.514071424883486","0.457514548581058","0.570628301185914"
"People exploit","2003","Brandenburg","Full Time","213","0.593695659998684","0.543986076433646","0.643405243563723"
"People exploit","2003","Brandenburg","Part Time","103","0.686233999638691","0.615645637740867","0.756822361536515"
"People exploit","2003","Brandenburg","Not Working","231","0.586112661745807","0.537293385756403","0.634931937735211"
"People exploit","2003","Mecklenburg-Western Pomerania","Full Time","123","0.60056708192817","0.535993534914145","0.665140628942194"
"People exploit","2003","Mecklenburg-Western Pomerania","Part Time","59","0.537982772656735","0.447256646936377","0.628708898377093"
"People exploit","2003","Mecklenburg-Western Pomerania","Not Working","103","0.553503624947358","0.48147721814636","0.625530031748357"
"People exploit","2003","Saxony","Full Time","335","0.546945610970486","0.509392713937745","0.584498508003227"
"People exploit","2003","Saxony","Part Time","158","0.511941091727649","0.456117361935898","0.567764821519401"
"People exploit","2003","Saxony","Not Working","314","0.503890394140718","0.464470930463584","0.543309857817852"
"People exploit","2003","Saxony-Anhalt","Full Time","222","0.624190250595842","0.574773131922685","0.673607369269"
"People exploit","2003","Saxony-Anhalt","Part Time","92","0.588577136224803","0.512328162108681","0.664826110340925"
"People exploit","2003","Saxony-Anhalt","Not Working","215","0.540884718241474","0.49198854478863","0.589780891694318"
"People exploit","2003","Thuringia","Full Time","235","0.620569483345393","0.572035737109681","0.669103229581104"
"People exploit","2003","Thuringia","Part Time","98","0.50901609442692","0.436978100204479","0.58105408864936"
"People exploit","2003","Thuringia","Not Working","213","0.541609529934709","0.491445845775542","0.591773214093877"
"People are fair","2003","Schleswig-Holstein","Full Time","137","0.439685312164775","0.379925099182338","0.499445525147211"
"People are fair","2003","Schleswig-Holstein","Part Time","97","0.644894666559539","0.568056331314183","0.721733001804895"
"People are fair","2003","Schleswig-Holstein","Not Working","129","0.495726555127113","0.432471300036439","0.558981810217788"
"People are fair","2003","Hamburg","Full Time","71","0.513705385640717","0.424279292562633","0.6031314787188"
