"plh0195","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","Brandenburg","Female","208","0.420753708967201","0.376635166111856","0.464872251822545","2"
"People are fair","2003","Mecklenburg-Western Pomerania","Male","103","0.455503458496251","0.392757781396377","0.518249135596124","2"
"People are fair","2003","Hamburg","Male","80","0.597141006622218","0.513469785937694","0.680812227306743","2"
"People are fair","2003","Hamburg","Female","105","0.587219712031014","0.510207774030216","0.664231650031813","2"
"People are fair","2003","Schleswig-Holstein","Male","160","0.443201060950041","0.388516081263511","0.49788604063657","2"
"People are fair","2003","Schleswig-Holstein","Female","203","0.573043404775841","0.520233089147702","0.625853720403981","2"
"People are fair","2003","Brandenburg","Male","177","0.364696304412627","0.320272454606268","0.409120154218985","2"
"People are fair","2003","Mecklenburg-Western Pomerania","Female","132","0.411308929367547","0.353465572833113","0.469152285901982","2"
"People are fair","2003","Lower Saxony","Male","488","0.509529993628724","0.476942198311423","0.542117788946024","2"
"People are fair","2003","Lower Saxony","Female","557","0.562669062965164","0.531579810293177","0.593758315637151","2"
"People are fair","2003","Bremen","Male","46","0.503214201467325","0.39432956330128","0.612098839633371","2"
"People are fair","2003","Bremen","Female","59","0.545932090792418","0.444193927253099","0.647670254331737","2"
"People are fair","2003","North Rhine-Westphalia","Female","1318","0.550492631374347","0.530354765216589","0.570630497532105","2"
"People are fair","2003","North Rhine-Westphalia","Male","1182","0.543271772242441","0.522620499416868","0.563923045068014","2"
"People are fair","2003","Hesse","Male","360","0.508234548057474","0.471692343441697","0.544776752673251","2"
"People are fair","2003","Hesse","Female","444","0.57521198381517","0.539905806844342","0.610518160785998","2"
"People are fair","2003","Saxony","Male","370","0.433998863500009","0.399349938437875","0.468647788562144","2"
"People are fair","2003","Saxony","Female","424","0.524933731930181","0.490649168431615","0.559218295428747","2"
"People are fair","2003","Rhineland-Palatinate,Saarland","Male","340","0.537736669386863","0.498773675818328","0.576699662955397","2"
"People are fair","2003","Rhineland-Palatinate,Saarland","Female","402","0.579045194197465","0.542523282533298","0.615567105861632","2"
"People are fair","2003","Baden-Württemberg","Male","721","0.507672057630356","0.480537161212444","0.534806954048267","2"
"People are fair","2003","Baden-Württemberg","Female","805","0.562855016529162","0.536636521324883","0.589073511733441","2"
"People are fair","2003","Bavaria","Male","734","0.479690731610613","0.454047026519449","0.505334436701777","2"
"People are fair","2003","Bavaria","Female","897","0.545429735755941","0.521316190900143","0.56954328061174","2"
"People are fair","2003","Berlin","Male","194","0.437739290075343","0.389776569110521","0.485702011040165","2"
"People are fair","2003","Berlin","Female","211","0.508610327263231","0.46039571653235","0.556824937994111","2"
"People are fair","2003","Saxony-Anhalt","Male","177","0.383616187973171","0.337867641396265","0.429364734550076","2"
"People are fair","2003","Saxony-Anhalt","Female","222","0.45806012923992","0.414124038356143","0.501996220123696","2"
"People are fair","2003","Thuringia","Male","175","0.387992311295744","0.343558138244067","0.432426484347422","2"
"People are fair","2003","Thuringia","Female","227","0.48325528868041","0.438827337658141","0.527683239702678","2"
"People exploit","2003","Schleswig-Holstein","Male","157","0.556798939049959","0.50211395936343","0.611483918736489","1"
"People exploit","2003","Schleswig-Holstein","Female","134","0.426956595224159","0.374146279596019","0.479766910852298","1"
"People exploit","2003","Hamburg","Male","52","0.402858993377781","0.319187772693257","0.486530214062306","1"
"People exploit","2003","Hamburg","Female","52","0.412780287968985","0.335768349968187","0.489792225969784","1"
"People exploit","2003","Lower Saxony","Male","416","0.490470006371276","0.457882211053976","0.523057801688577","1"
"People exploit","2003","Lower Saxony","Female","421","0.437330937034836","0.406241684362849","0.468420189706823","1"
"People exploit","2003","Bremen","Male","35","0.496785798532675","0.387901160366629","0.60567043669872","1"
"People exploit","2003","Bremen","Female","33","0.454067909207582","0.352329745668263","0.555806072746901","1"
"People exploit","2003","North Rhine-Westphalia","Male","1053","0.456728227757559","0.436076954931986","0.477379500583132","1"
"People exploit","2003","North Rhine-Westphalia","Female","1026","0.449507368625653","0.429369502467895","0.469645234783411","1"
"People exploit","2003","Hesse","Male","359","0.491765451942526","0.455223247326749","0.528307656558303","1"
"People exploit","2003","Hesse","Female","309","0.42478801618483","0.389481839214002","0.460094193155658","1"
"People exploit","2003","Rhineland-Palatinate,Saarland","Male","289","0.462263330613137","0.423300337044603","0.501226324181672","1"
"People exploit","2003","Rhineland-Palatinate,Saarland","Female","300","0.420954805802535","0.384432894138368","0.457476717466702","1"
"People exploit","2003","Baden-Württemberg","Male","583","0.492327942369644","0.465193045951733","0.519462838787556","1"
"People exploit","2003","Baden-Württemberg","Female","570","0.437144983470838","0.410926488266559","0.463363478675117","1"
"People exploit","2003","Bavaria","Male","724","0.520309268389387","0.494665563298223","0.545952973480552","1"
"People exploit","2003","Bavaria","Female","741","0.454570264244059","0.43045671938826","0.478683809099858","1"
"People exploit","2003","Berlin","Male","217","0.562260709924657","0.514297988959835","0.610223430889479","1"
"People exploit","2003","Berlin","Female","202","0.491389672736769","0.443175062005889","0.53960428346765","1"
"People exploit","2003","Brandenburg","Male","274","0.635303695587373","0.590879845781015","0.679727545393732","1"
"People exploit","2003","Brandenburg","Female","273","0.579246291032799","0.535127748177455","0.623364833888144","1"
"People exploit","2003","Mecklenburg-Western Pomerania","Male","139","0.544496541503749","0.481750864403876","0.607242218603623","1"
"People exploit","2003","Mecklenburg-Western Pomerania","Female","146","0.588691070632453","0.530847714098018","0.646534427166887","1"
"People exploit","2003","Saxony","Male","416","0.566001136499991","0.531352211437856","0.600650061562125","1"
"People exploit","2003","Saxony","Female","391","0.475066268069819","0.440781704571253","0.509350831568384","1"
"People exploit","2003","Saxony-Anhalt","Male","257","0.616383812026829","0.570635265449924","0.662132358603735","1"
"People exploit","2003","Saxony-Anhalt","Female","272","0.54193987076008","0.498003779876304","0.585875961643857","1"
"People exploit","2003","Thuringia","Male","287","0.612007688704255","0.567573515652578","0.656441861755933","1"
"People exploit","2003","Thuringia","Female","259","0.51674471131959","0.472316760297322","0.561172662341859","1"
"People are fair","2004","Schleswig-Holstein","Male","","","","","2"
"People are fair","2004","Schleswig-Holstein","Female","","","","","2"
"People are fair","2004","Hamburg","Male","","","","","2"
"People are fair","2004","Hamburg","Female","","","","","2"
"People are fair","2004","Lower Saxony","Male","","","","","2"
"People are fair","2004","Lower Saxony","Female","","","","","2"
"People are fair","2004","Brandenburg","Male","","","","","2"
"People are fair","2004","Brandenburg","Female","","","","","2"
"People are fair","2004","Mecklenburg-Western Pomerania","Male","","","","","2"
"People are fair","2004","Mecklenburg-Western Pomerania","Female","","","","","2"
"People are fair","2004","Bremen","Male","","","","","2"
"People are fair","2004","Bremen","Female","","","","","2"
"People are fair","2004","North Rhine-Westphalia","Male","","","","","2"
"People are fair","2004","Hesse","Male","","","","","2"
"People are fair","2004","Saxony","Male","","","","","2"
"People are fair","2004","North Rhine-Westphalia","Female","","","","","2"
"People are fair","2004","Hesse","Female","","","","","2"
"People are fair","2004","Rhineland-Palatinate,Saarland","Male","","","","","2"
"People are fair","2004","Saxony","Female","","","","","2"
"People are fair","2004","Baden-Württemberg","Male","","","","","2"
"People are fair","2004","Rhineland-Palatinate,Saarland","Female","","","","","2"
"People are fair","2004","Baden-Württemberg","Female","","","","","2"
"People are fair","2004","Bavaria","Male","","","","","2"
"People are fair","2004","Saxony-Anhalt","Male","","","","","2"
"People are fair","2004","Bavaria","Female","","","","","2"
"People are fair","2004","Berlin","Male","","","","","2"
"People are fair","2004","Berlin","Female","","","","","2"
"People are fair","2004","Saxony-Anhalt","Female","","","","","2"
"People are fair","2004","Thuringia","Male","","","","","2"
"People are fair","2004","Thuringia","Female","","","","","2"
"People exploit","2004","Hesse","Male","","","","","1"
"People exploit","2004","Hesse","Female","","","","","1"
"People exploit","2004","Rhineland-Palatinate,Saarland","Male","","","","","1"
"People exploit","2004","Rhineland-Palatinate,Saarland","Female","","","","","1"
"People exploit","2004","Baden-Württemberg","Male","","","","","1"
"People exploit","2004","Baden-Württemberg","Female","","","","","1"
"People exploit","2004","Bavaria","Male","","","","","1"
"People exploit","2004","Bavaria","Female","","","","","1"
"People exploit","2004","Berlin","Male","","","","","1"
"People exploit","2004","Berlin","Female","","","","","1"
"People exploit","2004","Brandenburg","Male","","","","","1"
"People exploit","2004","Brandenburg","Female","","","","","1"
"People exploit","2004","Mecklenburg-Western Pomerania","Male","","","","","1"
"People exploit","2004","Mecklenburg-Western Pomerania","Female","","","","","1"
"People exploit","2004","Saxony","Male","","","","","1"
"People exploit","2004","Saxony","Female","","","","","1"
"People exploit","2004","Saxony-Anhalt","Male","","","","","1"
"People exploit","2004","Saxony-Anhalt","Female","","","","","1"
"People exploit","2004","Thuringia","Male","","","","","1"
"People exploit","2004","Thuringia","Female","","","","","1"
"People exploit","2004","Schleswig-Holstein","Male","","","","","1"
"People exploit","2004","Schleswig-Holstein","Female","","","","","1"
"People exploit","2004","Hamburg","Male","","","","","1"
"People exploit","2004","Hamburg","Female","","","","","1"
"People exploit","2004","Lower Saxony","Male","","","","","1"
"People exploit","2004","Lower Saxony","Female","","","","","1"
"People exploit","2004","Bremen","Male","","","","","1"
"People exploit","2004","Bremen","Female","","","","","1"
"People exploit","2004","North Rhine-Westphalia","Male","","","","","1"
"People exploit","2004","North Rhine-Westphalia","Female","","","","","1"
"People are fair","2005","Lower Saxony","Female","","","","","2"
"People are fair","2005","Brandenburg","Male","","","","","2"
"People are fair","2005","Brandenburg","Female","","","","","2"
"People are fair","2005","Mecklenburg-Western Pomerania","Male","","","","","2"
"People are fair","2005","Mecklenburg-Western Pomerania","Female","","","","","2"
"People are fair","2005","Schleswig-Holstein","Male","","","","","2"
"People are fair","2005","Schleswig-Holstein","Female","","","","","2"
"People are fair","2005","Hamburg","Male","","","","","2"
"People are fair","2005","Hamburg","Female","","","","","2"
"People are fair","2005","Lower Saxony","Male","","","","","2"
"People are fair","2005","Bremen","Female","","","","","2"
"People are fair","2005","North Rhine-Westphalia","Female","","","","","2"
"People are fair","2005","Saxony","Male","","","","","2"
"People are fair","2005","Bremen","Male","","","","","2"
"People are fair","2005","North Rhine-Westphalia","Male","","","","","2"
"People are fair","2005","Hesse","Male","","","","","2"
"People are fair","2005","Hesse","Female","","","","","2"
"People are fair","2005","Saxony","Female","","","","","2"
"People are fair","2005","Rhineland-Palatinate,Saarland","Male","","","","","2"
"People are fair","2005","Rhineland-Palatinate,Saarland","Female","","","","","2"
"People are fair","2005","Baden-Württemberg","Male","","","","","2"
"People are fair","2005","Baden-Württemberg","Female","","","","","2"
"People are fair","2005","Saxony-Anhalt","Male","","","","","2"
"People are fair","2005","Bavaria","Male","","","","","2"
"People are fair","2005","Bavaria","Female","","","","","2"
"People are fair","2005","Berlin","Male","","","","","2"
"People are fair","2005","Berlin","Female","","","","","2"
"People are fair","2005","Saxony-Anhalt","Female","","","","","2"
"People are fair","2005","Thuringia","Male","","","","","2"
"People are fair","2005","Thuringia","Female","","","","","2"
"People exploit","2005","Hesse","Male","","","","","1"
"People exploit","2005","Hesse","Female","","","","","1"
"People exploit","2005","Rhineland-Palatinate,Saarland","Male","","","","","1"
"People exploit","2005","Schleswig-Holstein","Male","","","","","1"
"People exploit","2005","Schleswig-Holstein","Female","","","","","1"
"People exploit","2005","Hamburg","Male","","","","","1"
"People exploit","2005","Hamburg","Female","","","","","1"
"People exploit","2005","Lower Saxony","Male","","","","","1"
"People exploit","2005","Lower Saxony","Female","","","","","1"
"People exploit","2005","Bremen","Male","","","","","1"
"People exploit","2005","Bremen","Female","","","","","1"
"People exploit","2005","North Rhine-Westphalia","Male","","","","","1"
"People exploit","2005","North Rhine-Westphalia","Female","","","","","1"
"People exploit","2005","Rhineland-Palatinate,Saarland","Female","","","","","1"
"People exploit","2005","Baden-Württemberg","Male","","","","","1"
"People exploit","2005","Baden-Württemberg","Female","","","","","1"
"People exploit","2005","Bavaria","Male","","","","","1"
"People exploit","2005","Bavaria","Female","","","","","1"
"People exploit","2005","Berlin","Male","","","","","1"
"People exploit","2005","Berlin","Female","","","","","1"
"People exploit","2005","Brandenburg","Male","","","","","1"
"People exploit","2005","Brandenburg","Female","","","","","1"
"People exploit","2005","Mecklenburg-Western Pomerania","Male","","","","","1"
