"plh0195","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"People are fair","2003","higher vocational","Male","454","0.448675298147951","0.417376185182786","0.479974411113116","2"
"People are fair","2003","in school","Female","207","0.652597868418416","0.599679437143222","0.705516299693611","2"
"People are fair","2003","higher vocational","Female","394","0.55926405313201","0.522537749145473","0.595990357118547","2"
"People are fair","2003","inadequately","Female","64","0.379627535462689","0.301442733096805","0.457812337828573","2"
"People are fair","2003","general elemantary","Male","398","0.428750456189058","0.396471502664477","0.461029409713639","2"
"People are fair","2003","higher education","Male","1435","0.568964055506814","0.549298391798004","0.588629719215624","2"
"People are fair","2003","inadequately","Male","38","0.301478190461279","0.214118096289522","0.388838284633035","2"
"People are fair","2003","in school","Male","194","0.671707107490534","0.617753273841117","0.725660941139951","2"
"People are fair","2003","middle vocational","Female","3025","0.524347220365245","0.511424314801972","0.537270125928517","2"
"People are fair","2003","vocational + Abi","Male","258","0.570401338582309","0.526117098143202","0.614685579021416","2"
"People are fair","2003","vocational + Abi","Female","368","0.550150111604583","0.512167939706408","0.588132283502758","2"
"People are fair","2003","higher education","Female","1149","0.603157428306671","0.580971167029107","0.625343689584234","2"
"People are fair","2003","general elemantary","Female","945","0.541175126486955","0.518199815150813","0.564150437823097","2"
"People are fair","2003","middle vocational","Male","2463","0.47074468141301","0.457258220574574","0.484231142251445","2"
"People exploit","2003","in school","Male","97","0.328292892509466","0.274339058860049","0.382246726158883","1"
"People exploit","2003","in school","Female","104","0.347402131581584","0.294483700306389","0.400320562856778","1"
"People exploit","2003","inadequately","Male","68","0.698521809538721","0.611161715366965","0.785881903710478","1"
"People exploit","2003","inadequately","Female","84","0.620372464537311","0.542187662171427","0.698557266903195","1"
"People exploit","2003","general elemantary","Male","505","0.571249543810942","0.538970590286361","0.603528497335523","1"
"People exploit","2003","general elemantary","Female","862","0.458824873513045","0.435849562176903","0.481800184849187","1"
"People exploit","2003","middle vocational","Male","2799","0.52925531858699","0.515768857748555","0.542741779425426","1"
"People exploit","2003","middle vocational","Female","2712","0.475652779634755","0.462729874071483","0.488575685198028","1"
"People exploit","2003","vocational + Abi","Male","222","0.429598661417691","0.385314420978584","0.473882901856798","1"
"People exploit","2003","vocational + Abi","Female","291","0.449849888395417","0.411867716497242","0.487832060293592","1"
"People exploit","2003","higher vocational","Male","516","0.551324701852049","0.520025588886883","0.582623814817214","1"
"People exploit","2003","higher vocational","Female","308","0.44073594686799","0.404009642881453","0.477462250854527","1"
