"plh0206i01","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","Full Time","1-pers.-HH","1","","","","1"
"1 Strongly disagree","2005","Full Time","(Married) couple without C. ","3","","","","1"
"1 Strongly disagree","2005","Full Time","Single parent ","3","","","","1"
"1 Strongly disagree","2005","Full Time","Couple + C. LE 16 ","3","","","","1"
"1 Strongly disagree","2005","Full Time","Couple + C. GT 16 ","4","","","","1"
"1 Strongly disagree","2005","Full Time","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2005","Part Time","1-pers.-HH","","","","","1"
"1 Strongly disagree","2005","Part Time","(Married) couple without C. ","4","","","","1"
"1 Strongly disagree","2005","Part Time","Single parent ","1","","","","1"
"1 Strongly disagree","2005","Part Time","Couple + C. LE 16 ","1","","","","1"
"1 Strongly disagree","2005","Part Time","Couple + C. GT 16 ","2","","","","1"
"1 Strongly disagree","2005","Part Time","Couple + C. LE and GT 16","","","","","1"
"1 Strongly disagree","2005","Not Working","1-pers.-HH","4","","","","1"
"1 Strongly disagree","2005","Not Working","(Married) couple without C. ","5","","","","1"
"1 Strongly disagree","2005","Not Working","Single parent ","1","","","","1"
"1 Strongly disagree","2005","Not Working","Couple + C. LE 16 ","1","","","","1"
"1 Strongly disagree","2005","Not Working","Couple + C. GT 16 ","3","","","","1"
"1 Strongly disagree","2005","Not Working","Couple + C. LE and GT 16","1","","","","1"
"2 on scale 1-7 ","2005","Not Working","Single parent ","","","","","2"
"2 on scale 1-7 ","2005","Full Time","1-pers.-HH","6","","","","2"
"2 on scale 1-7 ","2005","Full Time","Couple + C. LE and GT 16","1","","","","2"
"2 on scale 1-7 ","2005","Full Time","(Married) couple without C. ","7","","","","2"
"2 on scale 1-7 ","2005","Full Time","Single parent ","","","","","2"
"2 on scale 1-7 ","2005","Full Time","Couple + C. LE 16 ","2","","","","2"
"2 on scale 1-7 ","2005","Full Time","Couple + C. GT 16 ","6","","","","2"
"2 on scale 1-7 ","2005","Part Time","1-pers.-HH","","","","","2"
"2 on scale 1-7 ","2005","Part Time","(Married) couple without C. ","1","","","","2"
"2 on scale 1-7 ","2005","Part Time","Single parent ","","","","","2"
"2 on scale 1-7 ","2005","Part Time","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2005","Not Working","Couple + C. LE 16 ","","","","","2"
"2 on scale 1-7 ","2005","Not Working","Couple + C. GT 16 ","4","","","","2"
"2 on scale 1-7 ","2005","Not Working","Couple + C. LE and GT 16","1","","","","2"
"2 on scale 1-7 ","2005","Part Time","Couple + C. GT 16 ","2","","","","2"
"2 on scale 1-7 ","2005","Part Time","Couple + C. LE and GT 16","","","","","2"
"2 on scale 1-7 ","2005","Not Working","1-pers.-HH","4","","","","2"
"2 on scale 1-7 ","2005","Not Working","(Married) couple without C. ","10","","","","2"
"3 on scale 1-7 ","2005","Full Time","1-pers.-HH","5","","","","3"
"3 on scale 1-7 ","2005","Full Time","(Married) couple without C. ","16","","","","3"
"3 on scale 1-7 ","2005","Full Time","Couple + C. LE and GT 16","4","","","","3"
"3 on scale 1-7 ","2005","Not Working","Couple + C. LE 16 ","6","","","","3"
"3 on scale 1-7 ","2005","Not Working","Couple + C. GT 16 ","6","","","","3"
"3 on scale 1-7 ","2005","Not Working","Couple + C. LE and GT 16","6","","","","3"
"3 on scale 1-7 ","2005","Full Time","Single parent ","","","","","3"
"3 on scale 1-7 ","2005","Full Time","Couple + C. LE 16 ","13","","","","3"
"3 on scale 1-7 ","2005","Full Time","Couple + C. GT 16 ","9","","","","3"
"3 on scale 1-7 ","2005","Not Working","Single parent ","5","","","","3"
"3 on scale 1-7 ","2005","Part Time","Single parent ","2","","","","3"
"3 on scale 1-7 ","2005","Part Time","Couple + C. LE 16 ","6","","","","3"
"3 on scale 1-7 ","2005","Not Working","1-pers.-HH","12","","","","3"
"3 on scale 1-7 ","2005","Not Working","(Married) couple without C. ","30","0.00691830860508506","0.00417462146235432","0.0096619957478158","3"
"3 on scale 1-7 ","2005","Part Time","Couple + C. LE and GT 16","2","","","","3"
"3 on scale 1-7 ","2005","Part Time","1-pers.-HH","1","","","","3"
"3 on scale 1-7 ","2005","Part Time","(Married) couple without C. ","4","","","","3"
"3 on scale 1-7 ","2005","Part Time","Couple + C. GT 16 ","7","","","","3"
"4 on scale 1-7","2005","Not Working","Couple + C. GT 16 ","44","0.0442861733687419","0.0320107810440786","0.0565615656934053","4"
"4 on scale 1-7","2005","Not Working","Couple + C. LE and GT 16","19","","","","4"
"4 on scale 1-7","2005","Part Time","Couple + C. GT 16 ","27","","","","4"
"4 on scale 1-7","2005","Part Time","Couple + C. LE and GT 16","18","","","","4"
"4 on scale 1-7","2005","Not Working","Single parent ","20","","","","4"
"4 on scale 1-7","2005","Not Working","Couple + C. LE 16 ","19","","","","4"
"4 on scale 1-7","2005","Full Time","1-pers.-HH","22","","","","4"
