"plh0206i01","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2005","in school","West Germany","1","","","","1"
"1 Strongly disagree","2005","in school","East Germany","","","","","1"
"1 Strongly disagree","2005","inadequately","West Germany","1","","","","1"
"1 Strongly disagree","2005","inadequately","East Germany","","","","","1"
"1 Strongly disagree","2005","general elemantary","West Germany","6","","","","1"
"1 Strongly disagree","2005","general elemantary","East Germany","","","","","1"
"1 Strongly disagree","2005","middle vocational","West Germany","17","","","","1"
"1 Strongly disagree","2005","middle vocational","East Germany","4","","","","1"
"1 Strongly disagree","2005","vocational + Abi","West Germany","2","","","","1"
"1 Strongly disagree","2005","vocational + Abi","East Germany","","","","","1"
"1 Strongly disagree","2005","higher vocational","West Germany","2","","","","1"
"1 Strongly disagree","2005","higher vocational","East Germany","","","","","1"
"1 Strongly disagree","2005","higher education","West Germany","3","","","","1"
"1 Strongly disagree","2005","higher education","East Germany","2","","","","1"
"2 on scale 1-7 ","2005","general elemantary","East Germany","3","","","","2"
"2 on scale 1-7 ","2005","middle vocational","West Germany","14","","","","2"
"2 on scale 1-7 ","2005","middle vocational","East Germany","3","","","","2"
"2 on scale 1-7 ","2005","vocational + Abi","West Germany","","","","","2"
"2 on scale 1-7 ","2005","higher vocational","West Germany","2","","","","2"
"2 on scale 1-7 ","2005","higher vocational","East Germany","1","","","","2"
"2 on scale 1-7 ","2005","higher education","West Germany","6","","","","2"
"2 on scale 1-7 ","2005","higher education","East Germany","6","","","","2"
"2 on scale 1-7 ","2005","in school","West Germany","","","","","2"
"2 on scale 1-7 ","2005","in school","East Germany","","","","","2"
"2 on scale 1-7 ","2005","inadequately","West Germany","1","","","","2"
"2 on scale 1-7 ","2005","inadequately","East Germany","","","","","2"
"2 on scale 1-7 ","2005","general elemantary","West Germany","8","","","","2"
"2 on scale 1-7 ","2005","vocational + Abi","East Germany","","","","","2"
"3 on scale 1-7 ","2005","general elemantary","West Germany","19","","","","3"
"3 on scale 1-7 ","2005","general elemantary","East Germany","3","","","","3"
"3 on scale 1-7 ","2005","middle vocational","West Germany","46","0.00634769241536454","0.00456637919521353","0.00812900563551555","3"
"3 on scale 1-7 ","2005","in school","West Germany","1","","","","3"
"3 on scale 1-7 ","2005","in school","East Germany","1","","","","3"
"3 on scale 1-7 ","2005","inadequately","West Germany","5","","","","3"
"3 on scale 1-7 ","2005","inadequately","East Germany","1","","","","3"
"3 on scale 1-7 ","2005","middle vocational","East Germany","16","","","","3"
"3 on scale 1-7 ","2005","vocational + Abi","West Germany","5","","","","3"
"3 on scale 1-7 ","2005","vocational + Abi","East Germany","","","","","3"
"3 on scale 1-7 ","2005","higher vocational","West Germany","12","","","","3"
"3 on scale 1-7 ","2005","higher vocational","East Germany","","","","","3"
"3 on scale 1-7 ","2005","higher education","West Germany","21","","","","3"
"3 on scale 1-7 ","2005","higher education","East Germany","5","","","","3"
"4 on scale 1-7","2005","middle vocational","West Germany","200","0.0284660919286248","0.0247360987608744","0.0321960850963752","4"
"4 on scale 1-7","2005","general elemantary","East Germany","19","","","","4"
"4 on scale 1-7","2005","higher education","East Germany","26","","","","4"
"4 on scale 1-7","2005","middle vocational","East Germany","67","0.0186398028115838","0.0134767060448467","0.0238028995783208","4"
"4 on scale 1-7","2005","vocational + Abi","West Germany","32","0.0401350487622953","0.0277959931089834","0.0524741044156072","4"
"4 on scale 1-7","2005","in school","West Germany","27","","","","4"
"4 on scale 1-7","2005","in school","East Germany","5","","","","4"
"4 on scale 1-7","2005","vocational + Abi","East Germany","3","","","","4"
"4 on scale 1-7","2005","higher vocational","West Germany","24","","","","4"
"4 on scale 1-7","2005","higher vocational","East Germany","13","","","","4"
"4 on scale 1-7","2005","higher education","West Germany","61","0.0233908406946747","0.0179050700861358","0.0288766113032136","4"
"4 on scale 1-7","2005","inadequately","West Germany","13","","","","4"
"4 on scale 1-7","2005","inadequately","East Germany","2","","","","4"
"4 on scale 1-7","2005","general elemantary","West Germany","94","0.0486187366210335","0.0393425987538102","0.0578948744882568","4"
"5 on scale 1-7","2005","higher vocational","West Germany","75","0.0676999618419764","0.053097034591559","0.0823028890923938","5"
"5 on scale 1-7","2005","higher vocational","East Germany","23","","","","5"
"5 on scale 1-7","2005","higher education","West Germany","242","0.0935723950108082","0.0830019136285267","0.10414287639309","5"
"5 on scale 1-7","2005","higher education","East Germany","83","0.0746539753611778","0.0600893946193081","0.0892185561030474","5"
"5 on scale 1-7","2005","in school","West Germany","72","0.153170801742153","0.121602661768473","0.184738941715833","5"
"5 on scale 1-7","2005","in school","East Germany","20","","","","5"
"5 on scale 1-7","2005","inadequately","West Germany","20","","","","5"
"5 on scale 1-7","2005","inadequately","East Germany","2","","","","5"
"5 on scale 1-7","2005","general elemantary","West Germany","199","0.0901144179140661","0.0777640869615873","0.102464748866545","5"
"5 on scale 1-7","2005","general elemantary","East Germany","32","0.0890900618823208","0.058898374328517","0.119281749436125","5"
"5 on scale 1-7","2005","middle vocational","West Germany","584","0.0794167735645143","0.0733521649357127","0.085481382193316","5"
"5 on scale 1-7","2005","middle vocational","East Germany","199","0.0675361530215617","0.0579562844981349","0.0771160215449885","5"
"5 on scale 1-7","2005","vocational + Abi","West Germany","83","0.0875250993606402","0.0697590146564317","0.105291184064849","5"
"5 on scale 1-7","2005","vocational + Abi","East Germany","8","","","","5"
"6 on scale 1-7","2005","higher education","West Germany","839","0.260778896708262","0.244842955043007","0.276714838373518","6"
"6 on scale 1-7","2005","higher education","East Germany","331","0.235141488620428","0.211641122964757","0.258641854276099","6"
"6 on scale 1-7","2005","in school","West Germany","140","0.267401362317771","0.228606166350592","0.30619655828495","6"
"6 on scale 1-7","2005","in school","East Germany","34","0.192125096829259","0.128437695019096","0.255812498639422","6"
"6 on scale 1-7","2005","inadequately","West Germany","39","0.20759204487542","0.153752719288704","0.261431370462135","6"
"6 on scale 1-7","2005","inadequately","East Germany","3","","","","6"
"6 on scale 1-7","2005","general elemantary","West Germany","462","0.206970951928155","0.189497153990457","0.224444749865853","6"
"6 on scale 1-7","2005","general elemantary","East Germany","97","0.258173428955508","0.211792226691268","0.304554631219748","6"
"6 on scale 1-7","2005","middle vocational","West Germany","1837","0.226760697899143","0.217368743317336","0.236152652480949","6"
"6 on scale 1-7","2005","middle vocational","East Germany","626","0.231855105017401","0.21574474321827","0.247965466816531","6"
"6 on scale 1-7","2005","vocational + Abi","West Germany","242","0.238835470840938","0.212031221896331","0.265639719785545","6"
"6 on scale 1-7","2005","vocational + Abi","East Germany","44","0.250733468674877","0.183989057658027","0.317477879691727","6"
"6 on scale 1-7","2005","higher vocational","West Germany","278","0.241412802493603","0.216538508559347","0.266287096427859","6"
"6 on scale 1-7","2005","higher vocational","East Germany","121","0.286133358540536","0.24301277237595","0.329253944705122","6"
"7 Strongly agree","2005","higher vocational","West Germany","744","0.66410737370462","0.636654535857911","0.69156021155133","7"
"7 Strongly agree","2005","higher education","East Germany","798","0.657866044573982","0.631576306400572","0.684155782747392","7"
"7 Strongly agree","2005","higher education","West Germany","1744","0.612571687430198","0.594889806211166","0.630253568649229","7"
"7 Strongly agree","2005","higher vocational","East Germany","264","0.633432307193119","0.587457590296507","0.679407024089731","7"
"7 Strongly agree","2005","general elemantary","East Germany","188","0.571531869601735","0.519085609260534","0.623978129942935","7"
"7 Strongly agree","2005","middle vocational","West Germany","4938","0.655150096066352","0.64448903108799","0.665811161044714","7"
"7 Strongly agree","2005","middle vocational","East Germany","1721","0.669889410453965","0.651937665377115","0.687841155530814","7"
"7 Strongly agree","2005","vocational + Abi","West Germany","608","0.628099559939348","0.597715727717467","0.65848339216123","7"
"7 Strongly agree","2005","vocational + Abi","East Germany","107","0.65607699392069","0.58292964303154","0.72922434480984","7"
"7 Strongly agree","2005","in school","West Germany","259","0.520646264986845","0.476857517272068","0.564435012701623","7"
"7 Strongly agree","2005","in school","East Germany","87","0.625408061858094","0.547164182558423","0.703651941157764","7"
"7 Strongly agree","2005","inadequately","West Germany","139","0.645279167742483","0.581769913386007","0.708788422098959","7"
"7 Strongly agree","2005","inadequately","East Germany","10","","","","7"
"7 Strongly agree","2005","general elemantary","West Germany","1277","0.634945302810617","0.614180147159098","0.655710458462137","7"
"1 Strongly disagree","2006","middle vocational","West Germany","","","","","1"
"1 Strongly disagree","2006","middle vocational","East Germany","","","","","1"
"1 Strongly disagree","2006","vocational + Abi","West Germany","","","","","1"
"1 Strongly disagree","2006","vocational + Abi","East Germany","","","","","1"
"1 Strongly disagree","2006","in school","West Germany","","","","","1"
"1 Strongly disagree","2006","in school","East Germany","","","","","1"
"1 Strongly disagree","2006","inadequately","West Germany","","","","","1"
"1 Strongly disagree","2006","inadequately","East Germany","","","","","1"
